股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         78.2          6        71.43          12.25        2      -392928 📈 持有 → 繼續持有         
0052.TW      富邦科技          46.46          6        69.57          13.55        2          837 📈 持有 → 繼續持有         
0056.TW      元大高股息         38.64          5        69.57           5.67        4         4810 📈 持有 → 繼續持有         
00631L.TW    元大台灣50正2      485.6          7        73.91          16.72        3         -102 📈 持有 → 繼續持有         
00632R.TW    元大台灣50反1      13.89          6        36.36          -3.06        2          669 📉 建議賣出              
00633L.TW    富邦上証正2        47.09         19          0.0          -0.91        1          176 📈 持有 → 繼續持有         
00634R.TW    富邦上証反1         3.26          5        52.38          -0.53        5         -281 📉 建議賣出              
00635U.TW    期元大S&P黃金       55.1          5        78.26          18.35        3          766 📈 持有 → 繼續持有         
00637L.TW    元大滬深300正2      19.4         11         40.0          -0.05        2        14917 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      7.03          5         50.0          -2.27        6           54 📉 建議賣出              
00640L.TW    富邦日本正2         90.8          6         65.0          13.35        3          -50 📈 持有 → 繼續持有         
00641R.TW    富邦日本反1         4.15          5        36.36            0.6        4          -60 📉 建議賣出              
00642U.TW    期元大S&P石油       22.2         11         60.0          43.04        0        14051 📈 持有 → 繼續持有         
00646.TW     元大S&P500      67.95         19          0.0          -3.01        3         -233 📉 建議賣出              
00648R.TW    元大S&P500反1      4.4          7        46.67           -2.5        5           23 📉 建議賣出              
00650L.TW    復華香港正2        17.66          4        57.14           4.23        4         -285 📈 持有 → 繼續持有         
00651R.TW    復華香港反1         5.25          4         45.0           4.07        5          -30 📉 建議賣出              
00654R.TW    富邦印度反1         6.82         12        52.63           4.26        3            0 📈 持有 → 繼續持有         
00655L.TW    未知             32.6         11        33.33           1.79        1          587 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1      6.24          6        54.17          -1.48        5           50 📉 建議賣出              
00662.TW     富邦NASDAQ     101.95         17        42.86          -5.25        3        -1236 📈 持有 → 繼續持有         
00663L.TW    國泰臺灣加權正2       63.4          4        65.22          20.83        5          415 📈 持有 → 繼續持有         
00664R.TW    國泰臺灣加權反1       2.25          6         40.0          -2.45        2          -65 📉 建議賣出              
00665L.TW    富邦恒生國企正2       9.96          4         60.0           6.77        4         4653 📈 持有 → 繼續持有         
00666R.TW    富邦恒生國企反1       9.08          4        59.09           8.18        5          165 📉 建議賣出              
00669R.TW    國泰美國道瓊反1       5.76          6        52.63          -1.82        4            2 📉 建議賣出              
00671R.TW    富邦NASDAQ反1      2.9         19        43.75          -1.07        1         -749 📉 建議賣出              
00673R.TW    期元大S&P原油反1     19.9         10          0.0            0.0        0            0 📉 建議賣出              
00674R.TW    期元大S&P黃金反1     4.78         17          0.0          -3.53        1            0 📉 建議賣出              
00675L.TW    富邦臺灣加權正2     192.95          4        70.83          19.95        5        -3763 📈 持有 → 繼續持有         
00676R.TW    富邦臺灣加權反1       7.64          7        36.36          -2.42        2          -57 📉 建議賣出              
00679B.TWO   元大美債20年       27.58         19         50.0           0.38        1        25894 📈 持有 → 繼續持有         
00680L.TW    元大美債20正2        7.4          3        57.14            1.9        5         1350 📉 建議賣出              
00685L.TW    群益臺灣加權正2      173.5          7        73.91          17.04        3          -37 📈 持有 → 繼續持有         
00686R.TW    群益臺灣加權反1       1.37          6         40.0          -0.68        1          -27 📉 建議賣出              
00687B.TWO   國泰20年美債       28.98         19         50.0           0.44        1        55012 📈 持有 → 繼續持有         
00688L.TW    國泰20年美債正2      7.38          3        52.38           1.77        5         6189 📉 建議賣出              
00693U.TW    期街口S&P黃豆      22.73         18        80.95          11.31        1         -237 📈 持有 → 繼續持有         
00696B.TWO   富邦美債20年       30.04         14        52.63           1.14        2         8283 📉 建議賣出              
00700.TW     富邦�琤肭磪�       17.62          4         50.0           3.68        4         5505 📈 持有 → 繼續持有         
00703.TW     台新MSCI中國      20.85         15         50.0          -1.02        1            0 📉 建議賣出              
00712.TW     復華富時不動產        9.19         10         50.0          -1.03        3        -9385 📉 建議賣出              
00713.TW     元大台灣高息低波      52.25          5        80.95           5.82        3        -2612 📈 持有 → 繼續持有         
00715L.TW    期街口布蘭特正2      39.13         11         70.0          84.75        0        30446 📈 持有 → 繼續持有         
00719B.TWO   元大美債1-3       31.27          4        53.33           1.13        4          883 📉 建議賣出              
00720B.TWO   元大投資級公司債      33.58          3        43.48          -1.68        7        20616 📉 建議賣出              
00722B.TWO   群益投資級電信債      36.93         20        33.33          -0.11        1         5183 📈 持有 → 繼續持有         
00724B.TWO   群益投資級金融債      34.49          3        52.63           1.31        7         2777 📉 建議賣出              
00725B.TWO   國泰投資級公司債      35.68          3        45.83          -0.47        7        20100 📉 建議賣出              
00735.TW     國泰臺韓科技        69.25          4        70.83          20.58        5         -132 📈 持有 → 繼續持有         
00738U.TW    期元大道瓊白銀        71.8          5        73.91          44.32        2          287 📈 持有 → 繼續持有         
00740B.TWO   富邦全球投等債       39.28          3        57.14           0.38        6        12529 📉 建議賣出              
00746B.TWO   未知            36.25          3         50.0          -0.27        7         2436 📉 建議賣出              
00749B.TWO   凱基新興債10+      32.35         17         40.0            0.5        2        70027 📉 建議賣出              
00751B.TWO   元大AAA至A公司債    32.46         19        30.77          -1.95        3         8131 📉 建議賣出              
00752.TW     中信中國50        24.81          4        58.33           2.25        4         1892 📈 持有 → 繼續持有         
00753L.TW    中信中國50正2      11.19          5        61.54           1.11        3        12123 📈 持有 → 繼續持有         
00757.TW     統一FANG+      112.75          3        55.56           0.57        6         1648 📈 持有 → 繼續持有         
00761B.TWO   國泰A級公司債       35.05          3        47.37          -0.28        6          689 📉 建議賣出              
00764B.TWO   群益25年美債       28.95         19         50.0           0.44        1        21892 📈 持有 → 繼續持有         
00768B.TWO   復華20年美債        52.1         14        57.14           0.55        2         2129 📉 建議賣出              
00770.TW     國泰北美科技        52.35         18         50.0          -4.87        2          335 📈 持有 → 繼續持有         
00772B.TWO   中信高評級公司債      34.36          3        52.17          -0.14        6        11423 📉 建議賣出              
00773B.TWO   中信優先金融債       36.61          3        54.55           1.51        6         3305 📉 建議賣出              
00780B.TWO   國泰A級金融債       37.97         16        38.89            0.5        1           93 📈 持有 → 繼續持有         
00795B.TWO   中信美國公債20年     27.83         14        52.63           1.22        2        35498 📉 建議賣出              
00830.TW     國泰費城半導體       55.95         10        55.56          -2.87        4         2470 📈 持有 → 繼續持有         
00857B.TWO   永豐20年美公債      24.12         19         50.0           0.53        1         8889 📈 持有 → 繼續持有         
00864B.TWO   中信美國公債0-1     46.25          4         50.0           1.41        4         1906 📉 建議賣出              
00865B.TW    國泰US短期公債      47.85          4         55.0           1.72        3         -481 📉 建議賣出              
00875.TW     國泰網路資安        38.61         13         50.0            4.9        1          634 📈 持有 → 繼續持有         
00877.TWO    復華中國5G         28.7          5         35.0          -3.71        8         1729 📈 持有 → 繼續持有         
00878.TW     國泰永續高股息       22.46          5        73.91           6.71        4       -11850 📈 持有 → 繼續持有         
00881.TW     國泰台灣科技龍頭      37.19          6         72.0          12.94        3        -7634 📈 持有 → 繼續持有         
00882.TW     中信中國高股息       16.06         12         64.0            3.8        2         6272 📉 建議賣出              
00885.TW     富邦越南          17.58          7        35.71          -2.31        6        -1610 📉 建議賣出              
00887.TWO    永豐中國科技50大     13.11          6        55.56            2.3        4         3824 📈 持有 → 繼續持有         
00891.TW     中信關鍵半導體       24.41          6        66.67          14.65        3        10402 📈 持有 → 繼續持有         
00900.TW     富邦特選高股息30     14.36          6        68.42           3.45        4        -3292 📈 持有 → 繼續持有         
00902.TW     中信電池及儲能       14.59          5        59.09          12.22        4           98 📈 持有 → 繼續持有         
00904.TW     新光臺灣半導體30     28.92          5        70.83          17.65        2          -15 📈 持有 → 繼續持有         
00909.TW     國泰數位支付服務       39.4         18        33.33          -7.87        2         3748 📈 持有 → 繼續持有         
00910.TW     第一金太空衛星        56.0          3        45.83          -1.32        8           37 📈 持有 → 繼續持有         
00915.TW     凱基優選高股息30     23.51          6        69.57           7.27        2        -2221 📈 持有 → 繼續持有         
00918.TW     大華優利高填息30      23.2          6        71.43           4.28        3       -15288 📈 持有 → 繼續持有         
00919.TW     群益台灣精選高息      23.79          5        72.73           7.28        3       -67699 📈 持有 → 繼續持有         
00922.TW     國泰台灣領袖50      30.84          6        70.83          10.26        3       -76700 📈 持有 → 繼續持有         
00923.TW     群益台ESG低碳50    29.34          4        65.22          10.82        5         -302 📈 持有 → 繼續持有         
00924.TW     復華S&P500成長    28.59         16         40.0          -1.64        2         1851 📈 持有 → 繼續持有         
00927.TW     群益半導體收益       24.88          5        71.43          16.67        3        -1478 📈 持有 → 繼續持有         
00929.TW     復華台灣科技優息      19.74          6        71.43          10.33        3        -5548 📈 持有 → 繼續持有         
00931B.TWO   統一美債20年       13.96         19         50.0           0.42        1        13844 📈 持有 → 繼續持有         
00933B.TWO   國泰10Y+金融債     16.38          3         50.0           1.04        7        27860 📉 建議賣出              
00936.TW     台新永續高息中小      17.47          3        61.54           7.47        6        -1184 📈 持有 → 繼續持有         
00937B.TWO   群益ESG投等債20+    15.09          3        47.62          -1.18        6       178428 📉 建議賣出              
00939.TW     統一台灣高息動能       15.8          3        70.37           7.87        6        -1025 📈 持有 → 繼續持有         
00940.TW     元大台灣價值高息       9.68          3        70.83           4.12        6       -14433 📈 持有 → 繼續持有         
00941.TW     中信上游半導體       21.69          6        53.85          12.99        3          700 📈 持有 → 繼續持有         
00942B.TWO   台新美A公司債20+     14.6          3         50.0          -0.37        7         9007 📉 建議賣出              
00945B.TW    凱基美國非投等債      14.51          3        58.82           0.48        6        13643 📈 持有 → 繼續持有         
00946.TW     群益科技高息成長      10.08          6         70.0           9.06        2         -473 📈 持有 → 繼續持有         
00947.TW     台新臺灣IC設計      23.64          8         70.0           10.4        2        -1712 📈 持有 → 繼續持有         
00948B.TWO   中信優息投資級債        9.6         19         40.0          -1.45        2       407413 📉 建議賣出              
00949.TW     復華日本龍頭        19.81          5         55.0           8.51        3          418 📈 持有 → 繼續持有         
00950B.TWO   凱基A級公司債       14.37          3         50.0           0.17        7       130288 📉 建議賣出              
00951.TW     台新日本半導體        14.2          5        47.83           7.43        5          848 📈 持有 → 繼續持有         
00953B.TW    群益優選非投等債       9.71          3        64.29           1.25        4        47309 📈 持有 → 繼續持有         
00955.TWO    中信日本商社         15.6          4         75.0          18.79        4          634 📈 持有 → 繼續持有         
00959B.TWO   大華投等美債15Y+     9.57          3         55.0           0.06        7         5363 📉 建議賣出              
00963.TW     中信全球高股息        12.3          9        69.57           5.13        1         1393 📉 建議賣出              
00965.TW     元大航太防衛科技      26.36          3        58.33          -2.11        6          376 📈 持有 → 繼續持有         
00968B.TWO   元大優息投等債        9.42          3         50.0          -0.63        8         4153 📉 建議賣出              
00969B.TWO   未知             8.69         19        53.85           2.48        1         2790 📈 持有 → 繼續持有         
00970B.TWO   新光BBB投等債20+     9.52         19        53.33          -1.17        1          546 📉 建議賣出              
009801.TW    中信美國創新科技      10.72         20        33.33          -2.85        2         1737 📈 持有 → 繼續持有         
009803.TW    保德信市值動能50     15.99          7        66.67          11.95        3         -269 📈 持有 → 繼續持有         
009805.TW    新光美國電力基建      14.99          3        59.09          13.57        6          737 📈 持有 → 繼續持有         
00980A.TW    主動野村臺灣優選      17.25          6         61.9           5.97        4         -785 📈 持有 → 繼續持有         
009811.TW    統一美國50        11.47         17         25.0           -1.6        3         4109 📈 持有 → 繼續持有         
009813.TW    貝萊德標普卓越50     10.27         19          0.0          -1.13        1         -321 📉 建議賣出              
009814.TWO   富邦標普500       10.04         17          0.0           -3.0        3        -1335 📉 建議賣出              
009815.TWO   大華美國MAG7+      9.67         15          0.0            0.0        0         3284 📈 持有 → 繼續持有         
009816.TW    凱基台灣TOP50     10.94          4        85.71           9.06        1       -23800 📈 持有 → 繼續持有         
009817.TW    國泰日本不動產        9.83          9          0.0            0.0        0          130 📉 建議賣出              
00981A.TW    主動統一台股增長      20.05         12          0.0            0.0        0        14076 📈 持有 → 繼續持有         
00981B.TWO   第一金優選非投債       9.29          3         50.0           0.24        7        13816 📈 持有 → 繼續持有         
00981D.TWO   主動中信非投等債      10.43          3        64.29           0.47        5         7147 📈 持有 → 繼續持有         
00982A.TW    主動群益台灣強棒      16.19          3        66.67           3.06        2        -4096 📈 持有 → 繼續持有         
00982D.TW    主動富邦動態入息      10.17         14          0.0            0.0        0          327 📉 建議賣出              
00983A.TW    主動中信ARK創新     11.09         14          0.0            0.0        0         1451 📈 持有 → 繼續持有         
00984B.TWO   大華優利美A債15     16.84          3         55.0          -0.12        7        -5211 📉 建議賣出              
00985A.TW    主動野村台灣50      16.22          6        72.73          11.02        4         -257 📈 持有 → 繼續持有         
00985B.TW    群益ESG投等債0-5    10.36          4        56.25           0.95        5        11745 📉 建議賣出              
00987A.TW    主動台新優勢成長      11.62         12          0.0            0.0        0        -1389 📈 持有 → 繼續持有         
00988A.TW    主動統一全球創新      12.88          4         75.0           4.56        1           26 📈 持有 → 繼續持有         
00989A.TW    未知            14.23         15        100.0           0.85        0         1380 📈 持有 → 繼續持有         
00990A.TW    主動元大AI新經濟     12.15          5        53.85          10.32        5       -23280 📈 持有 → 繼續持有         
00991A.TW    主動復華未來50      12.41          3        57.14           1.91        2         2152 📈 持有 → 繼續持有         
00992A.TW    主動群益科技創新      12.65          5         50.0           3.88        1        -3573 📈 持有 → 繼續持有         
00993A.TW    主動安聯台灣        10.45          5         75.0           4.85        1        -3314 📈 持有 → 繼續持有         
00995A.TW    主動中信台灣卓越      11.56          3        66.67            8.5        4        -3278 📈 持有 → 繼續持有         
02001L.TW    未知            66.05          3         50.0           6.57        1            0 📈 持有 → 繼續持有         
02001R.TW    未知             0.72          3          0.0            0.0        1            0 📉 建議賣出              
020030.TW    統一智慧電動車N      11.14          3          0.0            0.0        0            0 📈 持有 → 繼續持有         
1101.TW      台泥             25.0          4        57.89          10.79        3       -32375 📈 持有 → 繼續持有         
1102.TW      亞泥             34.0          9         60.0          -0.57        1        -7662 📉 建議賣出              
1203.TW      味王            39.15          5        47.06          -0.81        6          -45 📉 建議賣出              
1213.TW      大飲             9.79         20          0.0          -3.65        1            0 📉 建議賣出              
1216.TW      統一             70.2          6         30.0          -3.71        5       -16780 📉 建議賣出              
1219.TW      福壽             13.5          3        46.67           1.13        8         -214 📉 建議賣出              
1220.TW      台榮            12.95          4         50.0           1.22        6          -78 📉 建議賣出              
1225.TW      福懋油           31.75          7        54.17           8.97        5         -232 📉 建議賣出              
1229.TW      聯華            43.75         19          0.0          -3.65        1        -1513 📉 建議賣出              
1235.TW      興泰             38.6          6         50.0           3.01        3          -42 📉 建議賣出              
1256.TW      鮮活果汁-KY       171.0          4        41.18          -2.02        6           -3 📈 持有 → 繼續持有         
1259.TWO     安心             63.0          3        46.15           4.99        6            1 📈 持有 → 繼續持有         
1294.TWO     漢田生技           91.8         19        55.56          14.98        1          -31 📈 持有 → 繼續持有         
1295.TWO     生合             69.8         19          0.0            0.0        0           48 📉 建議賣出              
1301.TW      台塑            47.15          4        59.09          12.88        7       -39020 📉 建議賣出              
1303.TW      南亞             82.4          8         50.0          19.81        4       -34916 📈 持有 → 繼續持有         
1304.TW      台聚            12.45          3        56.52            5.0        9        -8809 📉 建議賣出              
1305.TW      華夏            12.75         16         37.5           2.28        1        -4166 📈 持有 → 繼續持有         
1307.TW      三芳             33.2         20        46.15          -1.73        1         -513 📈 持有 → 繼續持有         
1308.TW      亞聚             14.2          3         50.0          -3.97        9        -5126 📉 建議賣出              
1309.TW      台達化           13.75         14        40.91           2.83        3         -460 📈 持有 → 繼續持有         
1310.TW      台苯             11.3         14        57.89           26.4        1          623 📈 持有 → 繼續持有         
1312.TW      國喬             13.5          5         40.0          -2.07        4        -9005 📉 建議賣出              
1313.TW      聯成             12.3          5        54.17          16.89        5       -15918 📉 建議賣出              
1314.TW      中石化            8.49         16        31.25           2.13        1       -21467 📈 持有 → 繼續持有         
1323.TW      永裕            18.65         18          0.0          -1.87        1          -28 📉 建議賣出              
1326.TW      台化             44.0          8        63.64          23.81        2       -19813 📉 建議賣出              
1337.TW      再生-KY          5.76          7        38.89           7.06        4         -790 📈 持有 → 繼續持有         
1338.TW      廣華-KY         15.55          7         50.0           2.24        1          254 📉 建議賣出              
1340.TW      勝悅-KY          7.14          5        42.11           7.72        4          -74 📈 持有 → 繼續持有         
1341.TW      富林-KY          58.0          7         50.0          -0.29        4          -17 📉 建議賣出              
1402.TW      遠東新           28.45          3        47.62          -6.39        9        -9530 📉 建議賣出              
1409.TW      新纖             15.2          3        57.89           5.14        6         3004 📈 持有 → 繼續持有         
1413.TW      宏洲             9.73         16        38.46          -4.93        3          -21 📉 建議賣出              
1418.TW      東華             19.0          8         20.0          -4.44        7           -7 📉 建議賣出              
1432.TW      大魯閣            17.3         12        43.75           1.93        1         -579 📉 建議賣出              
1434.TW      福懋            16.75          6        47.83           5.79        3        -2265 📉 建議賣出              
1435.TW      中福             20.1         20        57.14          -2.32        1          -10 📉 建議賣出              
1436.TW      華友聯            53.9         18          0.0            0.0        0           -4 📉 建議賣出              
1438.TW      三地開發           30.2          3        38.46           0.11        7          -14 📈 持有 → 繼續持有         
1439.TW      雋揚            27.45          3        53.85           0.68        6          -54 📈 持有 → 繼續持有         
1442.TW      名軒            26.05          6        63.64          -0.17        3         -548 📉 建議賣出              
1443.TW      立益物流          25.05          3         50.0           -0.0        8          -20 📈 持有 → 繼續持有         
1444.TW      力麗             6.13          3        52.94           7.26        6         -420 📈 持有 → 繼續持有         
1455.TW      集盛             8.76          6         62.5          15.74        1         -850 📈 持有 → 繼續持有         
1456.TW      怡華            13.65          5        31.25          -5.24        8          -23 📈 持有 → 繼續持有         
1459.TW      聯發            11.75          5         40.0           4.25        3         -118 📉 建議賣出              
1460.TW      宏遠             6.76          4        66.67           5.33        4         -772 📈 持有 → 繼續持有         
1466.TW      聚隆            17.15          6        63.64          28.74        2          131 📉 建議賣出              
1471.TW      首利            12.15          3        52.94          38.58        7         -636 📈 持有 → 繼續持有         
1477.TW      聚陽            288.5          8         40.0          -2.15        4        -1513 📉 建議賣出              
1503.TW      士電            208.5          8        55.56          29.03        2        -1953 📉 建議賣出              
1504.TW      東元             71.6         20          0.0            0.0        0         3100 📉 建議賣出              
1512.TW      瑞利             7.76          3        33.33           5.18        6            0 📈 持有 → 繼續持有         
1513.TW      中興電           156.5          8         60.0          19.29        2        -4324 📉 建議賣出              
1514.TW      亞力            115.5          6         62.5          38.22        2         -247 📈 持有 → 繼續持有         
1516.TW      川飛             25.5          6        66.67          11.68        4          -16 📈 持有 → 繼續持有         
1519.TW      華城            932.0          6         50.0          24.45        4        -1395 📈 持有 → 繼續持有         
1522.TW      堤維西           41.35          6         60.0          10.89        1          418 📈 持有 → 繼續持有         
1525.TW      江申             62.5          8         50.0          -4.17        4          -33 📈 持有 → 繼續持有         
1528.TW      恩德            22.35          4         50.0          10.32        6         2846 📈 持有 → 繼續持有         
1529.TW      樂事綠能           27.4          4        57.14          32.69        4         2185 📈 持有 → 繼續持有         
1536.TW      和大             53.3          8        53.33           5.34        2        -1040 📉 建議賣出              
1537.TW      廣隆            123.0          9        44.44            0.0        3          -11 📉 建議賣出              
1538.TW      正峰             18.0          6        44.44          -2.86        3            0 📉 建議賣出              
1560.TW      中砂            482.5          6        44.44          10.47        5         -154 📈 持有 → 繼續持有         
1563.TW      巧新             42.1         19          0.0            0.0        0          -34 📉 建議賣出              
1568.TW      倉佑            22.05          4         50.0           14.1        3          -53 📈 持有 → 繼續持有         
1569.TWO     濱川             51.5          4        58.82          11.63        3          423 📈 持有 → 繼續持有         
1582.TW      信錦             87.5          6        59.26          37.73        1         -703 📈 持有 → 繼續持有         
1583.TW      程泰             44.7          4        46.67           9.58        4          -20 📈 持有 → 繼續持有         
1587.TW      吉茂             37.7         15          0.0            0.0        0          368 📉 建議賣出              
1589.TW      永冠-KY           6.6         16         50.0          -2.23        1          106 📉 建議賣出              
1590.TW      亞德客-KY       1035.0         15        73.68          16.75        1          127 📉 建議賣出              
1593.TWO     祺驊             34.7          6         50.0          15.36        4           13 📈 持有 → 繼續持有         
1597.TW      直得             74.8          8         37.5          -2.57        4          -77 📉 建議賣出              
1599.TWO     宏佳騰           26.15          9         20.0          -4.01        1           -8 📉 建議賣出              
1605.TW      華新            33.45          3        42.11           9.08        6        16722 📈 持有 → 繼續持有         
1608.TW      華榮             34.1          6        46.67          -1.69        3        -5362 📈 持有 → 繼續持有         
1609.TW      大亞             36.9          7        66.67           10.0        3        -1987 📉 建議賣出              
1611.TW      中電             13.4          8         40.0           6.19        4           84 📈 持有 → 繼續持有         
1612.TW      宏泰            34.15          8        52.94           6.86        3         -370 📉 建議賣出              
1616.TW      億泰             26.2         10         50.0           2.99        2         -189 📉 建議賣出              
1623.TW      大東電           204.5          5         50.0            9.5        2          -97 📈 持有 → 繼續持有         
