股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         78.2          6         70.0           9.94        2      -392928 📉 觀望/賣出             
0052.TW      富邦科技          46.46          6        68.18          10.85        2          837 📉 觀望/賣出             
0056.TW      元大高股息         38.64          3        77.78           6.96        3         4810 📉 觀望/賣出             
00631L.TW    元大台灣50正2      485.6          3        76.92           6.89        2         -102 📉 觀望/賣出             
00632R.TW    元大台灣50反1      13.89          5        33.33          -4.91        2          669 📉 觀望/賣出             
00633L.TW    富邦上証正2        47.09         19          0.0          -0.91        1          176 📈 持有                
00634R.TW    富邦上証反1         3.26          5         50.0          -2.64        4         -281 📉 觀望/賣出             
00635U.TW    期元大S&P黃金       55.1          5        77.78          14.59        3          766 📉 觀望/賣出             
00637L.TW    元大滬深300正2      19.4         11         40.0          -0.05        2        14917 📈 持有                
00638R.TW    元大滬深300反1      7.03          7        47.37           -2.4        4           54 📉 觀望/賣出             
00640L.TW    富邦日本正2         90.8          6        66.67          14.05        2          -50 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.15          5         30.0          -0.56        4          -60 📉 觀望/賣出             
00642U.TW    期元大S&P石油       22.2         11         60.0          43.04        0        14051 📈 持有                
00646.TW     元大S&P500      67.95         16          0.0          -2.73        3         -233 📉 觀望/賣出             
00648R.TW    元大S&P500反1      4.4         15        38.46          -3.18        3           23 📈 持有                
00650L.TW    復華香港正2        17.66          3        57.14           3.64        3         -285 📈 持有                
00651R.TW    復華香港反1         5.25          7        43.75           1.51        3          -30 📉 觀望/賣出             
00654R.TW    富邦印度反1         6.82         11        58.82           4.16        2            0 📈 持有                
00655L.TW    未知             32.6         11        33.33           1.79        1          587 📈 持有                
00656R.TW    國泰中國A50反1      6.24          6         50.0           -3.5        5           50 📉 觀望/賣出             
00662.TW     富邦NASDAQ     101.95         16        42.86          -5.25        3        -1236 📈 持有                
00663L.TW    國泰臺灣加權正2       63.4          3        66.67           7.28        2          415 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1       2.25          5         37.5          -4.17        2          -65 📉 觀望/賣出             
00665L.TW    富邦恒生國企正2       9.96          3         50.0          -2.52        2         4653 📈 持有                
00666R.TW    富邦恒生國企反1       9.08          8        47.37           1.27        3          165 📉 觀望/賣出             
00669R.TW    國泰美國道瓊反1       5.76          6         50.0          -2.34        4            2 📉 觀望/賣出             
00671R.TW    富邦NASDAQ反1      2.9         19        43.75          -1.07        1         -749 📉 觀望/賣出             
00673R.TW    期元大S&P原油反1     19.9         10          0.0            0.0        0            0 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     4.78         17          0.0            0.0        0            0 📉 觀望/賣出             
00675L.TW    富邦臺灣加權正2     192.95          3        76.92           6.79        2        -3763 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.64          5        33.33          -4.18        2          -57 📉 觀望/賣出             
00679B.TWO   元大美債20年       27.58         14        56.25           2.35        0        25894 📉 觀望/賣出             
00680L.TW    元大美債20正2        7.4          7         60.0           2.57        3         1350 📉 觀望/賣出             
00685L.TW    群益臺灣加權正2      173.5          3        76.92           6.77        2          -37 📉 觀望/賣出             
00686R.TW    群益臺灣加權反1       1.37          5         37.5          -2.81        1          -27 📉 觀望/賣出             
00687B.TWO   國泰20年美債       28.98         15        56.25           2.44        0        55012 📈 持有                
00688L.TW    國泰20年美債正2      7.38          7        57.14           2.72        3         6189 📉 觀望/賣出             
00693U.TW    期街口S&P黃豆      22.73          9        80.95           8.35        1         -237 📈 持有                
00696B.TWO   富邦美債20年       30.04         14        56.25           2.32        0         8283 📉 觀望/賣出             
