股號,名稱,開盤,最高,最低,現價,漲跌,狀態
0050,元大台灣50,84.1,85.1,83.8,83.1,+0.00 (+0.00%),離開盤整 (向上)
0056,元大高股息,40.22,40.55,40.21,39.97,+0.00 (+0.00%),均線糾撐
00635U,期元大S&P黃金,50.85,51.3,50.75,50.15,+0.00 (+0.00%),均線糾撐
00918,大華優利高填息30,22.97,23.02,22.95,22.8,+0.00 (+0.00%),均線糾撐
00919,群益台灣精選高息,22.96,23.04,22.94,23.03,+0.12 (+0.52%),均線糾撐
009816,凱基台灣TOP50,11.8,11.97,11.79,11.67,+0.00 (+0.00%),離開盤整 (向上) -> 趨勢運行
