=== 殖利率掃描報告 (20260415) ===
基準條件: 10日新高 或 歷史分位 > 80%
--------------------------------------------------
[🔥 10日新高] 2442.TW: 13.57% (歷史分位: 99.2%)
[🔥 10日新高] 3188.TWO: 11.99% (歷史分位: 100.0%)
[🔥 10日新高] 1432.TW: 11.7% (歷史分位: 100.0%)
[🔥 10日新高] 2718.TWO: 11.53% (歷史分位: 100.0%)
[🔥 10日新高] 5225.TW: 9.3% (歷史分位: 35.0%)
[🔥 10日新高] 6523.TWO: 9.3% (歷史分位: 70.2%)
[🔥 10日新高] 5520.TWO: 8.72% (歷史分位: 100.0%)
[🔥 10日新高] 6177.TW: 8.64% (歷史分位: 84.6%)
[🔥 10日新高] 5212.TWO: 8.6% (歷史分位: 100.0%)
[🔥 10日新高] 6123.TWO: 8.57% (歷史分位: 70.2%)
[🔥 10日新高] 5511.TWO: 7.87% (歷史分位: 100.0%)
[🔥 10日新高] 5548.TWO: 7.76% (歷史分位: 90.3%)
[🔥 10日新高] 6171.TWO: 7.71% (歷史分位: 16.9%)
[🔥 10日新高] 8930.TWO: 7.41% (歷史分位: 21.0%)
[🔥 10日新高] 6028.TWO: 7.34% (歷史分位: 100.0%)
[🔥 10日新高] 1477.TW: 6.98% (歷史分位: 100.0%)
[🔥 10日新高] 2752.TWO: 6.94% (歷史分位: 89.5%)
[🔥 10日新高] 1218.TW: 6.89% (歷史分位: 14.6%)
[🔥 10日新高] 8433.TWO: 6.85% (歷史分位: 10.5%)
[🔥 10日新高] 1580.TWO: 6.67% (歷史分位: 26.6%)
[🔥 10日新高] 9907.TW: 6.56% (歷史分位: 96.7%)
[🔥 10日新高] 4735.TWO: 6.53% (歷史分位: 96.8%)
[🔥 10日新高] 2941.TWO: 6.49% (歷史分位: 23.4%)
[🔥 10日新高] 6697.TWO: 6.4% (歷史分位: 100.0%)
[🔥 10日新高] 6844.TWO: 6.33% (歷史分位: 37.9%)
[🔥 10日新高] 6203.TWO: 6.26% (歷史分位: 100.0%)
[🔥 10日新高] 4153.TWO: 6.22% (歷史分位: 95.2%)
[🔥 10日新高] 6807.TW: 6.14% (歷史分位: 17.4%)
[🔥 10日新高] 7805.TWO: 6.11% (歷史分位: 50.0%)
[🔥 10日新高] 6806.TW: 6.01% (歷史分位: 100.0%)
[🔥 10日新高] 4442.TWO: 5.98% (歷史分位: 100.0%)
[🔥 10日新高] 1712.TW: 5.92% (歷史分位: 95.9%)
[🔥 10日新高] 1535.TW: 5.79% (歷史分位: 84.6%)
[🔥 10日新高] 1264.TWO: 5.45% (歷史分位: 100.0%)
[🔥 10日新高] 4123.TWO: 5.42% (歷史分位: 100.0%)
[🔥 10日新高] 9910.TW: 5.34% (歷史分位: 82.9%)
[🔥 10日新高] 6104.TWO: 5.16% (歷史分位: 100.0%)
[🔥 10日新高] 6855.TWO: 5.16% (歷史分位: 54.0%)
[🔥 10日新高] 6605.TW: 4.98% (歷史分位: 18.7%)
[🔥 10日新高] 3293.TWO: 4.82% (歷史分位: 90.3%)
[🔥 10日新高] 6469.TWO: 4.77% (歷史分位: 63.7%)
[🔥 10日新高] 1525.TW: 4.59% (歷史分位: 18.7%)
[🔥 10日新高] 1227.TW: 4.49% (歷史分位: 31.7%)
[🔥 10日新高] 2723.TW: 4.48% (歷史分位: 85.4%)
[🔥 10日新高] 8415.TWO: 4.45% (歷史分位: 60.5%)
[🔥 10日新高] 2755.TWO: 4.3% (歷史分位: 81.5%)
[🔥 10日新高] 7642.TWO: 4.24% (歷史分位: 22.6%)
[🔥 10日新高] 2915.TW: 4.09% (歷史分位: 13.8%)
[🔥 10日新高] 1736.TW: 3.45% (歷史分位: 100.0%)
[🔥 10日新高] 4744.TWO: 3.04% (歷史分位: 99.2%)
[🔥 10日新高] 4430.TWO: 2.87% (歷史分位: 95.2%)
[🔥 10日新高] 3284.TWO: 2.68% (歷史分位: 19.4%)
[🔥 10日新高] 5426.TWO: 2.62% (歷史分位: 95.2%)
[🔥 10日新高] 4148.TW: 2.57% (歷史分位: 55.3%)
[🔥 10日新高] 6649.TWO: 2.53% (歷史分位: 99.2%)
[🔥 10日新高] 6180.TWO: 2.43% (歷史分位: 23.4%)
[🔥 10日新高] 2642.TW: 2.18% (歷史分位: 100.0%)
[🔥 10日新高] 5015.TWO: 2.0% (歷史分位: 19.4%)
[🔥 10日新高] 1783.TW: 1.99% (歷史分位: 96.7%)
[🔥 10日新高] 5529.TWO: 1.56% (歷史分位: 100.0%)
[🔥 10日新高] 3543.TW: 1.38% (歷史分位: 93.4%)
[🔥 10日新高] 1584.TWO: 1.2% (歷史分位: 22.6%)
[🔥 10日新高] 4414.TW: 1.0% (歷史分位: 100.0%)
[🔥 10日新高] 1309.TW: 0.71% (歷史分位: 9.8%)
[🔥 10日新高] 6465.TWO: 0.47% (歷史分位: 90.6%)
[💎 歷史高位] 6596.TWO: 18.07% (歷史分位: 93.5%)
[💎 歷史高位] 1442.TW: 16.54% (歷史分位: 82.9%)
[💎 歷史高位] 3712.TW: 16.53% (歷史分位: 95.9%)
[💎 歷史高位] 2520.TW: 13.14% (歷史分位: 93.5%)
[💎 歷史高位] 3489.TWO: 12.55% (歷史分位: 83.1%)
[💎 歷史高位] 2528.TW: 12.37% (歷史分位: 97.6%)
[💎 歷史高位] 5546.TW: 11.8% (歷史分位: 90.1%)
[💎 歷史高位] 5519.TW: 11.38% (歷史分位: 93.5%)
[💎 歷史高位] 6165.TW: 11.12% (歷史分位: 99.2%)
[💎 歷史高位] 5213.TWO: 10.49% (歷史分位: 95.2%)
[💎 歷史高位] 2530.TW: 9.45% (歷史分位: 99.2%)
[💎 歷史高位] 4303.TWO: 9.24% (歷史分位: 96.0%)
[💎 歷史高位] 1423.TW: 8.97% (歷史分位: 82.9%)
[💎 歷史高位] 5547.TWO: 8.76% (歷史分位: 95.1%)
[💎 歷史高位] 4523.TWO: 8.69% (歷史分位: 86.3%)
[💎 歷史高位] 2543.TW: 8.65% (歷史分位: 95.9%)
[💎 歷史高位] 5706.TW: 8.6% (歷史分位: 81.3%)
[💎 歷史高位] 4120.TWO: 8.51% (歷史分位: 86.3%)
[💎 歷史高位] 3512.TWO: 8.43% (歷史分位: 92.7%)
[💎 歷史高位] 2762.TW: 8.14% (歷史分位: 84.3%)
[💎 歷史高位] 2731.TW: 8.0% (歷史分位: 96.7%)
[💎 歷史高位] 2010.TW: 7.95% (歷史分位: 88.6%)
[💎 歷史高位] 5209.TWO: 7.9% (歷史分位: 98.4%)
[💎 歷史高位] 5522.TW: 7.85% (歷史分位: 92.7%)
[💎 歷史高位] 6170.TWO: 7.8% (歷史分位: 89.5%)
[💎 歷史高位] 6703.TWO: 7.72% (歷史分位: 89.5%)
[💎 歷史高位] 2916.TWO: 7.68% (歷史分位: 80.6%)
[💎 歷史高位] 6873.TW: 7.63% (歷史分位: 93.4%)
[💎 歷史高位] 2534.TW: 7.58% (歷史分位: 95.1%)
[💎 歷史高位] 3040.TW: 7.54% (歷史分位: 98.4%)
[💎 歷史高位] 1531.TW: 7.52% (歷史分位: 82.9%)
[💎 歷史高位] 4167.TWO: 7.42% (歷史分位: 98.4%)
[💎 歷史高位] 6881.TWO: 7.4% (歷史分位: 83.1%)
[💎 歷史高位] 2547.TW: 7.34% (歷史分位: 88.6%)
[💎 歷史高位] 4417.TWO: 7.32% (歷史分位: 99.2%)
[💎 歷史高位] 3078.TWO: 7.25% (歷史分位: 98.4%)
[💎 歷史高位] 2745.TWO: 7.21% (歷史分位: 90.3%)
[💎 歷史高位] 2357.TW: 7.19% (歷史分位: 87.0%)
[💎 歷史高位] 2739.TW: 7.14% (歷史分位: 83.7%)
[💎 歷史高位] 3158.TWO: 7.14% (歷史分位: 91.6%)
[💎 歷史高位] 5609.TWO: 7.1% (歷史分位: 91.1%)
[💎 歷史高位] 2542.TW: 7.07% (歷史分位: 96.7%)
[💎 歷史高位] 2727.TW: 7.07% (歷史分位: 89.4%)
[💎 歷史高位] 1612.TW: 7.06% (歷史分位: 90.2%)
[💎 歷史高位] 2538.TW: 7.0% (歷史分位: 95.1%)
[💎 歷史高位] 5315.TWO: 7.0% (歷史分位: 84.7%)
[💎 歷史高位] 3005.TW: 6.96% (歷史分位: 99.2%)
[💎 歷史高位] 6591.TW: 6.93% (歷史分位: 98.3%)
[💎 歷史高位] 6186.TWO: 6.92% (歷史分位: 90.3%)
[💎 歷史高位] 5403.TWO: 6.91% (歷史分位: 99.2%)
[💎 歷史高位] 2392.TW: 6.84% (歷史分位: 83.7%)
[💎 歷史高位] 1342.TW: 6.8% (歷史分位: 86.8%)
[💎 歷史高位] 8114.TW: 6.79% (歷史分位: 94.3%)
[💎 歷史高位] 1108.TW: 6.76% (歷史分位: 93.5%)
[💎 歷史高位] 7767.TWO: 6.74% (歷史分位: 82.1%)
[💎 歷史高位] 8424.TWO: 6.74% (歷史分位: 98.4%)
[💎 歷史高位] 3213.TWO: 6.7% (歷史分位: 82.3%)
[💎 歷史高位] 4554.TWO: 6.7% (歷史分位: 83.9%)
[💎 歷史高位] 5287.TWO: 6.7% (歷史分位: 91.9%)
[💎 歷史高位] 1808.TW: 6.69% (歷史分位: 87.9%)
[💎 歷史高位] 1457.TW: 6.67% (歷史分位: 92.7%)
[💎 歷史高位] 4207.TWO: 6.67% (歷史分位: 98.4%)
