股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
1590.TW,亞德客-KY,🔥 訊號出現,1185.0,80.85,🟢 黃金標的,57.14%,71.43%,4.91%,-1.05%,7,1172.53,0.7143,0.0491
3081.TWO,聯亞,🔥 訊號出現,2315.0,80.6,🟢 黃金標的,66.67%,66.67%,13.15%,-4.40%,6,2213.17,0.6667,0.1315
9960.TWO,邁達康,🔥 訊號出現,26.8999996185,100.0,🟢 黃金標的,66.67%,66.67%,3.40%,-0.72%,9,26.71,0.6667,0.034
1439.TW,雋揚,🔥 訊號出現,28.0,51.11,🟢 黃金標的,66.67%,66.67%,4.45%,0.43%,3,28.12,0.6667,0.0445
6909.TW,創控,🔥 訊號出現,58.0,74.07,🟢 黃金標的,50.00%,62.50%,3.99%,-5.76%,8,54.66,0.625,0.0399
8155.TWO,博智,🔥 訊號出現,358.5,77.06,🟢 黃金標的,80.00%,60.00%,7.74%,-1.75%,10,352.22,0.6,0.0774
3016.TW,嘉晶,🔥 訊號出現,62.5999984741,54.04,🟢 黃金標的,40.00%,60.00%,6.03%,-5.70%,5,59.03,0.6,0.0603
4960.TW,誠美材,🔥 訊號出現,28.0499992371,58.51,🟢 黃金標的,57.14%,57.14%,20.10%,-2.37%,7,27.39,0.5714,0.201
00888.TWO,永豐台灣ESG,🔥 訊號出現,25.4400005341,72.04,🔵 穩健標的,62.50%,62.50%,0.18%,-1.15%,8,25.15,0.625,0.0018
6642.TWO,富致,🔥 訊號出現,57.5,75.22,🔵 穩健標的,20.00%,60.00%,0.47%,-1.88%,5,56.42,0.6,0.0047
6187.TWO,萬潤,🔥 訊號出現,1135.0,66.38,🟡 妖股/高波動,71.43%,42.86%,3.80%,-1.70%,7,1115.73,0.4286,0.038
3388.TWO,崇越電,🔥 訊號出現,82.0999984741,87.11,🟡 妖股/高波動,40.00%,40.00%,8.23%,-1.12%,5,81.18,0.4,0.0823
3673.TW,TPK-KY,🔥 訊號出現,66.5,83.65,🟡 妖股/高波動,20.00%,40.00%,11.68%,-2.56%,5,64.8,0.4,0.1168
3444.TWO,利機,🔥 訊號出現,78.6999969482,80.46,🟡 妖股/高波動,40.00%,40.00%,5.35%,-3.67%,5,75.81,0.4,0.0535
6861.TW,睿生光電,🔥 訊號出現,151.5,55.03,🟡 妖股/高波動,40.00%,40.00%,15.81%,-3.62%,5,146.02,0.4,0.1581
2460.TW,建通,🔥 訊號出現,35.2999992371,92.86,🟡 妖股/高波動,62.50%,37.50%,5.76%,-2.28%,8,34.5,0.375,0.0576
6980.TWO,鐳洋科技,🔥 訊號出現,183.0,66.89,🟡 妖股/高波動,33.33%,33.33%,9.21%,-13.99%,6,157.4,0.3333,0.0921
3168.TW,眾福科,🔥 訊號出現,48.5,91.21,🟡 妖股/高波動,66.67%,33.33%,8.81%,-2.79%,6,47.15,0.3333,0.0881
3532.TW,台勝科,🔥 訊號出現,193.5,78.6,🟡 妖股/高波動,42.86%,28.57%,4.69%,-3.46%,7,186.81,0.2857,0.0469
2702.TW,華園,🔥 訊號出現,17.1000003815,100.0,🟡 妖股/高波動,75.00%,25.00%,31.54%,-1.85%,4,16.78,0.25,0.3154
2476.TW,鉅祥,🔥 訊號出現,108.0,82.28,🟡 妖股/高波動,50.00%,16.67%,6.03%,-2.47%,6,105.33,0.1667,0.0603
6834.TW,天二科技,🔥 訊號出現,39.0,88.43,⚪ 一般監控,40.00%,60.00%,1.57%,-4.91%,5,37.09,0.6,0.0157
3591.TW,艾笛森,🔥 訊號出現,24.0499992371,73.28,⚪ 一般監控,50.00%,50.00%,3.68%,-4.86%,4,22.88,0.5,0.0368
4764.TW,雙鍵,🔥 訊號出現,195.5,80.09,⚪ 一般監控,25.00%,50.00%,7.25%,-5.81%,4,184.13,0.5,0.0725
8150.TW,南茂,🔥 訊號出現,67.0,72.2,⚪ 一般監控,25.00%,50.00%,4.78%,-10.18%,4,60.18,0.5,0.0478
6456.TW,GIS-KY,🔥 訊號出現,70.0999984741,65.75,⚪ 一般監控,37.50%,50.00%,1.47%,-7.21%,8,65.05,0.5,0.0147
5487.TWO,通泰,🔥 訊號出現,28.75,61.45,⚪ 一般監控,25.00%,50.00%,1.26%,-1.67%,4,28.27,0.5,0.0126
