代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
0050,元大台灣50,83.1,+0.00%,WAIT,72.0,62227,✅|❌|❌|✅|❌
0056,元大高股息,39.97,+0.00%,WAIT,67.8,52949,✅|❌|❌|❌|❌
00635U,期元大S&P黃金,50.15,+0.00%,WAIT,70.6,3963,✅|❌|❌|✅|❌
00918,大華優利高填息30,22.8,+0.00%,WAIT,64.0,24433,✅|❌|❌|✅|❌
00919,群益台灣精選高息,22.91,+0.00%,WAIT,58.1,71041,✅|❌|❌|✅|❌
009816,凱基台灣TOP50,11.94,+2.31%,WAIT,74.0,115256,✅|❌|❌|❌|✅
