代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,207.5,+0.00%,WAIT,61.9,68897,✅|❌|✅|✅|❌
3702,大聯大,97.5,+1.04%,WAIT,62.3,26076,✅|❌|✅|✅|❌
2485,兆赫,79.9,+2.04%,WAIT,56.3,67389,✅|❌|✅|✅|✅
2367,燿華,72.1,+0.14%,WAIT,56.3,32979,✅|❌|❌|❌|❌
4142,國光生,18.45,+1.37%,WAIT,51.9,1339,✅|❌|❌|✅|✅
0050,元大台灣50,84.15,+1.26%,WAIT,73.4,122020,✅|❌|❌|✅|✅
0056,元大高股息,40.25,+0.70%,WAIT,69.4,80191,✅|❌|❌|❌|✅
00635U,期元大S&P黃金,50.85,+1.40%,WAIT,72.5,6362,✅|❌|❌|✅|❌
00738U,期元大道瓊白銀,64.65,+3.36%,WAIT,68.5,11911,✅|❌|✅|✅|✅
00929,復華台灣科技優息,20.66,+1.18%,🔥 SIGNAL,68.2,117910,✅|✅|✅|✅|✅
009816,凱基台灣TOP50,11.85,+1.54%,WAIT,73.2,201705,✅|❌|❌|❌|✅
00990A,主動元大AI新經濟,14.55,+0.34%,WAIT,74.7,41516,✅|✅|❌|✅|❌
2009,第一銅,40.9,-1.80%,WAIT,53.5,2391,✅|❌|✅|❌|❌
2337,旺宏,142.0,-8.68%,WAIT,52.6,251276,✅|❌|✅|✅|❌
2352,佳世達,24.7,+2.07%,🔥 SIGNAL,61.8,6831,✅|✅|✅|✅|✅
2409,友達,20.05,+1.26%,🔥 SIGNAL,78.4,695404,✅|✅|✅|✅|✅
3481,群創,27.6,+1.28%,WAIT,64.6,488780,✅|❌|✅|✅|❌
6136,富爾特,24.6,+0.20%,WAIT,63.2,224,❌|✅|❌|❌|✅
6806,森崴能源,20.45,+9.95%,WAIT,17.4,6456,✅|❌|✅|❌|✅
3105,穩懋,446.5,-2.30%,WAIT,76.1,30758,✅|❌|❌|✅|❌
4966,譜瑞-KY,530.0,-1.67%,WAIT,64.4,721,✅|❌|❌|✅|❌
6188,廣明,86.6,-1.25%,WAIT,36.4,2309,✅|❌|✅|❌|❌
7792,安葆,362.5,+1.83%,WAIT,74.9,306,❌|✅|❌|✅|❌
2327,國巨*,322.0,+3.21%,WAIT,79.9,74424,✅|✅|✅|❌|✅
