symbol,name,price,date,eps,eps_yoy,rev_yoy,expansion,status
2399.TW,映泰,35.0,2025-12,0.15,275.0,-14.09,289.09,🔄 轉虧為盈
5439.TWO,高技,392.5,2025-12,13.74,291.45,130.83,160.61999999999998,🚀 利潤擴張
3673.TW,TPK-KY,68.4000015259,2025-12,2.71,133.62,-8.77,142.39000000000001,🧐 疑業外收益
3576.TW,聯合再生,18.5499992371,2025-12,-0.77,41.22,-47.33,88.55,🧐 疑業外收益
1528.TW,恩德,29.7999992371,2025-12,-0.35,56.79,-23.83,80.62,🧐 疑業外收益
6168.TW,宏齊,28.2000007629,2025-12,0.05,66.67,5.6,61.07,🚀 利潤擴張
3450.TW,聯鈞,341.0,2025-12,5.01,31.15,13.44,17.71,🚀 利潤擴張
4979.TWO,華星光,586.0,2025-12,5.43,43.01,27.06,15.95,🚀 利潤擴張
6706.TW,惠特,147.0,2025-12,-3.92,2.97,-3.41,6.380000000000001,🧐 疑業外收益
6285.TW,啟��,267.0,2025-12,6.41,-11.22,0.03,-11.25,📉 獲利侵蝕
6175.TWO,立敦,63.5,2025-12,2.68,-14.74,-1.38,-13.36,🌑 雙重衰退
6278.TW,台表科,143.0,2025-12,9.39,-5.53,10.13,-15.66,📉 獲利侵蝕
2495.TW,普安,43.5999984741,2025-12,1.13,-49.1,-10.89,-38.21,🌑 雙重衰退
2484.TW,希華,40.2999992371,2025-12,0.65,-34.34,10.07,-44.410000000000004,📉 獲利侵蝕
4720.TW,德淵,21.5499992371,2025-12,0.74,-47.52,-2.31,-45.21,🌑 雙重衰退
4989.TW,榮科,105.0,2025-12,-3.48,-56.76,-11.09,-45.67,🌑 雙重衰退
3532.TW,台勝科,194.0,2025-12,1.58,-52.84,-0.7,-52.14,🌑 雙重衰退
2388.TW,威盛,61.4000015259,2025-12,0.12,-93.75,-40.0,-53.75,🔄 轉虧為盈
6244.TWO,茂迪,28.7999992371,2025-12,0.14,-77.05,-5.05,-72.0,🌑 雙重衰退
3221.TWO,台嘉碩,45.7000007629,2025-12,0.08,-91.75,2.36,-94.11,🔄 轉虧為盈
3437.TW,榮創,24.75,2025-12,-2.65,-181.91,-21.25,-160.66,🌑 雙重衰退
6456.TW,GIS-KY,76.8000030518,2025-12,-0.79,-269.57,-4.58,-264.99,🌑 雙重衰退
6443.TW,元晶,40.4500007629,2025-12,-6.24,-433.33,-59.56,-373.77,🌑 雙重衰退
4960.TW,誠美材,30.8500003815,2025-12,-2.58,-444.68,-3.18,-441.5,🌑 雙重衰退
