📊 量化獲利品質診斷報告 - 基準日: 20260415 (生成時間: 2026-04-18 19:17)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        60.30      14.60      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         30.70      4.90       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.90      0.96       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        39.50      9.56       61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         383.50     50.66      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.30      12.18      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         30.40      0.79       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.10      3.09       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         174.50     55.57      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       113.50     3.09       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        49.10      29.58      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         112.00     36.72      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     325.50     11.49      424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         10.10      27.30      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         21.80      4.54       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         41.55      2.54       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         71.70      16.26      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       23.90      8.27       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         2315.00    251.08     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         36.41      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         19.25      12.75      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         34.50      138.00     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         10.85      22.60      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       17.85      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      10.45      21.77      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         18.90      16.58      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        90.20      392.17     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        66.60      25.62      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         51.00      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        15.10      88.82      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         35.80      29.59      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        215.00     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      23.05      26.19      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         701.00     39.81      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.83       8.94       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         195.50     75.48      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         26.05      5.71       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        62.60      15.73      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         20.05      7.89       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      98.00      4.57       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         37.05      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        41.00      1.71       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
4576.TW    大銀微系統      193.50     44.28      65.55            273.68%    🚀 利潤擴張
2466.TW    冠西電        65.50      0.00       -8.10            255.45%    🧐 疑業外收益
1608.TW    華榮         33.35      2.87       174.45           254.79%    🚀 利潤擴張
1718.TW    中纖         7.04       27.08      3.90             250.24%    🧐 疑業外收益
4949.TW    有成精密       89.00      19.56      68.25            241.22%    🧐 疑業外收益
1438.TW    三地開發       29.15      0.00       -2.40            229.08%    🔄 轉虧為盈
1456.TW    怡華         14.60      9.93       22.05            227.67%    🔄 轉虧為盈
3530.TW    晶相光        60.60      29.00      31.35            224.23%    🚀 利潤擴張
2034.TW    允強         20.55      21.41      14.40            213.63%    🧐 疑業外收益
4167.TWO   松瑞藥        20.00      3.61       83.10            204.79%    🧐 疑業外收益
4744.TWO   皇將         32.85      7.42       66.45            203.79%    🚀 利潤擴張
6902.TW    GOGOLOOK   85.40      40.86      31.35            201.66%    🚀 利潤擴張
2316.TW    楠梓電        115.50     3.69       468.90           200.22%    🚀 利潤擴張
1796.TWO   金穎生技       40.00      29.63      20.25            199.71%    🚀 利潤擴張
6840.TWO   東研信超       70.10      20.56      51.15            197.42%    🚀 利潤擴張
3191.TWO   雲嘉南        13.50      28.12      7.20             197.22%    🧐 疑業外收益
3048.TW    益登         39.85      9.86       60.60            193.66%    🚀 利潤擴張
6202.TW    盛群         52.00      22.81      34.20            191.41%    🚀 利潤擴張
2413.TW    環科         51.80      0.00       -9.60            189.66%    🔄 轉虧為盈
1516.TW    川飛         19.90      995.00     0.30             187.65%    🧐 疑業外收益
6112.TW    邁達特        47.00      12.53      56.25            184.49%    🚀 利潤擴張
6246.TWO   臺龍         15.95      21.55      11.10            179.80%    🔄 轉虧為盈
4746.TW    台耀         0.00       0.00       0.00             177.61%    🚀 利潤擴張
3609.TWO   三一東林       25.90      2.38       163.50           177.55%    🚀 利潤擴張
6573.TW    虹揚-KY      12.40      8.99       20.70            176.83%    🧐 疑業外收益
6719.TW    力智         162.00     11.41      213.00           174.75%    🚀 利潤擴張
6127.TWO   九豪         47.40      23.70      30.00            174.57%    🧐 疑業外收益
4556.TWO   旭然         27.10      16.42      24.75            174.34%    🧐 疑業外收益
5703.TWO   亞都         14.50      16.11      13.50            173.33%    🚀 利潤擴張
6209.TW    今國光        61.30      40.33      22.80            172.02%    🚀 利潤擴張
6841.TWO   長佳智能       58.80      26.61      33.15            171.64%    🚀 利潤擴張
7610.TW    聯友金屬-創     0.00       0.00       0.00             166.18%    🚀 利潤擴張
1587.TW    吉茂         34.90      50.58      10.35            164.99%    🚀 利潤擴張
2486.TW    一詮         181.00     583.87     4.65             164.91%    🚀 利潤擴張
6994.TW    富威電力       0.00       0.00       0.00             164.37%    🚀 利潤擴張
