代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,211.0,+1.69%,WAIT,64.3,40925,✅|❌|❌|✅|❌
3702,大聯大,96.5,+0.00%,WAIT,60.9,12866,✅|❌|❌|✅|❌
2485,兆赫,78.3,+0.00%,WAIT,54.4,39318,✅|❌|❌|✅|❌
2367,燿華,72.0,+0.00%,WAIT,56.1,21884,✅|❌|❌|❌|❌
4142,國光生,18.2,+0.00%,WAIT,46.9,892,✅|❌|❌|✅|❌
0050,元大台灣50,83.1,+0.00%,WAIT,72.0,62601,✅|❌|❌|✅|❌
0056,元大高股息,39.97,+0.00%,WAIT,67.8,53172,✅|❌|❌|❌|❌
00635U,期元大S&P黃金,50.15,+0.00%,WAIT,70.6,4013,✅|❌|❌|✅|❌
00738U,期元大道瓊白銀,62.55,+0.00%,WAIT,66.0,8197,✅|❌|❌|✅|❌
00929,復華台灣科技優息,20.42,+0.00%,WAIT,66.2,86707,✅|❌|✅|✅|❌
009816,凱基台灣TOP50,11.67,+0.00%,WAIT,71.5,115725,✅|❌|❌|❌|❌
00990A,主動元大AI新經濟,14.5,+0.00%,WAIT,74.4,29602,✅|❌|❌|✅|❌
2009,第一銅,41.65,+0.00%,WAIT,58.6,1318,✅|❌|❌|✅|❌
2337,旺宏,155.5,+0.00%,WAIT,60.1,131881,✅|❌|✅|✅|❌
2352,佳世達,24.2,+0.00%,WAIT,57.0,3718,✅|❌|❌|✅|❌
2409,友達,19.8,+0.00%,WAIT,77.8,425653,✅|❌|❌|✅|❌
3481,群創,27.25,+0.00%,WAIT,63.4,271496,✅|❌|❌|✅|❌
6136,富爾特,24.55,+0.00%,WAIT,62.5,105,❌|✅|❌|❌|❌
6806,森崴能源,20.45,+9.95%,WAIT,17.4,6218,✅|❌|✅|❌|✅
3105,穩懋,457.0,+0.00%,WAIT,79.3,20256,✅|❌|❌|✅|❌
4966,譜瑞-KY,539.0,+0.00%,WAIT,68.4,401,✅|❌|❌|✅|❌
6188,廣明,87.7,+0.00%,WAIT,38.5,1225,✅|❌|❌|❌|❌
7792,安葆,356.0,+0.00%,WAIT,73.5,143,❌|❌|❌|✅|❌
2327,國巨*,312.0,+0.00%,WAIT,78.1,51819,✅|❌|✅|❌|❌
