股號,名稱,現價,漲跌幅,建議
0050,元大台灣50,83.1,0.00%,續抱/觀望
0056,元大高股息,39.97,0.00%,續抱/觀望
00635U,期元大S&P黃金,50.15,0.00%,續抱/觀望
00918,大華優利高填息30,22.8,0.00%,續抱/觀望
00919,群益台灣精選高息,23.03,0.52%,續抱/觀望
009816,凱基台灣TOP50,11.67,0.00%,續抱/觀望
