📊 量化獲利品質診斷報告 - 基準日: 20260411 (生成時間: 2026-04-18 19:23)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        56.60      13.70      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         30.45      4.86       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.65      0.94       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        40.50      9.81       61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         381.00     50.33      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.40      12.28      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         29.70      0.78       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.35      3.13       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         171.00     54.46      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       116.00     3.16       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        47.50      28.61      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         110.00     36.07      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     308.50     10.89      424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         10.50      28.38      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         21.30      4.44       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         39.95      2.44       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         61.80      14.01      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       23.70      8.20       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         2315.00    251.08     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         35.71      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         20.00      13.25      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         32.60      130.40     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         10.85      22.60      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       17.35      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      9.75       20.31      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         19.25      16.89      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        93.50      406.52     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        75.20      28.92      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         46.15      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        15.00      88.24      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         34.50      28.51      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        195.00     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      22.45      25.51      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         633.00     35.95      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.87       8.97       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         155.00     59.85      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         26.25      5.76       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        62.90      15.80      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         18.15      7.15       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      97.90      4.56       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         34.20      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        39.80      1.66       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
4576.TW    大銀微系統      165.00     37.76      65.55            273.68%    🚀 利潤擴張
2466.TW    冠西電        59.10      0.00       -8.10            255.45%    🧐 疑業外收益
1608.TW    華榮         32.40      2.79       174.45           254.79%    🚀 利潤擴張
1718.TW    中纖         7.17       27.58      3.90             250.24%    🧐 疑業外收益
4949.TW    有成精密       84.70      18.62      68.25            241.22%    🧐 疑業外收益
1438.TW    三地開發       28.70      0.00       -2.40            229.08%    🔄 轉虧為盈
1456.TW    怡華         14.55      9.90       22.05            227.67%    🔄 轉虧為盈
3530.TW    晶相光        59.80      28.61      31.35            224.23%    🚀 利潤擴張
2034.TW    允強         20.85      21.72      14.40            213.63%    🧐 疑業外收益
4167.TWO   松瑞藥        20.45      3.69       83.10            204.79%    🧐 疑業外收益
4744.TWO   皇將         33.20      7.49       66.45            203.79%    🚀 利潤擴張
6902.TW    GOGOLOOK   77.10      36.89      31.35            201.66%    🚀 利潤擴張
2316.TW    楠梓電        118.00     3.77       468.90           200.22%    🚀 利潤擴張
1796.TWO   金穎生技       39.60      29.33      20.25            199.71%    🚀 利潤擴張
6840.TWO   東研信超       65.60      19.24      51.15            197.42%    🚀 利潤擴張
3191.TWO   雲嘉南        13.60      28.33      7.20             197.22%    🧐 疑業外收益
3048.TW    益登         37.90      9.38       60.60            193.66%    🚀 利潤擴張
6202.TW    盛群         49.35      21.64      34.20            191.41%    🚀 利潤擴張
2413.TW    環科         53.60      0.00       -9.60            189.66%    🔄 轉虧為盈
1516.TW    川飛         20.50      1025.00    0.30             187.65%    🧐 疑業外收益
6112.TW    邁達特        46.40      12.37      56.25            184.49%    🚀 利潤擴張
6246.TWO   臺龍         16.90      22.84      11.10            179.80%    🔄 轉虧為盈
4746.TW    台耀         0.00       0.00       0.00             177.61%    🚀 利潤擴張
3609.TWO   三一東林       26.95      2.47       163.50           177.55%    🚀 利潤擴張
6573.TW    虹揚-KY      12.30      8.91       20.70            176.83%    🧐 疑業外收益
6719.TW    力智         159.50     11.23      213.00           174.75%    🚀 利潤擴張
6127.TWO   九豪         42.75      21.38      30.00            174.57%    🧐 疑業外收益
4556.TWO   旭然         27.50      16.67      24.75            174.34%    🧐 疑業外收益
5703.TWO   亞都         14.00      15.56      13.50            173.33%    🚀 利潤擴張
6209.TW    今國光        55.00      36.18      22.80            172.02%    🚀 利潤擴張
