symbol,prev_year,prev_rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_eps,est_price,rev_yoy,status,advice,name,price,prev_eps_yoy,eps
2102.TW,2025,1.98,20.10%,721.43,2025-12,12.25165562913907,-167.95%,722.0,-2.22,22.650000000000006,-0.57,🔄 轉虧為盈,✅ 穩健價值,泰豐,18.5,-258.33,6.28
4414.TW,2025,-4.36,19.96%,700.0,2025-12,0.0,4.40%,705.37,0.02,0.0,-5.37,🧐 疑業外收益,⚪ 數據不足,如興,0.0,107.14,0.68
3236.TWO,2025,7.39,26.03%,700.0,2025-12,128.0,5.00%,689.09,0.12,3.75,10.91,🚀 利潤擴張,⚠️ 追價風險,千如,32.0,250.0,0.32
2323.TW,2025,-4.42,23.42%,685.19,2025-12,21.770832936041657,-5.65%,688.58,0.37,7.200000000000003,-3.39,🧐 疑業外收益,⚪ 中性觀察,中環,10.4499998093,-2.63,1.58
4413.TWO,2025,140.24,24.00%,783.33,2025-12,0.0,6.14%,668.5600000000001,-0.26,-9.45,114.77,🔄 轉虧為盈,⚪ 數據不足,飛寶企業,19.0,-966.67,0.53
4924.TWO,2025,22.5,27.32%,660.0,2025-12,21.875,0.43%,656.01,0.28,7.2,3.99,🚀 利潤擴張,⚪ 中性觀察,欣厚-KY,10.5,460.0,0.38
3002.TW,2025,14.66,17.03%,620.0,2025-12,16.27192915535088,-11.28%,603.24,0.48,17.099999999999998,16.76,🚀 利潤擴張,⚪ 中性觀察,歐格,18.5499992371,422.22,0.36
2344.TW,2025,-0.22,41.86%,576.92,2025-12,429.56523066000005,15.37%,567.37,0.12,3.4499999999999997,9.55,🚀 利潤擴張,⚠️ 追價風險,華邦電,98.8000030518,-57.14,0.88
3054.TW,2025,24.16,62.07%,590.0,2025-12,25.807691720807693,-188.65%,563.39,0.66,39.0,26.61,🏰 高護城河,⚠️ 追價風險,立萬利,67.0999984741,288.57,1.96
9949.TWO,2025,-19.03,N/A,544.54,2025-12,0.0,N/A,561.54,5.5,0.0,-17.0,🧐 疑業外收益,⚪ 數據不足,琉園,0.0,1270.21,5.29
6282.TW,2025,-4.33,N/A,550.0,2025-12,0.0,N/A,549.9,-0.38,-13.950000000000003,0.1,🔄 轉虧為盈,⚪ 數據不足,康舒,49.7999992371,-90.0,0.18
2491.TW,2025,-12.66,43.42%,457.5,2025-12,102.05882577352932,-66.51%,467.93,0.49,2.5500000000000025,-10.43,🧐 疑業外收益,⚠️ 追價風險,吉祥全,17.3500003815,179.03,1.43
3297.TWO,2025,18.74,30.70%,461.54,2025-12,26.239669421487605,-18.51%,440.95000000000005,0.54,18.15,20.59,🚀 利潤擴張,⚠️ 追價風險,杭特,31.75,2600.0,0.47
3555.TWO,2025,310.97,18.45%,752.94,2025-12,0.0,4.44%,418.37000000000006,-0.58,-9.599999999999998,334.57,🔄 轉虧為盈,⚪ 數據不足,博士旺,276.0,7.84,1.28
2243.TW,2025,-10.45,22.27%,408.33,2025-12,29.545454545454554,15.14%,417.34999999999997,-0.11,13.199999999999998,-9.02,🔄 轉虧為盈,⚠️ 追價風險,宏旭-KY,26.0,38.89,1.22
3167.TW,2025,119.15,42.12%,474.47,2025-12,43.725156161272,18.24%,379.12,5.45,264.15000000000003,95.35,🚀 利潤擴張,⚠️ 追價風險,大量,770.0,790.16,8.13
1413.TW,2025,-6.34,2.52%,364.71,2025-12,8.68181835518182,0.23%,374.26,0.43,16.499999999999996,-9.55,🧐 疑業外收益,💎 強力關注,宏洲,9.5500001907,326.32,0.45
