股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
3026.TW,禾伸堂,🔥 訊號出現,248.5,55.56,🟡 妖股/高波動,28.57%,42.86%,9.06%,-4.98%,7,236.13,0.4286,0.0906
6274.TWO,台燿,🔥 訊號出現,1220.0,80.63,🟡 妖股/高波動,75.00%,25.00%,15.14%,0.91%,4,1231.1,0.25,0.1514
2489.TW,瑞軒,🔥 訊號出現,46.2000007629,50.83,⚪ 一般監控,62.50%,50.00%,3.42%,-2.76%,8,44.93,0.5,0.0342
6488.TWO,環球晶,🔥 訊號出現,666.0,67.97,⚪ 一般監控,37.50%,50.00%,3.74%,-6.94%,8,619.75,0.5,0.0374
2417.TW,圓剛,🔥 訊號出現,56.9000015259,83.37,⚪ 一般監控,33.33%,33.33%,2.31%,-2.80%,3,55.31,0.3333,0.0231
3707.TWO,漢磊,🔥 訊號出現,75.5,73.95,🔴 空頭陷阱,37.50%,25.00%,-0.26%,-5.84%,8,71.09,0.25,-0.0026
2354.TW,鴻準,🔥 訊號出現,58.5,72.96,🔴 空頭陷阱,33.33%,0.00%,-4.75%,-5.49%,3,55.29,0.0,-0.0475
6451.TW,訊芯-KY,無,521.0,55.64,🟢 黃金標的,62.50%,75.00%,11.63%,-4.35%,8,0.0,0.75,0.1163
00715L.TW,期街口S&P布蘭特油正2,無,73.8000030518,73.72,🟢 黃金標的,71.43%,71.43%,25.70%,-6.49%,7,0.0,0.7143,0.257
1809.TW,中釉,無,31.0499992371,64.92,🟢 黃金標的,62.50%,62.50%,11.96%,-2.46%,8,0.0,0.625,0.1196
6405.TW,悅城,無,61.4000015259,91.27,🟡 妖股/高波動,80.00%,40.00%,3.24%,3.25%,5,0.0,0.4,0.0324
3481.TW,群創,無,27.25,50.0,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0.0,0.75,0.0189
4927.TW,泰鼎-KY,無,58.7000007629,62.58,⚪ 一般監控,40.00%,60.00%,1.09%,-5.49%,10,0.0,0.6,0.0109
8150.TW,南茂,無,84.0999984741,67.44,⚪ 一般監控,42.86%,42.86%,1.02%,-9.66%,7,0.0,0.4286,0.0102
8064.TWO,東捷,無,125.0,82.45,⚪ 一般監控,27.27%,36.36%,1.61%,-6.14%,11,0.0,0.3636,0.0161
8215.TW,明基材,無,28.3999996185,57.84,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
6182.TWO,合晶,無,48.5,71.61,🔴 空頭陷阱,25.00%,50.00%,-0.82%,-8.07%,4,0.0,0.5,-0.0082
1802.TW,台玻,無,72.8000030518,55.53,🔴 空頭陷阱,42.86%,42.86%,-0.66%,-5.70%,7,0.0,0.4286,-0.0066
6209.TW,今國光,無,68.6999969482,59.25,🔴 空頭陷阱,25.00%,25.00%,-6.24%,-11.92%,4,0.0,0.25,-0.0624
3264.TWO,欣銓,無,235.5,66.78,🔴 空頭陷阱,60.00%,20.00%,-2.38%,-7.38%,5,0.0,0.2,-0.0238
3715.TW,定穎投控,無,196.5,56.76,🔴 空頭陷阱,0.00%,14.29%,-5.63%,-11.70%,7,0.0,0.1429,-0.0563
3450.TW,聯鈞,無,365.0,61.0,🔴 空頭陷阱,0.00%,0.00%,-21.28%,-14.49%,1,0.0,0.0,-0.2128
