股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
1590,亞德客-KY,1440.00,1078,1490.00,741.00,📅 預告 (20260610),進入盤整,無,無,ADX 為 17.42 (低於 20),進入盤整
6614,資拓宏宇,41.60,96,50.30,39.95,---,均線糾擺,無,無,MA 乖離率僅 0.82%,均線糾擺
4127,天良,38.35,70,41.50,29.50,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.30%,均線糾擺
00916,國泰全球品牌50,27.33,78,27.66,21.35,---,均線糾擺,無,無,MA 乖離率僅 0.97%,均線糾擺
00638,元大滬深300反1,6.62,19,8.44,6.60,---,均線糾擺,無,無,MA 乖離率僅 0.82%,均線糾擺
7821,神數,47.25,404,67.90,43.25,---,資料不足,無,無,缺少 MA5/10/20 指標數據,資料不足
6990,華鉬,80.90,136,116.00,17.90,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.50%,均線糾擺
00919,群益台灣精選高息,24.20,192222,24.20,18.69,---,貼軌運行,無,無,股價於高位貼軌 (24.20 > 1.5σ)，動能強勁,貼軌運行
6217,中探針,297.50,1575,297.50,25.50,---,進入盤整,連1日大漲,無,ADX 為 11.09 (低於 20),進入盤整
1710,東聯,12.60,2888,15.70,11.15,---,進入盤整,無,無,ADX 為 14.09 (低於 20),進入盤整
6213,聯茂,284.00,5336,297.00,56.42,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
9103,美德醫療-DR,4.64,588,6.39,4.36,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1452,宏益,11.20,54,14.25,10.91,---,均線糾擺,無,無,MA 乖離率僅 1.35%,均線糾擺
4746,台耀,56.10,1562,61.50,50.50,---,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (56.10 > 1.5σ)，動能強勁,貼軌運行
6569,醫揚,109.50,137,158.00,92.20,---,均線糾擺 -> 強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (106.56)，進入噴發段,強勢突破 (軌外)
2337,旺宏,160.50,172406,167.00,18.30,---,趨勢運行,隔二漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
6796,晉弘,70.30,66,103.49,67.27,---,均線糾擺,無,無,MA 乖離率僅 0.86%,均線糾擺
6133,金橋,22.70,894,28.95,13.08,---,均線糾擺,無,無,MA 乖離率僅 0.91%,均線糾擺
3466,德晉,39.40,590,50.50,33.00,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.16%,均線糾擺
4569,六方科-KY,178.50,121,215.00,124.34,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 1.31%,均線糾擺
7799,禾榮科,352.50,262,961.00,327.00,---,進入盤整,無,無,ADX 為 18.84 (低於 20),進入盤整
6673,和詮,28.05,2863,40.65,5.82,---,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
3036,文曄,209.00,6079,256.00,97.89,📅 預告 (20260507),趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8921,沈氏,18.50,1,20.40,16.60,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3163,波若威,1220.00,7868,1295.00,143.54,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.96%,均線糾擺
3518,柏騰,36.55,1437,36.55,14.90,---,趨勢運行 -> 貼軌運行,連1日大漲,無,股價於高位貼軌 (36.55 > 1.5σ)，動能強勁,貼軌運行
4546,長亨,123.00,90,151.50,77.00,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7890,明曜科技,117.00,36,141.00,72.20,---,進入盤整,無,無,ADX 為 19.73 (低於 20),進入盤整
4186,尖端醫,10.60,600,16.05,10.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6898,程曦資訊,109.00,64,134.50,84.71,---,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
2495,普安,41.65,5413,45.20,20.10,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.10%,均線糾擺
6946,三地能源,14.00,71,27.30,9.42,---,進入盤整,無,無,ADX 為 12.70 (低於 20),進入盤整
1341,富林-KY,60.80,12,70.00,55.50,---,均線糾擺,無,無,MA 乖離率僅 0.37%,均線糾擺
6225,天瀚,22.40,22,24.10,10.85,---,強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (21.74)，進入噴發段,強勢突破 (軌外)
1444,力麗,5.96,1624,7.69,5.96,---,均線糾擺 -> 進入盤整,無,無,ADX 為 11.92 (低於 20),進入盤整
0056,元大高股息,42.62,98116,42.62,28.80,---,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (42.62 > 1.5σ)，動能強勁,貼軌運行
8463,潤泰材,22.25,37,28.00,22.01,---,均線糾擺,無,無,MA 乖離率僅 0.60%,均線糾擺
2364,倫飛,63.80,139,90.77,53.92,---,均線糾擺,無,無,MA 乖離率僅 0.19%,均線糾擺
8109,博大,121.50,232,123.50,75.77,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8077,洛��,42.00,0,46.45,36.35,---,均線糾擺,無,無,MA 乖離率僅 0.99%,均線糾擺
6512,啟發電,19.00,13,23.30,18.75,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.88%,均線糾擺
7870,聯剛科技,171.00,5,210.00,123.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00882,中信中國高股息,15.65,6855,16.32,11.36,---,均線糾擺,無,無,MA 乖離率僅 0.02%,均線糾擺
6684,安格,48.40,266,68.30,38.55,---,進入盤整,無,無,ADX 為 16.88 (低於 20),進入盤整
3546,宇峻,68.70,294,113.13,65.20,---,均線糾擺,無,無,MA 乖離率僅 0.08%,均線糾擺
00987,野村10+澳洲公債,17.35,11857,17.35,9.87,---,貼軌運行,無,無,股價於高位貼軌 (17.35 > 1.5σ)，動能強勁,貼軌運行
3552,同致,55.10,285,76.50,45.55,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2377,微星,95.70,4599,147.01,85.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6241,易通展,9.97,192,13.95,9.97,---,均線糾擺,無,無,MA 乖離率僅 0.82%,均線糾擺
7558,群利,26.90,230,28.30,9.84,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4583,台灣精銳,765.00,190,870.00,544.00,---,進入盤整,無,無,ADX 為 10.78 (低於 20),進入盤整
1236,宏亞,26.00,24,28.15,19.89,---,均線糾擺,無,無,MA 乖離率僅 0.49%,均線糾擺
2255,凱銳光電,20.10,30,35.25,17.15,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.22%,均線糾擺
6035,悠遊卡,52.60,2,69.91,51.00,---,均線糾擺,無,無,MA 乖離率僅 0.92%,均線糾擺
7779,鍇睿國際,15.15,0,31.45,12.30,---,進入盤整,無,無,ADX 為 7.24 (低於 20),進入盤整
3293,鈊象,737.00,1110,863.23,670.00,---,均線糾擺,無,無,MA 乖離率僅 0.80%,均線糾擺
7711,永擎,419.50,258,535.00,193.50,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3117,年程,31.00,198,51.00,3.70,---,進入盤整,無,無,ADX 為 14.73 (低於 20),進入盤整
00910,第一金太空衛星,67.65,1479,71.75,24.10,---,均線糾擺,無,無,MA 乖離率僅 1.00%,均線糾擺
2397,友通,58.90,174,82.90,53.30,---,均線糾擺,無,無,MA 乖離率僅 0.69%,均線糾擺
00678,群益那斯達克生技,35.74,233,36.84,23.13,---,均線糾擺,無,無,MA 乖離率僅 0.82%,均線糾擺
6483,原創生醫,15.05,157,19.20,9.69,---,均線糾擺,無,無,MA 乖離率僅 1.07%,均線糾擺
9960,邁達康,34.90,732,35.40,20.75,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (34.63)，進入噴發段,強勢突破 (軌外)
1608,華榮,33.05,5407,40.55,21.90,---,均線糾擺,無,無,MA 乖離率僅 0.54%,均線糾擺
8279,生展,96.00,12,137.00,96.00,---,離開盤整 (向下),無,無,跌破布林下軌 (96.16),離開盤整 (向下)
2006,東和鋼鐵,66.80,1648,78.62,59.30,---,均線糾擺,無,無,MA 乖離率僅 1.40%,均線糾擺
6715,嘉基,444.00,1587,468.50,83.40,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.66%,均線糾擺
3485,敘豐,324.00,279,370.00,58.24,---,進入盤整,無,無,ADX 為 12.45 (低於 20),進入盤整
00946,群益科技高息成長,12.09,6578,12.09,7.86,---,進入盤整 -> 貼軌運行,無,無,股價於高位貼軌 (12.09 > 1.5σ)，動能強勁,貼軌運行
3034,聯詠,420.00,3243,518.32,361.00,📅 預告 (20260507),均線糾擺,無,無,MA 乖離率僅 0.74%,均線糾擺
1595,川寶,84.70,5476,84.70,29.51,---,強勢突破 (軌外),連3日大漲,無,股價衝破布林上軌 (81.62)，進入噴發段,強勢突破 (軌外)
3588,通嘉,62.50,820,67.80,42.50,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7881,科明,99.50,50,115.00,91.80,---,均線糾擺,無,無,MA 乖離率僅 0.27%,均線糾擺
4994,傳奇,95.70,20,105.00,86.56,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.81%,均線糾擺
2603,長榮,208.00,11614,226.15,173.63,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (206.55)，進入噴發段,強勢突破 (軌外)
3528,安馳,82.90,477,92.87,58.91,---,貼軌運行,無,無,股價於高位貼軌 (82.90 > 1.5σ)，動能強勁,貼軌運行
6643,M31,640.00,1159,640.00,374.00,📅 預告 (20260506),貼軌運行,連2日大漲,無,股價於高位貼軌 (640.00 > 1.5σ)，動能強勁,貼軌運行
6854,錼創科技-KY創,159.50,601,197.00,111.50,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6150,撼訊,60.00,899,92.80,52.70,---,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (60.00 > 1.5σ)，動能強勁,貼軌運行
1459,聯發,11.95,258,12.50,10.65,---,均線糾擺 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (11.86)，進入噴發段,強勢突破 (軌外)
4903,聯光通,45.50,2171,53.20,22.25,---,進入盤整,無,無,ADX 為 14.76 (低於 20),進入盤整
8444,綠河-KY,6.02,37,22.20,5.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8423,保綠-KY,18.00,8,19.55,17.75,---,均線糾擺,無,無,MA 乖離率僅 0.60%,均線糾擺
3016,嘉晶,108.00,5876,108.00,29.52,---,強勢突破 (軌外),連5日大漲,無,股價衝破布林上軌 (99.79)，進入噴發段,強勢突破 (軌外)
00852,國泰美國道瓊正2,30.76,2965,32.97,20.44,---,均線糾擺,無,無,MA 乖離率僅 0.89%,均線糾擺
6533,晶心科,243.50,1659,325.50,172.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7427,華上生醫,41.70,213,52.80,28.92,---,進入盤整,無,無,ADX 為 15.44 (低於 20),進入盤整
