日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-06-20,2317,鴻海,268.5,241.21,2000,54580,11.31%
2026-06-20,4142,國光生,17.4,25.32,1000,-7920,-31.28%
2026-06-20,0050,元大台灣50,107.3,46.6,16000,971200,130.26%
2026-06-20,0056,元大高股息,52.8,36.43,4000,65480,44.94%
2026-06-20,00635U,期元大S&P黃金,45.09,55.25,3000,-30480,-18.39%
2026-06-20,00738U,期元大道瓊白銀,55.6,66.26,1000,-10660,-16.09%
2026-06-20,00929,復華台灣科技優息,31.1,19.73,8000,90960,57.63%
2026-06-20,009816,凱基台灣TOP50,15.68,11.01,63000,294210,42.42%
2026-06-20,00990A,主動元大AI新經濟,20.97,11.48,5000,47450,82.67%
2026-06-20,2009,第一銅,39.5,50.56,4000,-44240,-21.88%
2026-06-20,2337,旺宏,169.0,95.28,2000,147440,77.37%
2026-06-20,2409,友達,28.15,16.21,2000,23880,73.66%
2026-06-20,3481,群創,64.4,25.1,4000,157200,156.57%
2026-06-20,6806,森崴能源,3.24,45.39,5000,-210750,-92.86%
2026-06-20,3105,穩懋,528.0,556.47,300,-8541,-5.12%
2026-06-20,4966,譜瑞-KY,693.0,1921.64,1000,-1228640,-63.94%
2026-06-20,00403A,主動統一升級50,11.03,10.68,26000,9100,3.28%
2026-06-20,00981A,主動統一台股增長,31.5,27.48,2000,8040,14.63%
2026-06-20,2330,台積電,2410.0,225.55,10,21844,968.50%
2026-06-20,6789,采鈺,543.0,593.5,400,-20200,-8.51%
2026-06-20,6849,奇鼎科技,166.5,266.4,280,-27972,-37.50%
2026-06-20,7853,政美應用,328.0,409.29,280,-22761,-19.86%
2026-06-20,3576,聯合再生,18.0,18.5,2000,-1000,-2.70%
2026-06-20,1721,三晃,23.8,27.88,3000,-12250,-14.64%
2026-06-20,8215,明基材,31.15,31.6,200,-90,-1.42%
2026-06-20,00405A,主動富邦台灣龍耀,9.64,9.34,11000,3300,3.21%
2026-06-20,5498,凱崴,67.1,69.61,188,-472,-3.61%
