代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
6858,愛比科技,22.65,21.5,3000,21.9,2999,22.90,21.80,21.98,21.90,17052,-,
6864,元樟生技,43.00,41.85,3000,42.85,3000,43.05,41.85,42.10,42.85,15476,-,
6868,采威國際,26.70,24.45,3000,25.5,3000,26.75,25.40,25.61,25.40,29000,-,
6876,朗齊生醫*,16.15,15.75,5000,16,5000,16.10,15.15,15.92,15.90,122214,-,
6878,歐付寶,11.12,-,-,-,-,19.45,11.80,16.69,19.00,364111,-,
6879,大江基因,36.80,33.75,3000,35,3000,36.50,34.70,35.01,34.85,27310,-,
6882,甲尚,16.87,16.35,5000,17.15,4993,17.15,16.10,16.36,17.15,71328,-,
6883,微電能源,2.14,1.8,10000,1.89,10000,1.98,1.79,1.90,1.87,462286,-,
6886,遠東生技,46.13,45.75,2997,47.8,2999,47.80,45.75,46.26,47.80,4,-,
6891,樂迦再生,42.96,42,3000,42.15,1980,43.75,41.75,42.34,42.15,299114,-,
6892,台寶生醫,26.35,25.9,6000,26.3,1999,26.80,25.90,26.01,26.30,215511,-,
6898,程曦資訊,84.89,81.1,3000,84.9,2999,85.50,81.10,82.19,84.90,25182,115/07/02,櫃買中心同意上櫃契約
6911,群運,30.13,28.4,6000,28.95,5000,30.20,28.45,29.42,28.95,150839,-,
6912,益鈞環科*,11.84,11.7,10000,12,5000,12.10,11.65,11.78,11.90,122702,-,
6915,美強光,49.74,43.25,1000,44,5000,49.00,43.25,46.00,44.00,27985,-,
6917,竟天,35.65,33.65,6000,34.3,1000,35.85,33.35,34.44,34.30,399045,-,
6920,恆勁科技,89.43,78.7,7000,79.2,4971,88.70,77.50,80.20,79.20,3225977,-,
6926,聖安生醫,64.80,61.6,3000,64.6,6000,64.60,62.00,62.49,64.60,12509,-,
6927,聯合聚晶,74.27,72.5,5600,74.3,5990,75.00,72.50,73.99,74.30,27424,-,
6932,水星生醫*,5.85,5.56,5000,5.83,9999,5.89,5.11,5.49,5.83,493477,-,
6935,王子製藥,28.98,28.85,3000,30.25,2995,30.25,28.85,29.08,30.25,6911,-,
6938,藍新資訊,97.61,94,3000,98.3,3000,97.40,95.00,95.42,95.00,8050,115/06/09,送件申請上櫃
6939,啟弘生技,20.13,20.5,3000,21.35,3000,21.05,20.50,20.87,20.50,22000,-,
6940,格斯科技*,22.94,21.9,6000,22.3,3000,22.70,21.60,22.04,22.35,859598,-,
6946,三地能源,10.85,10.55,10000,10.8,4990,11.25,10.45,10.92,10.80,39964,-,
6947,台鎔科技,79.57,79,6000,80.2,2900,81.50,78.60,79.38,80.20,601189,115/05/05,證交所同意上市契約
6959,兆捷科技,120.03,113.5,3000,115.5,5996,122.00,113.00,115.82,113.50,162989,-,
6963,品元,24.90,23.85,3000,25.05,3000,25.00,25.00,25.00,25.00,1000,-,
6972,博瑞達應材,24.41,22.35,2000,23.35,2715,25.00,22.35,23.27,23.35,15335,-,
6973,永立榮,32.72,32.65,3000,33.1,2995,33.65,32.00,32.92,33.10,66105,-,
6976,育世博-KY,13.03,12.65,8000,13.05,13000,13.15,12.55,12.93,13.05,370209,-,
6977,聯純,216.39,204,2000,206,1770,218.00,205.00,208.72,206.00,43921,-,
6979,勝釩,163.50,152.5,4000,160,2000,163.00,155.00,156.20,156.00,8795,-,
6980,鐳洋科技,126.39,117.5,1900,120,1950,125.00,116.50,119.58,117.50,113312,-,
6984,ACpay,17.64,16.8,10000,17.65,10000,17.65,17.65,17.65,17.65,1,-,
6987,寶晶能源*,19.35,18.85,5000,19.35,4999,19.50,19.00,19.29,19.00,54323,-,
6990,華鉬,172.87,165.5,3000,170.5,2980,184.00,163.00,170.08,170.50,732976,-,
6995,野獸國,59.95,59,5943,60.1,3000,60.20,59.00,59.56,60.10,16494,-,
6999,瀚醫生技,29.10,28.75,3000,30,3000,-,-,-,-,-,-,
7415,元澄半導體,553.55,514,2000,539,1991,569.00,514.00,539.61,539.00,58400,-,
7418,香繼光,79.30,73.9,2001,77.5,3000,80.60,73.90,76.04,73.90,5986,-,
7419,達勝,60.40,56.8,2900,58.2,2700,61.40,56.30,58.37,58.20,230999,-,
7427,華上生醫,62.06,66.8,1000,67.4,1989,71.50,61.40,67.53,67.40,3389957,-,
7443,凡事康,9.44,9.11,5000,9.57,10000,9.22,9.12,9.18,9.15,19000,-,
7455,樺緯物聯,52.21,52.1,2000,52.8,2000,52.80,52.10,52.45,52.80,2000,-,
7507,環拓科技,20.13,19.75,5000,20,1999,20.00,19.60,19.86,20.00,43102,-,
7516,清淨海,8.64,8.46,5000,8.84,5000,8.89,8.45,8.66,8.89,30972,-,
7530,鋒魁科技,38.74,35.85,11000,36.15,3000,38.85,35.85,37.10,36.10,461102,-,
7551,知識科技,12.68,12.55,1000,13.15,4900,13.15,12.50,12.65,13.15,21120,-,
7558,群利科技,21.79,21.2,3000,21.9,2999,22.50,21.60,21.93,21.90,25219,-,
7561,光晟生技,19.98,19.45,5000,20.45,3000,20.50,19.50,19.84,20.00,56684,-,
7562,博來科技,64.50,63.7,3000,64.7,3000,64.20,63.60,63.87,64.20,9500,-,
7566,亞果遊艇,11.78,11.45,7000,11.55,5000,11.85,11.35,11.52,11.45,564237,-,
7575,安美得,11.36,10.8,5000,11.15,10000,13.20,10.40,11.22,11.05,664278,-,
7578,利百景,28.79,27.9,9000,28.3,5999,29.00,27.90,28.18,28.00,104390,-,
7583,國際海洋,38.36,38.4,1000,40,3000,39.45,38.40,38.65,38.40,14000,115/03/27,送件申請上櫃
7590,怡和國際,18.35,17.15,4000,17.5,5000,18.40,17.15,17.58,17.15,361807,-,
7595,世基生醫,7.35,8.55,5000,8.95,1899,9.24,7.61,8.62,8.95,255559,-,
7607,通用幹細胞*,13.01,12.95,10000,13.5,5000,-,-,-,-,-,-,
7669,碩正科技,667.87,621,1953,643,1869,680.00,621.00,644.31,643.00,64830,-,
7689,大鵬科CLMX,233.23,200,4000,209,3000,230.00,199.00,210.37,204.00,141663,115/05/20,上市審議會通過
7702,前端風電,20.42,19.7,3000,20.45,1000,20.50,19.70,20.26,20.45,9015,-,
7706,宏碁創達,39.10,38.45,2998,40.4,2997,40.40,38.45,39.62,40.40,5,115/06/30,送件申請上櫃
7707,益芯科,120.14,114.5,2000,115.5,4990,119.50,111.50,115.34,115.50,129477,-,
7710,東擎科技,249.33,240,2000,250,2000,250.00,244.50,245.61,250.00,9076,115/07/16,上市審議會通過
7719,碳基,55.54,49.85,3000,50.4,2000,55.40,49.45,51.14,50.40,822447,-,
7724,諾亞克,16.98,16.2,5000,16.85,10000,16.80,16.75,16.78,16.75,15000,-,
7725,列特博,23.00,22.8,6000,24,6000,-,-,-,-,-,-,
7726,暄達,31.95,30.7,3000,31.95,1990,31.95,30.70,30.92,31.95,7010,-,
7729,仲恩生醫,72.63,68.8,3000,70.4,2000,74.00,68.50,69.63,70.40,425212,-,
7731,火星生技*,5.01,4.88,20000,4.93,13900,5.24,4.82,4.89,4.93,1636227,-,
7735,台智雲,200.20,188.5,2000,195.5,2990,198.00,190.00,194.00,195.50,36990,-,
7737,凱鈿,42.37,41.85,1000,43.25,5980,43.25,41.85,41.86,43.25,2020,-,
7742,天弘化,112.94,99.1,3000,100.5,3780,107.50,98.70,99.97,100.00,476021,-,
7745,紅陽,13.70,13.8,10000,14.35,5000,14.15,14.10,14.12,14.15,15000,-,
7748,鑫囍創業,17.80,17.7,5000,18.05,5000,17.85,17.70,17.77,17.80,3057,-,
7752,世紀樺欣,31.44,29.65,3000,30.05,4999,31.70,29.30,29.88,30.05,80675,-,
7754,安基生技,59.93,57.6,3000,58.1,2990,60.10,57.50,58.47,58.00,201556,-,
7756,多那之,37.30,35.55,3000,37.3,2960,37.30,37.30,37.30,37.30,40,-,
7758,睿騰能源,46.12,43.65,2000,44.9,3000,46.95,43.65,44.39,44.00,12636,-,
7759,視航生醫,30.55,29.85,6000,31.4,8990,32.00,29.80,30.24,31.40,52569,-,
7761,三大未來,38.57,38.45,3000,39.3,3000,40.00,38.25,39.08,39.20,187969,-,
7762,吉晟生,49.62,48.9,3000,49.9,2652,50.20,48.85,49.48,49.90,63495,-,
7763,崇舜,157.91,147,7000,149.5,2000,156.00,147.50,149.81,148.00,82806,115/06/08,上市審議會通過
7764,聖州,11.82,11.4,20000,11.7,4990,11.85,11.40,11.52,11.70,105192,-,
7771,綠基,53.62,51.3,3000,53,3000,54.00,51.50,51.56,52.50,3201,-,
7773,富禾生醫,27.13,26.15,3000,27.35,2000,27.45,26.20,26.83,27.35,15310,-,
7776,奧孟亞,30.70,30.45,2800,31.7,2999,32.20,29.60,30.98,31.70,38257,-,
7779,鍇睿國際,12.60,12.4,4500,12.9,5000,12.70,12.40,12.61,12.40,10500,-,
7781,昕力資*,26.91,25.1,13000,25.3,10000,26.90,25.10,25.65,25.20,2145557,-,
7783,佳運,85.23,84.1,2300,86.1,3000,90.50,84.10,87.79,86.10,39171,-,
7784,安邦生技*,10.93,10.5,10000,11.05,9999,11.70,10.35,10.65,11.05,425427,-,
7785,北祥科服,29.20,28.6,3000,29.35,3000,29.35,29.05,29.25,29.05,15200,-,
7789,開展,40.15,38.35,3000,40.15,2880,40.15,40.00,40.08,40.15,6120,-,
7790,思必瑞特,51.02,51,1300,52.3,2995,52.30,51.00,51.02,52.30,1736,-,
7796,擷發科,70.49,66.5,6000,68.3,3000,70.30,66.50,67.90,68.30,84610,-,
7797,Q Burger,56.50,52.3,3000,54.5,2000,56.50,53.60,53.90,53.60,4232,-,
7798,將捷,16.31,15.8,5000,16.4,5000,16.55,16.00,16.30,16.40,67200,-,
7801,華芸科技,109.68,108.5,2000,110.5,2000,117.00,108.50,111.50,108.50,42782,115/07/02,櫃買中心同意上櫃契約
7806,精華生醫,60.10,58.9,9000,61.9,8900,61.90,61.90,61.90,61.90,100,115/07/02,櫃買中心同意上櫃契約
7808,訊聯智藥,30.61,29.95,2000,30.7,3000,31.20,29.95,30.26,30.70,18291,-,
7812,稜研科技*,79.29,77.7,2000,78.5,2660,82.50,77.70,78.68,78.50,125915,115/06/30,創新板上市審議會通過
7813,宇辰系統,126.81,117.5,4800,120,4900,127.00,117.50,119.93,120.00,50177,-,
7815,新特,348.13,300,2000,301.5,2791,345.00,299.50,308.78,301.50,142549,-,
7816,來穎,56.29,53.1,6000,53.5,3000,55.90,53.20,53.74,53.20,21728,-,
7824,智寶,43.40,41.1,3000,42.85,3000,44.00,42.30,43.19,42.30,10000,-,
7825,和亞智慧,74.85,73.7,3000,75.2,2998,76.00,72.60,73.57,75.20,61955,115/07/02,櫃買中心同意上櫃契約
7826,極風雲創,40.60,38.95,1970,40.9,2999,40.90,38.95,38.96,40.90,1034,-,
7829,思捷優達-KY,40.03,38.3,6000,40.25,3000,40.50,38.35,39.63,38.50,111811,-,
7831,捷博,33.80,32.65,3000,34,3000,-,-,-,-,-,-,
7832,智新生技*,12.77,12,8000,12.2,4999,12.45,11.40,11.89,12.20,343123,-,
7833,綠岩能源,21.90,20.9,4000,21.8,3000,22.05,20.90,21.40,21.95,39903,-,
7834,來毅數位,8.04,7.42,5000,7.8,5000,8.07,6.96,7.41,7.68,76480,-,
7836,智生活,45.55,45,3000,45.7,3000,45.50,44.80,45.20,45.25,17032,-,
7837,啟新生,71.93,70,3000,72.8,3000,74.00,70.30,72.61,72.00,8400,-,
7840,祥圃,37.08,36,3000,37.15,3000,37.00,37.00,37.00,37.00,2000,115/05/11,送件申請上櫃
7841,經貿聯網,27.70,27.5,3000,28,3000,28.00,27.80,27.90,27.90,6100,-,
7843,英柏得,116.93,106,2000,109.5,2000,118.50,106.00,111.87,106.00,67131,-,
7846,德揚,70.07,64.7,3000,68,6000,69.40,66.80,67.51,67.90,31261,-,
7847,豊漁,19.00,18.2,3690,18.5,5000,18.65,18.20,18.47,18.20,28966,-,
7848,騏億鑫,362.88,349,4000,354,1999,363.00,349.50,352.85,354.00,24940,115/05/12,送件申請上櫃
7849,旭誼,156.46,149,2000,155,1980,156.50,152.50,152.78,155.00,2130,-,
7850,寶泰生醫,15.65,15.4,6000,15.7,3981,16.85,15.20,15.71,15.70,429689,-,
7851,慧康生技*-KY,27.69,25,1000,25.95,5000,27.95,25.00,26.08,25.70,31126,-,
7853,政美應用,345.85,325,4000,329,2989,341.00,325.00,329.60,329.00,582124,-,
7854,佐茂,73.56,69.2,3000,71.5,3000,71.50,69.20,70.17,71.40,37855,-,
7855,和運租車,99.69,101,2000,103.5,1949,103.50,101.00,102.12,103.50,30585,115/05/22,上市審議會通過
7856,漢測,4031.76,3555,4953,3705,1962,4000.00,3515.00,3700.40,3705.00,191210,115/07/02,櫃買中心同意上櫃契約
7857,合水先進,40.47,38.85,2000,40.75,2988,40.80,38.85,40.12,40.75,5024,-,
7858,芝普,175.32,162,1500,168,3000,173.00,162.00,166.72,162.00,83059,-,
7860,得生製藥,77.96,77.6,3000,81.5,2000,81.50,81.50,81.50,81.50,1000,-,
7861,貝爾威勒,1120.13,1040,2648,1070,2000,1140.00,1035.00,1065.64,1040.00,123023,115/05/26,送件申請上市
7862,聚泰,28.24,28.1,6000,29.25,2000,29.25,28.10,28.30,29.25,15803,-,
7863,中科物流,42.92,42.75,3000,43.95,3000,45.10,42.85,42.94,43.00,8601,-,
7865,金聯成,59.06,57.6,3000,60.4,2998,63.10,57.60,59.89,60.40,27586,-,
7866,丹立,188.11,169.5,1999,171,2000,188.50,169.00,172.90,169.50,369968,-,
7867,特力屋,55.14,54.1,3000,55.2,8000,55.20,54.50,54.88,54.50,14170,115/06/09,上市審議會通過
7868,聖育,63.55,61,3000,62.4,3000,64.30,61.30,63.31,61.30,25562,-,
7869,宏于電機,385.24,366.5,2000,384,2790,384.00,380.00,381.69,384.00,2704,115/06/26,送件申請上櫃
7870,聯剛科技,139.95,133,4000,138.5,2000,139.50,133.00,133.20,133.00,3394,-,
7871,安立璽榮-KY,82.63,78.8,3000,80.2,2975,83.50,76.00,79.95,80.20,1138703,-,
7872,登豐,51.71,48.4,5000,50.6,5000,51.20,48.30,49.22,50.60,104186,-,
7873,瑞峰,150.24,130,2000,131.5,3000,150.00,130.00,134.79,131.00,263783,-,
7875,安圖斯,128.00,116,1160,120.5,2000,128.00,116.00,119.22,116.00,17527,-,
7876,鼎晉生技,36.64,35.2,4000,35.95,3000,37.70,35.05,36.01,35.20,387635,-,
7877,海利普,41.00,38.7,3000,40,6000,41.00,38.95,39.43,38.95,92613,-,
7878,藥祇,228.95,208.5,4000,213.5,2999,228.50,207.00,212.26,213.50,410304,-,
7879,益材科技,60.38,56.6,3000,57.6,2999,60.90,56.50,57.25,57.60,381399,-,
7880,聖凰,166.48,161.5,2000,162.5,1730,166.00,161.50,163.00,161.50,33325,-,
7881,科明,89.26,88.1,3000,90,4000,91.50,89.00,90.14,89.00,13445,115/06/30,送件申請上櫃
7882,倍利創投,24.39,23,3000,23.5,1999,25.00,22.70,23.00,23.50,304542,-,
7883,饗賓,237.97,228,4000,237.5,4000,246.50,225.00,230.85,238.00,65193,-,
7885,宏羚,27.79,25.9,3000,27.2,8000,27.15,25.90,26.79,26.75,22124,-,
7886,科建,114.93,101,4830,105,2000,112.50,101.00,106.85,101.00,32716,-,
7887,宇川精材,167.62,154.5,7000,156,3790,168.00,153.50,158.30,156.00,622940,-,
7888,麗寶新藥,29.54,28.5,6000,29.15,3000,30.00,28.65,28.99,28.90,42418,-,
7889,騰勢,76.95,76.1,3000,76.5,3000,76.60,76.10,76.22,76.50,7100,-,
7890,明曜科技,108.84,107.5,1000,110,1999,110.50,107.50,108.25,110.00,4003,-,
7891,博研醫藥,26.14,25.95,3000,26.9,3000,26.60,26.30,26.40,26.30,3000,-,
7892,元鈦科,705.92,658,2000,668,3955,699.00,658.00,670.65,668.00,173759,-,
7893,睿信,189.89,171,2000,175,1890,192.00,165.00,184.52,175.00,37677,-,
7894,瀚軒,189.49,189,2000,195.5,1654,196.50,175.00,181.67,195.50,56816,-,
7895,元進莊,67.67,67,3000,68.5,3000,68.50,67.00,67.81,67.30,15005,-,
7896,喬越,211.04,197.5,2000,205.5,1989,214.00,196.00,204.89,205.50,11656,-,
7897,禾迅綠電,37.15,35.35,5000,37.15,3000,37.15,35.35,35.36,37.15,1003,-,
7898,乾瞻,407.36,385.5,2000,395,1980,398.00,380.00,389.80,395.00,58783,-,
7899,景美,441.08,413.5,2000,427.5,10000,437.00,408.50,416.29,427.50,165966,-,
7901,大大寬頻,69.53,69.1,3000,70,2998,70.00,68.10,69.60,70.00,8815,-,
7902,宇越生醫*,36.89,31.85,3000,33.45,3000,36.95,31.95,34.20,33.40,197002,-,
7904,任開數位,16.15,16.1,5000,16.8,5000,-,-,-,-,-,-,
7907,錸恩帕斯,210.99,201,2000,210,2000,214.00,201.00,207.63,210.00,37738,-,
7909,鈺祥,632.50,553,3951,573,1998,630.00,553.00,596.35,568.00,114078,-,
7911,阿波羅電力,121.52,115.5,2000,120.5,1000,122.00,115.50,117.57,117.00,111679,-,
7912,新聿科,406.14,387.5,1900,401.5,1990,401.50,380.00,392.37,387.50,63634,-,
7913,通寶半導體,319.08,304.5,2740,309,3000,318.50,304.50,306.51,304.50,52863,-,
7915,廌家,361.11,350.5,2000,367.5,1999,368.00,345.00,354.03,367.50,28108,-,
7918,創鉅材料,931.47,861,1992,889,2000,920.00,851.00,878.68,861.00,96278,-,
7919,禾蒼,47.82,42.85,6000,44.45,2990,47.65,42.85,44.55,44.45,93374,-,
7920,瀚陽*,11.59,10.5,1000,10.75,10000,11.70,10.35,10.74,10.50,3000554,-,
