status,prev_rev_yoy,est_price,pe,expansion,date,om,advice,prev_eps_yoy,eps_yoy,prev_year,eps,symbol,name,prev_eps,gm,price,rev_yoy
🔄 轉虧為盈,58.31,29.400000000000006,6.224489698622447,582.14,2026-03,-147.39%,💎 強力關注,89.09,806.67,2025,2.12,3521.TWO,台鋼建設,-0.07,-40.24%,12.1999998093,224.53
🚀 利潤擴張,-44.61,30.6,16.666666666666668,579.1500000000001,2026-03,4.39%,⚪ 中性觀察,-68.84,1763.64,2025,1.86,2101.TW,南港,1.01,20.96%,34.0,1184.49
🔄 轉虧為盈,-2.21,-36.6,0.0,556.87,2026-03,-1.97%,⚪ 數據不足,-197.14,1100.0,2025,0.2,4510.TWO,高鋒,-1.02,14.87%,39.0,543.13
🚀 利潤擴張,-19.66,15.75,35.61904907228571,511.73,2026-03,8.69%,⚠️ 追價風險,-40.68,1200.0,2025,0.26,3285.TWO,微端,0.7,28.61%,37.4000015259,688.27
🚀 利潤擴張,20.92,52.05,36.02305475504323,487.52,2026-03,N/A,⚠️ 追價風險,222.58,530.77,2025,1.64,6902.TW,GOGOLOOK,1.58,N/A,125.0,43.25
🔄 轉虧為盈,5.06,-7.499999999999999,0.0,484.25,2026-03,N/A,⚪ 數據不足,74.6,820.0,2025,0.46,6241.TWO,鑫永洋,-0.16,N/A,16.7999992371,335.75
🚀 利潤擴張,-6.1,8.850000000000001,34.5762705398305,472.41999999999996,2026-03,N/A,⚠️ 追價風險,-42.59,1200.0,2025,0.22,8440.TWO,綠電,0.31,N/A,20.3999996185,727.58
🧐 疑業外收益,-41.11,0.0,0.0,444.74,2026-03,-0.34%,⚪ 數據不足,-1.45,418.92,2025,1.21,4590.TW,富田-創,2.72,30.54%,88.0,-25.82
🚀 利潤擴張,11.66,17.400000000000002,34.74137865267241,412.3,2026-03,11.05%,⚠️ 追價風險,-34.67,600.0,2025,0.25,2302.TW,麗正,0.49,36.04%,40.2999992371,187.7
🚀 利潤擴張,9.55,40.8,56.985294117647065,390.63,2026-03,15.37%,⚠️ 追價風險,576.92,1037.5,2025,2.25,2344.TW,華邦電,0.88,41.86%,155.0,646.87
🚀 利潤擴張,28.36,0.0,0.0,381.05,2026-03,N/A,⚪ 數據不足,5.88,387.5,2025,0.41,6908.TW,宏�砦C戲-創,1.44,N/A,35.5999984741,6.45
