eps_yoy,prev_year,expansion,om,prev_eps,symbol,prev_eps_yoy,gm,rev_yoy,name,pe,advice,status,est_price,prev_rev_yoy,eps,date,price
328.87,2025,164.37,N/A,1.13,6994.TW,47.95,N/A,164.5,富威電力,0.0,⚪ 數據不足,🚀 利潤擴張,0.0,21.0,6.34,2025-12,0.0
242.99,2025,164.31,N/A,17.41,6596.TWO,241.37,N/A,78.68,寬宏藝術,2.090358775361003,💎 強力關注,🚀 利潤擴張,693.9,97.52,18.83,2025-12,96.6999969482
223.81,2025,160.96,N/A,-0.24,6265.TWO,-271.43,N/A,62.85,方土昶,0.0,⚪ 數據不足,🔄 轉虧為盈,-11.25,25.19,0.68,2025-12,45.75
291.45,2025,160.61999999999998,N/A,9.52,5439.TWO,280.8,N/A,130.83,高技,13.133402275077561,✅ 穩健價值,🚀 利潤擴張,435.15,130.37,13.74,2025-12,381.0
89.89,2025,159.73000000000002,3.61%,-0.13,3489.TWO,23.53,10.14%,-69.84,森寶,0.0,⚪ 數據不足,🧐 疑業外收益,-4.95,-54.34,-0.09,2025-12,22.0499992371
150.56,2025,157.18,-21.47%,2.61,4526.TW,271.05,7.66%,-6.62,東台,5.3862357407443815,💎 強力關注,🧐 疑業外收益,106.8,-1.22,1.81,2025-12,38.3499984741
173.02,2025,153.81,-22.27%,2.19,3630.TWO,219.44,4.18%,19.21,新鉅科,4.1927513612685345,💎 強力關注,🚀 利潤擴張,91.05,18.28,1.86,2025-12,25.4500007629
137.2,2025,152.56,N/A,3.24,6684.TWO,203.85,N/A,-15.36,安格,3.5217390701264817,💎 強力關注,🧐 疑業外收益,189.75000000000003,-15.66,1.57,2025-12,44.5499992371
58.65,2025,152.03,N/A,-0.24,6838.TW,77.78,N/A,-93.38,台新藥,0.0,⚪ 數據不足,🧐 疑業外收益,-13.5,-95.44,-0.55,2025-12,25.9500007629
220.0,2025,147.76,81.17%,-0.22,4157.TWO,-1000.0,98.33%,72.24,太景*-KY,0.0,⚪ 數據不足,🔄 轉虧為盈,-5.8500000000000005,-79.84,0.06,2025-12,9.2399997711
141.94,2025,145.65,22.84%,-0.1,3252.TWO,54.55,43.11%,-3.71,海灣,112.5,⚠️ 追價風險,🔄 轉虧為盈,2.4,-4.86,0.13,2025-12,18.0
209.26,2025,143.77999999999997,1.68%,1.25,3162.TWO,292.31,11.59%,65.48,精確,18.791946308724828,⚪ 中性觀察,🚀 利潤擴張,67.05000000000001,89.71,1.7,2025-12,84.0
133.62,2025,142.39000000000001,-0.68%,2.56,3673.TW,55.15,5.83%,-8.77,TPK-KY,9.60784292354342,💎 強力關注,🧐 疑業外收益,107.1,-8.66,2.71,2025-12,68.5999984741
119.51,2025,140.19,N/A,0.05,6236.TWO,111.11,N/A,-20.68,中湛,70.55555272999999,⚠️ 追價風險,🧐 疑業外收益,4.050000000000001,-18.24,0.08,2025-12,19.0499992371
180.65,2025,138.32,N/A,0.05,6708.TWO,119.23,N/A,42.33,天擎,95.58139180023257,⚠️ 追價風險,🚀 利潤擴張,6.449999999999999,48.16,0.25,2025-12,41.0999984741
104.91,2025,137.15,N/A,2.99,5227.TWO,199.67,N/A,-32.24,立凱-KY,36.825398036349185,⚠️ 追價風險,🧐 疑業外收益,9.450000000000005,-19.06,0.17,2025-12,23.2000007629
152.21,2025,135.37,N/A,-0.32,6485.TWO,70.64,N/A,16.84,點序,85.71428571428571,⚠️ 追價風險,🔄 轉虧為盈,18.9,14.7,0.71,2025-12,108.0
229.88,2025,134.79,39.15%,-1.45,2408.TW,-28.32,49.05%,95.09,南亞科,0.0,⚪ 數據不足,🔄 轉虧為盈,-28.5,32.43,2.13,2025-12,305.0
178.19,2025,133.87,5.14%,3.61,3709.TWO,167.46,8.09%,44.32,鑫聯大投控,5.9343067921021895,💎 強力關注,🚀 利潤擴張,205.50000000000003,55.41,7.11,2025-12,81.3000030518
58.98,2025,131.46,-223.66%,-0.81,3466.TWO,65.77,-8.98%,-72.48,德晉,0.0,⚪ 數據不足,🧐 疑業外收益,-57.45,-68.41,-1.11,2025-12,36.25
645.65,2025,130.47000000000003,41.27%,4.66,3081.TWO,884.75,54.76%,515.18,聯亞,222.13114754098362,⚠️ 追價風險,🏰 高護城河,183.0,82.29,3.44,2026-03,2710.0
54.11,2025,129.82,-456.27%,-0.67,4934.TW,16.25,-156.07%,-75.71,太極,0.0,⚪ 數據不足,🧐 疑業外收益,-35.85,-81.44,-0.95,2025-12,16.7999992371
108.46,2025,127.97999999999999,6.32%,2.72,2607.TW,139.38,18.52%,-19.52,榮運,5.420022839367089,💎 強力關注,🧐 疑業外收益,130.35,-19.69,3.56,2025-12,47.0999984741
159.21,2025,126.62,N/A,3.03,5386.TWO,103.38,N/A,32.59,青雲,29.08496732026144,⚠️ 追價風險,🚀 利潤擴張,229.49999999999997,12.38,8.61,2025-12,445.0
161.27,2025,126.13000000000001,N/A,2.46,6021.TWO,128.3,N/A,35.14,美好證,7.031602622686231,💎 強力關注,🚀 利潤擴張,66.44999999999999,13.11,3.76,2025-12,31.1499996185
155.22,2025,126.13,-3.44%,0.47,3540.TWO,147.47,27.46%,29.09,曜越,0.0,⚪ 數據不足,🚀 利潤擴張,0.0,30.74,0.74,2025-12,0.0
177.17,2025,125.85999999999999,N/A,2.05,8473.TW,130.34,N/A,51.31,山林水,5.099573040412518,💎 強力關注,🚀 利潤擴張,105.44999999999999,62.88,2.55,2025-12,35.8499984741
120.99,2025,125.67999999999999,13.87%,1.57,3105.TWO,-40.53,31.80%,-4.69,穩懋,96.88172043010752,⚠️ 追價風險,🧐 疑業外收益,69.75,-13.87,4.0,2025-12,450.5
142.59,2025,122.4,N/A,0.66,6276.TWO,128.33,N/A,20.19,安鈦克,9.776632564570447,💎 強力關注,🚀 利潤擴張,43.650000000000006,28.81,0.92,2025-12,28.4500007629
127.94,2025,119.85,-3.62%,0.04,1512.TW,111.76,28.43%,8.09,瑞利,27.8400001524,⚠️ 追價風險,🚀 利潤擴張,3.75,2.64,0.19,2025-12,6.9600000381
177.61,2025,117.96000000000001,26.41%,1.04,2596.TWO,425.0,32.97%,59.65,綠意,6.411111195888889,💎 強力關注,🚀 利潤擴張,67.5,217.33,1.86,2025-12,28.8500003815
139.29,2025,116.91,N/A,0.2,8080.TWO,190.91,N/A,22.38,泰霖,39.4927536231884,⚠️ 追價風險,🚀 利潤擴張,10.350000000000001,34.06,0.12,2025-12,27.25
122.09,2025,114.62,2.93%,-0.02,4555.TW,97.22,31.93%,7.47,氣立,1046.2499618524998,⚠️ 追價風險,🔄 轉虧為盈,0.6000000000000001,8.77,0.19,2025-12,41.8499984741
23.33,2025,113.42999999999999,N/A,-0.12,6198.TWO,55.56,N/A,-90.1,瑞築,0.0,⚪ 數據不足,🧐 疑業外收益,-7.5,-92.7,-0.23,2025-12,21.9500007629
51.72,2025,113.31,-88.29%,0.23,4702.TWO,-14.81,35.38%,-61.59,中美實,27.771429334285703,⚠️ 追價風險,🧐 疑業外收益,5.250000000000002,-60.26,0.88,2025-12,9.720000267
144.7,2025,112.57,35.36%,10.08,3260.TWO,19.56,48.37%,32.13,威剛,10.590321763364582,💎 強力關注,🚀 利潤擴張,592.05,22.8,23.18,2025-12,418.0
87.32,2025,109.96,14.50%,-0.41,2025.TW,28.07,-19.82%,-22.64,千興,0.0,⚪ 數據不足,🧐 疑業外收益,-17.700000000000003,-15.81,-0.18,2025-12,11.75
102.7,2025,109.10000000000001,N/A,0.02,8455.TWO,104.35,N/A,-6.4,大拓-KY,0.0,⚪ 數據不足,🧐 疑業外收益,-4.95,-7.04,0.02,2025-12,36.0999984741
134.62,2025,108.56,N/A,-0.37,9955.TW,50.67,N/A,26.06,佳龍,0.0,⚪ 數據不足,🔄 轉虧為盈,-5.399999999999999,17.8,0.54,2025-12,28.5
110.31,2025,107.85000000000001,N/A,3.47,4967.TW,-46.86,N/A,2.46,十銓,14.93297587131367,✅ 穩健價值,🚀 利潤擴張,279.75000000000006,-15.55,13.06,2025-12,278.5
53.77,2025,106.5,N/A,-0.62,8477.TWO,80.0,N/A,-52.73,創業家,0.0,⚪ 數據不足,🧐 疑業外收益,-38.4,-51.54,-0.92,2025-12,15.6999998093
108.09,2025,106.29,17.13%,1.91,2501.TW,127.38,26.51%,1.8,國建,3.5135135741653416,💎 強力關注,🚀 利潤擴張,94.35,7.39,2.83,2025-12,22.1000003815
168.25,2025,104.65,N/A,-0.75,6465.TWO,29.25,N/A,63.6,威潤,0.0,⚪ 數據不足,🔄 轉虧為盈,-14.549999999999999,5.09,0.86,2025-12,46.75
143.64,2025,103.75999999999999,16.62%,1.5,3135.TW,-29.03,19.12%,39.88,凌航,23.798627002288335,⚠️ 追價風險,🚀 利潤擴張,131.09999999999997,34.74,6.33,2025-12,208.0
164.15,2025,102.95,N/A,1.55,6150.TWO,156.36,N/A,61.2,撼訊,12.57518825674812,✅ 穩健價值,🚀 利潤擴張,79.8,77.79,2.63,2025-12,66.9000015259
107.41,2025,101.99,2.26%,0.09,2465.TW,102.43,10.44%,5.42,麗臺,59.375,⚠️ 追價風險,🚀 利潤擴張,19.2,32.51,0.43,2025-12,76.0
100.0,2025,98.16,-1.48%,0.34,2926.TWO,241.67,40.82%,1.84,誠品生活,29.133858267716533,⚠️ 追價風險,🚀 利潤擴張,19.05,2.58,0.54,2025-12,37.0
118.87,2025,97.42,7.07%,1.32,1541.TW,41.94,19.55%,21.45,錩泰,4.589041182990868,💎 強力關注,🚀 利潤擴張,65.7,28.08,2.32,2025-12,20.1000003815
110.31,2025,96.7,0.24%,0.47,2380.TW,133.57,24.41%,13.61,虹光,3.175257653298969,💎 強力關注,🚀 利潤擴張,29.099999999999998,9.38,0.72,2025-12,6.1599998474
146.97,2025,96.47999999999999,N/A,0.09,4971.TWO,103.17,N/A,50.49,IET-KY,0.0,⚪ 數據不足,🚀 利潤擴張,-7.0500000000000025,54.63,1.65,2025-12,716.0
104.43,2025,96.02000000000001,N/A,0.34,5516.TWO,116.43,N/A,8.41,雙喜,0.0,⚪ 數據不足,🚀 利潤擴張,-7.35,7.31,0.16,2025-12,10.8999996185
134.04,2025,95.32,-9.15%,0.37,3363.TWO,317.65,12.43%,38.72,上詮,1132.394366197183,⚠️ 追價風險,🚀 利潤擴張,10.65,49.52,0.16,2025-12,804.0
191.99,2025,95.30000000000001,N/A,10.13,6739.TWO,167.2,N/A,96.69,竹陞科技,36.17757278754684,⚠️ 追價風險,🚀 利潤擴張,520.3499999999999,94.38,16.13,2025-12,1255.0
118.18,2025,94.49000000000001,N/A,0.13,6125.TWO,123.21,N/A,23.69,廣運,187.09677419354838,⚠️ 追價風險,🚀 利潤擴張,4.65,15.42,0.1,2025-12,58.0
100.43,2025,94.30000000000001,12.64%,4.47,3687.TWO,151.12,39.69%,6.13,歐買尬,5.941619442005649,💎 強力關注,🚀 利潤擴張,159.3,5.19,4.67,2025-12,63.0999984741
100.0,2025,92.73,-2853.40%,0.05,1453.TW,-58.33,912.85%,7.27,大將,0.0,⚪ 數據不足,🏰 高護城河,-2.1,4.56,0.04,2025-12,11.1000003815
