股號,名稱,現價,漲跌幅,建議
2317,鴻海,211.0,0.00%,買入
3702,大聯大,102.5,0.00%,續抱/觀望
2485,兆赫,72.3,0.00%,賣出
2367,燿華,70.3,0.00%,賣出
4142,國光生,18.1,0.00%,賣出
0050,元大台灣50,86.0,0.00%,續抱/觀望
0056,元大高股息,42.47,1.19%,買入
009816,凱基台灣TOP50,12.29,0.00%,續抱/觀望
2009,第一銅,39.8,0.00%,賣出
2337,旺宏,132.5,0.00%,賣出
2352,佳世達,25.65,0.00%,買入
2409,友達,18.9,0.00%,賣出
3481,群創,26.0,0.00%,賣出
6136,富爾特,26.95,0.00%,買入
6806,森崴能源,26.85,-9.90%,賣出
3105,穩懋,617.0,0.00%,續抱/觀望
4966,譜瑞-KY,537.0,0.00%,買入
6188,廣明,88.6,3.63%,續抱/觀望
7792,安葆,360.0,1.12%,賣出
2327,國巨*,319.0,-1.24%,賣出
3714,富采,73.6,0.00%,賣出
1802,台玻,74.2,0.00%,買入
1721,三晃,27.25,9.88%,買入
8104,錸寶,38.2,0.00%,賣出
