股號,名稱,現價,漲跌幅,建議
2317,鴻海,221.0,4.74%,買入
3702,大聯大,101.5,-0.98%,續抱/觀望
2485,兆赫,71.0,-1.80%,賣出
2367,燿華,67.8,-3.56%,賣出
4142,國光生,18.15,0.28%,賣出
0050,元大台灣50,86.35,0.41%,續抱/觀望
0056,元大高股息,42.61,1.52%,買入
009816,凱基台灣TOP50,12.42,1.06%,續抱/觀望
2009,第一銅,39.5,-0.75%,賣出
2337,旺宏,134.5,1.51%,賣出
2352,佳世達,26.0,1.36%,買入
2409,友達,18.55,-1.85%,賣出
3481,群創,25.6,-1.54%,賣出
6136,富爾特,27.65,2.60%,買入
6806,森崴能源,26.85,-9.90%,賣出
3105,穩懋,600.0,-2.76%,續抱/觀望
4966,譜瑞-KY,590.0,9.87%,買入
6188,廣明,88.4,3.39%,續抱/觀望
7792,安葆,358.5,0.70%,賣出
2327,國巨*,315.5,-2.32%,賣出
3714,富采,73.3,-0.41%,賣出
1802,台玻,70.9,-4.45%,買入
1721,三晃,27.25,9.88%,買入
8104,錸寶,37.2,-2.62%,賣出
