股號,名稱,現價,漲跌幅,建議
0050,元大台灣50,86.0,0.00%,續抱/觀望
2382,廣達,340.0,0.00%,續抱/觀望
3105,穩懋,603.0,-2.27%,續抱/觀望
4966,譜瑞-KY,537.0,0.00%,買入
00635U,期元大S&P黃金,50.3,0.00%,賣出
00738U,期元大道瓊白銀,63.1,-1.41%,賣出
009816,凱基台灣TOP50,12.29,0.00%,續抱/觀望
2399,映泰,41.95,0.00%,買入
2609,陽明,50.7,0.00%,賣出
2618,長榮航,35.35,0.00%,買入
