股號,名稱,現價,漲跌幅,建議
0050,元大台灣50,86.0,0.00%,續抱/觀望
0056,元大高股息,42.47,1.19%,買入
00635U,期元大S&P黃金,50.3,0.00%,賣出
00918,大華優利高填息30,23.7,0.00%,買入
00919,群益台灣精選高息,23.64,0.00%,買入
009816,凱基台灣TOP50,12.4,0.90%,續抱/觀望
