股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50        76.85          6        71.43          12.25        2      -525063 📉 建議賣出              
0052.TW      富邦科技           45.6          6        69.57          13.55        2       -12381 📉 建議賣出              
0056.TW      元大高股息         38.63          3         75.0            8.4        5       -56344 📈 持有 → 繼續持有         
00631L.TW    未知           478.05          4        73.91          20.69        5        -5025 📈 持有 → 繼續持有         
00632R.TW    未知            14.12          3        54.55           1.17        5         -772 📉 建議賣出              
00633L.TW    未知            45.66         19          0.0          -0.91        1         -243 📉 建議賣出              
00634R.TW    未知             3.31          5        52.63           0.07        4           -1 📈 持有 → 繼續持有         
00635U.TW    未知             54.3          5        77.27          17.81        3          581 📉 建議賣出              
00637L.TW    未知            18.79         18         50.0          -1.06        1        12090 📉 建議賣出              
00638R.TW    未知             7.15          5         50.0          -1.86        5            0 📈 持有 → 繼續持有         
00640L.TW    未知             90.5          6         65.0          13.35        3          -28 📉 建議賣出              
00641R.TW    未知             4.18          6         40.0          -0.38        2            0 📈 持有 → 繼續持有         
00642U.TW    未知             21.0         11        62.96          35.31        0        -1577 📈 持有 → 繼續持有         
00646.TW     元大S&P500       68.2          3        30.77          -2.46        8         1945 📈 持有 → 繼續持有         
00650L.TW    未知            17.32          4        58.33           6.98        3          256 📈 持有 → 繼續持有         
00651R.TW    未知             5.32          4        47.37           6.23        3           14 📉 建議賣出              
00655L.TW    未知            31.59         11         20.0          -0.21        1          445 📉 建議賣出              
00656R.TW    未知             6.32          6        54.55          -1.32        4            0 📈 持有 → 繼續持有         
00662.TW     富邦NASDAQ     102.05         17         40.0          -2.56        2        -2714 📈 持有 → 繼續持有         
00663L.TW    未知             62.5          4        65.22          20.83        5         -675 📉 建議賣出              
00664R.TW    未知             2.28          3        55.56          -0.19        5           12 📉 建議賣出              
00665L.TW    未知              9.8          4        58.33           5.06        4         1041 📈 持有 → 繼續持有         
00666R.TW    未知             9.19          4         61.9          10.79        3            5 📉 建議賣出              
00671R.TW    未知             2.89         19        46.15          -1.41        1        -1294 📈 持有 → 繼續持有         
00673R.TW    未知             20.3         10          0.0            0.0        0        -2535 📉 建議賣出              
00674R.TW    未知             4.86         17          0.0          -3.53        1            0 📉 建議賣出              
00676R.TW    未知             7.76          3         50.0           0.93        5           41 📉 建議賣出              
00679B.TWO   未知            27.65         19        53.85           0.64        1       115027 📈 持有 → 繼續持有         
00680L.TW    未知             7.44          3         60.0           3.42        5         8845 📉 建議賣出              
00686R.TW    未知             1.39          6        42.86           0.76        1           22 📈 持有 → 繼續持有         
00687B.TWO   未知            29.03         14        56.25           1.43        2       134556 📈 持有 → 繼續持有         
00688L.TW    未知             7.41          3         55.0           3.43        5         -373 📉 建議賣出              
00696B.TWO   未知            30.13         14        56.25           1.44        2        13704 📈 持有 → 繼續持有         
00700.TW     富邦�琤肭磪�       17.35          4        54.55           2.09        4         4944 📈 持有 → 繼續持有         
00703.TW     台新MSCI中國      20.45          3         50.0          -0.66        5            0 📈 持有 → 繼續持有         
00712.TW     復華富時不動產        9.28         10        55.56           1.15        2        10360 📈 持有 → 繼續持有         
00713.TW     元大台灣高息低波       52.6          3        86.96           6.65        3        -1827 📈 持有 → 繼續持有         
00715L.TW    未知            38.16         11        74.07          80.17        0       -30594 📈 持有 → 繼續持有         
00719B.TWO   未知            31.26          4        61.54           1.42        3         4530 📉 建議賣出              
00720B.TWO   未知            33.82          3        47.62           0.44        6        20914 📈 持有 → 繼續持有         
00722B.TWO   未知            37.14          3        47.62           0.68        6         2690 📉 建議賣出              
00724B.TWO   未知            34.66          3        55.56            2.1        7         2846 📉 建議賣出              
00725B.TWO   未知            35.85          3         50.0           1.36        6        15775 📈 持有 → 繼續持有         
00735.TW     國泰臺韓科技        67.25          3         72.0          16.16        5         -784 📈 持有 → 繼續持有         
00738U.TW    未知             68.6          5        77.27          45.33        2        -3661 📉 建議賣出              
00740B.TWO   未知            39.53          3         60.0            1.5        6         2112 📉 建議賣出              
00751B.TWO   未知            32.67         19        36.36           0.15        2       129004 📈 持有 → 繼續持有         
00752.TW     中信中國50        24.28          4         60.0           0.06        4         3550 📈 持有 → 繼續持有         
00753L.TW    未知            10.81          4        63.64           2.06        3         8540 📈 持有 → 繼續持有         
00757.TW     統一FANG+       112.5          3        56.25           3.77        5          403 📈 持有 → 繼續持有         
00761B.TWO   未知            35.23          3         50.0           0.85        6          494 📉 建議賣出              
00764B.TWO   未知            29.01         13        56.25           1.39        2        11860 📈 持有 → 繼續持有         
00770.TW     國泰北美科技         52.1         12         50.0          -5.14        2           32 📈 持有 → 繼續持有         
00772B.TWO   未知             34.5          3        54.55           0.65        6        12081 📉 建議賣出              
00773B.TWO   未知            36.77          3        57.14           2.29        6         4569 📉 建議賣出              
00780B.TWO   未知            37.99         16         40.0           0.56        1          109 📈 持有 → 繼續持有         
00795B.TWO   未知             27.9         14        56.25           1.47        2       129920 📈 持有 → 繼續持有         
00830.TW     國泰費城半導體        55.6         10        55.56          -2.87        4       -13165 📉 建議賣出              
00857B.TWO   未知            24.19         19        53.85           0.82        1        12459 📈 持有 → 繼續持有         
00864B.TWO   未知            46.24          4        52.94           1.39        4         4235 📈 持有 → 繼續持有         
00875.TW     國泰網路資安        38.46         13         60.0            4.5        1           -5 📈 持有 → 繼續持有         
00877.TWO    復華中國5G        27.83         17         40.0          -2.09        3         3103 📈 持有 → 繼續持有         
00878.TW     國泰永續高股息       22.39          3         75.0           7.04        5       -52443 📈 持有 → 繼續持有         
00881.TW     國泰台灣科技龍頭      36.39          6         72.0          12.94        3        -8897 📉 建議賣出              
00882.TW     中信中國高股息       16.05          3        59.09           4.53        6         5927 📈 持有 → 繼續持有         
00885.TW     富邦越南          18.47          7        35.71          -2.31        5         4416 📉 建議賣出              
00887.TWO    永豐中國科技50大     12.92          3        52.63           1.83        6        10159 📈 持有 → 繼續持有         
00891.TW     中信關鍵半導體       23.85          6        66.67          14.65        3        -2166 📉 建議賣出              
00900.TW     富邦特選高股息30     14.33          3        63.64           5.79        5        -1707 📈 持有 → 繼續持有         
00902.TW     中信電池及儲能        14.0          4         55.0           9.71        5        -3824 📈 持有 → 繼續持有         
00904.TW     新光臺灣半導體30     28.36          5        70.83          17.65        2           24 📉 建議賣出              
00909.TW     國泰數位支付服務      39.94         18         25.0          -1.41        1         1409 📈 持有 → 繼續持有         
00910.TW     第一金太空衛星        56.0          3        45.45           2.76        7          148 📈 持有 → 繼續持有         
00918.TW     大華優利高填息30     23.25          6        71.43           4.28        3       -57096 📉 建議賣出              
00919.TW     群益台灣精選高息      23.71          3        78.26           9.46        4      -148087 📈 持有 → 繼續持有         
00922.TW     國泰台灣領袖50      30.32          6        70.83          10.26        3      -103760 📉 建議賣出              
00923.TW     群益台ESG低碳50    28.93          4        65.22          10.82        5          -61 📉 建議賣出              
00924.TW     復華S&P500成長    28.49         14         25.0          -2.16        2        -1621 📈 持有 → 繼續持有         
00927.TW     群益半導體收益        24.4          5        71.43          16.67        3        -8615 📉 建議賣出              
00929.TW     復華台灣科技優息      19.43          3        70.83           8.21        5       -20972 📈 持有 → 繼續持有         
00931B.TWO   未知             14.0          3        47.62            0.8        8        23315 📉 建議賣出              
00933B.TWO   未知            16.43          3        52.63           1.59        7       222102 📉 建議賣出              
00936.TW     台新永續高息中小      17.39          3         64.0          10.39        5        -1164 📈 持有 → 繼續持有         
00937B.TWO   未知            15.16          3        52.63           0.66        5       102717 📈 持有 → 繼續持有         
00939.TW     統一台灣高息動能      15.78          3         72.0           10.0        5         -719 📈 持有 → 繼續持有         
00940.TW     元大台灣價值高息       9.71          3        73.91           7.21        5       -36679 📈 持有 → 繼續持有         
00941.TW     中信上游半導體        21.8          6        53.85          12.99        3         2147 📉 建議賣出              
00942B.TWO   未知            14.67          3        52.63           0.65        6       207625 📉 建議賣出              
00945B.TW    未知             14.5          3         62.5           0.83        5        19170 📈 持有 → 繼續持有         
00946.TW     群益科技高息成長      10.02          5         70.0           9.06        2        -2965 📈 持有 → 繼續持有         
00947.TW     台新臺灣IC設計      22.89          8         70.0           10.4        2        -5493 📉 建議賣出              
00948B.TWO   未知             9.67         19        46.15           0.41        1        26534 📈 持有 → 繼續持有         
00949.TW     復華日本龍頭        19.66          3        55.56           8.47        5          -55 📈 持有 → 繼續持有         
00950B.TWO   未知            14.42          3         55.0           1.65        6       158946 📈 持有 → 繼續持有         
00951.TW     台新日本半導體        14.2          6        45.45           7.17        4        -1156 📉 建議賣出              
00953B.TW    未知             9.71          3        66.67           1.46        3        38939 📈 持有 → 繼續持有         
00955.TWO    中信日本商社         15.4          4        73.68          16.58        4        -1692 📉 建議賣出              
00959B.TWO   未知             9.61          3        57.89           0.79        7         1332 📉 建議賣出              
