股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50        76.85          6         70.0           9.94        2      -525063 📉 觀望/賣出             
0052.TW      富邦科技           45.6          6        68.18          10.85        2       -12381 📉 觀望/賣出             
0056.TW      元大高股息         38.63          3        77.78           6.96        3       -56344 📉 觀望/賣出             
00631L.TW    未知           478.05          3        76.92           6.89        2        -5025 📉 觀望/賣出             
00632R.TW    未知            14.12         18         50.0          -2.53        1         -772 📉 觀望/賣出             
00633L.TW    未知            45.66         19          0.0          -0.91        1         -243 📉 觀望/賣出             
00634R.TW    未知             3.31          5         50.0          -2.04        3           -1 📈 持有                
00635U.TW    未知             54.3          5        77.78          14.59        3          581 📉 觀望/賣出             
00637L.TW    未知            18.79         18         50.0          -1.06        1        12090 📉 觀望/賣出             
00638R.TW    未知             7.15          7        47.06          -1.98        3            0 📈 持有                
00640L.TW    未知             90.5          6        66.67          14.05        2          -28 📉 觀望/賣出             
00641R.TW    未知             4.18          6        33.33          -1.53        2            0 📈 持有                
00642U.TW    未知             21.0         11        62.96          35.31        0        -1577 📈 持有                
00646.TW     元大S&P500       68.2          3         20.0          -0.94        4         1945 📈 持有                
00650L.TW    未知            17.32          3        57.14           3.64        3          256 📉 觀望/賣出             
00651R.TW    未知             5.32         16        45.45           2.69        1           14 📈 持有                
00655L.TW    未知            31.59         11         20.0          -0.21        1          445 📉 觀望/賣出             
00656R.TW    未知             6.32          3        56.25          -3.22        6            0 📉 觀望/賣出             
00662.TW     富邦NASDAQ     102.05         16         40.0          -2.56        2        -2714 📈 持有                
00663L.TW    未知             62.5          3        66.67           7.28        2         -675 📉 觀望/賣出             
00664R.TW    未知             2.28          3         50.0          -2.48        2           12 📉 觀望/賣出             
00665L.TW    未知              9.8          3         50.0          -2.52        2         1041 📉 觀望/賣出             
00666R.TW    未知             9.19          4        46.67           2.88        3            5 📉 觀望/賣出             
00671R.TW    未知             2.89         19        46.15          -1.41        1        -1294 📈 持有                
00673R.TW    未知             20.3         10          0.0            0.0        0        -2535 📉 觀望/賣出             
00674R.TW    未知             4.86         17          0.0            0.0        0            0 📉 觀望/賣出             
00676R.TW    未知             7.76          3         50.0          -2.07        2           41 📉 觀望/賣出             
00679B.TWO   未知            27.65         12        61.54           2.61        0       115027 📈 持有                
00680L.TW    未知             7.44          7         60.0           2.57        3         8845 📉 觀望/賣出             
00686R.TW    未知             1.39          5         40.0          -1.39        1           22 📈 持有                
00687B.TWO   未知            29.03         12        61.54           2.62        0       134556 📈 持有                
00688L.TW    未知             7.41          7        57.14           2.72        3         -373 📉 觀望/賣出             
00696B.TWO   未知            30.13         12        61.54           2.62        0        13704 📈 持有                
00700.TW     富邦�琤肭磪�       17.35          3        42.86           -0.9        3         4944 📉 觀望/賣出             
00703.TW     台新MSCI中國      20.45          3         50.0          -0.75        3            0 📉 觀望/賣出             
00712.TW     復華富時不動產        9.28          9         62.5           2.02        1        10360 📈 持有                
00713.TW     元大台灣高息低波       52.6          3        81.25           4.49        3        -1827 📉 觀望/賣出             
00715L.TW    未知            38.16         11        74.07          80.17        0       -30594 📈 持有                
00719B.TWO   未知            31.26          4        42.86          -0.03        2         4530 📉 觀望/賣出             
00720B.TWO   未知            33.82         17        41.67           0.65        0        20914 📈 持有                
00722B.TWO   未知            37.14         13        36.36           1.14        0         2690 📈 持有                
00724B.TWO   未知            34.66          4        58.33           0.69        3         2846 📉 觀望/賣出             
00725B.TWO   未知            35.85         17        53.85           0.96        0        15775 📈 持有                
00735.TW     國泰臺韓科技        67.25          3         75.0           2.96        3         -784 📉 觀望/賣出             
00738U.TW    未知             68.6          5         70.0          18.14        2        -3661 📉 觀望/賣出             
00740B.TWO   未知            39.53         12        53.85           0.93        0         2112 📈 持有                
00751B.TWO   未知            32.67         17        45.45           1.05        0       129004 📈 持有                
00752.TW     中信中國50        24.28          3         50.0           -1.4        3         3550 📉 觀望/賣出             
00753L.TW    未知            10.81          3         50.0          -3.24        3         8540 📉 觀望/賣出             
00757.TW     統一FANG+       112.5         20        100.0           1.08        0          403 📈 持有                
00761B.TWO   未知            35.23         17        36.36           0.65        0          494 📈 持有                
00764B.TWO   未知            29.01         12        61.54           2.55        0        11860 📈 持有                
00770.TW     國泰北美科技         52.1          4        66.67          -1.18        2           32 📈 持有                
00772B.TWO   未知             34.5         18        45.45           0.78        0        12081 📈 持有                
00773B.TWO   未知            36.77         17         50.0           0.61        0         4569 📈 持有                
00780B.TWO   未知            37.99         16         40.0           0.56        1          109 📈 持有                
00795B.TWO   未知             27.9         12        61.54           2.63        0       129920 📈 持有                
00830.TW     國泰費城半導體        55.6         14        58.33           -1.5        2       -13165 📉 觀望/賣出             
00857B.TWO   未知            24.19         12        61.54           2.72        0        12459 📈 持有                
00864B.TWO   未知            46.24          4        36.36          -0.15        3         4235 📈 持有                
00875.TW     國泰網路資安        38.46         13         60.0            4.5        1           -5 📈 持有                
00877.TWO    復華中國5G        27.83         20        36.36          -3.39        3         3103 📈 持有                
00878.TW     國泰永續高股息       22.39          5        83.33           6.09        3       -52443 📉 觀望/賣出             
00881.TW     國泰台灣科技龍頭      36.39          6        72.73          12.08        2        -8897 📉 觀望/賣出             
00882.TW     中信中國高股息       16.05          3        64.71           5.86        4         5927 📉 觀望/賣出             
00885.TW     富邦越南          18.47          7        45.45          -0.43        3         4416 📉 觀望/賣出             
00887.TWO    永豐中國科技50大     12.92         10        58.33           2.35        2        10159 📉 觀望/賣出             
00891.TW     中信關鍵半導體       23.85          4        68.42          13.54        3        -2166 📉 觀望/賣出             
00900.TW     富邦特選高股息30     14.33          3        63.64           1.31        3        -1707 📉 觀望/賣出             
00902.TW     中信電池及儲能        14.0          4        53.33           8.85        3        -3824 📉 觀望/賣出             
00904.TW     新光臺灣半導體30     28.36          5        71.43           14.9        2           24 📉 觀望/賣出             
00909.TW     國泰數位支付服務      39.94          3        42.86           1.12        2         1409 📈 持有                
00910.TW     第一金太空衛星        56.0          5         50.0           4.61        2          148 📈 持有                
00918.TW     大華優利高填息30     23.25          3        66.67            2.8        3       -57096 📉 觀望/賣出             
00919.TW     群益台灣精選高息      23.71          3         75.0           6.55        3      -148087 📉 觀望/賣出             
00922.TW     國泰台灣領袖50      30.32          3        73.68           9.95        3      -103760 📉 觀望/賣出             
00923.TW     群益台ESG低碳50    28.93          4        68.42          10.41        3          -61 📉 觀望/賣出             
00924.TW     復華S&P500成長    28.49         14         25.0          -2.16        2        -1621 📈 持有                
00927.TW     群益半導體收益        24.4          5         75.0          11.78        3        -8615 📉 觀望/賣出             
00929.TW     復華台灣科技優息      19.43          3        73.33           5.27        3       -20972 📉 觀望/賣出             
00931B.TWO   未知             14.0         12        58.33           1.82        0        23315 📈 持有                
00933B.TWO   未知            16.43          3        58.33           0.67        5       222102 📉 觀望/賣出             
00936.TW     台新永續高息中小      17.39          5        55.56           6.96        2        -1164 📉 觀望/賣出             
00937B.TWO   未知            15.16         17         50.0           0.54        0       102717 📈 持有                
00939.TW     統一台灣高息動能      15.78          3        76.47            8.3        3         -719 📉 觀望/賣出             
00940.TW     元大台灣價值高息       9.71          3        73.33           4.31        3       -36679 📉 觀望/賣出             
00941.TW     中信上游半導體        21.8          6        54.55          12.22        2         2147 📉 觀望/賣出             
00942B.TWO   未知            14.67         13         50.0           0.63        0       207625 📈 持有                
00945B.TW    未知             14.5          3         50.0           0.14        3        19170 📈 持有                
00946.TW     群益科技高息成長      10.02          4        68.75           5.79        2        -2965 📉 觀望/賣出             
00947.TW     台新臺灣IC設計      22.89          8        70.59           5.03        2        -5493 📉 觀望/賣出             
00948B.TWO   未知             9.67         17        45.45           0.62        0        26534 📈 持有                
00949.TW     復華日本龍頭        19.66          3         50.0           7.27        3          -55 📉 觀望/賣出             
00950B.TWO   未知            14.42         17         50.0           0.56        0       158946 📈 持有                
00951.TW     台新日本半導體        14.2          6         50.0            9.5        3        -1156 📉 觀望/賣出             
