
📅 投資日報表: 2026-07-25
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 254.00   | 256.00   | 251.50   | 252.50   | 32,814,582   | 241.21      | 2000     | ▲22,580   |   +4.68%
4142     | 國光生        | 17.10    | 17.20    | 16.95    | 17.05    | 914,000      | 25.32       | 1000     | ▼8,270    |  -32.66%
0050     | 元大台灣50     | 104.25   | 104.80   | 102.90   | 103.90   | 51,221,177   | 46.60       | 16000    | ▲916,800  | +122.96%
0056     | 元大高股息      | 51.30    | 51.55    | 50.35    | 50.65    | 28,910,820   | 36.43       | 4000     | ▲56,880   |  +39.03%
00635U   | 期元大S&P黃金   | 43.03    | 43.05    | 42.78    | 42.90    | 3,059,280    | 55.25       | 3000     | ▼37,050   |  -22.35%
00738U   | 期元大道瓊白銀    | 48.24    | 48.30    | 47.76    | 47.99    | 2,210,545    | 66.26       | 1000     | ▼18,270   |  -27.57%
00929    | 復華台灣科技優息   | 29.28    | 29.30    | 28.75    | 29.10    | 16,624,860   | 19.73       | 8000     | ▲74,960   |  +47.49%
009816   | 凱基台灣TOP50  | 15.17    | 15.20    | 14.94    | 15.08    | 77,333,722   | 11.01       | 63000    | ▲256,410  |  +36.97%
00990A   | 主動元大AI新經濟  | 16.94    | 17.13    | 16.71    | 16.86    | 22,657,335   | 11.48       | 5000     | ▲26,900   |  +46.86%
2009     | 第一銅        | 38.00    | 38.00    | 37.25    | 37.40    | 620,306      | 50.56       | 4000     | ▼52,640   |  -26.03%
2337     | 旺宏         | 126.50   | 131.00   | 123.50   | 124.00   | 38,932,855   | 95.28       | 2000     | ▲57,440   |  +30.14%
2409     | 友達         | 25.60    | 26.00    | 25.15    | 25.50    | 120,965,531  | 16.21       | 2000     | ▲18,580   |  +57.31%
3481     | 群創         | 50.70    | 51.30    | 49.50    | 49.50    | 202,368,035  | 25.10       | 4000     | ▲97,600   |  +97.21%
3105     | 穩懋         | 354.00   | 371.50   | 337.50   | 341.50   | 20,572,612   | 556.47      | 300      | ▼64,491   |  -38.63%
4966     | 譜瑞-KY      | 600.00   | 617.00   | 597.00   | 611.00   | 515,413      | 1921.64     | 1000     | ▼1,310,640 |  -68.20%
2327     | 國巨*        | 679.00   | 685.00   | 639.00   | 642.00   | 40,347,006   | 1030.00     | 1        | ▼388      |  -37.67%
00403A   | 主動統一升級50   | 10.06    | 10.12    | 9.90     | 9.97     | 163,604,657  | 10.68       | 26000    | ▼18,460   |   -6.65%
00981A   | 主動統一台股增長   | 28.75    | 29.12    | 28.46    | 28.69    | 161,867,249  | 27.48       | 2000     | ▲2,420    |   +4.40%
2330     | 台積電        | 2355.00  | 2365.00  | 2345.00  | 2350.00  | 21,646,770   | 225.55      | 10       | ▲21,244   | +941.90%
6789     | 采鈺         | 485.00   | 493.00   | 465.00   | 470.00   | 1,324,635    | 593.50      | 400      | ▼49,400   |  -20.81%
6849     | 奇鼎科技       | 147.50   | 150.00   | 141.50   | 144.00   | 88,105       | 266.40      | 280      | ▼34,272   |  -45.95%
7853     | 政美應用       | 339.00   | 353.50   | 325.00   | 338.00   | 522,107      | 409.29      | 280      | ▼19,961   |  -17.42%
3576     | 聯合再生       | 17.80    | 18.70    | 17.75    | 18.30    | 13,009,822   | 18.15       | 5000     | ▲750      |   +0.83%
1721     | 三晃         | 21.10    | 21.20    | 20.30    | 20.35    | 626,023      | 27.88       | 3000     | ▼22,600   |  -27.02%
8215     | 明基材        | 24.85    | 24.85    | 24.10    | 24.15    | 645,248      | 31.60       | 200      | ▼1,490    |  -23.58%
00405A   | 主動富邦台灣龍耀   | 8.37     | 8.43     | 8.21     | 8.26     | 54,912,698   | 9.34        | 11000    | ▼11,880   |  -11.56%
5498     | 凱崴         | 47.30    | 48.70    | 45.35    | 45.75    | 1,596,200    | 69.61       | 188      | ▼4,486    |  -34.28%
1301     | 台塑         | 66.50    | 67.00    | 62.10    | 62.70    | 63,321,479   | 50.50       | 100      | ▲1,220    |  +24.16%
6498     | 久禾光        | 80.00    | 81.00    | 78.60    | 79.00    | 73,000       | 67.30       | 12       | ▲140      |  +17.38%
009821   | 野村稀土關鍵資源   | 13.19    | 13.29    | 13.19    | 13.29    | 4,473,137    | 17.30       | 12000    | ▼48,120   |  -23.18%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        -148,493 (  -2.31%)
