eps,gm,pe,prev_rev_yoy,status,name,rev_yoy,est_price,eps_yoy,advice,date,price,prev_eps,prev_year,om,symbol,prev_eps_yoy,expansion
3.01,N/A,174.2793791574279,18.82,🚀 利潤擴張,南電,24.44,67.65,840.63,⚠️ 追價風險,2025-12,786.0,1.15,2025,N/A,8046.TW,2775.0,816.1899999999999
0.09,N/A,0.0,11.35,🔄 轉虧為盈,合晶,12.57,0.0,800.0,⚪ 數據不足,2025-12,55.2000007629,-0.05,2025,N/A,6182.TWO,-350.0,787.43
6.28,20.10%,12.019867297019864,1.98,🔄 轉虧為盈,泰豐,-0.57,22.650000000000006,721.43,✅ 穩健價值,2025-12,18.1499996185,-2.22,2025,-167.95%,2102.TW,-258.33,722.0
0.68,19.96%,0.0,-4.36,🧐 疑業外收益,如興,-5.37,0.0,700.0,⚪ 數據不足,2025-12,0.0,0.02,2025,4.40%,4414.TW,107.14,705.37
0.32,26.03%,155.6000061036,7.39,🚀 利潤擴張,千如,10.91,3.75,700.0,⚠️ 追價風險,2025-12,38.9000015259,0.12,2025,5.00%,3236.TWO,250.0,689.09
1.58,23.42%,20.333333810208323,-4.42,🧐 疑業外收益,中環,-3.39,7.200000000000003,685.19,⚪ 中性觀察,2025-12,9.7600002289,0.37,2025,-5.65%,2323.TW,-2.63,688.58
0.53,24.00%,0.0,140.24,🔄 轉虧為盈,飛寶企業,114.77,-9.45,783.33,⚪ 數據不足,2025-12,18.3999996185,-0.26,2025,6.14%,4413.TWO,-966.67,668.5600000000001
0.38,27.32%,22.395833333333332,22.5,🚀 利潤擴張,欣厚-KY,3.99,7.2,660.0,⚠️ 追價風險,2025-12,10.75,0.28,2025,0.43%,4924.TWO,460.0,656.01
0.36,17.03%,14.385964577631581,14.66,🚀 利潤擴張,歐格,16.76,17.099999999999998,620.0,✅ 穩健價值,2025-12,16.3999996185,0.48,2025,-11.28%,3002.TW,422.22,603.24
0.88,41.86%,563.0434782608696,-0.22,🚀 利潤擴張,華邦電,9.55,3.4499999999999997,576.92,⚠️ 追價風險,2025-12,129.5,0.12,2025,15.37%,2344.TW,-57.14,567.37
1.96,62.07%,25.6153840285,24.16,🏰 高護城河,立萬利,26.61,39.0,590.0,⚠️ 追價風險,2025-12,66.5999984741,0.66,2025,-188.65%,3054.TW,288.57,563.39
5.29,N/A,0.0,-19.03,🧐 疑業外收益,琉園,-17.0,0.0,544.54,⚪ 數據不足,2025-12,0.0,5.5,2025,N/A,9949.TWO,1270.21,561.54
0.18,N/A,0.0,-4.33,🔄 轉虧為盈,康舒,0.1,-13.950000000000003,550.0,⚪ 數據不足,2025-12,49.5999984741,-0.38,2025,N/A,6282.TW,-90.0,549.9
1.43,43.42%,116.47058374764696,-12.66,🧐 疑業外收益,吉祥全,-10.43,2.5500000000000025,457.5,⚠️ 追價風險,2025-12,19.7999992371,0.49,2025,-66.51%,2491.TW,179.03,467.93
0.47,30.70%,25.289256513636364,18.74,🚀 利潤擴張,杭特,20.59,18.15,461.54,⚠️ 追價風險,2025-12,30.6000003815,0.54,2025,-18.51%,3297.TWO,2600.0,440.95000000000005
1.28,18.45%,0.0,310.97,🔄 轉虧為盈,博士旺,334.57,-9.599999999999998,752.94,⚪ 數據不足,2025-12,205.0,-0.58,2025,4.44%,3555.TWO,7.84,418.37000000000006
1.22,22.27%,24.090909957840914,-10.45,🔄 轉虧為盈,宏旭-KY,-9.02,13.199999999999998,408.33,⚠️ 追價風險,2025-12,21.2000007629,-0.11,2025,15.14%,2243.TW,38.89,417.34999999999997
8.13,42.12%,41.737649063032364,119.15,🚀 利潤擴張,大量,95.35,264.15000000000003,474.47,⚠️ 追價風險,2025-12,735.0,5.45,2025,18.24%,3167.TW,790.16,379.12
0.45,2.52%,8.590908917545455,-6.34,🧐 疑業外收益,宏洲,-9.55,16.499999999999996,364.71,💎 強力關注,2025-12,9.4499998093,0.43,2025,0.23%,1413.TW,326.32,374.26
1.22,23.49%,112.54826254826256,6.23,🚀 利潤擴張,雙鍵,5.46,38.849999999999994,377.27,⚠️ 追價風險,2025-12,291.5,0.62,2025,7.74%,4764.TW,187.32,371.81
1.69,N/A,6.228070091776315,13.03,🚀 利潤擴張,同亨,12.01,68.4,382.35,💎 強力關注,2025-12,28.3999996185,1.26,2025,N/A,5490.TWO,916.67,370.34000000000003
0.55,N/A,5.946428435178572,-10.3,🧐 疑業外收益,新天地,-6.42,42.0,358.33,💎 強力關注,2025-12,16.6499996185,0.02,2025,N/A,8940.TW,103.23,364.75
1.52,69.49%,22.41205953472362,43.11,🏰 高護城河,倚強科,49.68,59.699999999999996,406.67,⚠️ 追價風險,2025-12,89.1999969482,1.65,2025,-15.39%,3219.TWO,179.66,356.99
0.9,10.73%,7.499999699645669,-0.15,🚀 利潤擴張,友達,0.41,38.1,327.5,💎 強力關注,2025-12,19.0499992371,0.52,2025,-2.70%,2409.TW,185.25,327.09
7.73,15.60%,4.473438956197577,30.37,🚀 利潤擴張,冠星-KY,29.26,321.90000000000003,346.24,💎 強力關注,2025-12,96.0,7.71,2025,0.97%,4439.TW,114.76,316.98
0.15,8.40%,0.0,-14.04,🔄 轉虧為盈,映泰,-14.09,-2.7000000000000006,275.0,⚪ 數據不足,2025-12,45.4500007629,-0.11,2025,-12.67%,2399.TW,-222.22,289.09
7.21,34.44%,1.8914404691899793,-0.73,🧐 疑業外收益,宏達電,-5.85,359.25,275.85,💎 強力關注,2025-12,45.2999992371,7.88,2025,-79.17%,2498.TW,352.24,281.70000000000005
4.01,N/A,5.417310546684698,-8.55,🧐 疑業外收益,美利達,-9.71,194.10000000000002,271.37,💎 強力關注,2025-12,70.0999984741,4.81,2025,N/A,9914.TW,-18.34,281.08
4.02,N/A,0.0,12.63,🚀 利潤擴張,浪凡,12.97,0.0,288.24,⚪ 數據不足,2025-12,0.0,3.02,2025,N/A,6165.TW,410.34,275.27
2.01,38.42%,60.755148741418765,19.84,🚀 利潤擴張,大銀微系統,20.44,65.55,294.12,⚠️ 追價風險,2025-12,265.5,1.26,2025,13.23%,4576.TW,447.83,273.68
0.25,-4.21%,0.0,-6.66,🧐 疑業外收益,冠西電,-14.27,-8.100000000000001,241.18,⚪ 數據不足,2025-12,46.5499992371,0.98,2025,-53.06%,2466.TW,230.67,255.45000000000002
5.5,9.17%,2.738607083533964,-0.36,🚀 利潤擴張,華榮,0.02,174.45,254.81,💎 強力關注,2025-12,31.8500003815,4.75,2025,6.96%,1608.TW,241.94,254.79
0.09,41.46%,24.461538975,4.96,🧐 疑業外收益,中纖,-0.24,3.9000000000000004,250.0,⚠️ 追價風險,2025-12,6.3600001335,0.19,2025,18.72%,1718.TW,-11.76,250.24
1.91,N/A,18.83516416443956,-1.75,🧐 疑業外收益,有成精密,-0.48,68.25,240.74,⚪ 中性觀察,2025-12,85.6999969482,1.48,2025,N/A,4949.TW,180.87,241.22
1.74,29.82%,0.0,-98.23,🔄 轉虧為盈,三地開發,7.93,-2.4000000000000004,237.01,⚪ 數據不足,2025-12,20.5,-0.9,2025,25.89%,1438.TW,10.89,229.07999999999998
3.41,46.73%,8.945577971768707,-26.31,🔄 轉虧為盈,怡華,-20.46,22.050000000000004,207.21,💎 強力關注,2025-12,13.1499996185,-0.9,2025,248.16%,1456.TW,15.89,227.67000000000002
1.74,31.94%,31.866027978038282,-5.41,🚀 利潤擴張,晶相光,6.6,31.349999999999998,230.83,⚠️ 追價風險,2025-12,66.5999984741,0.47,2025,14.09%,3530.TW,-50.0,224.23000000000002
0.21,5.45%,20.677083730729166,-4.98,🧐 疑業外收益,允強,-13.63,14.399999999999999,200.0,⚪ 中性觀察,2025-12,19.8500003815,0.33,2025,-1.87%,2034.TW,94.12,213.63
1.72,30.12%,3.4115522777075813,-6.23,🧐 疑業外收益,松瑞藥,-1.28,83.1,203.51,💎 強力關注,2025-12,18.8999996185,1.43,2025,9.56%,4167.TWO,237.21,204.79
