日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-06-02,2317,鴻海,301.5,241.21,2000,120580,24.99%
2026-06-02,4142,國光生,17.2,25.32,1000,-8120,-32.07%
2026-06-02,0050,元大台灣50,105.7,46.6,16016,946546,126.82%
2026-06-02,0056,元大高股息,52.8,36.43,8000,130960,44.94%
2026-06-02,00635U,期元大S&P黃金,47.2,55.25,3000,-24150,-14.57%
2026-06-02,00738U,期元大道瓊白銀,61.2,66.26,1000,-5060,-7.64%
2026-06-02,00929,復華台灣科技優息,30.94,19.73,8000,89680,56.82%
2026-06-02,009816,凱基台灣TOP50,15.43,11.01,63000,278460,40.15%
2026-06-02,00990A,主動元大AI新經濟,20.17,11.48,5000,43450,75.70%
2026-06-02,2009,第一銅,41.1,50.56,4000,-37840,-18.71%
2026-06-02,2337,旺宏,175.5,95.28,2000,160440,84.19%
2026-06-02,2409,友達,26.15,16.21,2000,19880,61.32%
2026-06-02,3481,群創,56.2,25.1,4000,124400,123.90%
2026-06-02,6806,森崴能源,7.72,45.39,5000,-188350,-82.99%
2026-06-02,3105,穩懋,519.0,556.47,300,-11241,-6.73%
2026-06-02,4966,譜瑞-KY,827.0,1921.64,1000,-1094640,-56.96%
2026-06-02,00403A,主動統一升級50,10.7,10.68,26026,521,0.19%
2026-06-02,00981A,主動統一台股增長,31.33,27.48,2000,7700,14.01%
2026-06-02,2313,華通,270.5,250.71,1000,19790,7.89%
2026-06-02,2330,台積電,2380.0,225.55,10,21544,955.20%
2026-06-02,6239,力成,347.0,243.21,1000,103790,42.68%
2026-06-02,6789,采鈺,522.0,593.5,400,-28600,-12.05%
2026-06-02,5276,達輝-KY,19.45,22.18,300,-819,-12.31%
2026-06-02,5474,聰泰,187.0,175.15,2000,23700,6.77%
2026-06-02,6849,奇鼎科技,197.0,266.4,280,-19432,-26.05%
2026-06-02,7853,政美應用,340.0,409.29,280,-19401,-16.93%
