代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,207.0,-0.24%,WAIT,57.3,44228,✅|❌|❌|✅|❌
3702,大聯大,98.2,+0.72%,WAIT,55.2,17432,✅|❌|❌|✅|❌
2485,兆赫,79.1,-1.00%,WAIT,48.6,28657,✅|❌|❌|✅|❌
2367,燿華,70.4,-2.36%,WAIT,40.6,29938,✅|❌|❌|❌|❌
4142,國光生,18.7,+1.36%,🔥 SIGNAL,51.9,2617,✅|✅|✅|✅|✅
0050,元大台灣50,85.0,+1.01%,WAIT,72.1,76671,✅|❌|❌|✅|✅
0056,元大高股息,40.8,+1.37%,WAIT,69.5,54526,✅|❌|❌|❌|✅
00635U,期元大S&P黃金,50.8,-0.10%,WAIT,64.8,3727,✅|❌|❌|✅|❌
00738U,期元大道瓊白銀,65.55,+1.39%,WAIT,62.3,5571,✅|❌|❌|✅|✅
00929,復華台灣科技優息,21.05,+1.89%,🔥 SIGNAL,67.8,129225,✅|✅|✅|✅|✅
009816,凱基台灣TOP50,12.0,+1.27%,WAIT,71.8,160579,✅|❌|❌|✅|✅
00990A,主動元大AI新經濟,14.57,+0.14%,WAIT,71.8,25813,✅|✅|❌|✅|✅
2009,第一銅,41.25,+0.86%,WAIT,51.8,1308,✅|❌|❌|❌|✅
2337,旺宏,139.0,-2.11%,WAIT,48.6,142168,✅|❌|❌|❌|❌
2352,佳世達,25.25,+2.23%,WAIT,64.9,5177,✅|✅|❌|✅|✅
2409,友達,20.7,+3.24%,WAIT,79.1,649090,✅|✅|❌|✅|✅
3481,群創,27.25,-1.27%,WAIT,58.2,557105,✅|❌|✅|✅|❌
6136,富爾特,24.0,-2.44%,WAIT,42.9,593,❌|❌|✅|✅|❌
6806,森崴能源,22.45,+9.78%,WAIT,20.3,1301,✅|❌|❌|❌|✅
3105,穩懋,490.5,+9.85%,WAIT,77.2,50051,✅|❌|❌|✅|✅
4966,譜瑞-KY,555.0,+4.72%,🔥 SIGNAL,68.9,1706,✅|✅|✅|✅|✅
6188,廣明,87.5,+1.04%,WAIT,36.5,1868,✅|❌|❌|❌|❌
7792,安葆,357.5,-1.38%,WAIT,68.4,198,❌|❌|❌|✅|❌
2327,國巨*,325.0,+0.93%,WAIT,78.8,67057,✅|✅|✅|❌|✅
