股號,名稱,現價,漲跌幅,建議
2317,鴻海,207.5,0.00%,續抱/觀望
3702,大聯大,95.9,-1.64%,賣出
2485,兆赫,79.3,-0.75%,賣出
2367,燿華,71.1,-1.39%,賣出
4142,國光生,18.45,0.00%,續抱/觀望
0050,元大台灣50,84.15,0.00%,續抱/觀望
0056,元大高股息,40.25,0.00%,續抱/觀望
00635U,期元大S&P黃金,50.85,0.00%,續抱/觀望
00738U,期元大道瓊白銀,64.65,0.00%,續抱/觀望
00929,復華台灣科技優息,20.66,0.00%,買入
009816,凱基台灣TOP50,11.85,0.00%,續抱/觀望
00990A,主動元大AI新經濟,14.55,0.00%,續抱/觀望
2009,第一銅,40.9,0.00%,賣出
2337,旺宏,138.0,-2.82%,賣出
2352,佳世達,25.25,2.23%,續抱/觀望
2409,友達,21.4,6.73%,買入
3481,群創,27.6,0.00%,續抱/觀望
6136,富爾特,24.6,0.00%,續抱/觀望
6806,森崴能源,22.45,9.78%,賣出
3105,穩懋,487.0,9.07%,續抱/觀望
4966,譜瑞-KY,530.0,0.00%,買入
6188,廣明,86.6,0.00%,賣出
7792,安葆,362.5,0.00%,續抱/觀望
2327,國巨*,322.0,0.00%,買入
