symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,expansion,status,advice
4916.TW,事欣科,65.1999969482,15.786924200532686,61.949999999999996,2025-12,1.77,8050.0,0.89,8049.11,🚀 利潤擴張,✅ 穩健價值
3062.TW,建漢,30.75,4.904306220095694,94.05,2025-12,0.68,6600.0,16.55,6583.45,🚀 利潤擴張,💎 強力關注
2547.TW,日勝生,10.8500003815,0.9601770249115043,169.5,2025-12,2.85,3612.5,-12.89,3625.39,🧐 疑業外收益,💎 強力關注
6649.TWO,台生材,40.25,9.745762711864407,61.949999999999996,2025-12,1.4,3600.0,128.22,3471.78,🚀 利潤擴張,💎 強力關注
3189.TW,景碩,393.5,51.981505944517835,113.55,2025-12,3.51,3072.73,28.87,3043.86,🚀 利潤擴張,⚠️ 追價風險
5521.TW,工信,12.3500003815,12.22772315,15.15,2025-12,0.52,2500.0,27.32,2472.68,🚀 利潤擴張,✅ 穩健價值
4523.TWO,永彰,30.4500007629,0.7960784513176469,573.7500000000001,2025-12,22.26,1562.0,-7.15,1569.15,🧐 疑業外收益,💎 強力關注
1432.TW,大魯閣,17.2000007629,3.104693278501805,83.1,2025-12,6.03,1502.33,4.63,1497.6999999999998,🔄 轉虧為盈,💎 強力關注
4542.TWO,科嶠,171.5,54.617834394904456,47.1,2025-12,1.28,1500.0,37.66,1462.34,🚀 利潤擴張,⚠️ 追價風險
3708.TW,上緯投控,118.5,3.22800326886407,550.65,2025-12,35.57,1276.65,-30.75,1307.4,🧐 疑業外收益,💎 強力關注
4903.TWO,聯光通,49.0499992371,29.54819231150603,24.9,2025-12,1.02,1357.14,64.51,1292.63,🚀 利潤擴張,⚠️ 追價風險
1815.TWO,富喬,115.5,37.86885245901639,45.75000000000001,2025-12,1.64,1116.67,40.69,1075.98,🚀 利潤擴張,⚠️ 追價風險
5284.TW,jpp-KY,317.0,11.189551711966114,424.95,2025-12,12.05,1105.15,56.24,1048.91,🚀 利潤擴張,💎 強力關注
5488.TWO,松普,10.1999998093,27.56756705216216,5.55,2025-12,0.11,1000.0,-8.11,1008.11,🧐 疑業外收益,⚠️ 追價風險
2331.TW,精英,22.1499996185,4.614583253854167,72.0,2025-12,1.41,981.25,14.95,966.3,🚀 利潤擴張,💎 強力關注
4123.TWO,晟德,41.6500015259,2.5458436140525675,245.39999999999998,2025-12,12.33,905.92,-6.28,912.1999999999999,🧐 疑業外收益,💎 強力關注
6166.TW,凌華,70.5,15.986394557823129,66.15,2025-12,2.35,921.74,17.09,904.65,🚀 利潤擴張,✅ 穩健價值
