股號,名稱,即時現價,累計損益,建議狀態,詳細建議
0050,元大台灣50,<span class='price-now'>85.0</span><br><small>損益: +5.59%</small>,39.86%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 84.15。
0056,元大高股息,<span class='price-now'>40.8</span><br><small>損益: +3.82%</small>,36.34%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 40.53。
00635U,期元大S&P黃金,<span class='price-now'>50.8</span><br><small>損益: +1.64%</small>,3.4%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 50.75。
00918,大華優利高填息30,<span class='price-now'>23.26</span><br><small>損益: +2.87%</small>,18.16%,⚪ 觀望中,指標未翻正，保持觀望。
00919,群益台灣精選高息,<span class='price-now'>23.3</span><br><small>損益: +1.84%</small>,16.72%,⚪ 觀望中,指標未翻正，保持觀望。
009816,凱基台灣TOP50,<span class='price-now'>12.0</span><br><small>損益: +5.54%</small>,0%,⚪ 觀望中,指標未翻正，保持觀望。
