股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
4142.TW,國光生,🔥 訊號出現,18.7000007629,51.85,⚪ 一般監控,0.00%,50.00%,0.82%,-1.36%,2,18.45,0.5,0.0082
00929.TW,復華台灣科技優息,🔥 訊號出現,21.0499992371,67.75,⚪ 一般監控,62.50%,37.50%,0.99%,-1.75%,8,20.68,0.375,0.0099
4966.TWO,譜瑞-KY,🔥 訊號出現,555.0,68.93,⚪ 一般監控,0.00%,0.00%,nan%,-2.44%,3,541.46,0.0,
3702.TW,大聯大,無,98.1999969482,55.17,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0.0,1.0,0.0364
3105.TWO,穩懋,無,490.5,77.24,🟢 黃金標的,57.14%,85.71%,5.35%,-6.96%,7,0.0,0.8571,0.0535
7792.TWO,安葆,無,357.5,68.4,🟢 黃金標的,33.33%,77.78%,9.44%,-5.89%,9,0.0,0.7778,0.0944
2367.TW,燿華,無,70.4000015259,40.64,🟢 黃金標的,33.33%,66.67%,4.93%,-4.33%,6,0.0,0.6667,0.0493
2337.TW,旺宏,無,139.0,48.57,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,5,0.0,0.6,0.0966
0056.TW,元大高股息,無,40.7999992371,69.47,🔵 穩健標的,80.00%,60.00%,0.48%,-0.26%,5,0.0,0.6,0.0048
3481.TW,群創,無,27.25,58.16,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0.0,0.75,0.0189
2409.TW,友達,無,20.7000007629,79.08,⚪ 一般監控,66.67%,33.33%,1.45%,-5.01%,6,0.0,0.3333,0.0145
2327.TW,國巨*,無,325.0,78.76,⚪ 一般監控,33.33%,33.33%,2.63%,-2.70%,3,0.0,0.3333,0.0263
00990A.TW,主動元大AI新經濟,無,14.5699996948,71.79,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
2009.TW,第一銅,無,41.25,51.81,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
6136.TW,富爾特,無,24.0,42.86,⚪ 一般監控,50.00%,0.00%,nan%,-0.20%,2,0.0,0.0,
6806.TW,森崴能源,無,22.4500007629,20.32,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
0050.TW,元大台灣50,無,85.0,72.11,🔴 空頭陷阱,66.67%,66.67%,-0.97%,-1.98%,3,0.0,0.6667,-0.0097
00635U.TW,期元大S&P黃金,無,50.7999992371,64.77,🔴 空頭陷阱,25.00%,25.00%,-4.68%,-8.88%,4,0.0,0.25,-0.0468
2485.TW,兆赫,無,79.0999984741,48.64,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0.0,0.1667,-0.0496
2317.TW,鴻海,無,207.0,57.29,🔴 空頭陷阱,0.00%,0.00%,-5.40%,-6.16%,2,0.0,0.0,-0.054
00738U.TW,期元大道瓊白銀,無,65.5500030518,62.34,🔴 空頭陷阱,100.00%,0.00%,-26.09%,-0.56%,2,0.0,0.0,-0.2609
2352.TW,佳世達,無,25.25,64.95,🔴 空頭陷阱,50.00%,0.00%,-10.64%,-9.57%,2,0.0,0.0,-0.1064
6188.TWO,廣明,無,87.5,36.49,🔴 空頭陷阱,50.00%,0.00%,-5.11%,-4.47%,2,0.0,0.0,-0.0511
