股號,名稱,現價,漲跌幅,建議
0050,元大台灣50,84.65,0.59%,續抱/觀望
2382,廣達,308.5,0.00%,賣出
3105,穩懋,479.0,7.28%,續抱/觀望
4966,譜瑞-KY,530.0,0.00%,買入
00635U,期元大S&P黃金,50.85,0.00%,續抱/觀望
00738U,期元大道瓊白銀,64.65,0.00%,續抱/觀望
009816,凱基台灣TOP50,11.96,0.93%,續抱/觀望
2399,映泰,37.05,0.00%,買入
2609,陽明,51.5,0.00%,賣出
2618,長榮航,34.75,0.00%,賣出
