股號,名稱,現價,漲跌幅,建議
0050,元大台灣50,84.15,0.00%,續抱/觀望
0056,元大高股息,40.73,1.19%,續抱/觀望
00635U,期元大S&P黃金,50.85,0.00%,續抱/觀望
00918,大華優利高填息30,22.92,0.00%,續抱/觀望
00919,群益台灣精選高息,22.97,0.00%,續抱/觀望
009816,凱基台灣TOP50,11.93,0.68%,續抱/觀望
