advice,prev_eps,est_price,date,om,prev_year,eps,status,pe,prev_eps_yoy,symbol,name,eps_yoy,gm,prev_rev_yoy,expansion,price,rev_yoy
⚠️ 追價風險,1.58,52.05,2026-03,N/A,2025,1.64,🚀 利潤擴張,35.158501440922194,222.58,6902.TW,GOGOLOOK,530.77,N/A,20.92,487.52,122.0,43.25
⚪ 數據不足,-0.16,-7.499999999999999,2026-03,N/A,2025,0.46,🔄 轉虧為盈,0.0,74.6,6241.TWO,鑫永洋,820.0,N/A,5.06,484.25,16.8999996185,335.75
⚠️ 追價風險,0.31,8.850000000000001,2026-03,N/A,2025,0.22,🚀 利潤擴張,34.067797256779656,-42.59,8440.TWO,綠電,1200.0,N/A,-6.1,472.41999999999996,20.1000003815,727.58
⚪ 數據不足,2.72,0.0,2026-03,-0.34%,2025,1.21,🧐 疑業外收益,0.0,-1.45,4590.TW,富田-創,418.92,30.54%,-41.11,444.74,87.5,-25.82
⚠️ 追價風險,0.49,17.400000000000002,2026-03,11.05%,2025,0.25,🚀 利潤擴張,37.54310279060345,-34.67,2302.TW,麗正,600.0,36.04%,11.66,412.3,43.5499992371,187.7
⚠️ 追價風險,0.88,40.8,2026-03,15.37%,2025,2.25,🚀 利潤擴張,62.867647058823536,576.92,2344.TW,華邦電,1037.5,41.86%,9.55,390.63,171.0,646.87
⚪ 數據不足,1.44,0.0,2026-03,N/A,2025,0.41,🚀 利潤擴張,0.0,5.88,6908.TW,宏�砦C戲-創,387.5,N/A,28.36,381.05,35.8499984741,6.45
✅ 穩健價值,2.19,81.60000000000001,2026-03,N/A,2025,1.59,🚀 利潤擴張,15.955882913933824,-49.65,6716.TWO,應廣,715.79,N/A,-15.3,356.01,86.8000030518,359.78
⚠️ 追價風險,0.73,19.499999999999996,2026-03,N/A,2025,0.24,🚀 利潤擴張,22.61538432192308,207.35,5210.TWO,寶碩,380.0,N/A,9.95,342.59000000000003,29.3999996185,37.41
⚪ 數據不足,-0.2,-8.4,2026-03,N/A,2025,0.99,🔄 轉虧為盈,0.0,90.52,5228.TWO,鈺鎧,1090.0,N/A,25.85,339.47,43.6500015259,750.53
💎 強力關注,2.35,92.55,2026-03,N/A,2025,1.42,🚀 利潤擴張,11.150729830113454,1.73,2754.TWO,亞洲藏壽司,517.65,N/A,5.96,338.21999999999997,68.8000030518,179.43
⚠️ 追價風險,0.92,26.4,2026-03,14.30%,2025,0.13,🚀 利潤擴張,75.2840909090909,170.59,4556.TWO,旭然,550.0,42.07%,-3.75,312.59000000000003,132.5,237.41
✅ 穩健價值,0.57,25.95,2026-03,7.94%,2025,0.15,🚀 利潤擴張,15.14450911150289,-29.63,3071.TWO,協禧,650.0,30.11%,-5.82,306.68,26.2000007629,343.32
✅ 穩健價值,41.98,2097.2999999999997,2026-03,N/A,2025,68.8,🚀 利潤擴張,13.696180803890718,3.78,8299.TWO,群聯,1143.3,N/A,23.29,293.43999999999994,1915.0,849.86
⚪ 數據不足,-0.43,-2.2499999999999996,2026-03,N/A,2025,0.67,🔄 轉虧為盈,0.0,-150.59,6615.TWO,慧智,546.67,N/A,-14.91,276.36999999999995,34.1500015259,270.3
⚪ 數據不足,0.18,-9.150000000000002,2026-03,N/A,2025,0.27,🚀 利潤擴張,0.0,550.0,6282.TW,康舒,640.0,N/A,0.1,268.97,48.7000007629,371.03
⚪ 數據不足,-0.76,-20.1,2026-03,N/A,2025,0.38,🔄 轉虧為盈,0.0,55.83,8489.TWO,三貝德,445.45,N/A,5.03,258.58,22.9500007629,186.87
✅ 穩健價值,1.77,120.3,2026-03,8.07%,2025,4.49,🚀 利潤擴張,13.27930174563591,8050.0,4916.TW,事欣科,701.79,18.73%,0.89,228.27999999999997,106.5,473.51
💎 強力關注,0.88,44.1,2026-03,N/A,2025,2.97,🚀 利潤擴張,5.442176870748299,-66.67,4432.TWO,銘旺實,518.75,N/A,-3.15,226.35000000000002,16.0,292.4
💎 強力關注,0.88,14.700000000000001,2026-03,-88.29%,2025,0.45,🚀 利潤擴張,9.88775467387755,51.72,4702.TWO,中美實,350.0,35.38%,-61.59,217.69,9.6899995804,132.31
💎 強力關注,13.25,493.65000000000003,2026-03,N/A,2025,3.8,🚀 利潤擴張,4.618656943178364,33.97,8478.TW,東哥遊艇,512.9,N/A,5.83,215.22999999999996,152.0,297.67
💎 強力關注,1.65,76.65,2026-03,8.70%,2025,0.66,🚀 利潤擴張,7.387475538160469,-21.15,1609.TW,大亞,925.0,13.61%,3.39,211.49,37.75,713.51
⚪ 數據不足,0.08,0.0,2026-03,7.12%,2025,0.47,🚀 利潤擴張,0.0,-80.0,3717.TW,聯嘉投控,213.33,19.34%,3.55,186.79000000000002,21.8500003815,26.54
⚪ 數據不足,-1.82,-43.199999999999996,2026-03,N/A,2025,0.33,🔄 轉虧為盈,0.0,-280.2,8084.TWO,巨虹,266.67,N/A,-10.9,185.94,44.5,80.73
💎 強力關注,2.02,94.05,2026-03,14.85%,2025,2.65,🚀 利潤擴張,9.88835725677831,25.64,3290.TWO,東浦,728.13,30.40%,18.23,185.43999999999994,62.0,542.69
⚪ 數據不足,-0.17,-7.95,2026-03,N/A,2025,0.09,🔄 轉虧為盈,0.0,-177.27,5460.TWO,同協,550.0,N/A,-15.68,164.05,16.6000003815,385.95
