股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         75.9          6         64.0           8.09        4       -72346 📉 建議賣出              
0052.TW      富邦科技          45.26          6        62.07           11.3        3         2456 📉 建議賣出              
0056.TW      元大高股息         38.77          5        65.52           6.32        5         9254 📉 建議賣出              
00631L.TW    元大台灣50正2     469.35          7        67.86          13.82        5          552 📉 建議賣出              
00632R.TW    元大台灣50反1      14.12          6        41.67          -2.78        3          122 📈 持有 → 繼續持有         
00633L.TW    富邦上証正2         47.0         19        42.86          -3.11        2          824 📈 持有 → 繼續持有         
00634R.TW    富邦上証反1         3.29          5        54.55           0.08        5            0 📈 持有 → 繼續持有         
00635U.TW    期元大S&P黃金      50.05          5         75.0          16.84        4        -4610 📉 建議賣出              
00637L.TW    元大滬深300正2     19.49         11         50.0           0.41        2       -10579 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      7.05          5         50.0          -2.27        6           25 📈 持有 → 繼續持有         
00640L.TW    富邦日本正2        85.35          6        59.09           3.06        5            7 📉 建議賣出              
00641R.TW    富邦日本反1         4.28          5         40.0          -1.06        5            0 📈 持有 → 繼續持有         
00642U.TW    期元大S&P石油      25.49         11        59.46          64.24        0         -310 📈 持有 → 繼續持有         
00646.TW     元大S&P500       66.5         19          0.0          -3.01        3         -426 📉 建議賣出              
00648R.TW    元大S&P500反1     4.55         15        47.37           0.12        3           21 📈 持有 → 繼續持有         
00650L.TW    復華香港正2        16.95          4         50.0          -0.96        6         -383 📉 建議賣出              
00651R.TW    復華香港反1         5.37          3        42.86           3.65        8            0 📈 持有 → 繼續持有         
00654R.TW    富邦印度反1         7.07         12        53.85           8.08        3            0 📈 持有 → 繼續持有         
00655L.TW    未知             32.7         11        46.15            2.1        1          931 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1      6.22          6        53.85          -1.79        5            0 📉 建議賣出              
00662.TW     富邦NASDAQ       99.9         16        30.77          -7.73        6          434 📉 建議賣出              
00663L.TW    國泰臺灣加權正2       61.4          7        62.96          14.55        5           69 📉 建議賣出              
00664R.TW    國泰臺灣加權反1       2.28          6         40.0          -2.45        3          -15 📈 持有 → 繼續持有         
00665L.TW    富邦恒生國企正2       9.78          4         55.0           5.16        6        -1481 📉 建議賣出              
00666R.TW    富邦恒生國企反1       9.17          4        58.33           8.06        6            0 📈 持有 → 繼續持有         
00669R.TW    國泰美國道瓊反1        6.0         16         61.9           1.92        3            0 📈 持有 → 繼續持有         
00671R.TW    富邦NASDAQ反1     2.97         19         45.0          -1.42        3            0 📈 持有 → 繼續持有         
00673R.TW    期元大S&P原油反1    19.02         12          0.0            0.0        0           10 📈 持有 → 繼續持有         
00674R.TW    期元大S&P黃金反1     5.26         17        71.43           4.84        1          -88 📈 持有 → 繼續持有         
00675L.TW    富邦臺灣加權正2      186.0          7        67.86          13.39        5          -35 📉 建議賣出              
00676R.TW    富邦臺灣加權反1       7.76          7        41.67           -2.3        3          -18 📈 持有 → 繼續持有         
00679B.TWO   元大美債20年       27.49         15         50.0           0.08        4        -2270 📉 建議賣出              
00680L.TW    元大美債20正2       7.23          3        56.52           1.48        7         3999 📈 持有 → 繼續持有         
00685L.TW    群益臺灣加權正2      167.5          7        67.86          13.91        5            9 📉 建議賣出              
00686R.TW    群益臺灣加權反1       1.39          6         40.0          -0.68        2           75 📈 持有 → 繼續持有         
00687B.TWO   國泰20年美債       28.57         15         50.0           0.13        2         -339 📉 建議賣出              
00688L.TW    國泰20年美債正2       7.2          3        52.17           1.49        7         1014 📉 建議賣出              
00693U.TW    期街口S&P黃豆      22.17          4        75.86           9.66        5          -12 📈 持有 → 繼續持有         
00696B.TWO   富邦美債20年       29.92         14        52.63           1.14        3         1137 📉 建議賣出              
00700.TW     富邦�琤肭磪�       17.51          4         50.0           4.38        5           24 📉 建議賣出              
00703.TW     台新MSCI中國      20.64          4         50.0          -1.34        7           -1 📉 建議賣出              
00708L.TW    期元大S&P黃金正2   101.45          5         75.0          34.66        4         -458 📉 建議賣出              
00712.TW     復華富時不動產        8.71         10         50.0          -1.03        3       -25970 📉 建議賣出              
00713.TW     元大台灣高息低波       51.7          5        74.07           6.33        4          783 📉 建議賣出              
00715L.TW    期街口布蘭特正2      57.35         11        67.57         170.77        0        -2691 📈 持有 → 繼續持有         
00719B.TWO   元大美債1-3       31.42          4        55.56           1.33        6        -1578 📈 持有 → 繼續持有         
00720B.TWO   元大投資級公司債      33.45          4         44.0          -1.56        7        -1002 📈 持有 → 繼續持有         
00722B.TWO   群益投資級電信債      36.75          3         44.0          -0.67        8          823 📈 持有 → 繼續持有         
00724B.TWO   群益投資級金融債      34.23          3         50.0           0.89        9         1056 📈 持有 → 繼續持有         
00725B.TWO   國泰投資級公司債      35.49          3        44.44          -0.72        9        -2000 📈 持有 → 繼續持有         
00735.TW     國泰臺韓科技        69.25          4        62.07           16.4        6         -193 📉 建議賣出              
00738U.TW    期元大道瓊白銀       60.25          5        70.83           39.0        3        -5480 📉 建議賣出              
00740B.TWO   富邦全球投等債       38.92          3        45.45           -0.7        9         2426 📈 持有 → 繼續持有         
00746B.TWO   未知            36.09          3        47.83           -0.6        9         1091 📈 持有 → 繼續持有         
00749B.TWO   凱基新興債10+      31.95         19        38.89           0.56        2            1 📉 建議賣出              
00751B.TWO   元大AAA至A公司債    31.94         19        30.77          -1.95        4         1347 📉 建議賣出              
00752.TW     中信中國50        24.29          4        56.25           2.19        6          564 📉 建議賣出              
00753L.TW    中信中國50正2      10.59          4        61.11          -0.08        5         -305 📉 建議賣出              
00757.TW     統一FANG+      109.25          3         50.0          -1.75        8         -141 📉 建議賣出              
00761B.TWO   國泰A級公司債       34.95          3        45.45          -0.43        8         -127 📈 持有 → 繼續持有         
00764B.TWO   群益25年美債       28.53         15         50.0          -0.01        2        -1250 📉 建議賣出              
00768B.TWO   復華20年美債       51.85         14        57.14           0.55        3          320 📉 建議賣出              
00770.TW     國泰北美科技        51.75         18        33.33          -7.67        4          137 📈 持有 → 繼續持有         
00772B.TWO   中信高評級公司債      34.02          3        41.67          -0.93        9         3186 📈 持有 → 繼續持有         
00773B.TWO   中信優先金融債       36.13          3        45.83            0.5        9          542 📈 持有 → 繼續持有         
00780B.TWO   國泰A級金融債       37.87         16        36.84           0.05        2         -127 📉 建議賣出              
00795B.TWO   中信美國公債20年     27.71         14        52.63           1.22        3        -3938 📉 建議賣出              
00830.TW     國泰費城半導體        55.6         10        54.55          -3.04        5         2410 📈 持有 → 繼續持有         
00852L.TW    未知            27.83         19        33.33          -6.53        2            0 📉 建議賣出              
00857B.TWO   永豐20年美公債      24.03         14         50.0          -0.03        4          -97 📉 建議賣出              
00864B.TWO   中信美國公債0-1     46.65          4         50.0           1.57        6         -125 📈 持有 → 繼續持有         
00865B.TW    國泰US短期公債      48.27          4        58.33           2.16        5        -2179 📈 持有 → 繼續持有         
00875.TW     國泰網路資安        38.85         13         50.0           5.56        1          250 📈 持有 → 繼續持有         
00877.TWO    復華中國5G        29.01          5         40.0          -3.25        9         -436 📈 持有 → 繼續持有         
00878.TW     國泰永續高股息       22.47          5        72.41           6.76        5        11090 📉 建議賣出              
00881.TW     國泰台灣科技龍頭      37.18          6         62.5          12.91        3         4024 📈 持有 → 繼續持有         
00882.TW     中信中國高股息       15.87          3        57.69           4.46        8        -1084 📉 建議賣出              
00885.TW     富邦越南           17.2         12        46.15          -2.91        3        -1520 📉 建議賣出              
00887.TWO    永豐中國科技50大      12.8          6        52.38          -0.12        6         -845 📉 建議賣出              
00891.TW     中信關鍵半導體       24.57          6        58.06          15.41        3        11409 📈 持有 → 繼續持有         
00893.TW     國泰智能電動車       33.45          6        52.17            2.5        4           62 📉 建議賣出              
00900.TW     富邦特選高股息30     14.35          6        65.38           3.38        4          346 📈 持有 → 繼續持有         
00902.TW     中信電池及儲能       14.26          5         56.0           9.53        5         -586 📈 持有 → 繼續持有         
00904.TW     新光臺灣半導體30     29.66          5        67.74          20.66        2          295 📈 持有 → 繼續持有         
00909.TW     國泰數位支付服務      39.81         18        46.15          -6.92        2         3122 📈 持有 → 繼續持有         
00910.TW     第一金太空衛星       57.25          4        45.16          -2.55        8          192 📈 持有 → 繼續持有         
00915.TW     凱基優選高股息30     23.25          5        59.26           4.41        5        -1944 📉 建議賣出              
00918.TW     大華優利高填息30     22.58          6         62.5           1.06        5        -2999 📉 建議賣出              
00919.TW     群益台灣精選高息      22.97          5         60.0           2.74        5       -16637 📉 建議賣出              
00922.TW     國泰台灣領袖50      28.18          4        57.69           6.26        7       -16470 📉 建議賣出              
00923.TW     群益台ESG低碳50    28.93          6        59.38           9.01        3           14 📉 建議賣出              
00924.TW     復華S&P500成長    27.93         16        28.57          -3.81        4         -405 📉 建議賣出              
00927.TW     群益半導體收益       25.06          5        64.29          17.51        3         3196 📉 建議賣出              
00929.TW     復華台灣科技優息      19.83          6        66.67          10.83        3        14741 📈 持有 → 繼續持有         
00931B.TWO   統一美債20年       13.89         14         50.0           0.12        4         2511 📉 建議賣出              
00933B.TWO   國泰10Y+金融債     16.16          3        45.45           0.53        8        -1111 📈 持有 → 繼續持有         
00936.TW     台新永續高息中小      17.85          3        65.62           10.3        7         4825 📉 建議賣出              
00937B.TWO   群益ESG投等債20+    14.91         19         40.0          -1.63        3        -5197 📉 建議賣出              
00939.TW     統一台灣高息動能      15.78          3        65.62           7.95        8         2665 📉 建議賣出              
00940.TW     元大台灣價值高息       9.75          3        68.97           4.01        8        11064 📉 建議賣出              
00941.TW     中信上游半導體       21.76          6        53.12          13.36        3         1338 📈 持有 → 繼續持有         
00942B.TWO   台新美A公司債20+    14.47          3        39.13          -2.09       10         1424 📈 持有 → 繼續持有         
00945B.TW    凱基美國非投等債      14.46         17        58.33          -0.09        2         2945 📈 持有 → 繼續持有         
00946.TW     群益科技高息成長      10.17          6        69.23          10.67        2         1780 📈 持有 → 繼續持有         
00947.TW     台新臺灣IC設計      25.32          8        66.67          18.25        2         6496 📈 持有 → 繼續持有         
00948B.TWO   中信優息投資級債       9.51         19         40.0          -1.45        3         6465 📉 建議賣出              
00949.TW     復華日本龍頭        19.43          4        47.83           4.76        7         -379 📉 建議賣出              
00950B.TWO   凱基A級公司債       14.24          3        45.83          -0.18        9         6211 📈 持有 → 繼續持有         
00951.TW     台新日本半導體       13.65          6        41.67           1.68        6          -77 📈 持有 → 繼續持有         
00952.TW     凱基台灣AI50      13.36          6         64.0           8.48        4         1581 📈 持有 → 繼續持有         
00953B.TW    群益優選非投等債       9.65          4        53.33           0.54        5        12789 📉 建議賣出              
00955.TWO    中信日本商社        15.57          4        70.83          17.52        6          951 📉 建議賣出              
00959B.TWO   大華投等美債15Y+     9.46         19        41.18           -1.4        2          498 📉 建議賣出              
00963.TW     中信全球高股息       12.32          7        63.33            5.6        1          195 📉 建議賣出              
00965.TW     元大航太防衛科技      25.28          3        53.85          -4.53        8         1266 📉 建議賣出              
00968B.TWO   元大優息投等債        9.33          3        47.62          -0.41        9        -1014 📈 持有 → 繼續持有         
00969B.TWO   未知             8.63         19         50.0           0.12        2         1642 📉 建議賣出              
00970B.TWO   新光BBB投等債20+      9.4         19        53.33          -1.17        2          -66 📉 建議賣出              
009801.TW    中信美國創新科技       10.4         20        16.67          -5.93        5          -89 📉 建議賣出              
009803.TW    保德信市值動能50     15.57          7        55.17           8.82        3          684 📈 持有 → 繼續持有         
009805.TW    新光美國電力基建      15.11          5         60.0          12.67        5         -317 📈 持有 → 繼續持有         
00980A.TW    主動野村臺灣優選      17.78          6        60.71           9.22        4         4775 📈 持有 → 繼續持有         
009811.TW    統一美國50        11.16         19          0.0           -1.6        2          534 📉 建議賣出              
009813.TW    貝萊德標普卓越50     10.02         19          0.0          -1.13        1         1462 📉 建議賣出              
009814.TWO   富邦標普500        9.84         17          0.0           -3.0        3          -42 📉 建議賣出              
009815.TWO   大華美國MAG7+      9.46         20          0.0          -1.35        1           15 📉 建議賣出              
009816.TW    凱基台灣TOP50     10.78          4        63.64           6.96        3         7001 📉 建議賣出              
009817.TW    國泰日本不動產        9.76         15          0.0            0.0        0         1596 📉 建議賣出              
00981A.TW    主動統一台股增長      21.02         12        85.71            7.0        0        -2332 📈 持有 → 繼續持有         
00981B.TWO   第一金優選非投債       9.26         17         50.0          -0.21        1        -1858 📈 持有 → 繼續持有         
00981D.TWO   主動中信非投等債      10.33          3        56.25          -0.59        7        -4770 📉 建議賣出              
00982A.TW    主動群益台灣強棒      16.88          5        54.55           7.17        1         8958 📈 持有 → 繼續持有         
00982D.TW    主動富邦動態入息      10.05         14          0.0            0.0        0          452 📉 建議賣出              
00983A.TW    主動中信ARK創新     10.86         20          0.0            0.0        0          736 📉 建議賣出              
00984B.TWO   大華優利美A債15     16.53          3         50.0          -0.77        8        -2337 📈 持有 → 繼續持有         
