扣抵值 DMA 回測報告 (20260309)
==========================================================================================

=== 6831.TW (Best Period: 5) ===
買: 2017-01-05 @ 15.76 | 賣: 2017-01-20 @ 15.16 | 損益: -0.60 (-3.81%)
買: 2017-01-23 @ 15.24 | 賣: 2018-12-04 @ 29.72 | 損益: 14.48 (95.01%)
買: 2019-09-05 @ 33.11 | 賣: 2019-09-10 @ 30.76 | 損益: -2.35 (-7.10%)
買: 2019-09-11 @ 31.00 | 賣: 2020-01-30 @ 29.44 | 損益: -1.56 (-5.03%)
買: 2020-01-31 @ 28.27 | 賣: 2020-02-03 @ 27.05 | 損益: -1.22 (-4.32%)
買: 2020-02-04 @ 28.64 | 賣: 2020-03-12 @ 26.53 | 損益: -2.11 (-7.37%)
買: 2020-03-13 @ 24.88 | 賣: 2020-03-16 @ 22.76 | 損益: -2.12 (-8.52%)
買: 2020-03-17 @ 20.79 | 賣: 2020-03-19 @ 18.20 | 損益: -2.59 (-12.46%)
買: 2020-03-20 @ 19.85 | 賣: 2020-03-23 @ 18.53 | 損益: -1.32 (-6.65%)
買: 2020-03-24 @ 20.04 | 賣: 2020-04-30 @ 26.76 | 損益: 6.72 (33.53%)
買: 2020-11-30 @ 35.80 | 賣: 2020-12-11 @ 33.93 | 損益: -1.87 (-5.22%)
買: 2020-12-14 @ 33.74 | 賣: 2020-12-15 @ 32.68 | 損益: -1.06 (-3.14%)
買: 2020-12-16 @ 34.22 | 賣: 2020-12-22 @ 33.16 | 損益: -1.06 (-3.10%)
買: 2020-12-23 @ 33.69 | 賣: 2021-01-28 @ 32.58 | 損益: -1.11 (-3.29%)
買: 2021-01-29 @ 31.19 | 賣: 2021-05-04 @ 29.51 | 損益: -1.68 (-5.39%)
買: 2021-05-05 @ 29.55 | 賣: 2021-05-11 @ 28.35 | 損益: -1.20 (-4.06%)
買: 2021-05-12 @ 25.90 | 賣: 2021-05-17 @ 24.27 | 損益: -1.63 (-6.29%)
買: 2021-05-18 @ 26.43 | 賣: 2021-08-19 @ 26.07 | 損益: -0.36 (-1.36%)
買: 2022-11-03 @ 28.91 | 賣: 2022-11-10 @ 27.49 | 損益: -1.42 (-4.91%)
買: 2022-11-11 @ 27.39 | 賣: 2022-11-28 @ 26.51 | 損益: -0.88 (-3.21%)
買: 2022-11-29 @ 26.61 | 賣: 2022-12-07 @ 24.80 | 損益: -1.81 (-6.80%)
買: 2022-12-08 @ 24.75 | 賣: 2022-12-20 @ 23.33 | 損益: -1.42 (-5.74%)
買: 2022-12-21 @ 23.67 | 賣: 2023-01-17 @ 22.94 | 損益: -0.73 (-3.08%)
買: 2023-01-30 @ 23.43 | 賣: 2023-03-14 @ 22.70 | 損益: -0.73 (-3.12%)
買: 2023-03-15 @ 22.94 | 賣: 2023-05-03 @ 22.01 | 損益: -0.93 (-4.05%)
買: 2023-05-04 @ 21.91 | 賣: 2023-05-23 @ 22.84 | 損益: 0.93 (4.24%)
買: 2024-09-18 @ 21.25 | 賣: 2024-10-08 @ 20.60 | 損益: -0.65 (-3.06%)
買: 2024-10-09 @ 20.15 | 賣: 2024-11-04 @ 19.35 | 損益: -0.80 (-3.97%)
買: 2024-11-05 @ 19.35 | 賣: 2024-11-11 @ 18.40 | 損益: -0.95 (-4.91%)
買: 2024-11-12 @ 17.80 | 賣: 2024-11-14 @ 17.15 | 損益: -0.65 (-3.65%)
買: 2024-11-15 @ 17.30 | 賣: 2024-12-04 @ 17.15 | 損益: -0.15 (-0.87%)
買: 2025-11-26 @ 15.20 | 賣: 2026-01-05 @ 14.55 | 損益: -0.65 (-4.28%)
買: 2026-01-06 @ 15.75 | 賣: 2026-01-08 @ 15.10 | 損益: -0.65 (-4.13%)
買: 2026-01-09 @ 15.10 | 賣: 2026-03-06 @ 15.55 | 損益: 0.45 (2.98%)
小計: -13.68，交易次數: 34

=== 8261.TW (Best Period: 240) ===
買: 2017-11-06 @ 28.08 | 賣: 2017-11-07 @ 27.06 | 損益: -1.02 (-3.63%)
買: 2017-11-08 @ 26.90 | 賣: 2017-11-09 @ 25.88 | 損益: -1.02 (-3.79%)
買: 2017-11-10 @ 25.96 | 賣: 2017-11-14 @ 25.06 | 損益: -0.90 (-3.47%)
買: 2017-11-15 @ 25.10 | 賣: 2017-12-05 @ 24.16 | 損益: -0.94 (-3.75%)
買: 2017-12-06 @ 22.78 | 賣: 2018-02-09 @ 21.41 | 損益: -1.37 (-6.01%)
買: 2018-02-12 @ 21.65 | 賣: 2018-04-03 @ 20.98 | 損益: -0.67 (-3.09%)
買: 2018-04-09 @ 20.78 | 賣: 2019-05-16 @ 19.96 | 損益: -0.82 (-3.95%)
買: 2019-05-17 @ 20.15 | 賣: 2019-05-23 @ 19.13 | 損益: -1.02 (-5.06%)
買: 2019-05-24 @ 19.24 | 賣: 2019-07-23 @ 22.81 | 損益: 3.57 (18.56%)
買: 2020-11-06 @ 34.07 | 賣: 2023-09-19 @ 80.18 | 損益: 46.11 (135.34%)
買: 2025-09-01 @ 83.30 | 賣: 2026-03-06 @ 101.00 | 損益: 17.70 (21.25%)
小計: 59.62，交易次數: 11

=== 6205.TW (Best Period: 60) ===
買: 2014-08-18 @ 21.69 | 賣: 2014-09-05 @ 20.31 | 損益: -1.38 (-6.36%)
買: 2014-09-09 @ 19.60 | 賣: 2014-09-26 @ 18.86 | 損益: -0.74 (-3.78%)
買: 2014-09-29 @ 18.78 | 賣: 2014-10-03 @ 19.01 | 損益: 0.23 (1.22%)
買: 2015-01-29 @ 21.22 | 賣: 2015-04-10 @ 20.28 | 損益: -0.94 (-4.43%)
買: 2015-04-13 @ 19.78 | 賣: 2015-05-04 @ 19.10 | 損益: -0.68 (-3.44%)
買: 2015-05-05 @ 18.98 | 賣: 2015-05-11 @ 17.71 | 損益: -1.27 (-6.69%)
買: 2015-05-12 @ 17.71 | 賣: 2015-05-27 @ 17.74 | 損益: 0.03 (0.17%)
買: 2015-11-02 @ 19.54 | 賣: 2015-11-11 @ 18.26 | 損益: -1.28 (-6.55%)
買: 2015-11-12 @ 18.45 | 賣: 2015-12-11 @ 17.49 | 損益: -0.96 (-5.20%)
買: 2015-12-14 @ 17.17 | 賣: 2016-01-05 @ 16.59 | 損益: -0.58 (-3.38%)
買: 2016-01-06 @ 16.47 | 賣: 2016-02-24 @ 17.91 | 損益: 1.44 (8.74%)
買: 2016-04-19 @ 18.20 | 賣: 2016-05-04 @ 17.39 | 損益: -0.81 (-4.45%)
買: 2016-05-05 @ 17.36 | 賣: 2016-05-12 @ 16.82 | 損益: -0.54 (-3.11%)
買: 2016-05-13 @ 16.66 | 賣: 2016-06-21 @ 17.17 | 損益: 0.51 (3.06%)
買: 2016-08-26 @ 20.75 | 賣: 2016-11-09 @ 19.92 | 損益: -0.83 (-4.00%)
買: 2016-11-10 @ 21.17 | 賣: 2016-11-11 @ 20.51 | 損益: -0.66 (-3.12%)
買: 2016-11-14 @ 20.34 | 賣: 2017-01-24 @ 20.61 | 損益: 0.27 (1.33%)
買: 2017-02-24 @ 29.26 | 賣: 2017-03-03 @ 28.22 | 損益: -1.04 (-3.55%)
買: 2017-03-06 @ 28.50 | 賣: 2017-03-09 @ 27.18 | 損益: -1.32 (-4.63%)
買: 2017-03-10 @ 27.67 | 賣: 2017-03-28 @ 24.42 | 損益: -3.25 (-11.75%)
買: 2017-03-29 @ 26.84 | 賣: 2017-03-31 @ 25.97 | 損益: -0.87 (-3.24%)
買: 2017-04-05 @ 26.21 | 賣: 2017-04-11 @ 25.04 | 損益: -1.17 (-4.46%)
買: 2017-04-12 @ 25.73 | 賣: 2017-04-14 @ 24.59 | 損益: -1.14 (-4.43%)
買: 2017-04-17 @ 25.32 | 賣: 2017-08-11 @ 25.82 | 損益: 0.50 (1.97%)
買: 2019-03-06 @ 19.35 | 賣: 2019-08-28 @ 20.93 | 損益: 1.58 (8.17%)
買: 2019-10-21 @ 20.85 | 賣: 2019-11-08 @ 20.17 | 損益: -0.68 (-3.26%)
買: 2019-11-11 @ 20.13 | 賣: 2019-11-13 @ 19.96 | 損益: -0.17 (-0.84%)
買: 2020-06-18 @ 30.72 | 賣: 2020-06-24 @ 27.36 | 損益: -3.36 (-10.94%)
買: 2020-06-29 @ 26.96 | 賣: 2020-09-25 @ 25.79 | 損益: -1.17 (-4.34%)
買: 2020-09-28 @ 26.62 | 賣: 2021-04-21 @ 34.58 | 損益: 7.96 (29.90%)
買: 2021-10-21 @ 29.53 | 賣: 2022-06-23 @ 61.76 | 損益: 32.23 (109.14%)
買: 2022-10-04 @ 71.55 | 賣: 2022-10-11 @ 66.40 | 損益: -5.15 (-7.20%)
買: 2022-10-12 @ 67.40 | 賣: 2022-10-13 @ 63.42 | 損益: -3.98 (-5.91%)
買: 2022-10-14 @ 69.75 | 賣: 2022-12-13 @ 66.86 | 損益: -2.89 (-4.14%)
買: 2022-12-14 @ 67.04 | 賣: 2022-12-19 @ 64.60 | 損益: -2.44 (-3.64%)
買: 2022-12-20 @ 62.07 | 賣: 2023-01-05 @ 59.99 | 損益: -2.08 (-3.35%)
買: 2023-01-06 @ 60.62 | 賣: 2023-01-12 @ 60.98 | 損益: 0.36 (0.59%)
買: 2023-03-21 @ 75.71 | 賣: 2023-03-29 @ 73.27 | 損益: -2.44 (-3.22%)
買: 2023-03-30 @ 73.00 | 賣: 2023-04-10 @ 70.29 | 損益: -2.71 (-3.71%)
買: 2023-04-11 @ 69.30 | 賣: 2023-04-21 @ 66.86 | 損益: -2.44 (-3.52%)
買: 2023-04-24 @ 67.85 | 賣: 2023-04-25 @ 64.96 | 損益: -2.89 (-4.26%)
買: 2023-04-26 @ 65.77 | 賣: 2023-05-09 @ 63.06 | 損益: -2.71 (-4.12%)
買: 2023-05-10 @ 63.24 | 賣: 2023-05-26 @ 61.25 | 損益: -1.99 (-3.15%)
買: 2023-05-29 @ 62.34 | 賣: 2023-06-01 @ 62.52 | 損益: 0.18 (0.29%)
買: 2023-11-10 @ 63.36 | 賣: 2024-05-31 @ 73.39 | 損益: 10.03 (15.83%)
買: 2024-12-27 @ 73.94 | 賣: 2025-01-03 @ 70.95 | 損益: -2.99 (-4.04%)
買: 2025-01-06 @ 69.59 | 賣: 2025-01-13 @ 67.37 | 損益: -2.22 (-3.19%)
買: 2025-01-14 @ 68.05 | 賣: 2025-03-11 @ 64.67 | 損益: -3.38 (-4.97%)
買: 2025-03-12 @ 65.15 | 賣: 2025-03-31 @ 60.52 | 損益: -4.63 (-7.11%)
買: 2025-04-01 @ 61.58 | 賣: 2025-04-07 @ 57.05 | 損益: -4.53 (-7.36%)
買: 2026-01-13 @ 61.60 | 賣: 2026-01-16 @ 57.80 | 損益: -3.80 (-6.17%)
買: 2026-01-19 @ 56.50 | 賣: 2026-01-29 @ 52.80 | 損益: -3.70 (-6.55%)
買: 2026-01-30 @ 51.10 | 賣: 2026-02-06 @ 49.00 | 損益: -2.10 (-4.11%)
買: 2026-02-09 @ 48.55 | 賣: 2026-03-06 @ 53.80 | 損益: 5.25 (10.81%)
小計: -23.34，交易次數: 54

=== 1789.TW (Best Period: 120) ===
買: 2016-01-12 @ 37.39 | 賣: 2016-04-21 @ 36.18 | 損益: -1.21 (-3.24%)
買: 2016-04-22 @ 34.81 | 賣: 2016-05-13 @ 33.21 | 損益: -1.60 (-4.60%)
買: 2016-05-16 @ 34.01 | 賣: 2016-08-16 @ 34.80 | 損益: 0.79 (2.32%)
買: 2017-06-15 @ 34.76 | 賣: 2017-07-10 @ 33.50 | 損益: -1.26 (-3.62%)
買: 2017-07-11 @ 33.50 | 賣: 2017-08-10 @ 31.93 | 損益: -1.57 (-4.69%)
買: 2017-08-11 @ 31.76 | 賣: 2017-08-14 @ 29.86 | 損益: -1.90 (-5.98%)
買: 2017-08-15 @ 30.43 | 賣: 2017-09-11 @ 31.05 | 損益: 0.62 (2.04%)
買: 2020-02-17 @ 25.71 | 賣: 2020-03-13 @ 24.84 | 損益: -0.87 (-3.38%)
買: 2020-03-16 @ 24.66 | 賣: 2020-03-17 @ 23.61 | 損益: -1.05 (-4.26%)
買: 2020-03-18 @ 23.38 | 賣: 2020-03-19 @ 21.05 | 損益: -2.33 (-9.97%)
買: 2020-03-20 @ 21.69 | 賣: 2021-01-12 @ 25.00 | 損益: 3.31 (15.26%)
買: 2022-08-11 @ 24.52 | 賣: 2022-09-26 @ 23.56 | 損益: -0.96 (-3.92%)
買: 2022-09-27 @ 23.90 | 賣: 2022-09-28 @ 22.75 | 損益: -1.15 (-4.81%)
買: 2022-09-29 @ 23.18 | 賣: 2022-10-13 @ 22.22 | 損益: -0.96 (-4.14%)
買: 2022-10-14 @ 22.89 | 賣: 2024-01-19 @ 24.58 | 損益: 1.69 (7.38%)
買: 2024-07-17 @ 26.55 | 賣: 2024-07-26 @ 25.52 | 損益: -1.03 (-3.88%)
買: 2024-07-29 @ 25.33 | 賣: 2024-08-05 @ 23.47 | 損益: -1.86 (-7.34%)
買: 2024-08-06 @ 23.86 | 賣: 2024-11-06 @ 23.07 | 損益: -0.79 (-3.31%)
買: 2024-11-07 @ 23.17 | 賣: 2024-11-13 @ 22.83 | 損益: -0.34 (-1.47%)
買: 2026-01-29 @ 24.65 | 賣: 2026-02-02 @ 23.60 | 損益: -1.05 (-4.26%)
買: 2026-02-03 @ 24.20 | 賣: 2026-02-06 @ 23.40 | 損益: -0.80 (-3.31%)
買: 2026-02-09 @ 22.90 | 賣: 2026-02-10 @ 21.95 | 損益: -0.95 (-4.15%)
買: 2026-02-11 @ 21.65 | 賣: 2026-03-03 @ 21.00 | 損益: -0.65 (-3.00%)
買: 2026-03-04 @ 20.05 | 賣: 2026-03-06 @ 21.65 | 損益: 1.60 (7.98%)
小計: -14.32，交易次數: 24

=== 4721.TWO (Best Period: 240) ===
買: 2016-07-07 @ 27.95 | 賣: 2016-07-19 @ 26.77 | 損益: -1.18 (-4.22%)
買: 2016-07-20 @ 27.03 | 賣: 2016-08-11 @ 25.89 | 損益: -1.14 (-4.22%)
買: 2016-08-12 @ 25.37 | 賣: 2016-09-05 @ 24.60 | 損益: -0.77 (-3.04%)
買: 2016-09-06 @ 25.98 | 賣: 2016-09-29 @ 25.18 | 損益: -0.80 (-3.08%)
買: 2016-09-30 @ 25.02 | 賣: 2016-10-12 @ 23.83 | 損益: -1.19 (-4.76%)
買: 2016-10-13 @ 22.99 | 賣: 2016-10-17 @ 22.22 | 損益: -0.77 (-3.35%)
買: 2016-10-18 @ 22.30 | 賣: 2016-11-09 @ 21.49 | 損益: -0.81 (-3.63%)
買: 2016-11-10 @ 22.14 | 賣: 2019-03-20 @ 61.77 | 損益: 39.63 (179.00%)
買: 2021-05-04 @ 54.42 | 賣: 2021-05-11 @ 52.69 | 損益: -1.73 (-3.18%)
買: 2021-05-12 @ 48.19 | 賣: 2021-05-17 @ 43.78 | 損益: -4.41 (-9.15%)
買: 2021-05-18 @ 48.10 | 賣: 2023-04-18 @ 98.97 | 損益: 50.87 (105.76%)
小計: 77.70，交易次數: 11

=== 6924.TW (Best Period: 240) ===
買: 2025-11-26 @ 56.00 | 賣: 2026-03-06 @ 60.00 | 損益: 4.00 (7.14%)
小計: 4.00，交易次數: 1

=== 3044.TW (Best Period: 120) ===
買: 2015-01-23 @ 38.05 | 賣: 2015-03-06 @ 36.87 | 損益: -1.18 (-3.10%)
買: 2015-03-09 @ 36.26 | 賣: 2015-03-27 @ 34.85 | 損益: -1.41 (-3.89%)
買: 2015-03-30 @ 35.42 | 賣: 2015-04-16 @ 34.35 | 損益: -1.07 (-3.02%)
買: 2015-04-17 @ 35.36 | 賣: 2015-04-29 @ 34.01 | 損益: -1.35 (-3.82%)
買: 2015-04-30 @ 33.68 | 賣: 2015-05-04 @ 32.55 | 損益: -1.13 (-3.36%)
買: 2015-05-05 @ 32.89 | 賣: 2015-05-14 @ 31.54 | 損益: -1.35 (-4.10%)
買: 2015-05-15 @ 31.66 | 賣: 2015-06-08 @ 30.70 | 損益: -0.96 (-3.03%)
買: 2015-06-09 @ 29.75 | 賣: 2015-07-29 @ 28.70 | 損益: -1.05 (-3.53%)
買: 2016-03-04 @ 35.43 | 賣: 2016-04-06 @ 34.25 | 損益: -1.18 (-3.33%)
買: 2016-04-07 @ 34.61 | 賣: 2016-05-06 @ 33.43 | 損益: -1.18 (-3.41%)
買: 2016-05-09 @ 33.43 | 賣: 2018-04-26 @ 57.40 | 損益: 23.97 (71.70%)
買: 2019-04-11 @ 69.44 | 賣: 2019-04-24 @ 67.09 | 損益: -2.35 (-3.38%)
買: 2019-04-25 @ 68.55 | 賣: 2019-05-06 @ 66.26 | 損益: -2.29 (-3.34%)
