📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
6461.TWO     益得            20.75     80      40.54       6.14           14 ⚠️ 趕快賣出 (下跌旗形)      
2889.TW      國票金           15.85     80      54.05      -1.55        -8149 ⚠️ 趕快賣出 (下跌旗形)      
6120.TW      達運             13.3     80      45.95       9.47          866 ✅ 趕緊買入 (上升旗形)       
6624.TWO     萬年清            57.5     80      51.35     -12.21          -48 ⚠️ 趕快賣出 (下跌旗形)      
6217.TWO     中探針           111.0     80      54.05     118.07         3080 ✅ 趕緊買入 (上升旗形)       
3029.TW      零壹            120.5     80      43.24       5.24           75 ✅ 趕緊買入 (上升旗形)       
3596.TW      智易            203.0     80      51.35      16.33        -7588 ✅ 趕緊買入 (上升旗形)       
2380.TW      虹光             6.05     80      43.24      30.95          -12 ✅ 趕緊買入 (上升旗形)       
6532.TWO     瑞耘             60.5     80      48.65       4.67          -44 ✅ 趕緊買入 (上升旗形)       
6761.TWO     穩得            168.5     80      51.35       19.5           64 ✅ 趕緊買入 (上升旗形)       
6469.TWO     大樹             84.0     80      29.73     -10.92         -262 ⚠️ 趕快賣出 (下跌旗形)      
3609.TWO     三一東林           31.5     80      35.14     -24.73          135 ⚠️ 趕快賣出 (下跌旗形)      
2006.TW      東和鋼鐵           80.4     80      70.27      25.63         8028 ✅ 趕緊買入 (上升旗形)       
3066.TWO     李洲            17.15     80      37.84      24.73         -117 ✅ 趕緊買入 (上升旗形)       
6715.TW      嘉基            212.5     80      54.05      112.5          755 ✅ 趕緊買入 (上升旗形)       
6620.TWO     漢達             79.8     80      35.14      -6.56           25 ✅ 趕緊買入 (上升旗形)       
2603.TW      長榮            210.5     80      43.24       9.07        21979 ✅ 趕緊買入 (上升旗形)       
6223.TWO     旺矽           2965.0     80      59.46      31.19          248 ✅ 趕緊買入 (上升旗形)       
8930.TWO     青鋼             33.1     80      35.14       1.22          122 ✅ 趕緊買入 (上升旗形)       
6643.TWO     M31           453.0     80      45.95      15.71          215 ✅ 趕緊買入 (上升旗形)       
2059.TW      川湖           3205.0     80      40.54      -7.37          -11 ✅ 趕緊買入 (上升旗形)       
6854.TW      錼創科技-KY創      135.0     80      45.95       3.05          376 ✅ 趕緊買入 (上升旗形)       
6228.TWO     全譜             23.6     80      40.54      -12.1            1 ⚠️ 趕快賣出 (下跌旗形)      
4903.TWO     聯光通            41.0     80      48.65      -4.09        -1147 ✅ 趕緊買入 (上升旗形)       
8444.TWO     綠河-KY          8.83     80      32.43     -24.85          -13 ⚠️ 趕快賣出 (下跌旗形)      
4167.TWO     松瑞藥           20.25     80      48.65      13.13         -232 ✅ 趕緊買入 (上升旗形)       
8908.TWO     欣雄             44.5     80      32.43       1.14          -87 ✅ 趕緊買入 (上升旗形)       
6477.TW      安集            37.85     80      54.05       7.99        -1193 ✅ 趕緊買入 (上升旗形)       
6949.TW      沛爾生醫-創        564.0     80      67.57      82.82            6 ⚠️ 趕快賣出 (下跌旗形)      
1714.TW      和桐             10.2     80      54.05      26.71         5000 ✅ 趕緊買入 (上升旗形)       
00987A.TW    未知            11.29     80      58.33       5.42        -1824 ✅ 趕緊買入 (上升旗形)       
5289.TWO     宜鼎            805.0     80      51.35      35.29         -445 ✅ 趕緊買入 (上升旗形)       
5475.TWO     德宏            204.5     80      56.76     119.89           60 ✅ 趕緊買入 (上升旗形)       
6983.TWO     華洋精機          290.0     80      45.95      62.46            0 ✅ 趕緊買入 (上升旗形)       
2601.TW      益航             6.79     80      45.95      26.21         -484 ✅ 趕緊買入 (上升旗形)       
3709.TWO     鑫聯大投控          70.5     80      54.05      29.12        -1024 ✅ 趕緊買入 (上升旗形)       
4919.TW      新唐             80.3     80      62.16      56.84        -4792 ✅ 趕緊買入 (上升旗形)       
2377.TW      微星             96.7     80      54.05       0.94         6939 ✅ 趕緊買入 (上升旗形)       
1326.TW      台化             46.0     80      64.86      48.63       -43474 ✅ 趕緊買入 (上升旗形)       
7556.TWO     意德士           179.0     80      51.35       8.48           78 ✅ 趕緊買入 (上升旗形)       
6127.TWO     九豪            36.95     80      40.54      -1.47         -169 ✅ 趕緊買入 (上升旗形)       
7709.TWO     榮田             51.8     80      59.46      37.58           23 ⚠️ 趕快賣出 (下跌旗形)      
1717.TW      長興             62.8     80      54.05       49.7        -7709 ✅ 趕緊買入 (上升旗形)       
6568.TWO     宏觀            179.5     80      51.35      41.34          164 ✅ 趕緊買入 (上升旗形)       
6645.TW      金萬林-創          16.0     80      35.14     -10.86           -6 ⚠️ 趕快賣出 (下跌旗形)      
3623.TWO     富晶通            26.3     80      45.95       1.15          -66 ✅ 趕緊買入 (上升旗形)       
4755.TW      三福化           149.5     80      45.95      34.68          469 ✅ 趕緊買入 (上升旗形)       
4737.TW      華廣             61.7     80      56.76        6.5          705 ✅ 趕緊買入 (上升旗形)       
2072.TWO     世紀風電          259.5     80      43.24      -3.71            0 ⚠️ 趕快賣出 (下跌旗形)      
5386.TWO     青雲            260.0     80      62.16     179.57         -280 ✅ 趕緊買入 (上升旗形)       
3189.TW      景碩            291.5     80      62.16      86.86        -2811 ✅ 趕緊買入 (上升旗形)       
2881.TW      富邦金            88.8     80      43.24      -7.11       -50602 ⚠️ 趕快賣出 (下跌旗形)      
2467.TW      志聖            393.0     80      51.35      45.56         5171 ✅ 趕緊買入 (上升旗形)       
3338.TW      泰碩             58.9     80      59.46      17.33          412 ✅ 趕緊買入 (上升旗形)       
5328.TWO     華容             26.6     80      48.65       24.3          761 ✅ 趕緊買入 (上升旗形)       
7712.TWO     博盛半導體         105.0     80      54.05      21.67         -762 ✅ 趕緊買入 (上升旗形)       
2066.TWO     世德             50.4     80      40.54        1.2           18 ⚠️ 趕快賣出 (下跌旗形)      
1785.TWO     光洋科            66.3     80      48.65       0.91        -1883 ✅ 趕緊買入 (上升旗形)       
8028.TW      昇陽半導體         176.0     80      43.24      -5.63         3107 ✅ 趕緊買入 (上升旗形)       
6443.TW      元晶             48.1     80      56.76      73.33       -12619 ✅ 趕緊買入 (上升旗形)       
4977.TW      眾達-KY         167.0     80      48.65      18.86        -4962 ✅ 趕緊買入 (上升旗形)       
6244.TWO     茂迪             33.0     80      54.05      57.14        -3599 ✅ 趕緊買入 (上升旗形)       
1310.TW      台苯            10.65     80      59.46       22.7        -9180 ✅ 趕緊買入 (上升旗形)       
2252.TWO     為昇科            14.6     80      32.43     -17.05            0 ⚠️ 趕快賣出 (下跌旗形)      
8489.TWO     三貝德            25.1     80      37.84     -37.33          419 ⚠️ 趕快賣出 (下跌旗形)      
7751.TWO     竑騰           1200.0     80      48.65      57.89          155 ✅ 趕緊買入 (上升旗形)       
2369.TW      菱生            27.15     80      56.76      16.03        -1643 ✅ 趕緊買入 (上升旗形)       
8431.TWO     匯鑽科            67.2     80      45.95      -9.31         -160 ✅ 趕緊買入 (上升旗形)       
6782.TW      視陽            186.5     80      45.95       6.57          371 ✅ 趕緊買入 (上升旗形)       
2724.TWO     藝舍-KY         18.75     80      18.92     -13.79            0 ⚠️ 趕快賣出 (下跌旗形)      
5607.TW      遠雄港            52.2     80      43.24       7.08          269 ✅ 趕緊買入 (上升旗形)       
2548.TW      華固            114.5     80      43.24      -0.43         3005 ✅ 趕緊買入 (上升旗形)       
2923.TW      鼎固-KY          21.3     80      45.95        6.5          -29 ⚠️ 趕快賣出 (下跌旗形)      
2323.TW      中環            11.05     80      48.65      -0.45         -786 ✅ 趕緊買入 (上升旗形)       
1718.TW      中纖             7.54     80      51.35       11.7         3216 ✅ 趕緊買入 (上升旗形)       
8261.TW      富鼎            101.0     80      56.76       9.43         1575 ✅ 趕緊買入 (上升旗形)       
6508.TWO     惠光             26.3     80      37.84      11.68          -51 ✅ 趕緊買入 (上升旗形)       
1538.TW      正峰             17.8     80      32.43     -32.45            0 ⚠️ 趕快賣出 (下跌旗形)      
9931.TW      欣高            46.65     80      51.35      37.21            4 ✅ 趕緊買入 (上升旗形)       
3675.TWO     德微            181.5     80      48.65       32.0         -128 ✅ 趕緊買入 (上升旗形)       
3131.TWO     弘塑           1910.0     80      51.35       19.0          774 ✅ 趕緊買入 (上升旗形)       
8291.TWO     尚茂             14.5     80        2.7      -15.2            0 ⚠️ 趕快賣出 (下跌旗形)      
3702.TW      大聯大            72.0     80      56.76      21.62          659 ✅ 趕緊買入 (上升旗形)       
3653.TW      健策           3415.0     80      48.65      31.85          544 ✅ 趕緊買入 (上升旗形)       
6152.TW      百一            20.25     80      59.46      92.86         1879 ✅ 趕緊買入 (上升旗形)       
2478.TW      大毅             69.7     80      51.35      12.78          253 ✅ 趕緊買入 (上升旗形)       
2426.TW      鼎元             22.8     80      48.65      32.17         1477 ✅ 趕緊買入 (上升旗形)       
2254.TW      巨鎧精密-創         72.5     80      59.46      22.47           17 ✅ 趕緊買入 (上升旗形)       
3030.TW      德律            245.0     80      59.46      27.27          785 ✅ 趕緊買入 (上升旗形)       
5340.TWO     建榮            114.0     80      59.46      67.16          797 ✅ 趕緊買入 (上升旗形)       
6233.TWO     旺玖             26.8     80      43.24       5.93          309 ✅ 趕緊買入 (上升旗形)       
3714.TW      富采            39.15     80      51.35      12.82            9 ✅ 趕緊買入 (上升旗形)       
6465.TWO     威潤            36.25     80      40.54      -5.72         -138 ✅ 趕緊買入 (上升旗形)       
3665.TW      貿聯-KY        1770.0     80      51.35      16.07         1234 ✅ 趕緊買入 (上升旗形)       
3664.TWO     安瑞-KY         14.65     80      35.14     -21.02           20 ✅ 趕緊買入 (上升旗形)       
1802.TW      台玻             59.1     80      48.65      70.07        19022 ✅ 趕緊買入 (上升旗形)       
7795.TW      長廣            410.0     80      43.24      88.51         1470 ✅ 趕緊買入 (上升旗形)       
9918.TW      欣天然            55.8     80      67.57      40.38          -13 ✅ 趕緊買入 (上升旗形)       
4909.TWO     新復興            65.5     80      48.65      12.74          286 ✅ 趕緊買入 (上升旗形)       
2340.TW      台亞            25.95     80      43.24      -1.33          242 ✅ 趕緊買入 (上升旗形)       
2406.TW      國碩             34.1     80      59.46      37.22       -13086 ✅ 趕緊買入 (上升旗形)       
5498.TWO     凱崴             61.2     80      45.95      15.47          232 ✅ 趕緊買入 (上升旗形)       
2408.TW      南亞科           233.0     80      54.05      12.56        33113 ⚠️ 趕快賣出 (下跌旗形)      
3017.TW      奇鋐           1845.0     80      51.35       26.8         1556 ✅ 趕緊買入 (上升旗形)       
3206.TWO     志豐            39.55     80      48.65      23.21           31 ✅ 趕緊買入 (上升旗形)       
6667.TWO     信紘科           266.0     80      43.24      -0.93          499 ✅ 趕緊買入 (上升旗形)       
6873.TW      泓德能源          100.5     80      45.95        0.5         -499 ⚠️ 趕快賣出 (下跌旗形)      
3037.TW      欣興            432.0     80      62.16      97.26        -7323 ✅ 趕緊買入 (上升旗形)       
1314.TW      中石化            8.92     80      43.24      15.69         1314 ✅ 趕緊買入 (上升旗形)       
2483.TW      百容             22.9     80      59.46      21.49          -31 ✅ 趕緊買入 (上升旗形)       
4946.TWO     辣椒            158.0     80      54.05       51.2          -30 ✅ 趕緊買入 (上升旗形)       
1304.TW      台聚             13.1     80      56.76       23.0          984 ✅ 趕緊買入 (上升旗形)       
1305.TW      華夏            13.25     80      45.95      23.26         -935 ✅ 趕緊買入 (上升旗形)       
6885.TW      全福生技          25.85     80      18.92     -12.96          -10 ⚠️ 趕快賣出 (下跌旗形)      
7734.TWO     印能科技         1685.0     80      59.46      68.84          122 ✅ 趕緊買入 (上升旗形)       
3380.TW      明泰             34.9     80      40.54      10.27         2782 ✅ 趕緊買入 (上升旗形)       
5228.TWO     鈺鎧            22.85     80      48.65      17.48          258 ✅ 趕緊買入 (上升旗形)       
2395.TW      研華            375.0     80      51.35      30.89         7944 ✅ 趕緊買入 (上升旗形)       
3532.TW      台勝科           122.5     80      43.24      26.55          -33 ⚠️ 趕快賣出 (下跌旗形)      
6265.TWO     方土昶            36.4     65      54.05       8.82          891 🔸 緩慢下跌 (菱形頂)        
4912.TW      聯德控股-KY        90.1     65      37.84      -14.6         -390 🔸 緩慢下跌 (菱形頂)        
6209.TW      今國光            56.6     65      43.24     -14.76          925 🔸 緩慢下跌 (菱形頂)        
2615.TW      萬海             78.6     65      35.14      -1.26       -10228 🔸 緩慢下跌 (菱形頂)        
5521.TW      工信            20.85     65      37.84     -14.37         1506 🔸 緩慢下跌 (菱形頂)        
7728.TWO     光焱科技          757.0     65      48.65      24.71           23 🔸 緩慢下跌 (菱形頂)        
2618.TW      長榮航           34.25     65      51.35      -6.16       -53535 🔸 緩慢下跌 (菱形頂)        
8996.TW      高力            777.0     65      51.35      36.56          404 🔸 緩慢下跌 (菱形頂)        
6533.TW      晶心科           200.5     65      40.54     -17.15          307 🔸 緩慢下跌 (菱形頂)        
1784.TWO     訊聯             94.0     65      35.14      -10.9           97 🔸 緩慢下跌 (菱形頂)        
5302.TWO     太欣             11.7     65      43.24      23.81          -71 🔸 緩慢下跌 (菱形頂)        
3533.TW      嘉澤           1565.0     65      56.76      20.85          970 🔸 緩慢下跌 (菱形頂)        
6753.TW      龍德造船          139.0     65      48.65       4.51        -1287 🔸 緩慢下跌 (菱形頂)        
4585.TW      達明            317.0     65      40.54      -5.37          -95 🔸 緩慢下跌 (菱形頂)        
6550.TW      北極星藥業-KY       30.6     65      45.95      -3.16         -655 🔸 緩慢下跌 (菱形頂)        
6546.TWO     正基             81.0     65      40.54      31.92        -1382 🔸 緩慢下跌 (菱形頂)        
2421.TW      建準            137.0     65      32.43     -13.56        -5820 🔸 緩慢下跌 (菱形頂)        
8499.TW      鼎炫-KY         265.5     65      43.24     -19.67         -171 🔸 緩慢下跌 (菱形頂)        
3019.TW      亞光            133.5     65      48.65      -6.97         -941 🔸 緩慢下跌 (菱形頂)        
6239.TW      力成            225.0     65      51.35      22.62         8470 🔸 緩慢下跌 (菱形頂)        
2327.TW      國巨*           265.0     65      51.35       9.96       -10072 🔸 緩慢下跌 (菱形頂)        
8289.TWO     泰藝             35.9     65      51.35      73.01         -247 🔸 緩慢下跌 (菱形頂)        
1514.TW      亞力            117.5     65      43.24      19.78          918 🔸 緩慢下跌 (菱形頂)        
2610.TW      華航             18.9     65      51.35      -6.67      -124896 🔸 緩慢下跌 (菱形頂)        
6405.TW      悅城             32.2     65      45.95      11.61          100 🔸 緩慢下跌 (菱形頂)        
2344.TW      華邦電           106.5     65      51.35      17.29         1705 🔸 緩慢下跌 (菱形頂)        
3016.TW      嘉晶             57.1     65      48.65       4.01          753 🔸 緩慢下跌 (菱形頂)        
3221.TWO     台嘉碩           30.15     65      45.95      31.66         -322 🔸 緩慢下跌 (菱形頂)        
4768.TWO     晶呈科技          446.0     65      40.54      14.21           97 🔸 緩慢下跌 (菱形頂)        
4154.TWO     樂威科-KY        11.25     65      27.03     -25.74           -1 🔸 緩慢下跌 (菱形頂)        
1503.TW      士電            218.5     65      59.46      29.29        -2211 🔸 緩慢下跌 (菱形頂)        
6894.TWO     衛司特           291.5     65      48.65       28.7           26 🔸 緩慢下跌 (菱形頂)        
8234.TWO     新漢             64.9     65      51.35      -11.1          111 🔸 緩慢下跌 (菱形頂)        
2371.TW      大同            33.85     65      56.76      10.26       -17216 🔸 緩慢下跌 (菱形頂)        
5347.TWO     世界            118.5     65      48.65      28.39         5560 🔸 緩慢下跌 (菱形頂)        
3138.TW      耀登            180.5     65      54.05      71.09         -184 🔹 趕緊買入 (W底)         
2439.TW      美律             82.7     65      32.43     -13.67       -12187 🔸 緩慢下跌 (菱形頂)        
5203.TW      訊連             63.1     65      40.54      -28.7         -855 🔸 緩慢下跌 (菱形頂)        
4973.TWO     廣穎             41.9     65      48.65       5.67          705 🔸 緩慢下跌 (菱形頂)        
8088.TWO     品安             47.5     65      45.95        1.6          556 🔸 緩慢下跌 (菱形頂)        
1438.TW      三地開發           31.9     65      40.54      -4.92          -17 🔸 緩慢下跌 (菱形頂)        
2316.TW      楠梓電            93.0     65      54.05      -7.92        -4310 🔸 緩慢下跌 (菱形頂)        
1466.TW      聚隆             17.1     65      54.05      21.28          147 🔸 緩慢下跌 (菱形頂)        
2329.TW      華泰             51.6     65      43.24      -7.69        -2775 🔸 緩慢下跌 (菱形頂)        
6706.TW      惠特            120.0     65      37.84     -12.09        -1624 🔸 緩慢下跌 (菱形頂)        
3443.TW      創意           2385.0     65      54.05       9.15         -129 🔸 緩慢下跌 (菱形頂)        
2455.TW      全新            217.0     65      48.65      44.19         6665 🔸 緩慢下跌 (菱形頂)        
2460.TW      建通             26.0     65      45.95      17.65          582 🔸 緩慢下跌 (菱形頂)        
2230.TWO     泰茂             33.4     65      24.32     -64.05          390 🔸 緩慢下跌 (菱形頂)        
00735.TW     國泰臺韓科技        67.25     65      67.57      25.36         -947 🔸 緩慢下跌 (菱形頂)        
6789.TW      采鈺            346.0     65      48.65      24.01         1942 🔸 緩慢下跌 (菱形頂)        
2367.TW      燿華             69.0     65      59.46     145.12        11084 🔸 緩慢下跌 (菱形頂)        
2466.TW      冠西電            49.9     65      40.54     -24.96           49 🔸 緩慢下跌 (菱形頂)        
8477.TWO     創業家            13.0     65      43.24       3.59            1 🔹 趕緊買入 (W底)         
3684.TWO     榮昌             60.4     65      40.54      -5.03           68 🔸 緩慢下跌 (菱形頂)        
00663L.TW    國泰臺灣加權正2       62.5     65      62.16      27.55         -569 🔸 緩慢下跌 (菱形頂)        
3234.TWO     光環             80.0     65      56.76      64.95         -439 🔸 緩慢下跌 (菱形頂)        
5469.TW      瀚宇博            87.8     65      51.35      -5.08        -3003 🔸 緩慢下跌 (菱形頂)        
3305.TW      昇貿            105.5     65      45.95      -2.76          109 🔸 緩慢下跌 (菱形頂)        
6552.TW      易華電            27.3     65      48.65       8.12          345 🔸 緩慢下跌 (菱形頂)        
00631L.TW    元大台灣50正2     478.05     65      64.86       27.4        -5025 🔸 緩慢下跌 (菱形頂)        
6855.TWO     數泓科           110.5     65      29.73      -2.21            0 🔸 緩慢下跌 (菱形頂)        
6202.TW      盛群             59.1     65      59.46       57.6        -1265 🔸 緩慢下跌 (菱形頂)        
2472.TW      立隆電           113.0     65      48.65      -3.83        -1729 🔸 緩慢下跌 (菱形頂)        
5351.TWO     鈺創             51.4     65      48.65      -7.89         2558 🔸 緩慢下跌 (菱形頂)        
3555.TWO     博士旺           123.0     65      59.46      38.98         -164 🔸 緩慢下跌 (菱形頂)        
2331.TW      精英             24.2     65      43.24       5.91         2056 🔸 緩慢下跌 (菱形頂)        
6426.TW      統新            149.0     65      56.76      48.26          324 🔸 緩慢下跌 (菱形頂)        
00753L.TW    中信中國50正2      10.81     65      45.95     -14.95        13270 🔸 緩慢下跌 (菱形頂)        
8110.TW      華東             54.7     65      45.95      -12.2         5165 🔸 緩慢下跌 (菱形頂)        
3546.TWO     宇峻             67.3     65      29.73     -14.27          255 🔹 趕緊買入 (W底)         
8299.TWO     群聯           1770.0     65      62.16      22.49          989 🔸 緩慢下跌 (菱形頂)        
7777.TWO     能率亞洲           28.6     65      43.24       5.34         -128 🔸 緩慢下跌 (菱形頂)        
2258.TW      鴻華先進-創         35.8     65      29.73     -15.96         -416 🔸 緩慢下跌 (菱形頂)        
2449.TW      京元電子          284.5     65      56.76       6.36        -4570 🔸 緩慢下跌 (菱形頂)        
6613.TWO     朋億*           190.5     65      40.54      -4.01         -187 🔹 趕緊買入 (W底)         
6207.TWO     雷科             54.7     65      48.65      10.17         -937 🔹 趕緊買入 (W底)         
5205.TWO     中茂             28.1     65      37.84      -7.72            0 🔹 趕緊買入 (W底)         
2342.TW      茂矽             30.2     65      45.95       0.67         -108 🔸 緩慢下跌 (菱形頂)        
7799.TW      禾榮科           471.0     65      51.35       5.84          132 🔸 緩慢下跌 (菱形頂)        
2337.TW      旺宏            102.5     65      62.16     136.45       -14846 🔸 緩慢下跌 (菱形頂)        
9103.TW      美德醫療-DR        5.25     65      48.65      17.71          565 🔹 趕緊買入 (W底)         
2726.TWO     雅茗-KY          10.2     65      35.14     -23.02          -27 🔸 緩慢下跌 (菱形頂)        
6219.TWO     富旺            15.25     65      35.14     -23.94         -113 🔸 緩慢下跌 (菱形頂)        
6980.TWO     鐳洋科技          131.0     65      40.54      41.93            0 🔸 緩慢下跌 (菱形頂)        
1809.TW      中釉             25.4     65      56.76      41.11         -318 🔸 緩慢下跌 (菱形頂)        
2493.TW      揚博            105.0     65      43.24     -15.66          142 🔸 緩慢下跌 (菱形頂)        
7788.TW      松川精密          166.5     65      51.35      17.67           67 🔸 緩慢下跌 (菱形頂)        
6432.TWO     今展科           35.65     65      43.24       1.71         -117 🔸 緩慢下跌 (菱形頂)        
3092.TW      鴻碩            34.05     65      48.65      27.05          678 🔸 緩慢下跌 (菱形頂)        
2486.TW      一詮            135.5     65      51.35       41.0         -413 🔸 緩慢下跌 (菱形頂)        
2484.TW      希華             27.5     65      54.05      34.47         1121 🔸 緩慢下跌 (菱形頂)        
4806.TWO     桂田文創           11.3     65      35.14      11.88            0 🔸 緩慢下跌 (菱形頂)        
3691.TWO     碩禾            117.0     65      54.05      48.67          408 🔹 趕緊買入 (W底)         
5245.TWO     智晶            27.45     65      40.54      17.31           20 🔸 緩慢下跌 (菱形頂)        
5543.TWO     桓鼎-KY          26.2     65      45.95      -9.34           16 🔸 緩慢下跌 (菱形頂)        
6988.TW      威力暘-創         14.65     65      54.05       8.52            1 🔸 緩慢下跌 (菱形頂)        
6865.TWO     偉康科技           35.4     65      32.43     -25.63            3 🔸 緩慢下跌 (菱形頂)        
3689.TWO     湧德            106.0     65      37.84     -16.54         -848 🔸 緩慢下跌 (菱形頂)        
4906.TW      正文             26.9     65      48.65      -0.55         1055 🔹 趕緊買入 (W底)         
3354.TWO     律勝             27.7     65      43.24      -3.65         -688 🔸 緩慢下跌 (菱形頂)        
6419.TWO     京晨科            69.5     65      37.84     -16.16          100 🔸 緩慢下跌 (菱形頂)        
1599.TWO     宏佳騰            27.0     65      24.32      -9.85          -16 🔹 趕緊買入 (W底)         
3564.TWO     其陽            45.05     65      43.24      -8.43          -38 🔸 緩慢下跌 (菱形頂)        
4956.TW      光鋐            24.25     65      45.95      13.58         1175 🔸 緩慢下跌 (菱形頂)        
6257.TW      矽格            131.0     65      54.05      11.97       -10262 🔸 緩慢下跌 (菱形頂)        
4609.TWO     唐鋒              5.0     65      29.73     -21.88            0 🔸 緩慢下跌 (菱形頂)        
3357.TWO     臺慶科           159.5     65      51.35      -0.31        -2014 🔸 緩慢下跌 (菱形頂)        
3324.TWO     雙鴻            989.0     65      45.95       -1.1        -3520 🔸 緩慢下跌 (菱形頂)        
3563.TW      牧德            620.0     65      48.65      19.46          791 🔸 緩慢下跌 (菱形頂)        
6906.TW      現觀科            70.0     65      45.95     -15.15           32 🔹 趕緊買入 (W底)         
2401.TW      凌陽            21.65     65      54.05       7.18          554 🔸 緩慢下跌 (菱形頂)        
1569.TWO     濱川             52.3     65      40.54      -5.42          372 🔹 趕緊買入 (W底)         
1338.TW      廣華-KY         17.25     65      27.03     -15.02           85 🔸 緩慢下跌 (菱形頂)        
8048.TWO     德勝             63.2     65      54.05       14.7          439 🔸 緩慢下跌 (菱形頂)        
4739.TW      康普             69.9     65      59.46       2.49         -206 🔸 緩慢下跌 (菱形頂)        
6271.TW      同欣電           159.0     65      45.95      18.66         5080 🔸 緩慢下跌 (菱形頂)        
2605.TW      新興             34.0     65      56.76      31.27       -24898 🔸 緩慢下跌 (菱形頂)        
5484.TW      慧友             35.6     65      51.35      -6.19           91 🔸 緩慢下跌 (菱形頂)        
4540.TW      全球傳動          46.95     65      54.05      33.38          964 🔸 緩慢下跌 (菱形頂)        
6785.TWO     昱展新藥          192.0     65      43.24     -37.86           52 🔸 緩慢下跌 (菱形頂)        
4192.TWO     杏國            20.35     65      24.32     -18.27            1 🔸 緩慢下跌 (菱形頂)        
7721.TW      微程式            51.9     65      40.54       4.85           44 🔸 緩慢下跌 (菱形頂)        
2211.TW      長榮鋼           100.0     65      51.35       1.63         -907 🔹 趕緊買入 (W底)         
6274.TWO     台燿            504.0     65      54.05       4.67         7494 🔸 緩慢下跌 (菱形頂)        
6415.TW      矽力*-KY        252.5     65      51.35      36.12         1634 🔸 緩慢下跌 (菱形頂)        
3444.TWO     利機             61.6     65      43.24      -17.2           81 🔸 緩慢下跌 (菱形頂)        
8464.TW      億豐            376.0     65      48.65       2.59         -840 🔸 緩慢下跌 (菱形頂)        
2312.TW      金寶            23.55     65      48.65       2.61         -123 🔸 緩慢下跌 (菱形頂)        
6418.TWO     詠昇            32.05     65      35.14     -23.33           43 🔸 緩慢下跌 (菱形頂)        
3260.TWO     威剛            287.5     65      56.76        2.5        -6075 🔸 緩慢下跌 (菱形頂)        
2388.TW      威盛             46.0     65      45.95     -10.68        -1556 🔸 緩慢下跌 (菱形頂)        
4745.TWO     合富-KY         20.55     65      24.32     -19.09         -167 🔸 緩慢下跌 (菱形頂)        
7780.TW      大研生醫*         22.15     65      46.67       6.26          808 🔸 緩慢下跌 (菱形頂)        
1303.TW      南亞             82.3     65      51.35      44.39       -41959 🔸 緩慢下跌 (菱形頂)        
3006.TW      晶豪科           146.5     65      54.05      13.13         5643 🔸 緩慢下跌 (菱形頂)        
1605.TW      華新            32.75     65      48.65      -0.46        11716 🔸 緩慢下跌 (菱形頂)        
6122.TWO     擎邦             52.0     65      43.24       3.17           73 🔹 趕緊買入 (W底)         
3450.TW      聯鈞            282.5     65      45.95       3.48        -4022 🔸 緩慢下跌 (菱形頂)        
2349.TW      錸德             13.3     65      35.14     -10.44         1219 🔸 緩慢下跌 (菱形頂)        
6716.TWO     應廣             82.1     65      62.16      75.05           -1 🔸 緩慢下跌 (菱形頂)        
9914.TW      美利達            70.3     65      40.54     -10.45          -94 🔸 緩慢下跌 (菱形頂)        
5243.TW      乙盛-KY          73.3     65      48.65      -5.66        -1695 🔸 緩慢下跌 (菱形頂)        
3624.TWO     光頡             54.8     65      45.95     -14.64         1011 🔸 緩慢下跌 (菱形頂)        
6173.TWO     信昌電            64.1     65      48.65      -8.82           89 🔸 緩慢下跌 (菱形頂)        
3135.TW      凌航            118.5     65      45.95      33.15          587 🔸 緩慢下跌 (菱形頂)        
2428.TW      興勤            171.0     65      48.65      -5.52          -47 🔸 緩慢下跌 (菱形頂)        
8099.TWO     大世科            62.3     65      32.43     -13.83           31 🔸 緩慢下跌 (菱形頂)        
2356.TW      英業達            41.8     65      45.95      -6.17       -33841 🔸 緩慢下跌 (菱形頂)        
3499.TWO     環天科            17.8     65      48.65      -5.32         -216 🔹 趕緊買入 (W底)         
1519.TW      華城            926.0     65      51.35      24.46        -2518 🔸 緩慢下跌 (菱形頂)        
3372.TWO     典範            21.85     65      51.35       0.23         -183 🔸 緩慢下跌 (菱形頂)        
2239.TW      英利-KY          24.9     65      27.03     -31.87          -39 🔸 緩慢下跌 (菱形頂)        
1235.TW      興泰            41.65     65      43.24      -9.46          -10 🔸 緩慢下跌 (菱形頂)        
8472.TWO     夠麻吉            60.3     65      37.84     -15.19          -16 🔹 趕緊買入 (W底)         
2374.TW      佳能             72.1     65      43.24      -8.96        -1475 🔸 緩慢下跌 (菱形頂)        
6485.TWO     點序             82.7     65      43.24      -3.95          458 🔸 緩慢下跌 (菱形頂)        
1504.TW      東元             72.3     65      45.95     -14.23        -5290 🔸 緩慢下跌 (菱形頂)        
4979.TWO     華星光           379.0     65      45.95      15.73         1571 🔸 緩慢下跌 (菱形頂)        
00650L.TW    復華香港正2        17.32     65      51.35      -5.56          517 🔸 緩慢下跌 (菱形頂)        
4510.TWO     高鋒            42.15     65      51.35       4.72          170 🔸 緩慢下跌 (菱形頂)        
4971.TWO     IET-KY        428.5     65      56.76      37.78        -1090 🔸 緩慢下跌 (菱形頂)        
