📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
00780B.TWO   國泰A級金融債       37.99    100      40.54       0.98           57 🟢 迎接暴漲 (上升楔形)       
00933B.TWO   國泰10Y+金融債     16.43    100      45.95       1.19       223513 🟢 迎接暴漲 (上升楔形)       
00671R.TW    富邦NASDAQ反1     2.89    100      45.95       1.76        -1294 🟢 迎接暴漲 (上升楔形)       
2836.TW      高雄銀            12.5    100      35.14       2.46         -629 🟢 迎接暴漲 (上升楔形)       
00688L.TW    國泰20年美債正2      7.41    100      51.35       3.78         1654 🟢 迎接暴漲 (上升楔形)       
5439.TWO     高技            270.5    100      37.84     -12.46         -136 🔴 防範暴跌 (M頭)         
6655.TW      科定            131.5    100      51.35      10.97           -2 🟢 迎接暴漲 (上升楔形)       
8926.TW      台汽電            45.7    100      51.35      11.74          909 🟢 迎接暴漲 (上升楔形)       
00981B.TWO   第一金優選非投債        9.3    100      43.24       0.89        17581 🟢 迎接暴漲 (上升楔形)       
00680L.TW    元大美債20正2       7.44    100      51.35       4.06         9541 🟢 迎接暴漲 (上升楔形)       
00955.TWO    中信日本商社         15.4    100      56.76      16.49         -729 🔴 防範暴跌 (M頭)         
5864.TWO     致和證           25.25     80      67.57      65.03        -1288 ✅ 趕緊買入 (上升旗形)       
1313.TW      聯成             13.5     80      56.76      37.33       -22214 ✅ 趕緊買入 (上升旗形)       
2431.TW      聯昌            12.85     80      56.76      12.23          489 ⚠️ 趕快賣出 (下跌旗形)      
3483.TWO     力致             89.9     80      45.95      -3.64           -1 ✅ 趕緊買入 (上升旗形)       
3025.TW      星通             57.6     80      45.95     -11.25          159 ✅ 趕緊買入 (上升旗形)       
2104.TW      國際中橡          12.85     80      54.05      15.25        -5097 ✅ 趕緊買入 (上升旗形)       
4911.TWO     德英             34.3     80      32.43     -20.23            5 ⚠️ 趕快賣出 (下跌旗形)      
3455.TWO     由田            118.0     80      51.35      -1.26          765 ✅ 趕緊買入 (上升旗形)       
