股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50        76.85          6         70.0           9.94        2      -525063 📉 觀望/賣出             
0052.TW      富邦科技           45.6          6        68.18          10.85        2       -12381 📉 觀望/賣出             
0056.TW      元大高股息         38.63          3        77.78           6.96        3       -56344 📉 觀望/賣出             
00631L.TW    元大台灣50正2     478.05          3        76.92           6.89        2        -5025 📉 觀望/賣出             
00632R.TW    元大台灣50反1      14.12         18         50.0          -2.53        1           92 📉 觀望/賣出             
00633L.TW    富邦上証正2        45.66         19          0.0          -0.91        1          413 📉 觀望/賣出             
00634R.TW    富邦上証反1         3.31          5         50.0          -2.04        3           82 📈 持有                
00635U.TW    期元大S&P黃金       54.3          5        77.78          14.59        3          581 📉 觀望/賣出             
00637L.TW    元大滬深300正2     18.79         18         50.0          -1.06        1        23269 📉 觀望/賣出             
00638R.TW    元大滬深300反1      7.15          7        47.06          -1.98        3           63 📈 持有                
00640L.TW    富邦日本正2         90.5          6        66.67          14.05        2           16 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.18          6        33.33          -1.53        2            0 📈 持有                
00642U.TW    期元大S&P石油       21.0         11        62.96          35.31        0         3465 📈 持有                
00646.TW     元大S&P500       68.2          3         20.0          -0.94        4         2366 📈 持有                
00650L.TW    復華香港正2        17.32          3        57.14           3.64        3          517 📉 觀望/賣出             
00651R.TW    復華香港反1         5.32         16        45.45           2.69        1          -46 📈 持有                
00655L.TW    未知            31.59         11         20.0          -0.21        1         1361 📉 觀望/賣出             
00656R.TW    國泰中國A50反1      6.32          3        56.25          -3.22        6           50 📉 觀望/賣出             
00662.TW     富邦NASDAQ     102.05         16         40.0          -2.56        2        -2878 📈 持有                
00663L.TW    國泰臺灣加權正2       62.5          3        66.67           7.28        2         -569 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1       2.28          3         50.0          -2.48        2           12 📉 觀望/賣出             
00665L.TW    富邦恒生國企正2        9.8          3         50.0          -2.52        2         2946 📉 觀望/賣出             
00666R.TW    富邦恒生國企反1       9.19          4        46.67           2.88        3           25 📉 觀望/賣出             
00671R.TW    富邦NASDAQ反1     2.89         19        46.15          -1.41        1        -1294 📈 持有                
00673R.TW    期元大S&P原油反1     20.3         10          0.0            0.0        0        -2535 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     4.86         17          0.0            0.0        0            0 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.76          3         50.0          -2.07        2           38 📉 觀望/賣出             
00679B.TWO   元大美債20年       27.65         12        61.54           2.61        0       104434 📈 持有                
00680L.TW    元大美債20正2       7.44          7         60.0           2.57        3         9541 📉 觀望/賣出             
00686R.TW    群益臺灣加權反1       1.39          5         40.0          -1.39        1           25 📈 持有                
00687B.TWO   國泰20年美債       29.03         12        61.54           2.62        0       135698 📈 持有                
00688L.TW    國泰20年美債正2      7.41          7        57.14           2.72        3         1654 📉 觀望/賣出             
00696B.TWO   富邦美債20年       30.13         12        61.54           2.62        0        16382 📈 持有                
00700.TW     富邦�琤肭磪�       17.35          3        42.86           -0.9        3         4944 📉 觀望/賣出             
00703.TW     台新MSCI中國      20.45          3         50.0          -0.75        3            0 📉 觀望/賣出             
00712.TW     復華富時不動產        9.28          9         62.5           2.02        1         7254 📈 持有                
00713.TW     元大台灣高息低波       52.6          3        81.25           4.49        3        -3064 📉 觀望/賣出             
00715L.TW    期街口布蘭特正2      38.16         11        74.07          80.17        0       -23142 📈 持有                
00719B.TWO   元大美債1-3       31.26          4        42.86          -0.03        2         3523 📉 觀望/賣出             
00720B.TWO   元大投資級公司債      33.82         17        41.67           0.65        0        24069 📈 持有                
00722B.TWO   群益投資級電信債      37.14         13        36.36           1.14        0         5990 📈 持有                
00724B.TWO   群益投資級金融債      34.66          4        58.33           0.69        3         2846 📉 觀望/賣出             
00725B.TWO   國泰投資級公司債      35.85         17        53.85           0.96        0        17545 📈 持有                
00735.TW     國泰臺韓科技        67.25          3         75.0           2.96        3         -947 📉 觀望/賣出             
00738U.TW    期元大道瓊白銀        68.6          5         70.0          18.14        2        -3661 📉 觀望/賣出             
00740B.TWO   富邦全球投等債       39.53         12        53.85           0.93        0         9855 📈 持有                
00751B.TWO   元大AAA至A公司債    32.67         17        45.45           1.05        0       128473 📈 持有                
00752.TW     中信中國50        24.28          3         50.0           -1.4        3         5321 📉 觀望/賣出             
00753L.TW    中信中國50正2      10.81          3         50.0          -3.24        3        13270 📉 觀望/賣出             
00757.TW     統一FANG+       112.5         20        100.0           1.08        0          424 📈 持有                
00761B.TWO   國泰A級公司債       35.23         17        36.36           0.65        0          489 📈 持有                
00764B.TWO   群益25年美債       29.01         12        61.54           2.55        0        29550 📈 持有                
00770.TW     國泰北美科技         52.1          4        66.67          -1.18        2          621 📈 持有                
00772B.TWO   中信高評級公司債       34.5         18        45.45           0.78        0        14479 📈 持有                
00773B.TWO   中信優先金融債       36.77         17         50.0           0.61        0         4569 📈 持有                
00780B.TWO   國泰A級金融債       37.99         16         40.0           0.56        1           57 📈 持有                
00795B.TWO   中信美國公債20年      27.9         12        61.54           2.63        0       137030 📈 持有                
00830.TW     國泰費城半導體        55.6         14        58.33           -1.5        2       -10753 📉 觀望/賣出             
00857B.TWO   永豐20年美公債      24.19         12        61.54           2.72        0        13069 📈 持有                
00864B.TWO   中信美國公債0-1     46.24          4        36.36          -0.15        3         4797 📈 持有                
00875.TW     國泰網路資安        38.46         13         60.0            4.5        1          777 📈 持有                
00877.TWO    復華中國5G        27.83         20        36.36          -3.39        3         3429 📈 持有                
00878.TW     國泰永續高股息       22.39          5        83.33           6.09        3       -55382 📉 觀望/賣出             
00881.TW     國泰台灣科技龍頭      36.39          6        72.73          12.08        2       -12078 📉 觀望/賣出             
00882.TW     中信中國高股息       16.05          3        64.71           5.86        4        13469 📉 觀望/賣出             
00885.TW     富邦越南          18.47          7        45.45          -0.43        3         8844 📉 觀望/賣出             
00887.TWO    永豐中國科技50大     12.92         10        58.33           2.35        2        10931 📉 觀望/賣出             
00891.TW     中信關鍵半導體       23.85          4        68.42          13.54        3        -1498 📉 觀望/賣出             
00900.TW     富邦特選高股息30     14.33          3        63.64           1.31        3        -2410 📉 觀望/賣出             
00902.TW     中信電池及儲能        14.0          4        53.33           8.85        3        -3249 📉 觀望/賣出             
00904.TW     新光臺灣半導體30     28.36          5        71.43           14.9        2          719 📉 觀望/賣出             
00909.TW     國泰數位支付服務      39.94          3        42.86           1.12        2         6155 📈 持有                
00910.TW     第一金太空衛星        56.0          5         50.0           4.61        2          260 📈 持有                
00918.TW     大華優利高填息30     23.25          3        66.67            2.8        3       -68584 📉 觀望/賣出             
00919.TW     群益台灣精選高息      23.71          3         75.0           6.55        3      -196517 📉 觀望/賣出             
00922.TW     國泰台灣領袖50      30.32          3        73.68           9.95        3      -145107 📉 觀望/賣出             
00923.TW     群益台ESG低碳50    28.93          4        68.42          10.41        3          -65 📉 觀望/賣出             
00924.TW     復華S&P500成長    28.49         14         25.0          -2.16        2        -1451 📈 持有                
00927.TW     群益半導體收益        24.4          5         75.0          11.78        3       -10130 📉 觀望/賣出             
00929.TW     復華台灣科技優息      19.43          3        73.33           5.27        3       -20972 📉 觀望/賣出             
00931B.TWO   統一美債20年        14.0         12        58.33           1.82        0        25230 📈 持有                
00933B.TWO   國泰10Y+金融債     16.43          3        58.33           0.67        5       223513 📉 觀望/賣出             
00936.TW     台新永續高息中小      17.39          5        55.56           6.96        2        -1450 📉 觀望/賣出             
00937B.TWO   群益ESG投等債20+    15.16         17         50.0           0.54        0       136172 📈 持有                
00939.TW     統一台灣高息動能      15.78          3        76.47            8.3        3         -808 📉 觀望/賣出             
00940.TW     元大台灣價值高息       9.71          3        73.33           4.31        3       -42898 📉 觀望/賣出             
00941.TW     中信上游半導體        21.8          6        54.55          12.22        2         2147 📉 觀望/賣出             
