股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,49.80,125,64.28,36.61,---,3.53%,均線糾擺,無,無,MA 乖離率僅 1.28%,均線糾擺
7806,精華生醫,58.30,26,80.50,57.95,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,630.00,391,956.00,153.36,---,0.74%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,28.99,1279,30.21,26.05,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.41%,均線糾擺
6153,嘉聯益,16.10,3840,24.45,13.65,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,216.50,2888,346.94,77.60,📅 預告 (20260729),4.05%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,60.70,371,98.20,37.00,---,3.47%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7595,世基生醫,7.04,13,13.60,6.09,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3479,安勤,147.50,2960,156.50,83.70,---,5.22%,進入盤整,無,連1日大跌,ADX 為 14.54 (低於 20),進入盤整
1789,神隆,19.60,312,28.25,16.55,---,2.02%,均線糾擺,無,無,MA 乖離率僅 1.06%,均線糾擺
3171,炎洲流通,64.90,12,79.40,38.60,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.46%,均線糾擺
4721,美琪瑪,72.40,426,101.00,61.20,---,3.35%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911608,明輝-DR,2.75,261,3.51,2.59,---,1.89%,均線糾擺,無,無,MA 乖離率僅 0.47%,均線糾擺
6924,榮惠-KY創,102.00,6,193.50,47.80,---,7.45%,進入盤整,無,無,ADX 為 16.09 (低於 20),進入盤整
3044,健鼎,390.50,1352,573.00,240.00,---,4.08%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,12.30,402,17.15,11.85,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,88.65,399,107.70,37.15,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00676,富邦臺灣加權反1,5.83,7926,11.69,5.32,---,---,均線糾擺,無,無,MA 乖離率僅 0.97%,均線糾擺
4961,天鈺,159.00,245,190.50,135.00,📅 預告 (20260807),5.89%,均線糾擺,無,無,MA 乖離率僅 1.33%,均線糾擺
2012,春雨,15.65,44,18.23,14.15,---,5.31%,均線糾擺,無,無,MA 乖離率僅 0.77%,均線糾擺
8114,振樺電,217.50,1959,283.50,164.00,---,2.62%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,55.10,11,66.90,24.50,---,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (54.94)，進入噴發段,強勢突破 (軌外)
8028,昇陽半導體,311.00,1904,356.50,128.00,---,1.49%,均線糾擺,無,無,MA 乖離率僅 1.04%,均線糾擺
6972,博瑞達應材,24.20,0,31.40,22.70,---,---,均線糾擺,無,無,MA 乖離率僅 1.33%,均線糾擺
6443,元晶,27.35,4907,52.30,11.95,---,1.64%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00990,主動元大AI新經濟,10.02,2207,10.07,9.99,---,---,均線糾擺,無,無,MA 乖離率僅 0.12%,均線糾擺
2748,雲品,39.95,120,49.24,38.45,---,4.02%,均線糾擺,無,無,MA 乖離率僅 0.08%,均線糾擺
6525,捷敏-KY,142.00,1968,221.00,67.50,---,5.85%,進入盤整,無,無,ADX 為 16.42 (低於 20),進入盤整
006205,富邦上証,40.96,237,42.30,31.23,---,---,均線糾擺,無,無,MA 乖離率僅 0.31%,均線糾擺
6877,鏵友益,122.50,95,186.00,71.37,---,0.1%,進入盤整,無,無,ADX 為 6.16 (低於 20),進入盤整
4582,聚恆-創,27.95,147,43.20,17.05,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2758,路易莎咖啡,72.00,0,104.34,64.70,---,---,均線糾擺,隔二漲,無,MA 乖離率僅 0.52%,均線糾擺
1802,台玻,52.50,14995,76.60,16.80,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7642,昶瑞機電,81.80,31,129.00,63.20,---,4.08%,均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
9938,百和,47.15,1495,60.40,42.10,---,5.67%,均線糾擺,無,無,MA 乖離率僅 0.90%,均線糾擺
4442,竣邦-KY,59.70,566,71.50,45.46,---,5.25%,強勢突破 (軌外),無,無,股價衝破布林上軌 (58.11)，進入噴發段,強勢突破 (軌外)
00635,期元大S&P黃金,42.59,1586,60.55,35.95,---,---,均線糾擺,無,無,MA 乖離率僅 0.35%,均線糾擺
2408,南亞科,436.00,81024,505.00,40.55,---,0.32%,均線糾擺,連1日大漲,無,MA 乖離率僅 0.34%,均線糾擺
2539,櫻花建,41.40,1063,57.09,33.20,---,0.83%,貼軌運行,無,無,股價於高位貼軌 (41.40 > 1.5σ)，動能強勁,貼軌運行
2504,國產,31.90,1399,40.05,30.30,---,6.39%,均線糾擺,無,無,MA 乖離率僅 0.63%,均線糾擺
5546,永固-KY,14.25,120,28.45,14.25,---,6.57%,離開盤整 (向下),無,無,跌破布林下軌 (14.80),離開盤整 (向下)
3086,華義*,28.60,212,43.50,13.35,---,0.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2395,研華,577.00,3908,600.00,273.50,📅 預告 (20260805),2.49%,進入盤整,無,無,ADX 為 14.71 (低於 20),進入盤整
3050,鈺德,11.60,514,15.30,11.20,---,3.5%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00984,大華優利美A債15,16.25,311,16.82,14.55,---,0.48%,均線糾擺,無,無,MA 乖離率僅 0.27%,均線糾擺
6591,動力-KY,45.05,124,98.76,43.40,---,3.5%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6176,瑞儀,87.20,3438,139.27,83.10,📅 預告 (20260730),7.07%,均線糾擺,無,無,MA 乖離率僅 0.72%,均線糾擺
6811,宏�硌穈T,232.50,260,263.00,182.50,---,3.86%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4544,春日,14.35,0,17.95,13.10,---,---,均線糾擺,無,無,MA 乖離率僅 0.74%,均線糾擺
9949,琉園,23.70,36,36.70,15.58,---,8.09%,進入盤整,無,無,ADX 為 8.46 (低於 20),進入盤整
4510,高鋒,38.70,294,55.20,35.05,---,4.14%,進入盤整,無,無,ADX 為 14.61 (低於 20),進入盤整
6194,育富,30.20,31,39.65,29.38,---,5.78%,均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
6124,業強,25.90,26,37.95,23.30,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00757,統一FANG+,129.95,668,138.05,101.15,---,---,均線糾擺,無,無,MA 乖離率僅 0.40%,均線糾擺
2101,南港,33.15,754,45.45,29.75,---,1.99%,均線糾擺,無,無,MA 乖離率僅 0.42%,均線糾擺
00945,凱基美國非投等債,14.64,3942,14.68,12.98,---,0.6%,均線糾擺,無,無,MA 乖離率僅 0.11%,均線糾擺
4556,旭然,117.00,134,132.50,22.45,---,1.17%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
1612,宏泰,31.15,469,40.65,31.00,---,5.79%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6624,萬年清,39.50,1,72.50,31.85,---,1.56%,均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
3081,聯亞,1805.00,6198,3160.00,346.00,📅 預告 (20260812),0.14%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
9925,新保,40.20,413,40.20,37.43,---,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (40.10)，進入噴發段,強勢突破 (軌外)
8446,華研,86.30,61,95.60,83.00,---,8.07%,均線糾擺,無,無,MA 乖離率僅 0.28%,均線糾擺
00685,群益臺灣加權正2,10.96,229791,329.55,10.41,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6446,藥華藥,1195.00,2055,1395.00,442.00,---,0.22%,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
009813,貝萊德標普卓越50,11.11,2859,11.45,9.64,---,---,均線糾擺,無,無,MA 乖離率僅 0.21%,均線糾擺
6485,點序,64.40,400,124.50,50.00,---,0.96%,進入盤整,無,無,ADX 為 18.05 (低於 20),進入盤整
6294,智基,27.60,1,56.63,26.95,---,5.98%,均線糾擺,無,無,MA 乖離率僅 0.53%,均線糾擺
5403,中菲,94.30,52,118.35,84.50,---,5.04%,均線糾擺,無,無,MA 乖離率僅 0.19%,均線糾擺
6775,穎台科技,28.35,61,72.30,20.40,---,---,進入盤整,無,無,ADX 為 19.97 (低於 20),進入盤整
00981,平衡凱基雙核收息,10.46,4424,10.58,9.91,---,0.67%,均線糾擺,無,無,MA 乖離率僅 0.00%,均線糾擺
5455,昇益,28.55,2,33.25,22.55,---,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (28.48)，進入噴發段,強勢突破 (軌外)
2374,佳能,68.10,3846,94.96,48.28,---,0.56%,進入盤整,無,無,ADX 為 19.71 (低於 20),進入盤整
6113,亞矽,22.60,74,29.85,18.45,---,1.65%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6912,益鈞環科*,12.05,1,20.40,11.65,---,---,均線糾擺,無,無,MA 乖離率僅 0.28%,均線糾擺
6804,明係,18.90,488,24.20,15.00,---,---,強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (17.89)，進入噴發段,強勢突破 (軌外)
1443,立益物流,26.35,7,31.50,21.20,---,---,均線糾擺,無,無,MA 乖離率僅 0.27%,均線糾擺
2025,千興,11.75,288,15.30,9.01,---,---,進入盤整,無,無,ADX 為 15.36 (低於 20),進入盤整
6141,柏承,34.95,4697,46.00,10.25,---,---,均線糾擺,無,連2日大跌,MA 乖離率僅 0.95%,均線糾擺
5243,乙盛-KY,86.50,902,135.00,59.32,---,1.95%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4771,望隼,187.50,108,215.00,170.00,---,3.09%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2303,聯電,126.00,219215,178.50,40.40,📅 預告 (20260729),6.06%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3372,典範,16.35,827,25.65,12.65,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4968,立積,98.00,458,166.50,97.00,📅 預告 (20260731),0.76%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6158,禾昌,17.90,94,24.75,17.10,---,3.32%,均線糾擺,無,無,MA 乖離率僅 0.96%,均線糾擺
8454,富邦媒,244.50,640,439.50,170.00,📅 預告 (20260804),4.28%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
5603,陸海,14.80,235,20.75,14.25,---,4.6%,均線糾擺,無,無,MA 乖離率僅 0.45%,均線糾擺
8433,弘帆,54.00,22,59.80,46.57,---,7.64%,均線糾擺,無,無,MA 乖離率僅 0.51%,均線糾擺
00991,主動復華未來50,16.48,102125,21.33,9.66,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1540,喬福,21.35,206,28.45,20.30,---,5.35%,均線糾擺,無,無,MA 乖離率僅 1.07%,均線糾擺
2417,圓剛,40.95,773,56.90,33.40,---,0.55%,進入盤整,無,無,ADX 為 10.36 (低於 20),進入盤整
2402,毅嘉,56.70,1317,77.70,37.13,---,4.8%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2351,順德,160.50,1906,229.00,70.88,---,3.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2420,新巨,56.90,248,65.30,47.60,---,5.95%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6189,豐藝,48.45,351,65.30,42.50,---,5.06%,均線糾擺,無,無,MA 乖離率僅 1.35%,均線糾擺
7893,睿信,170.00,11,249.00,140.00,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911622,泰聚亨-DR,3.69,3,4.67,3.51,---,---,均線糾擺,無,無,MA 乖離率僅 0.64%,均線糾擺
8222,寶一,37.75,806,58.60,33.75,---,1.46%,均線糾擺,無,無,MA 乖離率僅 1.11%,均線糾擺
7743,金利食安,21.00,3,28.65,18.50,---,---,均線糾擺,無,無,MA 乖離率僅 0.76%,均線糾擺
3499,環天科,13.70,17,21.35,13.10,---,---,進入盤整,無,無,ADX 為 16.99 (低於 20),進入盤整
6223,旺矽,5720.00,625,7354.87,994.00,---,1.5%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6261,久元,81.70,434,133.50,56.82,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7583,國際海洋,37.60,0,87.00,34.50,---,---,均線糾擺,無,無,MA 乖離率僅 0.91%,均線糾擺
3287,廣寰科,28.90,52,38.45,27.85,---,4.12%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6658,聯策,155.50,249,257.00,46.40,---,1.31%,進入盤整,無,無,ADX 為 13.99 (低於 20),進入盤整
1232,大統益,153.50,326,168.50,136.16,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2732,六角,64.40,11,76.75,60.35,---,---,均線糾擺,無,無,MA 乖離率僅 0.29%,均線糾擺
2497,怡利電,52.80,314,66.80,37.29,---,4.88%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2059,川湖,8275.00,530,8655.00,2106.67,📅 預告 (20260807),1.1%,均線糾擺,連1日大漲,無,MA 乖離率僅 0.38%,均線糾擺
7773,富禾生醫,27.25,16,47.00,21.00,---,---,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
3434,哲固,29.90,133,41.77,27.90,---,1.03%,均線糾擺,無,無,MA 乖離率僅 0.26%,均線糾擺
6913,鴻呈,123.00,69,156.00,105.00,---,1.49%,均線糾擺,無,無,MA 乖離率僅 0.56%,均線糾擺
00749,凱基新興債10+,31.55,100,32.43,27.46,---,1.31%,均線糾擺,無,無,MA 乖離率僅 0.47%,均線糾擺
3030,德律,296.50,1196,419.50,141.00,---,3.79%,均線糾擺,無,無,MA 乖離率僅 1.38%,均線糾擺
1786,科妍,50.30,88,123.00,49.95,---,3.41%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6677,瑩碩生技,16.15,9,29.05,16.05,---,---,進入盤整,無,無,ADX 為 18.49 (低於 20),進入盤整
9802,鈺齊-KY,74.30,878,112.32,71.90,---,---,均線糾擺,無,無,MA 乖離率僅 0.26%,均線糾擺
3219,倚強科,61.70,104,109.50,44.55,---,0.58%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00918,大華優利高填息30,32.58,16867,32.58,20.64,---,3.92%,貼軌運行,無,無,股價於高位貼軌 (32.58 > 1.5σ)，動能強勁,貼軌運行
7848,騏億鑫,355.00,24,529.00,279.50,---,---,均線糾擺,無,無,MA 乖離率僅 0.86%,均線糾擺
4951,精拓科,80.70,269,140.00,63.70,---,4.65%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3022,威強電,91.70,4532,94.30,56.20,---,5.62%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4537,旭東,139.50,450,200.00,31.07,---,---,離開盤整 (向下),無,連1日大跌,跌破布林下軌 (147.89),離開盤整 (向下)
5906,台南-KY,39.00,1,55.80,35.15,---,1.58%,均線糾擺,無,無,MA 乖離率僅 1.36%,均線糾擺
4167,松瑞藥,20.40,1253,21.85,17.00,---,2.15%,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
00641,富邦日本反1,3.74,1040,5.65,3.69,---,---,均線糾擺,無,無,MA 乖離率僅 0.23%,均線糾擺
7842,天能綠電,88.90,18,220.71,88.90,---,---,離開盤整 (向下),無,無,跌破布林下軌 (89.16),離開盤整 (向下)
00912,中信臺灣智慧50,31.89,514,35.82,17.67,---,2.72%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2743,山富,61.00,60,96.22,59.10,---,1.75%,進入盤整,無,無,ADX 為 16.00 (低於 20),進入盤整
6617,共信-KY,84.10,451,117.50,60.20,---,---,進入盤整,無,無,ADX 為 12.82 (低於 20),進入盤整
2412,中華電,140.50,22504,146.50,129.00,📅 預告 (20260805),3.72%,均線糾擺,無,無,MA 乖離率僅 0.62%,均線糾擺
8354,冠好,15.50,62,19.00,13.92,---,4.03%,進入盤整,無,無,ADX 為 16.32 (低於 20),進入盤整
2428,興勤,240.00,533,343.50,127.73,---,3.96%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2065,世豐,31.80,29,36.20,26.53,---,4.72%,均線糾擺,無,無,MA 乖離率僅 0.46%,均線糾擺
6818,連騰,47.25,13,100.50,32.60,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
