expansion,eps,gm,advice,om,price,prev_eps,prev_year,prev_eps_yoy,eps_yoy,date,prev_rev_yoy,name,rev_yoy,pe,symbol,est_price,status
561.54,5.29,N/A,💎 強力關注,N/A,24.0,5.5,2025,1270.21,544.54,2025-12,-19.03,琉園,-17.0,2.5263157894736845,9949.TWO,142.49999999999997,🧐 疑業外收益
549.9,0.18,N/A,⚪ 數據不足,N/A,57.4000015259,-0.38,2025,-90.0,550.0,2025-12,-4.33,康舒,0.1,0.0,6282.TW,-13.950000000000003,🔄 轉虧為盈
467.93,1.43,43.42%,⚠️ 追價風險,-66.51%,39.3499984741,0.49,2025,179.03,457.5,2025-12,-12.66,吉祥全,-10.43,231.47057925941155,2491.TW,2.5500000000000025,🧐 疑業外收益
440.95000000000005,0.47,30.70%,⚠️ 追價風險,-18.51%,31.6000003815,0.54,2025,2600.0,461.54,2025-12,18.74,杭特,20.59,26.1157027946281,3297.TWO,18.15,🚀 利潤擴張
418.37000000000006,1.28,18.45%,⚪ 數據不足,4.44%,195.5,-0.58,2025,7.84,752.94,2025-12,310.97,博士旺,334.57,0.0,3555.TWO,-9.599999999999998,🔄 轉虧為盈
417.34999999999997,1.22,22.27%,⚠️ 追價風險,15.14%,47.0,-0.11,2025,38.89,408.33,2025-12,-10.45,宏旭-KY,-9.02,53.40909090909092,2243.TW,13.199999999999998,🔄 轉虧為盈
379.12,8.13,42.12%,⚠️ 追價風險,18.24%,807.0,5.45,2025,790.16,474.47,2025-12,119.15,大量,95.35,45.82623509369675,3167.TW,264.15000000000003,🚀 利潤擴張
374.26,0.45,2.52%,💎 強力關注,0.23%,9.3999996185,0.43,2025,326.32,364.71,2025-12,-6.34,宏洲,-9.55,8.545454198636365,1413.TW,16.499999999999996,🧐 疑業外收益
371.81,1.22,23.49%,⚠️ 追價風險,7.74%,316.0,0.62,2025,187.32,377.27,2025-12,6.23,雙鍵,5.46,122.00772200772201,4764.TW,38.849999999999994,🚀 利潤擴張
370.34000000000003,1.69,N/A,💎 強力關注,N/A,29.2999992371,1.26,2025,916.67,382.35,2025-12,13.03,同亨,12.01,6.4254384291885955,5490.TWO,68.4,🚀 利潤擴張
364.75,0.55,N/A,💎 強力關注,N/A,16.6000003815,0.02,2025,103.23,358.33,2025-12,-10.3,新天地,-6.42,5.9285715648214286,8940.TW,42.0,🧐 疑業外收益
356.99,1.52,69.49%,⚪ 中性觀察,-15.39%,73.0999984741,1.65,2025,179.66,406.67,2025-12,43.11,倚強科,49.68,18.366833787462316,3219.TWO,59.699999999999996,🏰 高護城河
327.09,0.9,10.73%,💎 強力關注,-2.70%,26.25,0.52,2025,185.25,327.5,2025-12,-0.15,友達,0.41,10.334645669291339,2409.TW,38.1,🚀 利潤擴張
316.98,7.73,15.60%,💎 強力關注,0.97%,90.4000015259,7.71,2025,114.76,346.24,2025-12,30.37,冠星-KY,29.26,4.212488421523765,4439.TW,321.90000000000003,🚀 利潤擴張
289.09,0.15,8.40%,⚪ 數據不足,-12.67%,51.9000015259,-0.11,2025,-222.22,275.0,2025-12,-14.04,映泰,-14.09,0.0,2399.TW,-2.7000000000000006,🔄 轉虧為盈
281.70000000000005,7.21,34.44%,💎 強力關注,-79.17%,47.5,7.88,2025,352.24,275.85,2025-12,-0.73,宏達電,-5.85,1.9832985386221296,2498.TW,359.25,🧐 疑業外收益
281.08,4.01,N/A,💎 強力關注,N/A,73.0,4.81,2025,-18.34,271.37,2025-12,-8.55,美利達,-9.71,5.641421947449768,9914.TW,194.10000000000002,🧐 疑業外收益
275.27,4.02,N/A,💎 強力關注,N/A,48.7999992371,3.02,2025,410.34,288.24,2025-12,12.63,浪凡,12.97,4.77495100167319,6165.TW,153.3,🚀 利潤擴張
273.68,2.01,38.42%,⚠️ 追價風險,13.23%,201.0,1.26,2025,447.83,294.12,2025-12,19.84,大銀微系統,20.44,45.995423340961096,4576.TW,65.55,🚀 利潤擴張
255.45000000000002,0.25,-4.21%,⚪ 數據不足,-53.06%,49.2999992371,0.98,2025,230.67,241.18,2025-12,-6.66,冠西電,-14.27,0.0,2466.TW,-8.100000000000001,🧐 疑業外收益
254.79,5.5,9.17%,💎 強力關注,6.96%,34.75,4.75,2025,241.94,254.81,2025-12,-0.36,華榮,0.02,2.9879621668099743,1608.TW,174.45,🚀 利潤擴張
