代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6770.TW,力積電,58.5,0,0,0,20260519,-547498,442661,990159,-0.8x,-5.80%,★ 壓低偷買
00999A.TW,主動野村臺灣高息,10.03,0,0,0,20260519,-298152,29280,327432,-0.1x,-6.26%,★ 壓低偷買
00400A.TW,主動國泰動能高息,12.7,0,0,0,20260519,-211576,100046,311623,-0.5x,-10.18%,★ 壓低偷買
5425.TWO,台半,85.6,0,0,0,20260519,-268219,6941,275160,-0.0x,5.55%,▲ 順勢追意
2337.TW,旺宏,144.0,0,0,0,20260519,-196682,44029,240712,-0.2x,-5.88%,★ 壓低偷買
00991A.TW,主動復華未來50,17.08,0,0,0,20260519,-34482,192145,226627,-5.6x,-7.27%,★ 壓低偷買
2356.TW,英業達,51.7,0,0,0,20260519,37555,257776,220221,6.9x,6.16%,▲ 順勢追意
3707.TWO,漢磊,72.7,0,0,0,20260519,-115868,95347,211215,-0.8x,-5.83%,★ 壓低偷買
2355.TW,敬鵬,63.4,0,0,0,20260519,6401,207767,201366,32.5x,22.87%,▲ 順勢追意
8112.TW,至上,83.6,0,0,0,20260519,-193433,585,194018,-0.0x,2.20%,▲ 順勢追意
5439.TWO,高技,379.0,0,0,0,20260519,-172324,18267,190591,-0.1x,-0.52%,★ 壓低偷買
009820.TW,元大納斯達克精選,10.06,0,0,0,20260519,163719,341660,177940,2.1x,0.70%,▲ 順勢追意
8096.TWO,擎亞,105.5,0,0,0,20260519,48083,216061,167977,4.5x,8.88%,▲ 順勢追意
8028.TW,昇陽半導體,262.0,0,0,0,20260519,-20208,145781,165990,-7.2x,9.85%,▲ 順勢追意
00997A.TW,主動群益美國增長,11.7,0,0,0,20260519,-114850,44443,159293,-0.4x,-8.74%,★ 壓低偷買
1785.TWO,光洋科,143.0,0,0,0,20260519,-129144,14380,143525,-0.1x,-9.78%,★ 壓低偷買
00982A.TW,主動群益台灣強棒,21.25,0,0,0,20260519,-77997,53454,131451,-0.7x,-8.68%,★ 壓低偷買
6207.TWO,雷科,83.9,0,0,0,20260519,-40197,65227,105425,-1.6x,21.95%,▲ 順勢追意
4960.TW,誠美材,34.55,0,0,0,20260519,-86631,17332,103963,-0.2x,-9.44%,★ 壓低偷買
00988A.TW,主動統一全球創新,18.28,0,0,0,20260519,-93315,9613,102929,-0.1x,-8.28%,★ 壓低偷買
3535.TW,晶彩科,132.0,0,0,0,20260519,-81968,16910,98879,-0.2x,3.53%,▲ 順勢追意
00927.TW,群益半導體收益,33.65,0,0,0,20260519,-91719,1755,93475,-0.0x,-6.19%,★ 壓低偷買
6209.TW,今國光,71.8,0,0,0,20260519,-3247,85962,89210,-26.5x,8.79%,▲ 順勢追意
8261.TW,富鼎,135.5,0,0,0,20260519,-26566,59323,85889,-2.2x,3.44%,▲ 順勢追意
4979.TWO,華星光,523.0,0,0,0,20260519,-79002,1686,80688,-0.0x,-20.64%,★ 壓低偷買
3048.TW,益登,56.1,0,0,0,20260519,57502,136424,78922,2.4x,19.62%,▲ 順勢追意
3576.TW,聯合再生,19.25,0,0,0,20260519,-9211,67306,76517,-7.3x,11.27%,▲ 順勢追意
6175.TWO,立敦,74.1,0,0,0,20260519,-33693,39366,73060,-1.2x,9.45%,▲ 順勢追意
6239.TW,力成,227.0,0,0,0,20260519,-5789,64768,70558,-11.2x,0.22%,★ 壓低偷買
