prev_eps,date,symbol,pe,om,prev_year,rev_yoy,price,eps_yoy,status,eps,expansion,gm,name,advice,prev_rev_yoy,prev_eps_yoy,est_price
0.92,2026-03,4556.TWO,44.54545541244318,14.30%,2025,237.41,78.4000015259,550.0,🚀 利潤擴張,0.13,312.59000000000003,42.07%,旭然,⚠️ 追價風險,-3.75,170.59,26.4
0.57,2026-03,3071.TWO,19.42196443589595,7.94%,2025,343.32,33.5999984741,650.0,🚀 利潤擴張,0.15,306.68,30.11%,協禧,⚪ 中性觀察,-5.82,-29.63,25.95
41.98,2026-03,8299.TWO,18.452295808897155,N/A,2025,849.86,2580.0,1143.3,🚀 利潤擴張,68.8,293.43999999999994,N/A,群聯,⚪ 中性觀察,23.29,3.78,2097.2999999999997
-0.43,2026-03,6615.TWO,0.0,N/A,2025,270.3,34.2999992371,546.67,🔄 轉虧為盈,0.67,276.36999999999995,N/A,慧智,⚪ 數據不足,-14.91,-150.59,-2.2499999999999996
0.18,2026-03,6282.TW,0.0,N/A,2025,371.03,63.9000015259,640.0,🚀 利潤擴張,0.27,268.97,N/A,康舒,⚪ 數據不足,0.1,550.0,-9.150000000000002
-0.76,2026-03,8489.TWO,0.0,N/A,2025,186.87,22.1499996185,445.45,🔄 轉虧為盈,0.38,258.58,N/A,三貝德,⚪ 數據不足,5.03,55.83,-20.1
1.77,2026-03,4916.TW,13.092269326683292,8.07%,2025,473.51,105.0,701.79,🚀 利潤擴張,4.49,228.27999999999997,18.73%,事欣科,✅ 穩健價值,0.89,8050.0,120.3
0.88,2026-03,4432.TWO,5.49319714914966,N/A,2025,292.4,16.1499996185,518.75,🚀 利潤擴張,2.97,226.35000000000002,N/A,銘旺實,💎 強力關注,-3.15,-66.67,44.1
0.88,2026-03,4702.TWO,10.255102235408163,-88.29%,2025,132.31,10.0500001907,350.0,🚀 利潤擴張,0.45,217.69,35.38%,中美實,💎 強力關注,-61.59,51.72,14.700000000000001
13.25,2026-03,8478.TW,4.6034639927073835,N/A,2025,297.67,151.5,512.9,🚀 利潤擴張,3.8,215.22999999999996,N/A,東哥遊艇,💎 強力關注,5.83,33.97,493.65000000000003
1.65,2026-03,1609.TW,7.563601081389432,8.70%,2025,713.51,38.6500015259,925.0,🚀 利潤擴張,0.66,211.49,13.61%,大亞,💎 強力關注,3.39,-21.15,76.65
0.08,2026-03,3717.TW,0.0,7.12%,2025,26.54,22.2000007629,213.33,🚀 利潤擴張,0.47,186.79000000000002,19.34%,聯嘉投控,⚪ 數據不足,3.55,-80.0,0.0
-1.82,2026-03,8084.TWO,0.0,N/A,2025,80.73,51.9000015259,266.67,🔄 轉虧為盈,0.33,185.94,N/A,巨虹,⚪ 數據不足,-10.9,-280.2,-43.199999999999996
2.02,2026-03,3290.TWO,10.97288724909091,14.85%,2025,542.69,68.8000030518,728.13,🚀 利潤擴張,2.65,185.43999999999994,30.40%,東浦,💎 強力關注,18.23,25.64,94.05
1.54,2026-03,4582.TWO,0.0,N/A,2025,116.02,0.0,276.67,🚀 利潤擴張,0.53,160.65000000000003,N/A,未知,⚪ 數據不足,32.98,1640.0,0.0
1.54,2026-03,4582.TW,0.0,N/A,2025,116.02,26.25,276.67,🚀 利潤擴張,0.53,160.65000000000003,N/A,聚恆-創,⚪ 數據不足,32.98,1640.0,0.0
-0.25,2026-03,2426.TW,0.0,-2.91%,2025,542.01,89.9000015259,700.0,🔄 轉虧為盈,0.06,157.99,10.78%,鼎元,⚪ 數據不足,-2.43,-219.05,-6.6
-0.19,2026-03,2417.TW,0.0,8.42%,2025,108.24,46.9000015259,264.29,🔄 轉虧為盈,0.28,156.05,56.31%,圓剛,⚪ 數據不足,2.69,54.55,-25.049999999999997
-0.29,2026-03,9934.TW,147.85714830714272,N/A,2025,214.33,10.3500003815,366.67,🔄 轉虧為盈,0.28,152.34,N/A,成霖,⚠️ 追價風險,-4.25,-125.22,1.050000000000001
2.88,2026-03,6569.TWO,17.550702028081123,N/A,2025,307.94,112.5,442.11,🚀 利潤擴張,1.03,134.17000000000002,N/A,醫揚,⚪ 中性觀察,5.8,-38.68,96.15
2.35,2026-03,6166.TW,27.86596119929453,N/A,2025,273.28,158.0,406.45,🚀 利潤擴張,1.57,133.17000000000002,N/A,凌華,⚠️ 追價風險,17.09,921.74,85.05
4.66,2026-03,3081.TWO,194.672131147541,41.27%,2025,515.18,2375.0,645.65,🏰 高護城河,3.44,130.47000000000003,54.76%,聯亞,⚠️ 追價風險,82.29,884.75,183.0
6.21,2026-03,3356.TW,5.361813426329555,N/A,2025,113.17,61.5,228.49,🚀 利潤擴張,2.21,115.32000000000001,N/A,奇偶,💎 強力關注,-14.96,-20.59,172.05
0.33,2026-03,6735.TWO,0.0,N/A,2025,268.59,93.0,383.33,🚀 利潤擴張,0.29,114.74000000000001,N/A,美達科技,⚪ 數據不足,-4.81,-84.51,-7.200000000000001
-1.63,2026-03,2601.TW,0.0,-12.62%,2025,-21.56,5.6799998283,87.5,🏰 高護城河,-0.02,109.06,102.69%,益航,⚪ 數據不足,-7.78,-365.71,-33.6
1.73,2026-03,7730.TW,55.47337278106509,N/A,2025,161.56,187.5,270.0,🚀 利潤擴張,0.37,108.44,N/A,暉盛-創,⚠️ 追價風險,-5.33,-45.51,50.699999999999996
2.15,2026-03,2911.TW,0.0,N/A,2025,67.27,7.8800001144,163.46,🚀 利潤擴張,0.66,96.19000000000001,N/A,麗嬰房,⚪ 數據不足,-16.81,152.83,-40.05
0.43,2026-03,3083.TWO,33.56321926770115,12.73%,2025,57.36,29.2000007629,150.0,🏰 高護城河,0.3,92.64,87.57%,網龍,⚠️ 追價風險,-7.4,-46.91,13.05
1.39,2026-03,6931.TW,13.569023312154883,N/A,2025,990.52,40.2999992371,1080.0,🚀 利潤擴張,0.49,89.48000000000002,N/A,青松健康,✅ 穩健價值,14.16,104.41,44.550000000000004
-0.84,2026-03,1599.TWO,0.0,-21.33%,2025,486.21,23.2999992371,575.0,🔄 轉虧為盈,0.28,88.79000000000002,16.92%,宏佳騰,⚪ 數據不足,-18.58,-169.49,-24.299999999999994
-0.61,2026-03,4147.TWO,0.0,-58.34%,2025,81.97,57.7000007629,166.67,🔄 轉虧為盈,0.06,84.69999999999999,28.91%,中裕,⚪ 數據不足,0.19,17.57,-18.3
2.41,2026-03,1339.TW,6.687116330383436,13.17%,2025,102.97,43.5999984741,186.6,🚀 利潤擴張,2.78,83.63,33.66%,昭輝,💎 強力關注,-14.02,-51.9,97.8
3.02,2026-03,2436.TW,14.395604116135532,3.76%,2025,309.82,78.5999984741,392.86,🚀 利潤擴張,0.7,83.04000000000002,30.84%,偉詮電,✅ 穩健價值,15.32,78.06,81.9
1.11,2026-03,6756.TW,35.64356435643565,N/A,2025,97.11,108.0,178.26,🚀 利潤擴張,0.64,81.14999999999999,N/A,威鋒電子,⚠️ 追價風險,-8.83,-50.67,45.449999999999996
1.97,2026-03,3546.TWO,16.153846153846157,20.17%,2025,62.07,84.0,136.36,🏰 高護城河,2.34,74.29000000000002,89.44%,宇峻,⚪ 中性觀察,2.09,-64.44,77.99999999999999
-1.49,2026-03,7823.TW,0.0,N/A,2025,26.64,81.5,99.93,🚀 利潤擴張,-0.15,73.29,N/A,奧義賽博-KY創,⚪ 數據不足,22.72,96.29,0.0
-2.43,2026-03,6169.TWO,0.0,N/A,2025,-97.71,14.8000001907,-25.93,🌑 雙重衰退,-0.68,71.78,N/A,昱泉,⚪ 數據不足,19.25,-99.18,-96.44999999999999
0.14,2026-03,8354.TWO,0.0,N/A,2025,578.38,16.3999996185,650.0,🚀 利潤擴張,0.3,71.62,N/A,冠好,⚪ 數據不足,0.63,-91.14,-17.549999999999997
2.76,2026-03,4905.TWO,15.157894736842104,0.20%,2025,315.9,72.0,386.11,🚀 利潤擴張,1.75,70.21000000000004,25.49%,台聯電,✅ 穩健價值,22.56,-5.15,71.25
6.33,2026-03,7828.TWO,0.0,N/A,2025,51.84,2040.0,121.74,🚀 利潤擴張,1.02,69.89999999999999,N/A,創新服務,⚪ 數據不足,76.4,44.08,0.0
0.63,2026-03,2889.TW,9.836601431830065,38.94%,2025,58.58,15.0500001907,127.27,🏰 高護城河,0.25,68.69,90.85%,國票金,💎 強力關注,4.6,3.28,22.95
7.13,2026-03,4137.TW,6.417736289381564,20.98%,2025,40.15,110.0,107.35,🏰 高護城河,1.41,67.19999999999999,82.18%,麗豐-KY,💎 強力關注,-4.63,24.43,257.1
-0.38,2026-03,3632.TWO,0.0,3.73%,2025,110.52,7.9299998283,175.0,🔄 轉虧為盈,0.06,64.48,54.59%,研勤,⚪ 數據不足,-28.72,-31.03,-15.3
-1.28,2026-03,4562.TW,0.0,-45.46%,2025,111.03,35.5499992371,175.0,🔄 轉虧為盈,0.11,63.97,31.44%,穎漢,⚪ 數據不足,-7.78,-184.44,-38.1
-3.51,2026-03,3064.TWO,0.0,-55.72%,2025,-1.0,19.2999992371,62.5,🏰 高護城河,-0.27,63.5,93.22%,泰偉,⚪ 數據不足,-29.69,-7120.0,-122.4
