股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
2426.TW,鼎元,🔥 訊號出現,59.5,70.78,🟢 黃金標的,85.71%,85.71%,34.34%,0.13%,7,59.58,0.8571,0.3434
3016.TW,嘉晶,🔥 訊號出現,81.5999984741,79.53,🟢 黃金標的,50.00%,80.00%,7.59%,-4.41%,10,78.0,0.8,0.0759
8027.TWO,鈦昇,🔥 訊號出現,176.0,65.85,🟢 黃金標的,25.00%,75.00%,21.30%,-4.79%,4,167.56,0.75,0.213
1597.TW,直得,🔥 訊號出現,130.5,78.29,🟢 黃金標的,14.29%,71.43%,5.78%,-4.11%,7,125.14,0.7143,0.0578
1785.TWO,光洋科,🔥 訊號出現,174.0,85.2,🟢 黃金標的,33.33%,66.67%,16.67%,-5.02%,3,165.27,0.6667,0.1667
2486.TW,一詮,🔥 訊號出現,253.5,87.32,🟢 黃金標的,60.00%,60.00%,7.28%,-1.22%,5,250.41,0.6,0.0728
6234.TWO,高僑,🔥 訊號出現,48.0499992371,84.92,🟢 黃金標的,40.00%,60.00%,12.02%,-1.07%,5,47.54,0.6,0.1202
6197.TW,佳必琪,🔥 訊號出現,206.5,73.11,⚪ 一般監控,66.67%,50.00%,5.08%,-3.27%,6,199.75,0.5,0.0508
6147.TWO,頎邦,🔥 訊號出現,158.0,74.5,⚪ 一般監控,28.57%,42.86%,1.97%,-5.59%,7,149.18,0.4286,0.0197
6205.TW,詮欣,🔥 訊號出現,91.6999969482,79.66,⚪ 一般監控,40.00%,40.00%,2.47%,-6.70%,5,85.56,0.4,0.0247
2464.TW,盟立,🔥 訊號出現,114.5,83.14,⚪ 一般監控,45.45%,27.27%,2.10%,-5.04%,11,108.73,0.2727,0.021
2882.TW,國泰金,🔥 訊號出現,78.5999984741,70.83,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,78.6,0.0,
8299.TWO,群聯,🔥 訊號出現,2070.0,72.2,🔴 空頭陷阱,66.67%,0.00%,-10.07%,-6.13%,3,1943.17,0.0,-0.1007
1717.TW,長興,無,81.6999969482,61.41,🟢 黃金標的,80.00%,100.00%,16.85%,-3.23%,5,0.0,1.0,0.1685
3149.TW,正達,無,47.7000007629,67.51,🟢 黃金標的,100.00%,100.00%,7.31%,-0.91%,3,0.0,1.0,0.0731
2489.TW,瑞軒,無,42.0,48.85,🟢 黃金標的,71.43%,57.14%,3.42%,-2.76%,7,0.0,0.5714,0.0342
5443.TWO,均豪,無,122.0,55.66,🔵 穩健標的,33.33%,66.67%,0.65%,-4.01%,3,0.0,0.6667,0.0065
1528.TW,恩德,無,27.75,52.46,⚪ 一般監控,100.00%,66.67%,1.09%,0.84%,3,0.0,0.6667,0.0109
2340.TW,台亞,無,38.8499984741,66.42,⚪ 一般監控,50.00%,50.00%,0.31%,-4.47%,4,0.0,0.5,0.0031
8064.TWO,東捷,無,94.9000015259,64.16,⚪ 一般監控,27.27%,36.36%,1.61%,-6.14%,11,0.0,0.3636,0.0161
1727.TW,中華化,無,83.1999969482,88.6,⚪ 一般監控,28.57%,28.57%,2.83%,-8.48%,7,0.0,0.2857,0.0283
6176.TW,瑞儀,無,100.5,59.66,⚪ 一般監控,50.00%,0.00%,nan%,-13.62%,2,0.0,0.0,
6265.TWO,方土昶,無,43.4500007629,65.79,🔴 空頭陷阱,50.00%,50.00%,-7.95%,-11.53%,2,0.0,0.5,-0.0795
5425.TWO,台半,無,64.5999984741,64.89,🔴 空頭陷阱,0.00%,50.00%,-0.88%,-8.29%,2,0.0,0.5,-0.0088
1722.TW,台肥,無,48.7000007629,62.2,🔴 空頭陷阱,0.00%,0.00%,-5.30%,-3.22%,1,0.0,0.0,-0.053
