股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
7806,精華生醫,73.90,19,80.50,61.00,---,均線糾擺,無,無,MA 乖離率僅 1.10%,均線糾擺
6831,邁科,461.00,1289,545.00,160.00,---,進入盤整,無,無,ADX 為 16.38 (低於 20),進入盤整
00696,富邦美債20年,29.09,2619,30.21,25.92,---,均線糾擺,無,無,MA 乖離率僅 0.32%,均線糾擺
6153,嘉聯益,17.75,3118,20.65,10.50,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,119.00,1974,128.00,65.05,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,91.70,17530,91.70,37.00,---,趨勢運行 -> 貼軌運行,連2日大漲,無,股價於高位貼軌 (91.70 > 1.5σ)，動能強勁,貼軌運行
7595,世基生醫,10.00,1,13.60,9.55,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.51%,均線糾擺
1789,神隆,20.70,342,28.25,16.02,---,均線糾擺,無,無,MA 乖離率僅 1.40%,均線糾擺
3171,炎洲流通,69.00,78,72.50,35.62,---,均線糾擺,無,無,MA 乖離率僅 0.96%,均線糾擺
4721,美琪瑪,85.40,1178,93.50,47.12,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911608,明輝-DR,2.79,3,3.12,2.59,---,均線糾擺,無,無,MA 乖離率僅 0.67%,均線糾擺
6924,榮惠-KY創,89.80,13,94.90,47.80,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,454.00,4009,485.00,159.71,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,13.60,949,17.15,11.40,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,73.70,176,76.75,31.72,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00676,富邦臺灣加權反1,6.59,5570,14.59,6.48,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4961,天鈺,157.00,445,216.45,135.00,📅 預告 (20260511),趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
2012,春雨,15.05,40,20.22,14.75,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8114,振樺電,184.00,688,314.53,164.00,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,44.05,49,45.50,24.50,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8028,昇陽半導體,246.00,20050,246.00,100.48,---,貼軌運行,隔二漲,無,股價於高位貼軌 (246.00 > 1.5σ)，動能強勁,貼軌運行
6972,博瑞達應材,24.00,14,32.81,22.70,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6443,元晶,35.35,2784,52.30,11.95,---,進入盤整,無,無,ADX 為 14.86 (低於 20),進入盤整
2748,雲品,39.80,65,50.68,38.45,---,均線糾擺,無,無,MA 乖離率僅 1.12%,均線糾擺
6525,捷敏-KY,91.20,335,96.40,59.41,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6877,鏵友益,174.50,735,186.00,65.38,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2758,路易莎咖啡,82.20,16,104.34,82.20,---,離開盤整 (向下),無,無,跌破布林下軌 (83.27),離開盤整 (向下)
1802,台玻,66.20,135886,74.20,13.80,---,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
9938,百和,44.00,1408,60.40,42.90,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4442,竣邦-KY,55.00,23,71.50,42.35,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00635,期元大S&P黃金,48.26,4462,60.55,34.73,---,均線糾擺,無,無,MA 乖離率僅 0.66%,均線糾擺
2408,南亞科,235.00,98639,326.50,32.10,---,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (235.00 > 1.5σ)，動能強勁,貼軌運行
2504,國產,35.60,1683,43.62,33.70,---,均線糾擺,無,無,MA 乖離率僅 0.49%,均線糾擺
5546,永固-KY,16.70,25,28.50,16.40,---,均線糾擺,無,無,MA 乖離率僅 0.42%,均線糾擺
3086,華義*,39.00,1035,260.00,21.80,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2395,研華,366.00,2150,375.00,273.50,📅 預告 (20260506),趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3050,鈺德,12.25,533,15.30,11.20,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00984,大華優利美A債15,16.43,2687,16.82,14.24,---,均線糾擺,無,無,MA 乖離率僅 0.19%,均線糾擺
6591,動力-KY,57.70,109,98.76,40.70,---,均線糾擺,無,無,MA 乖離率僅 0.67%,均線糾擺
6176,瑞儀,100.50,12078,151.47,88.50,---,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
6811,宏�硌穈T,193.50,67,263.00,182.50,---,均線糾擺,無,無,MA 乖離率僅 0.84%,均線糾擺
4544,春日,16.05,0,18.00,14.00,---,均線糾擺,無,無,MA 乖離率僅 0.23%,均線糾擺
