eps,prev_year,gm,price,prev_eps,eps_yoy,expansion,date,om,advice,rev_yoy,prev_eps_yoy,status,prev_rev_yoy,name,pe,symbol,est_price
1.02,2025,9.90%,44.9500007629,0.82,1357.14,1292.63,2025-12,-0.59%,⚠️ 追價風險,64.51,173.33,🚀 利潤擴張,73.71,聯光通,27.07831371259036,4903.TWO,24.9
1.64,2025,29.01%,110.5,0.81,1116.67,1075.98,2025-12,12.18%,⚠️ 追價風險,40.69,606.25,🚀 利潤擴張,46.55,富喬,36.229508196721305,1815.TWO,45.75000000000001
12.05,2025,N/A,337.0,9.16,1105.15,1048.91,2025-12,N/A,💎 強力關注,56.24,1777.36,🚀 利潤擴張,53.98,jpp-KY,11.895517119661138,5284.TW,424.95
0.11,2025,N/A,9.8400001526,0.06,1000.0,1008.11,2025-12,N/A,⚠️ 追價風險,-8.11,-45.45,🧐 疑業外收益,-10.59,松普,26.594595007027028,5488.TWO,5.55
1.41,2025,9.91%,20.4500007629,1.44,981.25,966.3,2025-12,-0.28%,💎 強力關注,14.95,1700.0,🚀 利潤擴張,10.42,精英,4.260416825604167,2331.TW,72.0
12.33,2025,41.95%,39.0999984741,3.52,905.92,912.1999999999999,2025-12,-106.23%,💎 強力關注,-6.28,810.64,🧐 疑業外收益,-4.5,晟德,2.389975456852078,4123.TWO,245.39999999999998
1.7,2025,N/A,51.2000007629,0.28,962.5,906.7,2025-12,N/A,⚠️ 追價風險,55.8,133.73,🚀 利潤擴張,38.48,品安,26.12244936882653,8088.TWO,29.4
2.35,2025,N/A,74.5,1.52,921.74,904.65,2025-12,N/A,⚪ 中性觀察,17.09,357.63,🚀 利潤擴張,23.93,凌華,16.89342403628118,6166.TW,66.15
1.01,2025,16.87%,21.7999992371,0.97,876.92,844.03,2025-12,7.13%,💎 強力關注,32.89,977.78,🚀 利潤擴張,34.59,樂事綠能,7.543252331176471,1529.TW,43.349999999999994
2.48,2025,N/A,46.5,1.29,830.77,837.6899999999999,2025-12,N/A,✅ 穩健價值,-6.92,270.59,🧐 疑業外收益,-8.99,華東,13.135593220338983,8110.TW,53.1
3.01,2025,N/A,916.0,1.15,840.63,816.1899999999999,2025-12,N/A,⚠️ 追價風險,24.44,2775.0,🚀 利潤擴張,18.82,南電,203.10421286031038,8046.TW,67.65
0.09,2025,N/A,39.0,-0.05,800.0,787.43,2025-12,N/A,⚪ 數據不足,12.57,-350.0,🔄 轉虧為盈,11.35,合晶,0.0,6182.TWO,0.0
6.28,2025,20.10%,19.1499996185,-2.22,721.43,722.0,2025-12,-167.95%,✅ 穩健價值,-0.57,-258.33,🔄 轉虧為盈,1.98,泰豐,12.682118952649004,2102.TW,22.650000000000006
