股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
0056.TW,元大高股息,無,40.9300003052,67.8,⚪ 一般監控,66.67%,50.00%,0.13%,-0.78%,6,0,0.5,0.0013
009816.TW,凱基台灣TOP50,無,13.0500001907,90.43,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
0050.TW,元大台灣50,無,90.75,82.04,🔴 空頭陷阱,50.00%,50.00%,-0.97%,-1.98%,4,0,0.5,-0.0097
00635U.TW,期元大S&P黃金,無,48.2599983215,35.94,🔴 空頭陷阱,25.00%,25.00%,-4.68%,-8.88%,4,0,0.25,-0.0468
00918.TW,大華優利高填息30,無,23.4099998474,69.78,🔴 空頭陷阱,33.33%,0.00%,-1.60%,-2.33%,3,0,0.0,-0.016
00919.TW,群益台灣精選高息,無,23.6499996185,66.39,🔴 空頭陷阱,75.00%,0.00%,-1.79%,-2.31%,4,0,0.0,-0.0179
