代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,207.5,+3.75%,WAIT,60.7,56820,✅|❌|❌|✅|✅
3702,大聯大,96.5,-0.10%,WAIT,60.9,40322,✅|❌|✅|✅|❌
2485,兆赫,78.3,-3.09%,WAIT,50.4,101991,✅|❌|✅|✅|❌
2367,燿華,72.0,-2.70%,WAIT,51.1,38574,✅|❌|❌|❌|❌
4142,國光生,18.2,-1.09%,WAIT,46.9,1358,✅|❌|❌|✅|❌
0050,元大台灣50,83.1,+3.10%,WAIT,72.2,123434,✅|❌|❌|❌|✅
0056,元大高股息,39.97,+1.14%,WAIT,68.2,68176,✅|❌|❌|❌|✅
00635U,期元大S&P黃金,50.15,+0.82%,WAIT,69.3,3029,✅|❌|❌|✅|❌
00738U,期元大道瓊白銀,62.55,+3.47%,WAIT,66.7,6440,✅|❌|❌|✅|✅
00929,復華台灣科技優息,20.42,+1.64%,🔥 SIGNAL,65.5,87448,✅|✅|✅|✅|✅
009816,凱基台灣TOP50,11.67,+2.55%,WAIT,70.7,203642,✅|❌|❌|❌|✅
00990A,主動元大AI新經濟,14.5,+4.17%,WAIT,74.4,51956,✅|✅|❌|❌|✅
2009,第一銅,41.65,+1.34%,WAIT,57.5,3083,✅|❌|✅|✅|❌
2337,旺宏,155.5,+5.42%,WAIT,53.3,252549,✅|✅|✅|❌|✅
2352,佳世達,24.2,+0.62%,WAIT,56.2,3681,✅|❌|❌|✅|❌
2409,友達,19.8,+10.00%,WAIT,76.2,554949,✅|❌|✅|✅|✅
3481,群創,27.25,+3.61%,WAIT,60.5,410688,✅|❌|❌|✅|✅
6136,富爾特,24.55,+0.20%,WAIT,62.5,102,❌|✅|❌|❌|✅
6806,森崴能源,18.6,-9.93%,WAIT,10.8,794,✅|❌|❌|❌|❌
3105,穩懋,457.0,-0.22%,WAIT,78.9,33844,✅|❌|❌|✅|❌
4966,譜瑞-KY,539.0,+3.65%,🔥 SIGNAL,66.4,1168,✅|✅|✅|✅|✅
6188,廣明,87.7,+1.27%,WAIT,37.3,2338,✅|❌|✅|❌|✅
7792,安葆,356.0,+0.56%,WAIT,71.1,544,❌|✅|✅|✅|❌
2327,國巨*,312.0,+2.80%,WAIT,76.3,68982,✅|✅|✅|❌|✅
