📊 量化獲利品質診斷報告 - 基準日: 20260414 (生成時間: 2026-04-18 19:19)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        58.40      14.14      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         31.45      5.02       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.90      0.96       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        40.60      9.83       61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         371.00     49.01      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.40      12.28      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         30.35      0.79       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.15      3.10       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         186.50     59.39      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       116.50     3.17       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        47.65      28.70      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         114.50     37.54      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     305.50     10.78      424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         10.45      28.24      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         21.70      4.52       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         40.25      2.46       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         72.30      16.39      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       23.45      8.11       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         2175.00    235.90     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         36.86      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         19.85      13.15      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         33.85      135.40     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         10.90      22.71      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       18.15      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      10.45      21.77      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         19.00      16.67      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        93.50      406.52     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        70.80      27.23      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         50.40      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        15.15      89.12      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         36.00      29.75      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        220.50     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      23.00      26.14      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         672.00     38.16      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.81       8.92       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         187.50     72.39      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         26.00      5.70       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        62.20      15.63      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         19.80      7.80       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      97.50      4.54       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         33.70      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        40.40      1.69       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
4576.TW    大銀微系統      192.50     44.05      65.55            273.68%    🚀 利潤擴張
2466.TW    冠西電        65.80      0.00       -8.10            255.45%    🧐 疑業外收益
1608.TW    華榮         32.90      2.83       174.45           254.79%    🚀 利潤擴張
1718.TW    中纖         7.19       27.65      3.90             250.24%    🧐 疑業外收益
4949.TW    有成精密       92.30      20.29      68.25            241.22%    🧐 疑業外收益
1438.TW    三地開發       28.70      0.00       -2.40            229.08%    🔄 轉虧為盈
1456.TW    怡華         14.50      9.86       22.05            227.67%    🔄 轉虧為盈
3530.TW    晶相光        61.20      29.28      31.35            224.23%    🚀 利潤擴張
2034.TW    允強         20.50      21.35      14.40            213.63%    🧐 疑業外收益
4167.TWO   松瑞藥        19.80      3.57       83.10            204.79%    🧐 疑業外收益
4744.TWO   皇將         33.50      7.56       66.45            203.79%    🚀 利潤擴張
6902.TW    GOGOLOOK   77.70      37.18      31.35            201.66%    🚀 利潤擴張
2316.TW    楠梓電        118.50     3.79       468.90           200.22%    🚀 利潤擴張
1796.TWO   金穎生技       38.50      28.52      20.25            199.71%    🚀 利潤擴張
6840.TWO   東研信超       71.30      20.91      51.15            197.42%    🚀 利潤擴張
3191.TWO   雲嘉南        13.85      28.85      7.20             197.22%    🧐 疑業外收益
3048.TW    益登         39.00      9.65       60.60            193.66%    🚀 利潤擴張
6202.TW    盛群         50.90      22.32      34.20            191.41%    🚀 利潤擴張
2413.TW    環科         51.60      0.00       -9.60            189.66%    🔄 轉虧為盈
1516.TW    川飛         19.90      995.00     0.30             187.65%    🧐 疑業外收益
6112.TW    邁達特        46.95      12.52      56.25            184.49%    🚀 利潤擴張
6246.TWO   臺龍         16.00      21.62      11.10            179.80%    🔄 轉虧為盈
4746.TW    台耀         0.00       0.00       0.00             177.61%    🚀 利潤擴張
3609.TWO   三一東林       26.10      2.39       163.50           177.55%    🚀 利潤擴張
6573.TW    虹揚-KY      12.30      8.91       20.70            176.83%    🧐 疑業外收益
6719.TW    力智         160.50     11.30      213.00           174.75%    🚀 利潤擴張
6127.TWO   九豪         48.15      24.08      30.00            174.57%    🧐 疑業外收益
4556.TWO   旭然         27.00      16.36      24.75            174.34%    🧐 疑業外收益
5703.TWO   亞都         15.20      16.89      13.50            173.33%    🚀 利潤擴張
6209.TW    今國光        62.80      41.32      22.80            172.02%    🚀 利潤擴張
6841.TWO   長佳智能       59.20      26.79      33.15            171.64%    🚀 利潤擴張
7610.TW    聯友金屬-創     0.00       0.00       0.00             166.18%    🚀 利潤擴張
1587.TW    吉茂         34.75      50.36      10.35            164.99%    🚀 利潤擴張
2486.TW    一詮         191.50     617.74     4.65             164.91%    🚀 利潤擴張
6994.TW    富威電力       0.00       0.00       0.00             164.37%    🚀 利潤擴張
6596.TWO   寬宏藝術       102.50     2.22       693.90           164.31%    🚀 利潤擴張
6265.TWO   方土昶        40.75      0.00       -11.25           160.96%    🔄 轉虧為盈
5439.TWO   高技         360.50     12.43      435.15           160.62%    🚀 利潤擴張
3489.TWO   森寶         23.75      0.00       -4.95            159.73%    🧐 疑業外收益
4526.TW    東台         34.55      4.85       106.80           157.18%    🧐 疑業外收益
6684.TWO   安格         43.45      3.43       189.75           152.56%    🧐 疑業外收益
6838.TW    台新藥        32.00      0.00       -13.50           152.03%    🧐 疑業外收益
4157.TWO   太景*-KY     10.50      0.00       -5.85            147.76%    🔄 轉虧為盈
3252.TWO   海灣         20.20      126.25     2.40             145.65%    🔄 轉虧為盈
