股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
4956.TW,光鋐,🔥 訊號出現,41.7999992371,67.48,🟢 黃金標的,50.00%,75.00%,3.16%,-5.95%,8,39.31,0.75,0.0316
4540.TW,全球傳動,🔥 訊號出現,51.9000015259,71.58,🟡 妖股/高波動,50.00%,37.50%,4.72%,-2.71%,8,50.49,0.375,0.0472
2049.TW,上銀,🔥 訊號出現,275.0,74.32,⚪ 一般監控,66.67%,50.00%,1.36%,-1.69%,6,270.35,0.5,0.0136
6531.TW,愛普*,🔥 訊號出現,606.0,63.61,⚪ 一般監控,33.33%,50.00%,1.45%,-3.78%,6,583.07,0.5,0.0145
6191.TW,精成科,🔥 訊號出現,104.5,62.75,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,2,104.5,0.0,
1326.TW,台化,🔥 訊號出現,54.5999984741,74.89,🔴 空頭陷阱,25.00%,0.00%,-5.95%,-9.16%,4,49.6,0.0,-0.0595
2402.TW,毅嘉,🔥 訊號出現,72.4000015259,82.85,🔴 空頭陷阱,50.00%,0.00%,-22.62%,-18.52%,4,58.99,0.0,-0.2262
3709.TWO,鑫聯大投控,🔥 訊號出現,74.8000030518,63.85,🔴 空頭陷阱,33.33%,0.00%,-2.91%,-4.37%,3,71.53,0.0,-0.0291
6282.TW,康舒,無,50.4000015259,60.79,🟢 黃金標的,66.67%,100.00%,13.84%,-1.16%,6,0.0,1.0,0.1384
1802.TW,台玻,無,68.1999969482,76.21,⚪ 一般監控,50.00%,50.00%,1.30%,-5.80%,6,0.0,0.5,0.013
2409.TW,友達,無,19.7999992371,76.19,⚪ 一般監控,60.00%,40.00%,1.45%,-5.01%,5,0.0,0.4,0.0145
8358.TWO,金居,無,315.5,80.39,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
6278.TW,台表科,無,125.0,82.46,⚪ 一般監控,100.00%,0.00%,nan%,0.00%,1,0.0,0.0,
6789.TW,采鈺,無,407.0,76.04,🔴 空頭陷阱,66.67%,66.67%,-0.77%,-4.80%,3,0.0,0.6667,-0.0077
4919.TW,新唐,無,110.5,55.89,🔴 空頭陷阱,28.57%,42.86%,-1.23%,-5.39%,7,0.0,0.4286,-0.0123
4989.TW,榮科,無,89.4000015259,78.57,🔴 空頭陷阱,40.00%,40.00%,-4.16%,-5.07%,5,0.0,0.4,-0.0416
6213.TW,聯茂,無,224.0,80.99,🔴 空頭陷阱,50.00%,25.00%,-2.20%,-3.75%,4,0.0,0.25,-0.022
3026.TW,禾伸堂,無,229.5,88.15,🔴 空頭陷阱,40.00%,20.00%,-2.04%,-4.38%,5,0.0,0.2,-0.0204
6127.TWO,九豪,無,48.1500015259,60.0,🔴 空頭陷阱,0.00%,0.00%,-6.07%,-6.67%,1,0.0,0.0,-0.0607
1312.TW,國喬,無,14.8500003815,54.62,🔴 空頭陷阱,0.00%,0.00%,-1.09%,-5.82%,1,0.0,0.0,-0.0109
3701.TW,大眾控,無,62.0,53.67,🔴 空頭陷阱,0.00%,0.00%,-3.45%,-7.41%,1,0.0,0.0,-0.0345
6274.TWO,台燿,無,860.0,85.46,🔴 空頭陷阱,100.00%,0.00%,-0.20%,0.91%,2,0.0,0.0,-0.002
