symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,expansion,status,advice
4916.TW,事欣科,58.4000015259,14.140436204818403,61.949999999999996,2025-12,1.77,8050.0,0.89,8049.11,🚀 利潤擴張,✅ 穩健價值
3062.TW,建漢,31.4500007629,5.015949084992026,94.05,2025-12,0.68,6600.0,16.55,6583.45,🚀 利潤擴張,💎 強力關注
2547.TW,日勝生,10.8999996185,0.9646017361504425,169.5,2025-12,2.85,3612.5,-12.89,3625.39,🧐 疑業外收益,💎 強力關注
6649.TWO,台生材,40.5999984741,9.830508105108958,61.949999999999996,2025-12,1.4,3600.0,128.22,3471.78,🚀 利潤擴張,💎 強力關注
3189.TW,景碩,371.0,49.00924702774109,113.55,2025-12,3.51,3072.73,28.87,3043.86,🚀 利潤擴張,⚠️ 追價風險
5521.TW,工信,12.3999996185,12.277227345049505,15.15,2025-12,0.52,2500.0,27.32,2472.68,🚀 利潤擴張,✅ 穩健價值
4523.TWO,永彰,30.3500003815,0.7934640622614377,573.7500000000001,2025-12,22.26,1562.0,-7.15,1569.15,🧐 疑業外收益,💎 強力關注
1432.TW,大魯閣,17.1499996185,3.095667801173285,83.1,2025-12,6.03,1502.33,4.63,1497.6999999999998,🔄 轉虧為盈,💎 強力關注
4542.TWO,科嶠,186.5,59.394904458598724,47.1,2025-12,1.28,1500.0,37.66,1462.34,🚀 利潤擴張,⚠️ 追價風險
3708.TW,上緯投控,116.5,3.1735222010351403,550.65,2025-12,35.57,1276.65,-30.75,1307.4,🧐 疑業外收益,💎 強力關注
4903.TWO,聯光通,47.6500015259,28.704820196325304,24.9,2025-12,1.02,1357.14,64.51,1292.63,🚀 利潤擴張,⚠️ 追價風險
1815.TWO,富喬,114.5,37.540983606557376,45.75000000000001,2025-12,1.64,1116.67,40.69,1075.98,🚀 利潤擴張,⚠️ 追價風險
5284.TW,jpp-KY,305.5,10.783621602541476,424.95,2025-12,12.05,1105.15,56.24,1048.91,🚀 利潤擴張,💎 強力關注
5488.TWO,松普,10.4499998093,28.24324272783784,5.55,2025-12,0.11,1000.0,-8.11,1008.11,🧐 疑業外收益,⚠️ 追價風險
2331.TW,精英,21.7000007629,4.5208334922708335,72.0,2025-12,1.41,981.25,14.95,966.3,🚀 利潤擴張,💎 強力關注
4123.TWO,晟德,40.25,2.4602689486552567,245.39999999999998,2025-12,12.33,905.92,-6.28,912.1999999999999,🧐 疑業外收益,💎 強力關注
6166.TW,凌華,72.3000030518,16.39455851514739,66.15,2025-12,2.35,921.74,17.09,904.65,🚀 利潤擴張,⚪ 中性觀察
1529.TW,樂事綠能,23.4500007629,8.114187115190312,43.349999999999994,2025-12,1.01,876.92,32.89,844.03,🚀 利潤擴張,💎 強力關注
3081.TWO,聯亞,2175.0,235.90021691973968,138.3,2025-12,4.66,884.75,82.29,802.46,🚀 利潤擴張,⚠️ 追價風險
6182.TWO,合晶,36.8568878174,0.0,0.0,2025-12,0.09,800.0,12.57,787.43,🔄 轉虧為盈,⚪ 數據不足
2102.TW,泰豐,19.8500003815,13.145695616887412,22.650000000000006,2025-12,6.28,721.43,-0.57,722.0,🔄 轉虧為盈,✅ 穩健價值
4414.TW,如興,0.0,0.0,0.0,2025-12,0.68,700.0,-5.37,705.37,🧐 疑業外收益,⚪ 數據不足
3236.TWO,千如,33.8499984741,135.3999938964,3.75,2025-12,0.32,700.0,10.91,689.09,🚀 利潤擴張,⚠️ 追價風險
2323.TW,中環,10.8999996185,22.708332538541658,7.200000000000003,2025-12,1.58,685.19,-3.39,688.58,🧐 疑業外收益,⚠️ 追價風險
4413.TWO,飛寶企業,18.1499996185,0.0,-9.45,2025-12,0.53,783.33,114.77,668.5600000000001,🔄 轉虧為盈,⚪ 數據不足
4924.TWO,欣厚-KY,10.4499998093,21.770832936041664,7.2,2025-12,0.38,660.0,3.99,656.01,🚀 利潤擴張,⚪ 中性觀察
3002.TW,歐格,19.0,16.666666666666668,17.099999999999998,2025-12,0.36,620.0,16.76,603.24,🚀 利潤擴張,⚪ 中性觀察
2344.TW,華邦電,93.5,406.5217391304348,3.4499999999999997,2025-12,0.88,576.92,9.55,567.37,🚀 利潤擴張,⚠️ 追價風險
3054.TW,立萬利,70.8000030518,27.23077040453846,39.0,2025-12,1.96,590.0,26.61,563.39,🚀 利潤擴張,⚠️ 追價風險
6282.TW,康舒,50.4000015259,0.0,-13.950000000000003,2025-12,0.18,550.0,0.1,549.9,🔄 轉虧為盈,⚪ 數據不足
2491.TW,吉祥全,15.1499996185,89.11764481470581,2.5500000000000025,2025-12,1.43,457.5,-10.43,467.93,🧐 疑業外收益,⚠️ 追價風險
3297.TWO,杭特,36.0,29.75206611570248,18.15,2025-12,0.47,461.54,20.59,440.95000000000005,🚀 利潤擴張,⚠️ 追價風險
3555.TWO,博士旺,220.5,0.0,-9.599999999999998,2025-12,1.28,752.94,334.57,418.37000000000006,🔄 轉虧為盈,⚪ 數據不足
2243.TW,宏旭-KY,23.0,26.136363636363644,13.199999999999998,2025-12,1.22,408.33,-9.02,417.34999999999997,🔄 轉虧為盈,⚠️ 追價風險
3167.TW,大量,672.0,38.160136286201016,264.15000000000003,2025-12,8.13,474.47,95.35,379.12,🚀 利潤擴張,⚠️ 追價風險
1413.TW,宏洲,9.8100004196,8.918182199636364,16.499999999999996,2025-12,0.45,364.71,-9.55,374.26,🧐 疑業外收益,💎 強力關注
4764.TW,雙鍵,187.5,72.3938223938224,38.849999999999994,2025-12,1.22,377.27,5.46,371.81,🚀 利潤擴張,⚠️ 追價風險
5490.TWO,同亨,26.0,5.701754385964912,68.4,2025-12,1.69,382.35,12.01,370.34000000000003,🚀 利潤擴張,💎 強力關注
3219.TWO,倚強科,62.2000007629,15.628140895201007,59.699999999999996,2025-12,1.52,406.67,49.68,356.99,🚀 利潤擴張,✅ 穩健價值
2409.TW,友達,19.7999992371,7.79527529019685,38.1,2025-12,0.9,327.5,0.41,327.09,🚀 利潤擴張,💎 強力關注
4439.TW,冠星-KY,97.5,4.543336439888164,321.90000000000003,2025-12,7.73,346.24,29.26,316.98,🚀 利潤擴張,💎 強力關注
2399.TW,映泰,33.7000007629,0.0,-2.7000000000000006,2025-12,0.15,275.0,-14.09,289.09,🔄 轉虧為盈,⚪ 數據不足
2498.TW,宏達電,40.4000015259,1.686847662876827,359.25,2025-12,7.21,275.85,-5.85,281.70000000000005,🧐 疑業外收益,💎 強力關注
6165.TW,浪凡,0.0,0.0,0.0,2025-12,4.02,288.24,12.97,275.27,🚀 利潤擴張,⚪ 數據不足
4576.TW,大銀微系統,192.5,44.05034324942792,65.55,2025-12,2.01,294.12,20.44,273.68,🚀 利潤擴張,⚠️ 追價風險
2466.TW,冠西電,65.8000030518,0.0,-8.100000000000001,2025-12,0.25,241.18,-14.27,255.45000000000002,🧐 疑業外收益,⚪ 數據不足
1608.TW,華榮,32.9000015259,2.8288909308598456,174.45,2025-12,5.5,254.81,0.02,254.79,🚀 利潤擴張,💎 強力關注
1718.TW,中纖,7.1900000572,27.653846373846154,3.9000000000000004,2025-12,0.09,250.0,-0.24,250.24,🧐 疑業外收益,⚠️ 追價風險
