eps_yoy,gm,pe,est_price,status,advice,rev_yoy,prev_eps,date,prev_year,om,prev_eps_yoy,name,price,prev_rev_yoy,symbol,eps,expansion
530.77,N/A,33.14121037463977,52.05,🚀 利潤擴張,⚠️ 追價風險,43.25,1.58,2026-03,2025,N/A,222.58,GOGOLOOK,115.0,20.92,6902.TW,1.64,487.52
820.0,N/A,0.0,-7.499999999999999,🔄 轉虧為盈,⚪ 數據不足,335.75,-0.16,2026-03,2025,N/A,74.6,鑫永洋,15.6999998093,5.06,6241.TWO,0.46,484.25
1200.0,N/A,33.13559192728813,8.850000000000001,🚀 利潤擴張,⚠️ 追價風險,727.58,0.31,2026-03,2025,N/A,-42.59,綠電,19.5499992371,-6.1,8440.TWO,0.22,472.41999999999996
418.92,30.54%,0.0,0.0,🧐 疑業外收益,⚪ 數據不足,-25.82,2.72,2026-03,2025,-0.34%,-1.45,富田-創,80.0999984741,-41.11,4590.TW,1.21,444.74
600.0,36.04%,32.67241510853448,17.400000000000002,🚀 利潤擴張,⚠️ 追價風險,187.7,0.49,2026-03,2025,11.05%,-34.67,麗正,37.9000015259,11.66,2302.TW,0.25,412.3
1037.5,41.86%,52.94117647058824,40.8,🚀 利潤擴張,⚠️ 追價風險,646.87,0.88,2026-03,2025,15.37%,576.92,華邦電,144.0,9.55,2344.TW,2.25,390.63
387.5,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,6.45,1.44,2026-03,2025,N/A,5.88,宏�砦C戲-創,33.9000015259,28.36,6908.TW,0.41,381.05
715.79,N/A,14.117647619816177,81.60000000000001,🚀 利潤擴張,✅ 穩健價值,359.78,2.19,2026-03,2025,N/A,-49.65,應廣,76.8000030518,-15.3,6716.TWO,1.59,356.01
380.0,N/A,22.115384615384617,19.499999999999996,🚀 利潤擴張,⚠️ 追價風險,37.41,0.73,2026-03,2025,N/A,207.35,寶碩,28.75,9.95,5210.TWO,0.24,342.59000000000003
1090.0,N/A,0.0,-8.4,🔄 轉虧為盈,⚪ 數據不足,750.53,-0.2,2026-03,2025,N/A,90.52,鈺鎧,37.9000015259,25.85,5228.TWO,0.99,339.47
517.65,N/A,11.183144246353322,92.55,🚀 利潤擴張,💎 強力關注,179.43,2.35,2026-03,2025,N/A,1.73,亞洲藏壽司,69.0,5.96,2754.TWO,1.42,338.21999999999997
550.0,42.07%,59.94318181818182,26.4,🚀 利潤擴張,⚠️ 追價風險,237.41,0.92,2026-03,2025,14.30%,170.59,旭然,105.5,-3.75,4556.TWO,0.13,312.59000000000003
650.0,30.11%,14.190751004104046,25.95,🚀 利潤擴張,✅ 穩健價值,343.32,0.57,2026-03,2025,7.94%,-29.63,協禧,24.5499992371,-5.82,3071.TWO,0.15,306.68
1143.3,N/A,11.80088685452725,2097.2999999999997,🚀 利潤擴張,💎 強力關注,849.86,41.98,2026-03,2025,N/A,3.78,群聯,1650.0,23.29,8299.TWO,68.8,293.43999999999994
546.67,N/A,0.0,-2.2499999999999996,🔄 轉虧為盈,⚪ 數據不足,270.3,-0.43,2026-03,2025,N/A,-150.59,慧智,33.5999984741,-14.91,6615.TWO,0.67,276.36999999999995
640.0,N/A,0.0,-9.150000000000002,🚀 利潤擴張,⚪ 數據不足,371.03,0.18,2026-03,2025,N/A,550.0,康舒,42.8499984741,0.1,6282.TW,0.27,268.97
445.45,N/A,0.0,-20.1,🔄 轉虧為盈,⚪ 數據不足,186.87,-0.76,2026-03,2025,N/A,55.83,三貝德,22.2999992371,5.03,8489.TWO,0.38,258.58
701.79,18.73%,12.107231729937658,120.3,🚀 利潤擴張,✅ 穩健價值,473.51,1.77,2026-03,2025,8.07%,8050.0,事欣科,97.0999984741,0.89,4916.TW,4.49,228.27999999999997
518.75,N/A,5.306122578741497,44.1,🚀 利潤擴張,💎 強力關注,292.4,0.88,2026-03,2025,N/A,-66.67,銘旺實,15.6000003815,-3.15,4432.TWO,2.97,226.35000000000002
350.0,35.38%,9.540816715816325,14.700000000000001,🚀 利潤擴張,💎 強力關注,132.31,0.88,2026-03,2025,-88.29%,51.72,中美實,9.3500003815,-61.59,4702.TWO,0.45,217.69
512.9,N/A,4.57307809176542,493.65000000000003,🚀 利潤擴張,💎 強力關注,297.67,13.25,2026-03,2025,N/A,33.97,東哥遊艇,150.5,5.83,8478.TW,3.8,215.22999999999996
925.0,13.61%,6.722113204324852,76.65,🚀 利潤擴張,💎 強力關注,713.51,1.65,2026-03,2025,8.70%,-21.15,大亞,34.3499984741,3.39,1609.TW,0.66,211.49
213.33,19.34%,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,26.54,0.08,2026-03,2025,7.12%,-80.0,聯嘉投控,21.1499996185,3.55,3717.TW,0.47,186.79000000000002
266.67,N/A,0.0,-43.199999999999996,🔄 轉虧為盈,⚪ 數據不足,80.73,-1.82,2026-03,2025,N/A,-280.2,巨虹,42.4500007629,-10.9,8084.TWO,0.33,185.94
728.13,30.40%,8.724083056283892,94.05,🚀 利潤擴張,💎 強力關注,542.69,2.02,2026-03,2025,14.85%,25.64,東浦,54.7000007629,18.23,3290.TWO,2.65,185.43999999999994
550.0,N/A,0.0,-7.95,🔄 轉虧為盈,⚪ 數據不足,385.95,-0.17,2026-03,2025,N/A,-177.27,同協,15.6000003815,-15.68,5460.TWO,0.09,164.05
276.67,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,116.02,1.54,2026-03,2025,N/A,1640.0,未知,0.0,32.98,4582.TWO,0.53,160.65000000000003
276.67,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,116.02,1.54,2026-03,2025,N/A,1640.0,聚恆-創,27.2000007629,32.98,4582.TW,0.53,160.65000000000003
700.0,10.78%,0.0,-6.6,🔄 轉虧為盈,⚪ 數據不足,542.01,-0.25,2026-03,2025,-2.91%,-219.05,鼎元,55.7999992371,-2.43,2426.TW,0.06,157.99
264.29,56.31%,0.0,-25.049999999999997,🔄 轉虧為盈,⚪ 數據不足,108.24,-0.19,2026-03,2025,8.42%,54.55,圓剛,38.5999984741,2.69,2417.TW,0.28,156.05
366.67,N/A,147.85714830714272,1.050000000000001,🔄 轉虧為盈,⚠️ 追價風險,214.33,-0.29,2026-03,2025,N/A,-125.22,成霖,10.3500003815,-4.25,9934.TW,0.28,152.34
323.08,N/A,29.674418249813943,32.250000000000014,🚀 利潤擴張,⚠️ 追價風險,180.76,1.09,2026-03,2025,N/A,-77.02,六角,63.7999992371,7.13,2732.TWO,1.1,142.32
