股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,47.75,96,64.28,36.61,---,3.53%,均線糾擺,無,無,MA 乖離率僅 1.10%,均線糾擺
7806,精華生醫,60.00,8,80.50,57.95,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,567.00,242,956.00,153.36,---,0.74%,趨勢運行,無,連2日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,29.03,3363,30.21,26.05,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.31%,均線糾擺
6153,嘉聯益,15.05,4201,24.45,13.65,---,---,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,195.00,4245,346.94,79.10,📅 預告 (20260729),4.05%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,56.40,533,98.20,37.00,---,3.47%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
7595,世基生醫,7.04,13,13.60,6.09,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3479,安勤,138.00,1955,156.50,83.70,---,5.22%,進入盤整,無,連2日大跌,ADX 為 14.37 (低於 20),進入盤整
1789,神隆,19.25,570,28.25,16.55,---,2.02%,均線糾擺,無,無,MA 乖離率僅 1.27%,均線糾擺
3171,炎洲流通,64.20,9,79.40,38.60,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
4721,美琪瑪,68.00,553,101.00,61.20,---,3.35%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
911608,明輝-DR,2.75,0,3.51,2.59,---,1.89%,均線糾擺,無,無,MA 乖離率僅 0.53%,均線糾擺
6924,榮惠-KY創,100.00,16,193.50,47.80,---,7.45%,進入盤整 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,359.50,2526,573.00,240.00,---,4.08%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,11.85,688,17.15,11.85,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,82.30,520,107.70,37.15,---,---,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
00676,富邦臺灣加權反1,6.09,13259,11.57,5.32,---,---,均線糾擺 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (6.07)，進入噴發段,強勢突破 (軌外)
4961,天鈺,152.00,493,190.50,135.00,📅 預告 (20260807),5.89%,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2012,春雨,15.80,69,18.23,14.15,---,5.31%,均線糾擺,無,無,MA 乖離率僅 0.61%,均線糾擺
8114,振樺電,213.50,974,283.50,164.00,---,2.62%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,51.40,41,66.90,24.50,---,---,強勢突破 (軌外) -> 趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
8028,昇陽半導體,280.00,2938,356.50,128.00,---,1.49%,均線糾擺 -> 離開盤整 (向下),無,連1日大跌,跌破布林下軌 (280.43),離開盤整 (向下)
6972,博瑞達應材,24.15,2,31.40,22.70,---,---,均線糾擺,無,無,MA 乖離率僅 1.23%,均線糾擺
6443,元晶,25.60,5248,52.30,11.95,---,1.64%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
00990,主動元大AI新經濟,10.04,3375,10.07,9.99,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.09%,均線糾擺
2748,雲品,39.50,300,49.24,38.45,---,4.02%,均線糾擺,無,無,MA 乖離率僅 0.12%,均線糾擺
6525,捷敏-KY,128.00,2243,221.00,67.50,---,5.85%,進入盤整,無,連1日大跌,ADX 為 16.18 (低於 20),進入盤整
006205,富邦上証,40.65,436,42.30,31.23,---,---,均線糾擺,無,無,MA 乖離率僅 0.28%,均線糾擺
6877,鏵友益,118.50,105,186.00,71.37,---,0.1%,進入盤整,無,無,ADX 為 5.86 (低於 20),進入盤整
4582,聚恆-創,27.20,155,43.20,17.05,---,---,資料不足 -> 均線糾擺,無,無,MA 乖離率僅 1.20%,均線糾擺
2758,路易莎咖啡,71.00,2,104.34,64.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.41%,均線糾擺
1802,台玻,48.15,21594,76.60,16.80,---,---,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
7642,昶瑞機電,0.00,0,129.00,63.20,---,4.08%,資料不足,無,無,缺少 MA5/10/20 指標數據,資料不足
9938,百和,46.60,2560,60.40,42.10,---,5.67%,均線糾擺,無,無,MA 乖離率僅 0.66%,均線糾擺
4442,竣邦-KY,62.50,262,71.50,45.46,---,5.25%,強勢突破 (軌外),隔一漲,無,股價衝破布林上軌 (60.38)，進入噴發段,強勢突破 (軌外)
00635,期元大S&P黃金,42.03,2445,60.55,35.95,---,---,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
2408,南亞科,392.50,60895,505.00,40.55,---,0.32%,均線糾擺,無,連1日大跌,MA 乖離率僅 0.05%,均線糾擺
2539,櫻花建,41.15,792,57.09,33.20,---,0.83%,貼軌運行 -> 均線糾擺,無,無,MA 乖離率僅 0.63%,均線糾擺
2504,國產,31.20,1665,40.05,30.30,---,6.39%,均線糾擺,無,無,MA 乖離率僅 0.46%,均線糾擺
5546,永固-KY,14.00,28,28.45,14.00,---,6.57%,離開盤整 (向下),無,無,跌破布林下軌 (14.38),離開盤整 (向下)
3086,華義*,27.65,334,43.50,13.35,---,0.17%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2395,研華,556.00,3340,600.00,273.50,📅 預告 (20260805),2.49%,進入盤整,無,無,ADX 為 12.31 (低於 20),進入盤整
3050,鈺德,11.20,885,15.30,11.20,---,3.5%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00984,大華優利美A債15,16.22,830,16.82,14.58,---,0.48%,均線糾擺,無,無,MA 乖離率僅 0.25%,均線糾擺
6591,動力-KY,43.85,174,98.76,43.40,---,3.5%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6176,瑞儀,84.40,3919,139.27,83.10,📅 預告 (20260730),7.07%,均線糾擺,無,無,MA 乖離率僅 0.79%,均線糾擺
6811,宏�硌穈T,224.00,183,263.00,182.50,---,3.86%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4544,春日,14.35,0,17.95,13.10,---,---,均線糾擺,無,無,MA 乖離率僅 0.55%,均線糾擺
9949,琉園,23.35,137,36.70,15.58,---,8.09%,進入盤整,無,無,ADX 為 7.55 (低於 20),進入盤整
4510,高鋒,36.50,496,55.20,35.05,---,4.14%,進入盤整,無,連1日大跌,ADX 為 13.44 (低於 20),進入盤整
6194,育富,29.85,42,39.65,29.38,---,5.78%,均線糾擺,無,無,MA 乖離率僅 1.20%,均線糾擺
6124,業強,26.00,32,37.95,23.30,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00757,統一FANG+,128.20,1168,138.05,101.15,---,---,均線糾擺,無,無,MA 乖離率僅 0.44%,均線糾擺
2101,南港,32.70,1097,45.45,29.75,---,1.99%,均線糾擺,無,無,MA 乖離率僅 0.55%,均線糾擺
00945,凱基美國非投等債,14.65,5939,14.68,12.98,---,0.6%,均線糾擺,無,無,MA 乖離率僅 0.09%,均線糾擺
4556,旭然,105.50,110,132.50,22.45,---,1.17%,趨勢運行,無,連2日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
1612,宏泰,30.50,1121,40.65,30.50,---,5.79%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
