                    股號           名稱       現價  指標(DMA)  累計損益(%)  交易次數    目前狀態 短 中 長                                                        專業建議                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  trades_list
                911608        明輝-DR     2.74    -0.06    -3.36     4   ⚪ 觀望中 ▼ ▼ ▼         🚨 剛觸發賣出：🚨 價格防衛：收盤價 2.96 跌破移動支撐位(2.98)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [{'Buy_Date': '2026-01-26', 'Buy_Price': '2.86', 'Sell_Date': '2026-01-28', 'Sell_Price': '2.83', 'Profit_Pct%': -1.0489500874247812, 'Reason': '🚨 價格防衛：收盤價 2.83 跌破移動支撐位(2.84)'}, {'Buy_Date': '2026-03-09', 'Buy_Price': '3.03', 'Sell_Date': '2026-03-24', 'Sell_Price': '2.96', 'Profit_Pct%': -2.3102288435883014, 'Reason': '🚨 價格防衛：收盤價 2.96 跌破移動支撐位(2.98)'}]
                  3044           健鼎   465.50    42.62    16.89     6   ⚪ 觀望中 ▼ ▲ ▲       🚨 剛觸發賣出：🚨 價格防衛：收盤價 453.0 跌破移動支撐位(480.0)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                         [{'Buy_Date': '2026-01-02', 'Buy_Price': '312.50', 'Sell_Date': '2026-01-12', 'Sell_Price': '313.50', 'Profit_Pct%': 0.32, 'Reason': '🚨 價格防衛：收盤價 313.5 跌破移動支撐位(316.0)'}, {'Buy_Date': '2026-01-23', 'Buy_Price': '360.50', 'Sell_Date': '2026-01-30', 'Sell_Price': '374.50', 'Profit_Pct%': 3.8834951456310676, 'Reason': '🚨 價格防衛：收盤價 374.5 跌破移動支撐位(386.0)'}, {'Buy_Date': '2026-04-15', 'Buy_Price': '402.00', 'Sell_Date': '2026-04-28', 'Sell_Price': '453.00', 'Profit_Pct%': 12.686567164179104, 'Reason': '🚨 價格防衛：收盤價 453.0 跌破移動支撐位(480.0)'}]
                  3011           今皓    13.75     0.41     1.88     4   ⚪ 觀望中 ▼ ▲ ▲       🚨 剛觸發賣出：🚨 價格防衛：收盤價 13.95 跌破移動支撐位(14.45)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [{'Buy_Date': '2026-01-02', 'Buy_Price': '14.70', 'Sell_Date': '2026-01-08', 'Sell_Price': '14.20', 'Profit_Pct%': -3.4013605883428206, 'Reason': '🚨 價格防衛：收盤價 14.2 跌破移動支撐位(14.35)'}, {'Buy_Date': '2026-04-17', 'Buy_Price': '13.25', 'Sell_Date': '2026-04-24', 'Sell_Price': '13.95', 'Profit_Pct%': 5.2830174286792415, 'Reason': '🚨 價格防衛：收盤價 13.95 跌破移動支撐位(14.45)'}]
                 00876       元大全球5G    78.10     4.41    12.44     6   ⚪ 觀望中 ▲ ▲ ▲        🚨 剛觸發賣出：🚨 價格防衛：收盤價 73.7 跌破移動支撐位(75.55)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                            [{'Buy_Date': '2026-01-02', 'Buy_Price': '51.60', 'Sell_Date': '2026-01-08', 'Sell_Price': '55.00', 'Profit_Pct%': 6.589150438844668, 'Reason': '🚨 價格防衛：收盤價 55.0 跌破移動支撐位(55.25)'}, {'Buy_Date': '2026-04-01', 'Buy_Price': '61.75', 'Sell_Date': '2026-04-02', 'Sell_Price': '61.35', 'Profit_Pct%': -0.6477757504453477, 'Reason': '📉 趨勢反轉：中期指標由正轉負 (-0.92)'}, {'Buy_Date': '2026-04-10', 'Buy_Price': '69.20', 'Sell_Date': '2026-04-29', 'Sell_Price': '73.70', 'Profit_Pct%': 6.502890460195392, 'Reason': '🚨 價格防衛：收盤價 73.7 跌破移動支撐位(75.55)'}]
                00676R     富邦臺灣加權反1     6.31    -0.49    -4.67     4   ⚪ 觀望中 ▼ ▼ ▼         🚨 剛觸發賣出：🚨 價格防衛：收盤價 7.76 跌破移動支撐位(7.83)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [{'Buy_Date': '2026-03-16', 'Buy_Price': '7.83', 'Sell_Date': '2026-03-17', 'Sell_Price': '7.68', 'Profit_Pct%': -1.9157100493191188, 'Reason': '📉 趨勢反轉：中期指標由正轉負 (-0.03)'}, {'Buy_Date': '2026-03-23', 'Buy_Price': '7.98', 'Sell_Date': '2026-03-25', 'Sell_Price': '7.76', 'Profit_Pct%': -2.756889594905191, 'Reason': '🚨 價格防衛：收盤價 7.76 跌破移動支撐位(7.83)'}]
                  4961           天鈺   155.50     1.07    -2.95     4   ⚪ 觀望中 ▼ ▲ ▲       🚨 剛觸發賣出：🚨 價格防衛：收盤價 151.0 跌破移動支撐位(153.0)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [{'Buy_Date': '2026-01-07', 'Buy_Price': '152.00', 'Sell_Date': '2026-01-21', 'Sell_Price': '149.50', 'Profit_Pct%': -1.644736842105263, 'Reason': '🚨 價格防衛：收盤價 149.5 跌破移動支撐位(152.0)'}, {'Buy_Date': '2026-04-01', 'Buy_Price': '153.00', 'Sell_Date': '2026-04-15', 'Sell_Price': '151.00', 'Profit_Pct%': -1.3071895424836601, 'Reason': '🚨 價格防衛：收盤價 151.0 跌破移動支撐位(153.0)'}]
                  2012           春雨    14.80    -0.66    -4.89     4   ⚪ 觀望中 ▼ ▼ ▼        🚨 剛觸發賣出：🚨 價格防衛：收盤價 16.55 跌破移動支撐位(17.0)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [{'Buy_Date': '2026-01-02', 'Buy_Price': '16.80', 'Sell_Date': '2026-01-13', 'Sell_Price': '16.80', 'Profit_Pct%': 0.0, 'Reason': '🚨 價格防衛：收盤價 16.8 跌破移動支撐位(16.95)'}, {'Buy_Date': '2026-03-02', 'Buy_Price': '17.40', 'Sell_Date': '2026-03-04', 'Sell_Price': '16.55', 'Profit_Pct%': -4.885059770324736, 'Reason': '🚨 價格防衛：收盤價 16.55 跌破移動支撐位(17.0)'}]
                  8114          振樺電   182.00     7.88     0.00     0   ⏳ 觀察中 ▼ ▲ ▲                             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 193.5。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           []
                  6638           沅聖    44.95     5.59     0.79     4   ⚪ 觀望中 ▲ ▲ ▲        🚨 剛觸發賣出：🚨 價格防衛：收盤價 41.2 跌破移動支撐位(41.55)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [{'Buy_Date': '2026-03-12', 'Buy_Price': '32.00', 'Sell_Date': '2026-03-23', 'Sell_Price': '34.05', 'Profit_Pct%': 6.40624761593751, 'Reason': '🚨 價格防衛：收盤價 34.05 跌破移動支撐位(36.6)'}, {'Buy_Date': '2026-04-20', 'Buy_Price': '43.65', 'Sell_Date': '2026-04-23', 'Sell_Price': '41.20', 'Profit_Pct%': -5.612830875953766, 'Reason': '🚨 價格防衛：收盤價 41.2 跌破移動支撐位(41.55)'}]
                  8028        昇陽半導體   244.50    30.85     5.36     2   ⚪ 觀望中 ▲ ▲ ▲       🚨 剛觸發賣出：🚨 價格防衛：收盤價 196.5 跌破移動支撐位(200.0)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [{'Buy_Date': '2026-01-02', 'Buy_Price': '186.50', 'Sell_Date': '2026-01-07', 'Sell_Price': '196.50', 'Profit_Pct%': 5.361930294906166, 'Reason': '🚨 價格防衛：收盤價 196.5 跌破移動支撐位(200.0)'}]
                  6972        博瑞達應材    25.20    -1.58   -11.41     4   ⏳ 觀察中 ▼ ▼ ▲                              🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 32.7。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [{'Buy_Date': '2026-02-05', 'Buy_Price': '27.10', 'Sell_Date': '2026-02-10', 'Sell_Price': '27.05', 'Profit_Pct%': -0.1845060652992946, 'Reason': '🚨 價格防衛：收盤價 27.05 跌破移動支撐位(27.1)'}, {'Buy_Date': '2026-03-20', 'Buy_Price': '30.30', 'Sell_Date': '2026-03-30', 'Sell_Price': '26.90', 'Profit_Pct%': -11.221121135993176, 'Reason': '🚨 價格防衛：收盤價 26.9 跌破移動支撐位(27.6)'}]
                  6443           元晶    36.15    -1.84    25.43     4   ⚪ 觀望中 ▼ ▼ ▼         🚨 剛觸發賣出：🚨 價格防衛：收盤價 45.5 跌破移動支撐位(47.2)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [{'Buy_Date': '2026-01-02', 'Buy_Price': '27.75', 'Sell_Date': '2026-01-19', 'Sell_Price': '37.10', 'Profit_Pct%': 33.693688194954944, 'Reason': '🚨 價格防衛：收盤價 37.1 跌破移動支撐位(38.05)'}, {'Buy_Date': '2026-03-02', 'Buy_Price': '49.60', 'Sell_Date': '2026-03-04', 'Sell_Price': '45.50', 'Profit_Pct%': -8.26612621014681, 'Reason': '🚨 價格防衛：收盤價 45.5 跌破移動支撐位(47.2)'}]
                  2748           雲品    40.15    -1.09    -9.27     2   ⚪ 觀望中 ▼ ▼ ▼         🚨 剛觸發賣出：🚨 價格防衛：收盤價 41.1 跌破移動支撐位(41.5)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [{'Buy_Date': '2026-04-13', 'Buy_Price': '45.30', 'Sell_Date': '2026-04-20', 'Sell_Price': '41.10', 'Profit_Pct%': -9.271525019276975, 'Reason': '🚨 價格防衛：收盤價 41.1 跌破移動支撐位(41.5)'}]
                  6525        捷敏-KY    95.90     3.20     5.14     8   ⚪ 觀望中 ▲ ▲ ▲         🚨 剛觸發賣出：🚨 價格防衛：收盤價 91.7 跌破移動支撐位(92.6)。目前已空手，優先鎖利落袋。                                                                                                                                                                                   [{'Buy_Date': '2026-01-12', 'Buy_Price': '77.20', 'Sell_Date': '2026-01-16', 'Sell_Price': '76.70', 'Profit_Pct%': -0.6476684193854207, 'Reason': '🚨 價格防衛：收盤價 76.7 跌破移動支撐位(77.1)'}, {'Buy_Date': '2026-02-24', 'Buy_Price': '82.20', 'Sell_Date': '2026-03-03', 'Sell_Price': '81.50', 'Profit_Pct%': -0.8515778274798633, 'Reason': '🚨 價格防衛：收盤價 81.5 跌破移動支撐位(81.8)'}, {'Buy_Date': '2026-03-12', 'Buy_Price': '83.90', 'Sell_Date': '2026-03-17', 'Sell_Price': '83.70', 'Profit_Pct%': -0.2383844744487378, 'Reason': '🚨 價格防衛：收盤價 83.7 跌破移動支撐位(84.0)'}, {'Buy_Date': '2026-04-14', 'Buy_Price': '85.80', 'Sell_Date': '2026-04-23', 'Sell_Price': '91.70', 'Profit_Pct%': 6.876449518117138, 'Reason': '🚨 價格防衛：收盤價 91.7 跌破移動支撐位(92.6)'}]
                  6877          鏵友益   179.00    23.53    17.51     4   ⚪ 觀望中 ▼ ▲ ▲       🚨 剛觸發賣出：🚨 價格防衛：收盤價 114.0 跌破移動支撐位(116.0)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [{'Buy_Date': '2026-01-02', 'Buy_Price': '88.50', 'Sell_Date': '2026-01-12', 'Sell_Price': '87.40', 'Profit_Pct%': -1.2429361289265592, 'Reason': '🚨 價格防衛：收盤價 87.4 跌破移動支撐位(87.5)'}, {'Buy_Date': '2026-02-26', 'Buy_Price': '96.00', 'Sell_Date': '2026-03-04', 'Sell_Price': '114.00', 'Profit_Pct%': 18.75, 'Reason': '🚨 價格防衛：收盤價 114.0 跌破移動支撐位(116.0)'}]
