prev_eps_yoy,prev_rev_yoy,eps,prev_year,rev_yoy,symbol,expansion,date,gm,om,pe,status,eps_yoy,prev_eps,price,est_price,advice,name
1270.21,-19.03,5.29,2025,-17.0,9949.TWO,561.54,2025-12,N/A,N/A,0.0,🧐 疑業外收益,544.54,5.5,0.0,0.0,⚪ 數據不足,琉園
-90.0,-4.33,0.18,2025,0.1,6282.TW,549.9,2025-12,N/A,N/A,0.0,🔄 轉虧為盈,550.0,-0.38,48.9500007629,-13.950000000000003,⚪ 數據不足,康舒
179.03,-12.66,1.43,2025,-10.43,2491.TW,467.93,2025-12,43.42%,-66.51%,92.94117759235286,🧐 疑業外收益,457.5,0.49,15.8000001907,2.5500000000000025,⚠️ 追價風險,吉祥全
2600.0,18.74,0.47,2025,20.59,3297.TWO,440.95000000000005,2025-12,30.70%,-18.51%,26.198347737933886,🚀 利潤擴張,461.54,0.54,31.7000007629,18.15,⚠️ 追價風險,杭特
7.84,310.97,1.28,2025,334.57,3555.TWO,418.37000000000006,2025-12,18.45%,4.44%,0.0,🔄 轉虧為盈,752.94,-0.58,270.0,-9.599999999999998,⚪ 數據不足,博士旺
38.89,-10.45,1.22,2025,-9.02,2243.TW,417.34999999999997,2025-12,22.27%,15.14%,28.125000000000007,🔄 轉虧為盈,408.33,-0.11,24.75,13.199999999999998,⚠️ 追價風險,宏旭-KY
790.16,119.15,8.13,2025,95.35,3167.TW,379.12,2025-12,42.12%,18.24%,48.49517319704712,🚀 利潤擴張,474.47,5.45,854.0,264.15000000000003,⚠️ 追價風險,大量
326.32,-6.34,0.45,2025,-9.55,1413.TW,374.26,2025-12,2.52%,0.23%,8.68181835518182,🧐 疑業外收益,364.71,0.43,9.5500001907,16.499999999999996,💎 強力關注,宏洲
187.32,6.23,1.22,2025,5.46,4764.TW,371.81,2025-12,23.49%,7.74%,109.45945945945947,🚀 利潤擴張,377.27,0.62,283.5,38.849999999999994,⚠️ 追價風險,雙鍵
916.67,13.03,1.69,2025,12.01,5490.TWO,370.34000000000003,2025-12,N/A,N/A,6.019737009407894,🚀 利潤擴張,382.35,1.26,27.4500007629,68.4,💎 強力關注,同亨
103.23,-10.3,0.55,2025,-6.42,8940.TW,364.75,2025-12,N/A,N/A,6.285714421964286,🧐 疑業外收益,358.33,0.02,17.6000003815,42.0,💎 強力關注,新天地
179.66,43.11,1.52,2025,49.68,3219.TWO,356.99,2025-12,69.49%,-15.39%,17.185930031633166,🏰 高護城河,406.67,1.65,68.4000015259,59.699999999999996,⚪ 中性觀察,倚強科
185.25,-0.15,0.9,2025,0.41,2409.TW,327.09,2025-12,10.73%,-2.70%,6.673228646811023,🚀 利潤擴張,327.5,0.52,16.9500007629,38.1,💎 強力關注,友達
114.76,30.37,7.73,2025,29.26,4439.TW,316.98,2025-12,15.60%,0.97%,4.683131407269338,🚀 利潤擴張,346.24,7.71,100.5,321.90000000000003,💎 強力關注,冠星-KY
-222.22,-14.04,0.15,2025,-14.09,2399.TW,289.09,2025-12,8.40%,-12.67%,0.0,🔄 轉虧為盈,275.0,-0.11,43.75,-2.7000000000000006,⚪ 數據不足,映泰
352.24,-0.73,7.21,2025,-5.85,2498.TW,281.70000000000005,2025-12,34.44%,-79.17%,1.7160750928643005,🧐 疑業外收益,275.85,7.88,41.0999984741,359.25,💎 強力關注,宏達電
-18.34,-8.55,4.01,2025,-9.71,9914.TW,281.08,2025-12,N/A,N/A,4.474497799528593,🧐 疑業外收益,271.37,4.81,57.9000015259,194.10000000000002,💎 強力關注,美利達
410.34,12.63,4.02,2025,12.97,6165.TW,275.27,2025-12,N/A,N/A,0.0,🚀 利潤擴張,288.24,3.02,0.0,0.0,⚪ 數據不足,浪凡
447.83,19.84,2.01,2025,20.44,4576.TW,273.68,2025-12,38.42%,13.23%,53.31807780320366,🚀 利潤擴張,294.12,1.26,233.0,65.55,⚠️ 追價風險,大銀微系統
230.67,-6.66,0.25,2025,-14.27,2466.TW,255.45000000000002,2025-12,-4.21%,-53.06%,0.0,🧐 疑業外收益,241.18,0.98,56.7000007629,-8.100000000000001,⚪ 數據不足,冠西電
241.94,-0.36,5.5,2025,0.02,1608.TW,254.79,2025-12,9.17%,6.96%,2.889079834402408,🚀 利潤擴張,254.81,4.75,33.5999984741,174.45,💎 強力關注,華榮
-11.76,4.96,0.09,2025,-0.24,1718.TW,250.24,2025-12,41.46%,18.72%,25.0,🧐 疑業外收益,250.0,0.19,6.5,3.9000000000000004,⚠️ 追價風險,中纖
180.87,-1.75,1.91,2025,-0.48,4949.TW,241.22,2025-12,N/A,N/A,23.076923076923077,🧐 疑業外收益,240.74,1.48,105.0,68.25,⚠️ 追價風險,有成精密
10.89,-98.23,1.74,2025,7.93,1438.TW,229.07999999999998,2025-12,29.82%,25.89%,0.0,🔄 轉虧為盈,237.01,-0.9,21.5,-2.4000000000000004,⚪ 數據不足,三地開發
15.89,-26.31,3.41,2025,-20.46,1456.TW,227.67000000000002,2025-12,46.73%,248.16%,9.047619177346938,🔄 轉虧為盈,207.21,-0.9,13.3000001907,22.050000000000004,💎 強力關注,怡華
-50.0,-5.41,1.74,2025,6.6,3530.TW,224.23000000000002,2025-12,31.94%,14.09%,31.81818181818182,🚀 利潤擴張,230.83,0.47,66.5,31.349999999999998,⚠️ 追價風險,晶相光
94.12,-4.98,0.21,2025,-13.63,2034.TW,213.63,2025-12,5.45%,-1.87%,21.718750397395834,🧐 疑業外收益,200.0,0.33,20.8500003815,14.399999999999999,⚪ 中性觀察,允強
237.21,-6.23,1.72,2025,-1.28,4167.TWO,204.79,2025-12,30.12%,9.56%,3.3935016673465705,🧐 疑業外收益,203.51,1.43,18.7999992371,83.1,💎 強力關注,松瑞藥
400.0,14.04,2.51,2025,12.21,4744.TWO,203.79,2025-12,42.43%,14.38%,7.426636913295712,🚀 利潤擴張,216.0,1.0,32.9000015259,66.44999999999999,💎 強力關注,皇將
119.47,20.7,1.58,2025,20.92,6902.TW,201.66000000000003,2025-12,N/A,N/A,48.08612440191388,🚀 利潤擴張,222.58,0.23,100.5,31.349999999999998,⚠️ 追價風險,GOGOLOOK
260.07,8.72,13.38,2025,12.25,2316.TW,200.22,2025-12,5.71%,-7.46%,3.662827895073576,🚀 利潤擴張,212.47,10.81,114.5,468.90000000000003,💎 強力關注,楠梓電
150.0,36.52,0.7,2025,29.92,1796.TWO,199.70999999999998,2025-12,31.84%,10.64%,27.999999434888895,🚀 利潤擴張,229.63,0.31,37.7999992371,20.249999999999996,⚠️ 追價風險,金穎生技
76.12,5.51,1.58,2025,8.46,6840.TWO,197.42,2025-12,N/A,N/A,20.70381186923754,🚀 利潤擴張,205.88,1.18,70.5999984741,51.15,⚪ 中性觀察,東研信超
219.57,-1.51,0.51,2025,-7.75,3191.TWO,197.22,2025-12,29.43%,-10.81%,29.375000794791664,🧐 疑業外收益,189.47,0.55,14.1000003815,7.2,⚠️ 追價風險,雲嘉南
153.27,5.31,2.01,2025,2.05,3048.TW,193.66,2025-12,3.50%,1.71%,9.579208109628714,🚀 利潤擴張,195.71,1.14,38.7000007629,60.59999999999999,💎 強力關注,益登
191.04,31.27,0.76,2025,22.23,6202.TW,191.41,2025-12,N/A,N/A,24.342105263157897,🚀 利潤擴張,213.64,0.62,55.5,34.199999999999996,⚠️ 追價風險,盛群
62.12,8.02,0.41,2025,3.52,2413.TW,189.66,2025-12,17.05%,3.38%,0.0,🔄 轉虧為盈,193.18,-0.25,44.6500015259,-9.6,⚪ 數據不足,環科
-70.59,-90.58,0.04,2025,-87.0,1516.TW,187.65,2025-12,5.36%,-14.33%,1089.9999618549991,🧐 疑業外收益,100.65,0.1,21.7999992371,0.30000000000000027,⚠️ 追價風險,川飛
-3.23,20.56,1.82,2025,18.84,6112.TW,184.49,2025-12,N/A,N/A,12.466666666666667,🚀 利潤擴張,203.33,1.2,46.75,56.25,✅ 穩健價值,邁達特
97.79,11.15,1.14,2025,6.56,6246.TWO,179.8,2025-12,N/A,N/A,24.32432432432433,🔄 轉虧為盈,186.36,-0.04,18.0,11.099999999999998,⚠️ 追價風險,臺龍
39.43,4.96,3.67,2025,2.54,4746.TW,177.61,2025-12,41.59%,21.37%,0.0,🚀 利潤擴張,180.15,2.44,0.0,0.0,⚪ 數據不足,台耀
314.37,27.17,6.42,2025,70.72,3609.TWO,177.55,2025-12,8.05%,-11.23%,1.9449541984311927,🚀 利潤擴張,248.27,7.31,21.2000007629,163.5,💎 強力關注,三一東林
228.8,-11.95,1.23,2025,-13.43,6573.TW,176.83,2025-12,N/A,N/A,9.384057832826088,🧐 疑業外收益,163.4,1.61,12.9499998093,20.7,💎 強力關注,虹揚-KY
89.73,22.77,6.58,2025,23.89,6719.TW,174.75,2025-12,N/A,N/A,12.640845070422534,🚀 利潤擴張,198.64,4.25,179.5,213.00000000000003,✅ 穩健價值,力智
275.0,-0.97,0.47,2025,-1.13,6127.TWO,174.57,2025-12,N/A,N/A,22.674999237050002,🧐 疑業外收益,173.44,0.91,45.3499984741,29.999999999999996,⚠️ 追價風險,九豪
172.22,-8.55,0.92,2025,-3.75,4556.TWO,174.34,2025-12,42.07%,14.30%,21.696969234606062,🧐 疑業外收益,170.59,0.49,35.7999992371,24.750000000000004,⚪ 中性觀察,旭然
175.0,4.04,0.53,2025,5.62,5703.TWO,173.32999999999998,2025-12,N/A,N/A,15.055555767444444,🚀 利潤擴張,178.95,0.09,13.5500001907,13.5,✅ 穩健價值,亞都
190.57,39.08,0.92,2025,50.65,6209.TW,172.01999999999998,2025-12,N/A,N/A,41.118421052631575,🚀 利潤擴張,222.67,0.49,62.5,22.800000000000004,⚠️ 追價風險,今國光
1700.0,2.1,0.89,2025,12.23,6841.TWO,171.64000000000001,2025-12,N/A,N/A,27.4660636936199,🚀 利潤擴張,183.87,0.81,60.7000007629,33.150000000000006,⚠️ 追價風險,長佳智能
3.33,-4.54,5.45,2025,27.9,7610.TW,166.18,2025-12,N/A,N/A,0.0,🚀 利潤擴張,194.08,1.75,0.0,0.0,⚪ 數據不足,聯友金屬-創
155.81,19.92,0.37,2025,23.11,1587.TW,164.99,2025-12,18.05%,2.96%,46.81159309724639,🚀 利潤擴張,188.1,0.24,32.2999992371,10.35,⚠️ 追價風險,吉茂
300.0,13.26,0.22,2025,10.09,2486.TW,164.91,2025-12,15.86%,1.35%,959.6774193548387,🚀 利潤擴張,175.0,0.16,297.5,4.65,⚠️ 追價風險,一詮
47.95,21.0,6.34,2025,164.5,6994.TW,164.37,2025-12,N/A,N/A,0.0,🚀 利潤擴張,328.87,1.13,0.0,0.0,⚪ 數據不足,富威電力
241.37,97.52,18.83,2025,78.68,6596.TWO,164.31,2025-12,N/A,N/A,2.1573714451318637,🚀 利潤擴張,242.99,17.41,99.8000030518,693.9,💎 強力關注,寬宏藝術
-271.43,25.19,0.68,2025,62.85,6265.TWO,160.96,2025-12,N/A,N/A,0.0,🔄 轉虧為盈,223.81,-0.24,42.2999992371,-11.25,⚪ 數據不足,方土昶
280.8,130.37,13.74,2025,130.83,5439.TWO,160.61999999999998,2025-12,N/A,N/A,13.529817304377803,🚀 利潤擴張,291.45,9.52,392.5,435.15,✅ 穩健價值,高技
23.53,-54.34,-0.09,2025,-69.84,3489.TWO,159.73000000000002,2025-12,10.14%,3.61%,0.0,🧐 疑業外收益,89.89,-0.13,22.0,-4.95,⚪ 數據不足,森寶
271.05,-1.22,1.81,2025,-6.62,4526.TW,157.18,2025-12,7.66%,-21.47%,5.26685393258427,🧐 疑業外收益,150.56,2.61,37.5,106.8,💎 強力關注,東台
219.44,18.28,1.86,2025,19.21,3630.TWO,153.81,2025-12,4.18%,-22.27%,4.57166392092257,🚀 利潤擴張,173.02,2.19,27.75,91.05,💎 強力關注,新鉅科
203.85,-15.66,1.57,2025,-15.36,6684.TWO,152.56,2025-12,N/A,N/A,3.778656066173913,🧐 疑業外收益,137.2,3.24,47.7999992371,189.75000000000003,💎 強力關注,安格
77.78,-95.44,-0.55,2025,-93.38,6838.TW,152.03,2025-12,N/A,N/A,0.0,🧐 疑業外收益,58.65,-0.24,28.0499992371,-13.5,⚪ 數據不足,台新藥
-1000.0,-79.84,0.06,2025,72.24,4157.TWO,147.76,2025-12,98.33%,81.17%,0.0,🔄 轉虧為盈,220.0,-0.22,9.9200000763,-5.8500000000000005,⚪ 數據不足,太景*-KY
54.55,-4.86,0.13,2025,-3.71,3252.TWO,145.65,2025-12,43.11%,22.84%,119.375002384375,🔄 轉虧為盈,141.94,-0.1,19.1000003815,2.4,⚠️ 追價風險,海灣
292.31,89.71,1.7,2025,65.48,3162.TWO,143.77999999999997,2025-12,11.59%,1.68%,16.890380313199103,🚀 利潤擴張,209.26,1.25,75.5,67.05000000000001,⚪ 中性觀察,精確
55.15,-8.66,2.71,2025,-8.77,3673.TW,142.39000000000001,2025-12,5.83%,-0.68%,8.59943998962185,🧐 疑業外收益,133.62,2.56,61.4000015259,107.1,💎 強力關注,TPK-KY
111.11,-18.24,0.08,2025,-20.68,6236.TWO,140.19,2025-12,N/A,N/A,70.55555272999999,🧐 疑業外收益,119.51,0.05,19.0499992371,4.050000000000001,⚠️ 追價風險,中湛
119.23,48.16,0.25,2025,42.33,6708.TWO,138.32,2025-12,N/A,N/A,98.60465471139537,🚀 利潤擴張,180.65,0.05,42.4000015259,6.449999999999999,⚠️ 追價風險,天擎
199.67,-19.06,0.17,2025,-32.24,5227.TWO,137.15,2025-12,N/A,N/A,34.206347995396804,🧐 疑業外收益,104.91,2.99,21.5499992371,9.450000000000005,⚠️ 追價風險,立凱-KY
70.64,14.7,0.71,2025,16.84,6485.TWO,135.37,2025-12,N/A,N/A,68.80952138746031,🔄 轉虧為盈,152.21,-0.32,86.6999969482,18.9,⚠️ 追價風險,點序
-28.32,32.43,2.13,2025,95.09,2408.TW,134.79,2025-12,49.05%,39.15%,0.0,🔄 轉虧為盈,229.88,-1.45,237.0,-28.5,⚪ 數據不足,南亞科
167.46,55.41,7.11,2025,44.32,3709.TWO,133.87,2025-12,8.09%,5.14%,6.218977879430656,🚀 利潤擴張,178.19,3.61,85.1999969482,205.50000000000003,💎 強力關注,鑫聯大投控
