eps_yoy,est_price,advice,expansion,prev_eps,rev_yoy,symbol,name,eps,gm,prev_rev_yoy,pe,price,date,prev_eps_yoy,status,prev_year,om
3400.0,2.849999999999999,⚠️ 追價風險,1630.13,0.07,1769.87,3016.TW,嘉晶,0.35,11.81%,-5.25,610.5263157894739,116.0,2026-03,-92.39,🚀 利潤擴張,2025,4.89%
2900.0,27.900000000000006,⚠️ 追價風險,1516.21,0.57,1383.79,1303.TW,南亞,1.8,9.25%,0.12,118.81720430107525,221.0,2026-03,35.71,🚀 利潤擴張,2025,2.06%
2366.67,18.599999999999998,⚠️ 追價風險,1335.3100000000002,0.15,1031.36,2399.TW,映泰,1.48,8.40%,-14.09,32.78225929508066,40.6500015259,2026-03,275.0,🚀 利潤擴張,2025,-12.67%
2200.0,7.65,⚠️ 追價風險,1225.03,0.15,974.97,4711.TWO,永純,0.23,14.61%,-4.5,32.54902035588235,16.6000003815,2026-03,50.0,🚀 利潤擴張,2025,2.47%
1300.0,6.15,⚠️ 追價風險,1157.6399999999999,0.09,142.36,1718.TW,中纖,0.17,41.46%,-0.24,35.731706386585365,14.6499996185,2026-03,250.0,🚀 利潤擴張,2025,18.72%
1275.0,67.5,⚪ 中性觀察,1154.09,1.52,120.91,3219.TWO,倚強科,0.48,69.49%,49.68,16.066667344844447,72.3000030518,2026-03,406.67,🏰 高護城河,2025,-15.39%
1600.0,11.1,⚠️ 追價風險,1063.6100000000001,0.31,536.39,5291.TWO,邑昇,0.17,N/A,9.81,73.91891994986486,54.7000007629,2026-03,-17.95,🚀 利潤擴張,2025,N/A
1100.0,78.44999999999999,💎 強力關注,982.33,3.45,117.67,3025.TW,星通,0.6,68.55%,4.27,11.1663482841109,58.4000015259,2026-03,-6.25,🏰 高護城河,2025,43.45%
2600.0,669.75,💎 強力關注,807.1099999999999,13.06,1792.89,4967.TW,十銓,27.0,N/A,2.46,5.050391937290033,225.5,2026-03,110.31,🚀 利潤擴張,2025,N/A
1014.29,17.699999999999996,⚠️ 追價風險,733.74,1.23,280.55,2359.TW,所羅門,0.78,24.10%,21.27,124.5762711864407,147.0,2026-03,46.43,🚀 利潤擴張,2025,2.82%
1211.11,-85.05,⚪ 數據不足,714.3499999999999,-4.39,496.76,1762.TW,中化生,1.64,-78.82%,-40.26,0.0,37.0499992371,2026-03,-566.18,🔄 轉虧為盈,2025,-143.69%
2666.67,36.29999999999999,⚠️ 追價風險,648.6500000000001,0.87,2018.02,3006.TW,晶豪科,7.22,32.33%,8.08,90.90909090909093,220.0,2026-03,-51.41,🚀 利潤擴張,2025,20.25%
1100.0,-26.55,⚪ 數據不足,589.77,-0.84,510.23,2464.TW,盟立,0.24,17.62%,-10.95,0.0,157.5,2026-03,-266.0,🔄 轉虧為盈,2025,-3.37%
