id,name,price,signal,pnl,count,win_rate,reason
8291.TWO,尚茂,31.7000007629,🟡 預警 (🚀 動能初現),402.84,4,50.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:7.5%)
7610.TW,聯友金屬-創,1945.0,☁️ 觀望,279.24,10,70.0,[P:0.95/50.0] [🚀 極強] 等待機會
7828.TWO,創新服務,2125.0,💎 持股,207.1,7,57.14,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3441.TWO,聯一光,185.5,💎 持股,186.22,7,57.14,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6861.TW,睿生光電,229.5,💎 持股,179.39,9,44.44,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6147.TWO,頎邦,229.0,💎 持股,172.48,10,60.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6715.TW,嘉基,433.0,🚀 持股,168.26,10,20.0,[🚀 爆發 5D30%] [P:0.95/8.0] [🚀 極強] 趨勢維持
2305.TW,全友,58.7000007629,💎 持股,164.68,5,80.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6830.TW,汎銓,563.0,☁️ 觀望,158.43,11,36.36,[P:0.95/50.0] [🚀 極強] 等待機會
4304.TWO,勝昱,17.25,☁️ 觀望,145.73,6,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
4991.TWO,環宇-KY,474.0,☁️ 觀望,143.19,9,66.67,[P:0.95/8.0] [🚀 極強] 等待機會
5536.TWO,聖暉*,888.0,🟡 預警 (⚡ 糾結噴發),138.73,9,66.67,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6217.TWO,中探針,178.5,☁️ 觀望,131.89,11,45.45,[P:0.95/50.0] [🚀 極強] 等待機會
6182.TWO,合晶,116.0,☁️ 觀望,128.66,9,66.67,[P:0.95/8.0] [🚀 極強] 等待機會
7825.TWO,和亞智慧,79.6999969482,☁️ 觀望,121.41,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
4951.TWO,精拓科,90.6999969482,💎 持股,104.87,8,62.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2313.TW,華通,228.5,☁️ 觀望,99.01,9,44.44,[P:0.95/8.0] [🚀 極強] 等待機會
6538.TWO,倉和,388.0,☁️ 觀望,97.92,8,25.0,[P:0.95/50.0] [📈 穩定] 等待機會
2492.TW,華新科,309.5,💎 持股,95.78,12,33.33,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6016.TWO,康和證,23.0,💎 持股,94.37,9,66.67,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
4960.TW,誠美材,22.8999996185,🟡 預警 (⚡ 糾結噴發),94.14,8,37.5,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
7777.TWO,能率亞洲,35.9500007629,☁️ 觀望,92.75,10,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
8110.TW,華東,47.4000015259,🟡 預警 (⚡ 糾結噴發),91.38,8,62.5,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
7768.TW,頌勝科技,286.0,☁️ 觀望,87.58,6,16.67,[P:0.95/8.0] [📉 轉弱] 等待機會
6510.TWO,精測,3520.0,🚀 持股,87.43,7,71.43,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
00927.TW,群益半導體收益,38.7299995422,💎 持股,87.26,7,100.0,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
00685L.TW,群益臺灣加權正2,12.4200000763,🟡 預警 (⚡ 糾結噴發),83.53,9,55.56,[P:0.95/50.0] [📈 穩定] 均線糾結且短均線轉強
2221.TWO,大甲,127.5,💎 持股,83.28,13,53.85,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
8455.TWO,大拓-KY,22.7000007629,☁️ 觀望,82.35,5,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6834.TW,天二科技,110.5,🔥 買入 (📈 標準 V3),81.95,8,37.5,[P:0.95/50.0] [🚀 極強] 趨勢突破確認
6446.TW,藥華藥,1180.0,☁️ 觀望,81.29,10,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6234.TWO,高僑,38.5,☁️ 觀望,80.03,7,42.86,[P:0.95/50.0] [🚀 極強] 等待機會
3229.TW,晟鈦,64.4000015259,☁️ 觀望,79.66,10,70.0,[P:0.95/8.0] [🚀 極強] 等待機會
3444.TWO,利機,82.1999969482,🟡 預警 (⚡ 糾結噴發),78.44,7,42.86,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
6431.TW,光麗-KY,17.0499992371,☁️ 觀望,77.18,5,60.0,[P:0.95/8.0] [📉 轉弱] 等待機會
8299.TWO,群聯,2140.0,🟡 預警 (⚡ 糾結噴發),76.94,9,55.56,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6148.TWO,驊宏資,39.8499984741,💎 持股,75.46,6,66.67,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
8996.TW,高力,1430.0,💎 持股,74.45,11,54.55,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2882.TW,國泰金,110.5,💎 持股,72.13,8,62.5,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2887.TW,台新新光金,44.4000015259,💎 持股,71.08,8,75.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3576.TW,聯合再生,17.1000003815,☁️ 觀望,70.92,8,37.5,[P:0.95/8.0] [🚀 極強] 等待機會
3264.TWO,欣銓,268.5,💎 持股,70.86,12,41.67,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
7728.TWO,光焱科技,584.0,☁️ 觀望,65.72,4,75.0,[P:0.95/8.0] [📈 穩定] 等待機會
00888.TWO,永豐台灣ESG,35.3899993896,💎 持股,65.57,9,55.56,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
00935.TW,野村臺灣新科技50,58.5499992371,🟡 預警 (⚡ 糾結噴發),65.46,7,57.14,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6257.TW,矽格,244.5,💎 持股,63.99,9,66.67,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2885.TW,元大金,70.0,💎 持股,61.94,9,44.44,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3490.TWO,單井,44.3499984741,☁️ 觀望,61.02,8,37.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6218.TWO,豪勉,61.5999984741,💎 持股,60.43,5,60.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6116.TW,彩晶,14.0,🟡 預警 (⚡ 糾結噴發),59.95,9,22.22,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
6206.TW,飛捷,138.5,☁️ 觀望,59.86,9,22.22,[P:0.95/8.0] [📉 轉弱] 等待機會
4943.TW,康控-KY,7.1799998283,☁️ 觀望,59.12,5,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00631L.TW,元大台灣50正2,37.6500015259,🟡 預警 (⚡ 糾結噴發),58.72,9,44.44,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6624.TWO,萬年清,38.0,☁️ 觀望,58.46,5,20.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2441.TW,超豐,123.5,💎 持股,57.21,9,55.56,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
8150.TW,南茂,94.0,🟡 預警 (⚡ 糾結噴發),56.64,9,55.56,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
3297.TWO,杭特,33.0999984741,💎 持股,56.04,7,57.14,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6443.TW,元晶,25.5,☁️ 觀望,55.39,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
2884.TW,玉山金,46.4000015259,💎 持股,55.32,8,75.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2033.TW,佳大,33.9000015259,💎 持股,54.88,10,40.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
1717.TW,長興,71.4000015259,☁️ 觀望,54.78,9,22.22,[P:0.95/8.0] [🚀 極強] 等待機會
00922.TW,國泰台灣領袖50,42.7000007629,💎 持股,54.66,8,87.5,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
00947.TW,台新臺灣IC設計,38.8800010681,🟡 預警 (⚡ 糾結噴發),53.78,9,55.56,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
00881.TW,國泰台灣科技龍頭,51.0,🟡 預警 (⚡ 糾結噴發),53.19,9,55.56,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
2426.TW,鼎元,102.0,🟡 預警 (⚡ 糾結噴發),52.25,13,30.77,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
2881.TW,富邦金,150.5,💎 持股,50.41,8,50.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
1709.TW,和益,39.2000007629,💎 持股,50.33,4,50.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2493.TW,揚博,192.5,💎 持股,49.59,10,40.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2883.TW,凱基金,39.2999992371,💎 持股,49.31,10,50.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6505.TW,台塑化,86.5,💎 持股,48.04,10,40.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
00939.TW,統一台灣高息動能,24.3400001526,💎 持股,47.19,9,66.67,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
6485.TWO,點序,65.3000030518,🟡 預警 (⚡ 糾結噴發),46.07,7,42.86,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
00878.TW,國泰永續高股息,34.8300018311,💎 持股,45.51,9,55.56,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2891.TW,中信金,69.5,💎 持股,45.5,10,60.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2615.TW,萬海,120.5,☁️ 觀望,44.19,8,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
