price,expansion,gm,eps,prev_eps,prev_eps_yoy,symbol,advice,pe,date,om,status,prev_year,est_price,eps_yoy,rev_yoy,name,prev_rev_yoy
125.0,487.52,N/A,1.64,1.58,222.58,6902.TW,⚠️ 追價風險,36.02305475504323,2026-03,N/A,🚀 利潤擴張,2025,52.05,530.77,43.25,GOGOLOOK,20.92
16.75,484.25,N/A,0.46,-0.16,74.6,6241.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-7.499999999999999,820.0,335.75,鑫永洋,5.06
20.2000007629,472.41999999999996,N/A,0.22,0.31,-42.59,8440.TWO,⚠️ 追價風險,34.23728942864406,2026-03,N/A,🚀 利潤擴張,2025,8.850000000000001,1200.0,727.58,綠電,-6.1
89.5999984741,444.74,30.54%,1.21,2.72,-1.45,4590.TW,⚪ 數據不足,0.0,2026-03,-0.34%,🧐 疑業外收益,2025,0.0,418.92,-25.82,富田-創,-41.11
43.0999984741,412.3,36.04%,0.25,0.49,-34.67,2302.TW,⚠️ 追價風險,37.15517109836206,2026-03,11.05%,🚀 利潤擴張,2025,17.400000000000002,600.0,187.7,麗正,11.66
174.0,390.63,41.86%,2.25,0.88,576.92,2344.TW,⚠️ 追價風險,63.97058823529412,2026-03,15.37%,🚀 利潤擴張,2025,40.8,1037.5,646.87,華邦電,9.55
30.1000003815,381.05,N/A,0.41,1.44,5.88,6908.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,387.5,6.45,宏�砦C戲-創,28.36
117.0,356.01,N/A,1.59,2.19,-49.65,6716.TWO,⚪ 中性觀察,21.507352941176467,2026-03,N/A,🚀 利潤擴張,2025,81.60000000000001,715.79,359.78,應廣,-15.3
28.9500007629,342.59000000000003,N/A,0.24,0.73,207.35,5210.TWO,⚠️ 追價風險,22.269231356076926,2026-03,N/A,🚀 利潤擴張,2025,19.499999999999996,380.0,37.41,寶碩,9.95
41.7000007629,339.47,N/A,0.99,-0.2,90.52,5228.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-8.4,1090.0,750.53,鈺鎧,25.85
68.6999969482,338.21999999999997,N/A,1.42,2.35,1.73,2754.TWO,💎 強力關注,11.134521385445705,2026-03,N/A,🚀 利潤擴張,2025,92.55,517.65,179.43,亞洲藏壽司,5.96
72.9000015259,312.59000000000003,42.07%,0.13,0.92,170.59,4556.TWO,⚠️ 追價風險,41.42045541244318,2026-03,14.30%,🚀 利潤擴張,2025,26.4,550.0,237.41,旭然,-3.75
25.1000003815,306.68,30.11%,0.15,0.57,-29.63,3071.TWO,✅ 穩健價值,14.508670740751445,2026-03,7.94%,🚀 利潤擴張,2025,25.95,650.0,343.32,協禧,-5.82
2015.0,293.43999999999994,N/A,68.8,41.98,3.78,8299.TWO,✅ 穩健價值,14.411386067801459,2026-03,N/A,🚀 利潤擴張,2025,2097.2999999999997,1143.3,849.86,群聯,23.29
0.0,276.36999999999995,N/A,0.67,-0.43,-150.59,6615.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,0.0,546.67,270.3,慧智,-14.91
44.0,268.97,N/A,0.27,0.18,550.0,6282.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,-9.150000000000002,640.0,371.03,康舒,0.1
22.1000003815,258.58,N/A,0.38,-0.76,55.83,8489.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-20.1,445.45,186.87,三貝德,5.03
