📊 量化獲利品質診斷報告 - 基準日: 20260408 (生成時間: 2026-04-18 19:27)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        56.90      13.78      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         30.50      4.86       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.75      0.95       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        42.30      10.24      61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         394.00     52.05      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.35      12.23      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         30.05      0.79       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.45      3.15       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         171.07     54.48      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       113.50     3.09       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        45.30      27.29      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         112.00     36.72      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     292.00     10.31      424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         10.10      27.30      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         21.90      4.56       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         41.10      2.51       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         59.30      13.45      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       24.60      8.51       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         2040.00    221.26     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         33.33      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         20.05      13.28      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         31.05      124.20     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         11.20      23.33      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       17.50      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      9.88       20.58      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         19.30      16.93      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        95.60      415.65     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        62.20      23.92      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         45.50      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        15.05      88.53      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         32.70      27.02      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        181.50     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      20.60      23.41      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         539.00     30.61      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.92       9.02       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         136.00     52.51      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         26.90      5.90       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        63.00      15.83      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         17.05      6.71       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      89.80      4.18       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         37.95      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        40.70      1.70       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
4576.TW    大銀微系統      149.00     34.10      65.55            273.68%    🚀 利潤擴張
2466.TW    冠西電        59.70      0.00       -8.10            255.45%    🧐 疑業外收益
1608.TW    華榮         32.30      2.78       174.45           254.79%    🚀 利潤擴張
1718.TW    中纖         7.34       28.23      3.90             250.24%    🧐 疑業外收益
4949.TW    有成精密       70.00      15.38      68.25            241.22%    🧐 疑業外收益
1438.TW    三地開發       28.05      0.00       -2.40            229.08%    🔄 轉虧為盈
1456.TW    怡華         14.00      9.52       22.05            227.67%    🔄 轉虧為盈
3530.TW    晶相光        62.20      29.76      31.35            224.23%    🚀 利潤擴張
2034.TW    允強         20.70      21.56      14.40            213.63%    🧐 疑業外收益
4167.TWO   松瑞藥        20.70      3.74       83.10            204.79%    🧐 疑業外收益
4744.TWO   皇將         36.85      8.32       66.45            203.79%    🚀 利潤擴張
6902.TW    GOGOLOOK   75.10      35.93      31.35            201.66%    🚀 利潤擴張
2316.TW    楠梓電        98.10      3.14       468.90           200.22%    🚀 利潤擴張
1796.TWO   金穎生技       40.80      30.22      20.25            199.71%    🚀 利潤擴張
6840.TWO   東研信超       60.80      17.83      51.15            197.42%    🚀 利潤擴張
3191.TWO   雲嘉南        13.85      28.85      7.20             197.22%    🧐 疑業外收益
3048.TW    益登         35.70      8.84       60.60            193.66%    🚀 利潤擴張
6202.TW    盛群         49.15      21.56      34.20            191.41%    🚀 利潤擴張
2413.TW    環科         51.20      0.00       -9.60            189.66%    🔄 轉虧為盈
1516.TW    川飛         20.90      1045.00    0.30             187.65%    🧐 疑業外收益
6112.TW    邁達特        46.90      12.51      56.25            184.49%    🚀 利潤擴張
6246.TWO   臺龍         17.00      22.97      11.10            179.80%    🔄 轉虧為盈
4746.TW    台耀         0.00       0.00       0.00             177.61%    🚀 利潤擴張
3609.TWO   三一東林       26.20      2.40       163.50           177.55%    🚀 利潤擴張
6573.TW    虹揚-KY      12.50      9.06       20.70            176.83%    🧐 疑業外收益
6719.TW    力智         164.00     11.55      213.00           174.75%    🚀 利潤擴張
6127.TWO   九豪         39.80      19.90      30.00            174.57%    🧐 疑業外收益
4556.TWO   旭然         27.00      16.36      24.75            174.34%    🧐 疑業外收益
5703.TWO   亞都         13.75      15.28      13.50            173.33%    🚀 利潤擴張
6209.TW    今國光        54.50      35.86      22.80            172.02%    🚀 利潤擴張
6841.TWO   長佳智能       59.60      26.97      33.15            171.64%    🚀 利潤擴張
7610.TW    聯友金屬-創     0.00       0.00       0.00             166.18%    🚀 利潤擴張
1587.TW    吉茂         37.30      54.06      10.35            164.99%    🚀 利潤擴張
2486.TW    一詮         158.50     511.29     4.65             164.91%    🚀 利潤擴張
6994.TW    富威電力       0.00       0.00       0.00             164.37%    🚀 利潤擴張
6596.TWO   寬宏藝術       97.90      2.12       693.90           164.31%    🚀 利潤擴張
6265.TWO   方土昶        38.20      0.00       -11.25           160.96%    🔄 轉虧為盈
5439.TWO   高技         305.00     10.51      435.15           160.62%    🚀 利潤擴張
3489.TWO   森寶         23.40      0.00       -4.95            159.73%    🧐 疑業外收益
4526.TW    東台         34.50      4.85       106.80           157.18%    🧐 疑業外收益
6684.TWO   安格         43.00      3.40       189.75           152.56%    🧐 疑業外收益
6838.TW    台新藥        31.95      0.00       -13.50           152.03%    🧐 疑業外收益
4157.TWO   太景*-KY     11.20      0.00       -5.85            147.76%    🔄 轉虧為盈
3252.TWO   海灣         20.20      126.25     2.40             145.65%    🔄 轉虧為盈
3162.TWO   精確         66.80      14.94      67.05            143.78%    🚀 利潤擴張
3673.TW    TPK-KY     51.70      7.24       107.10           142.39%    🧐 疑業外收益
6236.TWO   中湛         21.60      80.00      4.05             140.19%    🧐 疑業外收益
6708.TWO   天擎         40.00      93.02      6.45             138.32%    🚀 利潤擴張
5227.TWO   立凱-KY      22.10      35.08      9.45             137.15%    🧐 疑業外收益
6485.TWO   點序         79.90      63.41      18.90            135.37%    🔄 轉虧為盈
2408.TW    南亞科        223.00     0.00       -28.50           134.79%    🔄 轉虧為盈
3709.TWO   鑫聯大投控      69.10      5.04       205.50           133.87%    🚀 利潤擴張
3466.TWO   德晉         34.50      0.00       -57.45           131.46%    🧐 疑業外收益
4934.TW    太極         16.50      0.00       -35.85           129.82%    🧐 疑業外收益
2607.TW    榮運         51.50      5.93       130.35           127.98%    🧐 疑業外收益
5386.TWO   青雲         333.50     21.80      229.50           126.62%    🚀 利潤擴張
3540.TWO   曜越         0.00       0.00       0.00             126.13%    🚀 利潤擴張
3105.TWO   穩懋         440.00     94.62      69.75            125.68%    🧐 疑業外收益
6276.TWO   安鈦克        33.35      11.46      43.65            122.40%    🚀 利潤擴張
1512.TW    瑞利         7.46       29.84      3.75             119.85%    🚀 利潤擴張
4555.TW    氣立         35.75      893.75     0.60             114.62%    🔄 轉虧為盈
4702.TWO   中美實        9.99       28.54      5.25             113.31%    🧐 疑業外收益
3260.TWO   威剛         389.00     9.86       592.05           112.57%    🚀 利潤擴張
2025.TW    千興         11.50      0.00       -17.70           109.96%    🧐 疑業外收益
4967.TW    十銓         224.50     12.04      279.75           107.85%    🚀 利潤擴張
6477.TW    安集         33.65      177.11     2.85             107.45%    🧐 疑業外收益
2501.TW    國建         23.25      3.70       94.35            106.29%    🚀 利潤擴張
6465.TWO   威潤         46.50      0.00       -14.55           104.65%    🔄 轉虧為盈
3135.TW    凌航         114.00     13.04      131.10           103.76%    🚀 利潤擴張
6150.TWO   撼訊         57.20      10.75      79.80            102.95%    🚀 利潤擴張
2465.TW    麗臺         59.70      46.64      19.20            101.99%    🚀 利潤擴張
1541.TW    錩泰         26.55      6.06       65.70             97.42%    🚀 利潤擴張
2380.TW    虹光         5.51       2.84       29.10             96.70%    🚀 利潤擴張
4971.TWO   IET-KY     645.00     0.00       -7.05             96.48%    🚀 利潤擴張
5516.TWO   雙喜         12.85      0.00       -7.35             96.02%    🚀 利潤擴張
3363.TWO   上詮         720.00     1014.08    10.65             95.32%    🚀 利潤擴張
6739.TWO   竹陞科技       1555.00    44.83      520.35            95.30%    🚀 利潤擴張
6125.TWO   廣運         52.90      170.65     4.65              94.49%    🚀 利潤擴張
3687.TWO   歐買尬        70.20      6.61       159.30            94.30%    🚀 利潤擴張
1453.TW    大將         12.35      0.00       -2.10             92.73%    🚀 利潤擴張
4154.TWO   樂威科-KY     14.45      0.00       -84.00            92.59%    🧐 疑業外收益
2390.TW    云辰         10.25      16.53      9.30              91.99%    🧐 疑業外收益
3504.TW    揚明光        52.30      5230.00    0.15              91.78%    🚀 利潤擴張
2360.TW    致茂         1725.00    26.92      961.05            91.00%    🚀 利潤擴張
6931.TW    青松健康       49.95      20.56      36.45             90.25%    🚀 利潤擴張
5608.TW    四維航        16.60      0.00       -9.60             90.00%    🧐 疑業外收益
3576.TW    聯合再生       21.30      0.00       -28.20            88.55%    🧐 疑業外收益
6532.TWO   瑞耘         74.40      6.13       181.95            87.60%    🧐 疑業外收益
4991.TWO   環宇-KY      517.00     0.00       -23.55            81.68%    🔄 轉虧為盈
2740.TWO   天蔥         38.00      0.00       -125.25           81.01%    🧐 疑業外收益
1528.TW    恩德         27.20      0.00       -21.60            80.62%    🧐 疑業外收益
6196.TW    帆宣         302.00     7.89       574.05            80.56%    🧐 疑業外收益
2022.TW    聚亨         9.13       0.00       -0.60             79.21%    🚀 利潤擴張
5498.TWO   凱崴         59.20      0.00       -7.05             78.95%    🚀 利潤擴張
4552.TW    力達-KY      21.05      3.97       79.50             78.51%    🧐 疑業外收益
3563.TW    牧德         842.00     19.26      655.80            77.89%    🚀 利潤擴張
3205.TWO   佰研         61.10      0.00       -44.25            77.02%    🧐 疑業外收益
3523.TWO   迎輝         13.20      0.00       -65.85            76.84%    🧐 疑業外收益
3498.TWO   陽程         76.50      0.00       -32.55            76.57%    🔄 轉虧為盈
3625.TWO   西勝         17.00      0.00       -16.20            75.48%    🧐 疑業外收益
6654.TWO   天正國際       90.00      0.00       -44.70            74.38%    🔄 轉虧為盈
4540.TW    全球傳動       43.35      0.00       -40.50            74.10%    🚀 利潤擴張
2483.TW    百容         21.15      11.37      27.90             73.91%    🧐 疑業外收益
2731.TW    雄獅         164.50     3.75       658.20            72.29%    🚀 利潤擴張
1440.TW    南紡         12.70      0.00       -4.20             71.99%    🧐 疑業外收益
6505.TW    台塑化        54.30      35.49      22.95             70.75%    🧐 疑業外收益
2451.TW    創見         248.00     11.77      316.05            70.49%    🚀 利潤擴張
5398.TWO   慕康生醫       21.65      35.49      9.15              70.29%    🧐 疑業外收益
3623.TWO   富晶通        22.05      0.00       -16.95            70.11%    🚀 利潤擴張
6213.TW    聯茂         197.00     19.39      152.40            70.08%    🚀 利潤擴張
6241.TWO   易通展        10.95      0.00       -13.65            69.54%    🚀 利潤擴張
2924.TWO   宏太-KY      18.60      0.00       -38.85            69.26%    🧐 疑業外收益
6616.TWO   特昇-KY      10.30      0.00       -11.85            67.61%    🧐 疑業外收益
3152.TWO   璟德         163.50     6.24       393.00            67.30%    🧐 疑業外收益
3665.TW    貿聯-KY      2015.00    18.92      1597.50           66.97%    🚀 利潤擴張
6831.TW    邁科         0.00       0.00       0.00              66.71%    🚀 利潤擴張
1802.TW    台玻         59.00      0.00       -16.35            65.33%    🧐 疑業外收益
2027.TW    大成鋼        38.50      5.73       100.80            65.30%    🚀 利潤擴張
2614.TW    東森         20.90      4.60       68.10             65.27%    🧐 疑業外收益
5543.TWO   桓鼎-KY      27.25      0.00       -88.80            65.14%    🧐 疑業外收益
4807.TW    日成-KY      14.25      0.00       -32.70            65.02%    🚀 利潤擴張
1445.TW    大宇         12.45      0.00       -24.75            64.90%    🧐 疑業外收益
4529.TWO   淳紳         3.05       0.00       -28.05            64.78%    🧐 疑業外收益
5228.TWO   鈺鎧         22.90      0.00       -24.75            64.67%    🚀 利潤擴張
4166.TWO   友霖         25.50      13.01      29.40             64.65%    🚀 利潤擴張
