日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-08,8054.TWO,安國,98.8,9.29,1636,🔥 MJ強勢攻擊,38.55,1.09
2026-04-08,2408.TW,南亞科,223.0,8.25,94927,🔥 MJ強勢攻擊,35.78,1.25
2026-04-08,3035.TW,智原,150.5,7.5,2348,🔥 MJ強勢攻擊,48.49,0.26
2026-04-08,3680.TWO,家登,404.5,7.29,1709,🔥 MJ強勢攻擊,28.26,0.41
2026-04-08,6415.TW,矽力*-KY,299.5,6.39,5596,🔥 MJ強勢攻擊,36.96,0.18
2026-04-08,8011.TW,台通,21.15,5.75,4537,🔥 MJ強勢攻擊,47.72,0.11
2026-04-08,2404.TW,漢唐,904.0,5.73,4077,🔥 MJ強勢攻擊,48.11,6.71
2026-04-08,3450.TW,聯鈞,271.5,5.23,13423,🔥 MJ強勢攻擊,43.71,0.43
2026-04-08,6669.TW,緯穎,3570.0,5.15,1663,🔥 MJ強勢攻擊,45.02,16.23
2026-04-08,3624.TWO,光頡,47.8,5.05,695,🔥 MJ強勢攻擊,47.69,0.31
2026-04-08,3011.TW,今皓,12.6,5.0,916,🔥 MJ強勢攻擊,35.79,0.03
2026-04-08,2331.TW,精英,21.9,4.78,1813,🔥 MJ強勢攻擊,36.16,0.12
2026-04-08,3694.TW,海華,55.5,4.13,736,🔥 MJ強勢攻擊,32.93,0.03
2026-04-08,3019.TW,亞光,126.0,4.13,1794,🔥 MJ強勢攻擊,36.9,0.71
2026-04-08,6284.TWO,佳邦,83.7,3.85,1123,🔥 MJ強勢攻擊,49.99,0.15
2026-04-08,2312.TW,金寶,22.45,3.7,11635,🔥 MJ強勢攻擊,27.17,0.03
2026-04-08,2498.TW,宏達電,40.7,3.69,7277,🔥 MJ強勢攻擊,46.34,0.17
2026-04-08,1608.TW,華榮,32.3,3.53,2003,🔥 MJ強勢攻擊,49.8,0.19
2026-04-08,2332.TW,友訊,15.4,3.36,3509,🔥 MJ強勢攻擊,40.24,0.04
2026-04-08,6548.TWO,長科*,48.8,3.28,10011,🔥 MJ強勢攻擊,47.42,0.28
2026-04-08,4540.TW,全球傳動,43.35,3.21,1108,🔥 MJ強勢攻擊,38.65,0.07
2026-04-08,2515.TW,中工,13.5,3.05,6004,🔥 MJ強勢攻擊,40.94,0.04
2026-04-08,1522.TW,堤維西,32.2,3.04,631,🔥 MJ強勢攻擊,43.19,0.67
2026-04-08,2258.TW,鴻華先進-創,27.55,2.99,898,🔥 MJ強勢攻擊,29.94,0.14
2026-04-08,5371.TWO,中光電,74.8,2.89,2836,🔥 MJ強勢攻擊,28.19,0.35
2026-04-08,2359.TW,所羅門,111.5,2.76,741,🔥 MJ強勢攻擊,38.48,0.36
2026-04-08,2645.TW,長榮航太,150.0,2.74,619,🔥 MJ強勢攻擊,24.59,0.22
2026-04-08,9910.TW,豐泰,81.0,2.66,2008,🔥 MJ強勢攻擊,37.66,0.74
2026-04-08,1736.TW,喬山,125.0,2.46,560,🔥 MJ強勢攻擊,45.55,0.69
2026-04-08,2363.TW,矽統,48.45,2.32,2941,🔥 MJ強勢攻擊,33.89,0.01
2026-04-08,2009.TW,第一銅,40.6,2.27,1322,🔥 MJ強勢攻擊,46.98,0.25
2026-04-08,9802.TW,鈺齊-KY,77.3,2.25,703,🔥 MJ強勢攻擊,28.33,0.07
2026-04-08,6603.TWO,富強鑫,21.25,2.16,653,🔥 MJ強勢攻擊,23.83,0.09
2026-04-08,7777.TWO,能率亞洲,25.4,2.01,522,🔥 MJ強勢攻擊,25.1,0.09
