日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-08,2009.TW,第一銅,40.6,2.27,1322,🔥 MJ強勢攻擊,46.98,0.25
2026-04-08,4966.TWO,譜瑞-KY,478.0,0.63,647,🔥 MJ強勢攻擊,33.99,0.51
2026-04-08,6188.TWO,廣明,89.4,2.88,1152,🚀 MJ低檔反彈,34.69,-0.11
2026-04-08,4142.TW,國光生,18.2,0.0,956,💧 築底觀察,5.22,-0.04
2026-04-08,2485.TW,兆赫,73.0,-0.14,32034,💧 築底觀察,-6.72,-3.44
2026-04-08,6806.TW,森崴能源,28.2,-9.9,3226,💧 築底觀察,-8.4,-1.77
2026-04-08,7792.TWO,安葆,347.0,9.98,955,⚠️ 超買警示,102.63,7.4
2026-04-08,2337.TW,旺宏,150.0,9.89,22638,⚠️ 超買警示,95.31,0.14
2026-04-08,3105.TWO,穩懋,440.0,8.11,39979,⚠️ 超買警示,99.59,10.92
2026-04-08,00990A.TW,主動元大AI新經濟,13.29,7.79,69304,⚠️ 超買警示,98.07,0.17
2026-04-08,00738U.TW,期元大道瓊白銀,62.65,6.46,11985,⚠️ 超買警示,103.9,1.52
2026-04-08,0050.TW,元大台灣50,79.2,5.18,235321,⚠️ 超買警示,97.1,0.68
2026-04-08,009816.TW,凱基台灣TOP50,11.23,5.15,458866,⚠️ 超買警示,97.61,0.11
2026-04-08,2409.TW,友達,17.05,4.92,341310,⚠️ 超買警示,98.46,0.46
2026-04-08,00635U.TW,期元大S&P黃金,50.7,3.51,9942,⚠️ 超買警示,108.41,0.79
