expansion,date,price,pe,symbol,rev_yoy,prev_eps,gm,advice,prev_eps_yoy,prev_year,est_price,name,status,prev_rev_yoy,eps,om,eps_yoy
579.1500000000001,2026-03,33.25,16.299019607843135,2101.TW,1184.49,1.01,20.96%,⚪ 中性觀察,-68.84,2025,30.6,南港,🚀 利潤擴張,-44.61,1.86,4.39%,1763.64
556.87,2026-03,43.7999992371,0.0,4510.TWO,543.13,-1.02,14.87%,⚪ 數據不足,-197.14,2025,-36.6,高鋒,🔄 轉虧為盈,-2.21,0.2,-1.97%,1100.0
511.73,2026-03,36.7999992371,35.04761832104762,3285.TWO,688.27,0.7,28.61%,⚠️ 追價風險,-40.68,2025,15.75,微端,🚀 利潤擴張,-19.66,0.26,8.69%,1200.0
487.52,2026-03,126.5,36.455331412103746,6902.TW,43.25,1.58,N/A,⚠️ 追價風險,222.58,2025,52.05,GOGOLOOK,🚀 利潤擴張,20.92,1.64,N/A,530.77
484.25,2026-03,0.0,0.0,6241.TWO,335.75,-0.16,N/A,⚪ 數據不足,74.6,2025,0.0,鑫永洋,🔄 轉虧為盈,5.06,0.46,N/A,820.0
472.41999999999996,2026-03,20.25,34.32203389830508,8440.TWO,727.58,0.31,N/A,⚠️ 追價風險,-42.59,2025,8.850000000000001,綠電,🚀 利潤擴張,-6.1,0.22,N/A,1200.0
444.74,2026-03,87.4000015259,0.0,4590.TW,-25.82,2.72,30.54%,⚪ 數據不足,-1.45,2025,0.0,富田-創,🧐 疑業外收益,-41.11,1.21,-0.34%,418.92
412.3,2026-03,42.4500007629,36.594828243879306,2302.TW,187.7,0.49,36.04%,⚠️ 追價風險,-34.67,2025,17.400000000000002,麗正,🚀 利潤擴張,11.66,0.25,11.05%,600.0
390.63,2026-03,181.0,66.54411764705883,2344.TW,646.87,0.88,41.86%,⚠️ 追價風險,576.92,2025,40.8,華邦電,🚀 利潤擴張,9.55,2.25,15.37%,1037.5
381.05,2026-03,30.3500003815,0.0,6908.TW,6.45,1.44,N/A,⚪ 數據不足,5.88,2025,0.0,宏�砦C戲-創,🚀 利潤擴張,28.36,0.41,N/A,387.5
356.01,2026-03,133.0,24.448529411764703,6716.TWO,359.78,2.19,N/A,⚠️ 追價風險,-49.65,2025,81.60000000000001,應廣,🚀 利潤擴張,-15.3,1.59,N/A,715.79
342.59000000000003,2026-03,28.6000003815,22.00000029346154,5210.TWO,37.41,0.73,N/A,⚠️ 追價風險,207.35,2025,19.499999999999996,寶碩,🚀 利潤擴張,9.95,0.24,N/A,380.0
